*
* Comment
*
*
*
*
&Data 
   Name  = 'NC integrated cross section'    
   NData =  14
   NSyst =  0                      
   NBinDimension = 3             
   BinName  =  'Q2','xmin','xmax'                 

   NInfo    = 2 
   DataInfo =  318.,         1.
   CInfo    = 'sqrt(S)','e charge'                       

   IndexDataset = 71

   Reaction = 'NC e+-p integrated'                       
   SystematicType =  0, 1, 2,  -1                  
   SystScales   = 1.0, 1.0  
   Percent     = false, true, true, true, true, true   
&END
  575.  0.22   0.99 0.167134 0.01425
  725.  0.26   0.99 0.0879766 0.00473405
  875.  0.28   0.99 0.0535203 0.00300025
 1025.  0.315   0.99 0.0290909 0.00214976
 1200.  0.315  0.99 0.0185314 0.00143689
 1400.  0.36   0.99 0.0106132 0.000968351 
 1650.  0.39  0.99 0.00583149 0.000626834
 1950.  0.43   0.99 0.00280375 0.000404892
 2250.  0.46   0.99 0.0020634 0.000385846
 2600.  0.5   0.99 0.000927974 0.000192295 
 3000.  0.54   0.99 0.000470485 0.000139702
 3500.  0.58   0.99 0.00022306 7.91692e-05
 4150.  0.63  0.99 9.94821e-05 4.56125e-05
 4850.  0.69  0.99 1.91705e-05 2.0292e-05 
