* info from hepdata:                     
*REACtion       = muon Pb --> muon X
*Plab           = 200 GeV                                   
*Experiment  = CHORUS-2006                   
*REFerence      = Phys.Lett. B632 (2006) 65-75
*Additional info: Measurement of nucleon structure functions in neutrino scattering.
*
*
*
&Data
	 Name = 'CHORUS nu Pb DIS'

	 Reaction = 'neutrino+p CC'

         NDATA = 405
         
         NColumn = 17
	 ColumnType = 2*'Dummy','Bin','Bin','Bin',7*'Dummy','Sigma',4*'Error'
	 ColumnName = 'sqrt(S)','E','x', 'Q2','y','ignore','ignore','ignore','ignore','ignore','ignore','ignore','reduced x-section','stat','ignore','uncor','ignore'
	 
	 Percent = 4*False
 
         NInfo 	  = 7
         DataInfo =  -1.0, 0.,        0.,	208, 82.0, 0.0, 0.0       
	 CInfo 	  = 'e charge',	'reduced', 'e polarity', 'A1', 'Z1', 'ratio', 'pernucleus'
	 IndexDataset = 401
&End
&PlotDesc
   PlotN = 10 
   PlotDefColumn = 'x'
   PlotVarColumn = 'Q2'
   PlotDefValue = 0.045, 0.08, 0.125, 0.175, 0.225, 0.275, 0.35, 0.45, 0.55, 0.65
   PlotOptions(1)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 0.75  @Ymin:0.1@Ymax:200.@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 1.25  @Ymin:0.1@Ymax:200.@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 1.75  @Ymin:0.1@Ymax:200.@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 2.5  @Ymin:0.1@Ymax:200.@Xlog@Ylog'
   PlotOptions(5)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 3.5 @Ymin:0.05@Ymax:200.@Xlog@Ylog'
   PlotOptions(6)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 4.5 @Ymin:0.05@Ymax:200.@Xlog@Ylog'
   PlotOptions(7)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 5.5  @Ymin:0.05@Ymax:200.@Xlog@Ylog'
   PlotOptions(8)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 7  @Ymin:0.05@Ymax:200.@Xlog@Ylog'
   PlotOptions(9)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 9 @Ymin:0.01@Ymax:200.@Xlog@Ylog'
   PlotOptions(10)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 11.5 @Ymin:0.01@Ymax:200.@Xlog@Ylog'
&End
*sqrt(S) in GeV	E (GeV)	x	Q2 (GeV^2)	Y	Ylow	Yhigh	y ((1/E(P=1))*D(SIG)/DX/DY IN FB/GEV)	dy+	dy-	dy+	dy-	sigma in PB, multiplied with E	dy+ (calc)	dy- (calc)	dy+ (calc)	dy- (calc)
15.645	130	0.65	95.459	0.6	0.6	0.6	1.041	0.124	-0.124	0.093	-0.093	0.135	0.016	-0.016	0.012	-0.012
14.396	110	0.65	94.296	0.7	0.7	0.7	1.067	0.110	-0.110	0.106	-0.106	0.117	0.012	-0.012	0.012	-0.012
14.396	110	0.65	80.825	0.6	0.6	0.6	1.310	0.121	-0.121	0.159	-0.159	0.144	0.013	-0.013	0.017	-0.017
15.645	130	0.55	80.773	0.6	0.6	0.6	2.892	0.242	-0.242	0.158	-0.158	0.376	0.031	-0.031	0.021	-0.021
14.396	110	0.55	79.789	0.7	0.7	0.7	3.134	0.214	-0.214	0.259	-0.259	0.345	0.024	-0.024	0.028	-0.028
15.645	130	0.65	79.549	0.5	0.5	0.5	1.267	0.136	-0.136	0.140	-0.140	0.165	0.018	-0.018	0.018	-0.018
13.028	90	0.65	77.227	0.7	0.7	0.7	1.073	0.096	-0.096	0.110	-0.110	0.097	0.009	-0.009	0.010	-0.010
13.028	90	0.55	74.681	0.8	0.8	0.8	2.661	0.169	-0.169	0.238	-0.238	0.239	0.015	-0.015	0.021	-0.021
17.883	170	0.55	70.356	0.4	0.4	0.4	3.097	0.201	-0.201	0.211	-0.211	0.526	0.034	-0.034	0.036	-0.036
14.396	110	0.55	68.391	0.6	0.6	0.6	2.947	0.202	-0.202	0.177	-0.177	0.324	0.022	-0.022	0.019	-0.019
14.396	110	0.65	67.355	0.5	0.5	0.5	1.454	0.126	-0.126	0.185	-0.185	0.160	0.014	-0.014	0.020	-0.020
15.645	130	0.55	67.311	0.5	0.5	0.5	3.545	0.264	-0.264	0.279	-0.279	0.461	0.034	-0.034	0.036	-0.036
13.028	90	0.65	66.194	0.6	0.6	0.6	1.144	0.092	-0.092	0.153	-0.153	0.103	0.008	-0.008	0.014	-0.014
15.645	130	0.45	66.087	0.6	0.6	0.6	5.838	0.362	-0.362	0.343	-0.343	0.759	0.047	-0.047	0.045	-0.045
13.028	90	0.55	65.346	0.7	0.7	0.7	2.870	0.171	-0.171	0.225	-0.225	0.258	0.015	-0.015	0.020	-0.020
14.396	110	0.45	65.282	0.7	0.7	0.7	5.593	0.287	-0.287	0.193	-0.193	0.615	0.032	-0.032	0.021	-0.021
15.645	130	0.65	63.639	0.4	0.4	0.4	1.461	0.144	-0.144	0.174	-0.174	0.190	0.019	-0.019	0.023	-0.023
17.883	170	0.65	62.361	0.3	0.3	0.3	1.328	0.107	-0.107	0.142	-0.142	0.226	0.018	-0.018	0.024	-0.024
13.028	90	0.45	61.102	0.8	0.8	0.8	5.289	0.235	-0.235	0.280	-0.280	0.476	0.021	-0.021	0.025	-0.025
11.498	70	0.65	60.153	0.7	0.7	0.7	1.518	0.101	-0.101	0.167	-0.167	0.106	0.007	-0.007	0.012	-0.012
17.883	170	0.45	57.564	0.4	0.4	0.4	5.885	0.297	-0.297	0.270	-0.270	1.000	0.050	-0.050	0.046	-0.046
14.396	110	0.55	56.992	0.5	0.5	0.5	3.136	0.202	-0.202	0.347	-0.347	0.345	0.022	-0.022	0.038	-0.038
13.028	90	0.55	56.010	0.6	0.6	0.6	3.044	0.175	-0.175	0.243	-0.243	0.274	0.016	-0.016	0.022	-0.022
14.396	110	0.45	55.956	0.6	0.6	0.6	6.266	0.307	-0.307	0.270	-0.270	0.689	0.034	-0.034	0.030	-0.030
13.028	90	0.65	55.162	0.5	0.5	0.5	1.194	0.095	-0.095	0.164	-0.164	0.107	0.009	-0.009	0.015	-0.015
15.645	130	0.45	55.072	0.5	0.5	0.5	5.310	0.336	-0.336	0.209	-0.209	0.690	0.044	-0.044	0.027	-0.027
14.396	110	0.65	53.884	0.4	0.4	0.4	1.565	0.130	-0.130	0.234	-0.234	0.172	0.014	-0.014	0.026	-0.026
15.645	130	0.55	53.849	0.4	0.4	0.4	3.200	0.246	-0.246	0.254	-0.254	0.416	0.032	-0.032	0.033	-0.033
13.028	90	0.45	53.465	0.7	0.7	0.7	5.756	0.245	-0.245	0.322	-0.322	0.518	0.022	-0.022	0.029	-0.029
17.883	170	0.55	52.767	0.3	0.3	0.3	3.074	0.191	-0.191	0.298	-0.298	0.523	0.032	-0.032	0.051	-0.051
11.498	70	0.65	51.560	0.6	0.6	0.6	1.306	0.089	-0.089	0.157	-0.157	0.091	0.006	-0.006	0.011	-0.011
15.645	130	0.35	51.401	0.6	0.6	0.6	8.963	0.452	-0.452	0.332	-0.332	1.165	0.059	-0.059	0.043	-0.043
11.498	70	0.55	50.899	0.7	0.7	0.7	3.028	0.149	-0.149	0.223	-0.223	0.212	0.010	-0.010	0.016	-0.016
14.396	110	0.35	50.775	0.7	0.7	0.7	10.204	0.393	-0.393	0.520	-0.520	1.122	0.043	-0.043	0.057	-0.057
