 !*  File produced by Hamed
 !*  Created on 20220510
!*doi: 10.17182/hepdata.49385.v1/t18
&Data 
  Name = "DELPHI_{TOT}" 
  Reaction = "NC SIA Norm"

  TermName = 'R'
  TermSource = 'use:hf_scheme_DISNC'
  TermInfo = 'flavObs=inclNor:echarge=1:epolarity=0'
  TheorExpr = 'R'

  NData =    23
  NColumn =  6
  ColumnType = 3*"Bin","Sigma", "Error", "Error"
  ColumnName = "x", "Q2","y","Sigma", "stat","uncor"
!*  NInfo =  1
!*  CInfo = "sqrt(S)"
!*  DataInfo =     0.912E+02
  IndexDataset =   110
  Percent = false
!*  FKObservable = "SIA_Norm_XSEC"
&End 

&PlotDesc
   PlotN = 1
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 8000,9000
   PlotOptions(1)  = 'Experiment:DELPHI@ExtraLabel:e^{+}e^{-} #rightarrow  #gamma/Z #rightarrow #pi^{#pm}X @XTitle: Z @YTitle: 1/#sigma d#sigma/dz @Title:Q^{2} = 8317.44@Xlog@Ylog@YminR:0.5@YmaxR:1.5 @Ymin:0.005@Ymax:1000 '
 
&End
*z=Eh/Eb	Q2	    1/sig dsig/dz stat+	     stat-	        sys+	    sys-	     
0.017918492	8317.44	0.1	319.7330913	1.805094175	11.06198738
0.022686772	8317.44	0.1	252.8984804	1.472748203	4.648361515
0.027692645	8317.44	0.1	205.8304722	1.376485547	4.3588709
0.032710191	8317.44	0.1	168.9185051	1.236659338	2.519120874
0.03762547	8317.44	0.1	141.2839401	1.143814282	2.333381135
0.045060854	8317.44	0.1	110.8832728	0.822711834	2.102485798
0.055129416	8317.44	0.1	83.98874303	0.730734034	1.963847716
0.065094373	8317.44	0.1	65.87411047	0.456508042	1.232571714
0.075062814	8317.44	0.1	52.56150415	0.378796982	1.172901499
0.085033513	8317.44	0.1	42.72769911	0.328534209	0.985602628
0.095005761	8317.44	0.1	35.19422151	0.296554887	0.834916067
0.110020916	8317.44	0.1	27.1927497	0.191594613	0.71619891
0.129970478	8317.44	0.1	19.64084059	0.16420582	0.565597825
0.14992179	8317.44	0.1	14.6452312	0.145950607	0.460656603
0.169983869	8317.44	0.1	11.23767313	0.136822319	0.373981005
0.190046731	8317.44	0.1	8.560237094	0.109454284	0.31924166
0.230502904	8317.44	0.1	5.445123026	0.054724855	0.205218204
0.280718544	8317.44	0.1	3.156620795	0.043778618	0.126319555
0.349794176	8317.44	0.1	1.669480307	0.030097159	0.070226705
0.449571887	8317.44	0.1	0.679455844	0.019152447	0.032376755
0.550447159	8317.44	0.1	0.306892774	0.013680213	0.016872262
0.700664621	8317.44	0.1	0.097584937	0.009120088	0.010944105
0.900224534	8317.44	0.1	0.013588879	0.003830422	0.002553615
