* info from hepdata:                     
*REACtion       = muon D --> muon X / muon nucleon --> muon X
*Plab           = 200 GeV                                   
*Experiment  = EMC-90               
*REFerence      = Nucl.Phys. B333 (1990) 1-47
*Additional info: Measurements of the nucleon structure function in the range 0.002−GeV2<x<0.17−GeV2 and 0.2−GeV2<q2<8−GeV2 
*                 in deuterium, carbon and calcium.
*
&Data
	 Name = 'EMC-90 Deuterium DIS'

     Reaction = 'NC e+-p F2'

         NDATA = 21

         NColumn = 10
	 ColumnType = 'Dummy','Bin','Bin','Bin','Sigma',5*'Error'
	 ColumnName = 'sqrt(s)','x','y','Q2','reduced x-section','stat','ignore','uncor','ignore','cor norm'
	 
	 Percent = 4*False,1*True
 
         NInfo 	  = 9
         DataInfo = -1.,	    1.,        0.,	2.0, 1.0,  0., 0.0, 22.938, 1.0
	 CInfo 	  = 'e charge',	'reduced', 'e polarity', 'A1', 'Z1', 'ratio', 'pernucleus', 'sqrt(S)', 'EMC'
	 IndexDataset = 501
&End
*sqrt(s)	x	y	Q2	F2	Error	Error	Error	Error	additional normalization error
*22.938	7.50E-03	5.07E-01	2.00	0.261	0.030	-0.030	0.040	-0.040	7.0
*22.938	1.05E-02	3.62E-01	2.00	0.342	0.020	-0.020	0.022	-0.022	7.0
*22.938	1.50E-02	2.53E-01	2.00	0.293	0.014	-0.014	0.017	-0.017	7.0
*22.938	2.40E-02	1.58E-01	2.00	0.330	0.013	-0.013	0.019	-0.019	7.0
*22.938	4.00E-02	9.50E-02	2.00	0.281	0.012	-0.012	0.014	-0.014	7.0
*22.938	6.00E-02	6.34E-02	2.00	0.273	0.012	-0.012	0.013	-0.013	7.0
*22.938	9.00E-02	4.22E-02	2.00	0.292	0.011	-0.011	0.020	-0.020	7.0
*22.938	1.05E-02	5.07E-01	2.80	0.343	0.043	-0.043	0.052	-0.052	7.0
*22.938	1.50E-02	3.55E-01	2.80	0.378	0.024	-0.024	0.025	-0.025	7.0
*22.938	2.40E-02	2.22E-01	2.80	0.357	0.019	-0.019	0.020	-0.020	7.0
*22.938	4.00E-02	1.33E-01	2.80	0.358	0.017	-0.017	0.017	-0.017	7.0
*22.938	6.00E-02	8.87E-02	2.80	0.358	0.019	-0.019	0.017	-0.017	7.0
*22.938	9.00E-02	5.91E-02	2.80	0.330	0.014	-0.014	0.022	-0.022	7.0
*22.938	1.40E-01	3.80E-02	2.80	0.255	0.015	-0.015	0.013	-0.013	7.0
22.938	1.50E-02	5.58E-01	4.40	0.596	0.126	-0.126	0.091	-0.091	7.0
22.938	2.40E-02	3.48E-01	4.40	0.383	0.031	-0.031	0.032	-0.032	7.0
22.938	4.00E-02	2.09E-01	4.40	0.395	0.027	-0.027	0.030	-0.030	7.0
22.938	6.00E-02	1.39E-01	4.40	0.361	0.032	-0.032	0.024	-0.024	7.0
22.938	9.00E-02	9.29E-02	4.40	0.386	0.027	-0.027	0.044	-0.044	7.0
22.938	1.40E-01	5.97E-02	4.40	0.292	0.023	-0.023	0.028	-0.028	7.0
22.938	2.40E-02	4.43E-01	5.60	0.574	0.069	-0.069	0.065	-0.065	7.0
22.938	4.00E-02	2.66E-01	5.60	0.457	0.029	-0.029	0.052	-0.052	7.0
22.938	6.00E-02	1.77E-01	5.60	0.388	0.030	-0.030	0.036	-0.036	7.0
22.938	9.00E-02	1.18E-01	5.60	0.398	0.025	-0.025	0.061	-0.061	7.0
22.938	1.40E-01	7.60E-02	5.60	0.359	0.022	-0.022	0.041	-0.041	7.0
22.938	4.00E-02	3.42E-01	7.20	0.610	0.081	-0.081	0.123	-0.123	7.0
22.938	6.00E-02	2.28E-01	7.20	0.391	0.057	-0.057	0.060	-0.060	7.0
22.938	9.00E-02	1.52E-01	7.20	0.309	0.042	-0.042	0.062	-0.062	7.0
22.938	1.40E-01	9.77E-02	7.20	0.375	0.040	-0.040	0.057	-0.057	7.0
22.938	1.50E-02	4.56E-01	3.60	0.405	0.035	-0.035	0.046	-0.046	7.0
22.938	2.40E-02	2.85E-01	3.60	0.382	0.024	-0.024	0.025	-0.025	7.0
22.938	4.00E-02	1.71E-01	3.60	0.425	0.023	-0.023	0.028	-0.028	7.0
22.938	6.00E-02	1.14E-01	3.60	0.369	0.025	-0.025	0.018	-0.018	7.0
22.938	9.00E-02	7.60E-02	3.60	0.353	0.020	-0.020	0.023	-0.023	7.0
22.938	1.40E-01	4.89E-02	3.60	0.329	0.018	-0.018	0.022	-0.022	7.0
