 !*  File produced by Maryam				
 !*  Created on 2020_9_18				
 !*  doi: 10.17182/hepdata.22177.v1/t5	
&Data 
  Name = "SLD b_{tag}" 
  Reaction = "NC SIA bt"

  TermName = 'R'
  TermSource = 'NC_SIA'
  TermInfo = 'flavObs=inclBT:echarge=1:epolarity=0'
  TheorExpr = 'R'

  NData =    40
  NColumn =  6
  ColumnType = 3*"Bin","Sigma", 2*"Error"
  ColumnName = "x", "Q2","y","Sigma", "stat","sys_{SLD_B_ov}",
  NInfo =  1
  CInfo = "sqrt(S)"
  DataInfo =     0.912E+02
  IndexDataset =   116
  Percent = false
!*  FKObservable = "SIA_Norm_XSEC_BT"
&End 

&PlotDesc
   PlotN = 1
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 8000,9000
   PlotOptions(1)  = 'Experiment:SLD_b_tag@ExtraLabel:e^{+}e^{-} #rightarrow  #gamma/Z #rightarrow #pi^{#pm}X @XTitle: Z @YTitle: 1/#sigma d#sigma/dz @Title:Q^{2} = 8332.0384@Xlog@Ylog@YminR:0@YmaxR:2.1 @Ymin:0.00002@Ymax:1200 '
 
&End
*z=Eh/Eb	Q2	1/sig dsig/dz	error +	                        sys Overall normalization error +
0.007279147	8332.0384	0.1	527.296978	17.42583613	5.27296978
0.009320192	8332.0384	0.1	517.270651	12.60344133	5.17270651
0.011324133	8332.0384	0.1	481.743142	9.869656779	4.81743142
0.013454961	8332.0384	0.1	443.9110055	7.908641236	4.439110055
0.015604998	8332.0384	0.1	390.0229683	6.629574513	3.900229683
0.01934518	8332.0384	0.1	337.5784498	4.659048512	3.375784498
0.024790845	8332.0384	0.1	263.7302455	3.325601108	2.637302455
0.030256173	8332.0384	0.1	215.3113674	2.714008833	2.153113674
0.035732142	8332.0384	0.1	175.8503172	2.308537269	1.758503172
0.041214512	8332.0384	0.1	145.8051096	1.90529373	1.458051096
0.046601244	8332.0384	0.1	121.664324	1.703701407	1.21664324
0.052190382	8332.0384	0.1	103.4792028	1.50260217	1.034792028
0.057681765	8332.0384	0.1	89.36667848	1.361930555	0.8936667848
0.063074765	8332.0384	0.1	75.5595637	1.211435962	0.755595637
0.068568768	8332.0384	0.1	66.03622833	1.121124386	0.6603622833
0.074063662	8332.0384	0.1	59.44109278	1.040894704	0.5944109278
0.079559261	8332.0384	0.1	52.14884377	0.970723056	0.5214884377
0.085055429	8332.0384	0.1	45.8899055	0.900586894	0.458899055
0.093150609	8332.0384	0.1	38.31081442	0.65035334	0.3831081442
0.104045307	8332.0384	0.1	30.58331774	0.580252675	0.3058331774
0.115040975	8332.0384	0.1	24.34867249	0.510181716	0.2434867249
0.131035972	8332.0384	0.1	18.21500039	0.360098855	0.1821500039
0.153030801	8332.0384	0.1	12.2724701	0.280056367	0.122724701
0.175026929	8332.0384	0.1	8.251269524	0.220033854	0.0825126952
0.197023922	8332.0384	0.1	5.830707956	0.180021858	0.0583070796
0.218921529	8332.0384	0.1	4.140407178	0.150014753	0.0414040718
0.241019555	8332.0384	0.1	2.984242127	0.128010386	0.0298424213
0.262917926	8332.0384	0.1	2.303157034	0.110007501	0.0230315703
0.284916542	8332.0384	0.1	1.642095339	0.094005458	0.0164209534
0.306815361	8332.0384	0.1	1.365068345	0.085004256	0.0136506835
0.333814119	8332.0384	0.1	0.886037476	0.063002665	0.0088603748
0.366612856	8332.0384	0.1	0.631022128	0.052001824	0.0063102213
0.399711791	8332.0384	0.1	0.490014455	0.047001386	0.0049001446
0.432510897	8332.0384	0.1	0.276006954	0.038000957	0.0027600695
0.465110133	8332.0384	0.1	0.187004074	0.033000719	0.0018700407
0.50350936	8332.0384	0.1	0.111002064	0.025000465	0.0011100206
0.547008616	8332.0384	0.1	0.045000709	0.019000299	0.0004500071
0.608307748	8332.0384	0.1	0.039000497	0.010000127	0.000390005
0.704706688	8332.0384	0.1	0.011000104	0.005000047	0.000110001
0.838305622	8332.0384	0.1	0.00300002	0.002000013	3.00E-05
