 !*  File produced by Hamed
 !*  Created on 20220510
!*hepdata.48259.v1
&Data 
  Name = "OPAL_{TOT}" 
  Reaction = "NC SIA Norm"

  TermName = 'R'
  TermSource = 'use:hf_scheme_DISNC'
  TermInfo = 'flavObs=inclNor:echarge=1:epolarity=0'
  TheorExpr = 'R'


  NData =    51
  NColumn =  6
  ColumnType = 3*"Bin","Sigma", 2*"Error"
  ColumnName = "x", "Q2","y","Sigma", "stat","uncor"
  NInfo =  1
  CInfo = "sqrt(S)"
  DataInfo =     0.912E+02
  IndexDataset =   102
  Percent = false
!*  FKObservable = "SIA_Norm_XSEC"
&End 

&PlotDesc
   PlotN = 1
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 8000,9000
   PlotOptions(1)  = 'Experiment:OPAL@ExtraLabel:e^{+}e^{-} #rightarrow  #gamma/Z #rightarrow #pi^{#pm}X @XTitle: Z @YTitle: 1/#sigma d#sigma/dz @Title:Q^{2} = 8317.44 @Xlog@Ylog @Ymin:0.005@Ymax:1000@YminR:0.3@YmaxR:1.9'
 
&End
*z=Eh/Eb	Q2	    1/sig dsig/dz stat+	    sys_1+	     
0.005961081	8317.44	0.1	526.1324734	3.723890105	15.42754472
0.006188136	8317.44	0.1	524.1481077	3.676389533	15.23075664
0.00641795	8317.44	0.1	538.4825375	3.634886945	16.09735647
0.006669696	8317.44	0.1	533.1744117	3.595588518	15.92332058
0.006924027	8317.44	0.1	530.1145762	3.561230358	15.77116301
0.007220343	8317.44	0.1	523.9677675	3.526706127	15.61826999
0.007519372	8317.44	0.1	526.0115598	2.997216865	15.48562047
0.007820804	8317.44	0.1	528.5236718	2.974804907	15.36982535
0.008164995	8317.44	0.1	518.1970047	2.952689486	15.25556234
0.008511597	8317.44	0.1	516.2928489	2.933482096	15.15632416
0.008901483	8317.44	0.1	508.157993	2.914864204	15.06013172
0.009293693	8317.44	0.1	494.2351751	2.89874003	14.49370015
0.009708747	8317.44	0.1	494.6055243	2.883997226	14.41998613
0.01016759	8317.44	0.1	479.284255	2.391637999	13.8715004
0.010628524	8317.44	0.1	468.2073107	2.381522435	13.81283012
0.011133442	8317.44	0.1	456.367149	2.371970629	13.28303552
0.01166141	8317.44	0.1	447.1513147	2.363379042	13.23492263
0.012212392	8317.44	0.1	434.8538969	2.355654913	12.72053653
0.012786348	8317.44	0.1	425.1168763	2.348712024	12.21330252
0.013404577	8317.44	0.1	408.0223905	1.873811208	11.71132005
0.014045792	8317.44	0.1	392.5320959	1.869200457	11.68250286
0.014731375	8317.44	0.1	378.5851969	1.864951709	11.18971025
0.015461397	8317.44	0.1	366.1635495	1.861059972	10.70109484
0.016214373	8317.44	0.1	348.300814	1.857604341	10.21682388
0.017011792	8317.44	0.1	336.5827319	1.390837735	9.735864146
0.017853679	8317.44	0.1	321.7124287	1.388686743	9.257911618
0.018740046	8317.44	0.1	303.233091	1.848982262	9.24491131
0.045498441	8317.44	0.1	108.5017063	1.416829358	9.55217212
0.047686654	8317.44	0.1	103.4530331	0.594032434	3.609889405
0.050094171	8317.44	0.1	96.07741412	0.822345913	1.644691825
0.05272105	8317.44	0.1	88.79709391	0.456775174	1.233292971
0.055348375	8317.44	0.1	81.88687687	0.365362529	1.18742822
0.058195078	8317.44	0.1	76.34952435	0.41097232	1.095926187
0.061261192	8317.44	0.1	70.76892852	0.593545852	1.095776958
0.064327693	8317.44	0.1	64.82587481	0.365216196	1.004344539
0.0676136	8317.44	0.1	60.6193264	0.365176665	0.867294579
0.071118932	8317.44	0.1	55.7295534	0.365140399	0.775923348
0.074843699	8317.44	0.1	50.88683257	0.319468904	0.684576223
0.07856878	8317.44	0.1	47.23207441	0.319443982	0.684522818
0.082513278	8317.44	0.1	43.57817645	0.27378959	0.638842377
0.086896359	8317.44	0.1	40.10744112	0.273770929	0.547541858
0.098293574	8317.44	0.1	32.16369344	0.136866781	0.410600342
0.119995423	8317.44	0.1	21.80393794	0.091229866	0.319304531
0.146523397	8317.44	0.1	14.54959434	0.045610014	0.228050068
0.178754438	8317.44	0.1	9.358500451	0.054728073	0.145941528
0.218223353	8317.44	0.1	5.682322395	0.036483611	0.109450833
0.266245772	8317.44	0.1	3.269737399	0.027361819	0.072964851
0.325014501	8317.44	0.1	1.760238537	0.022801017	0.054722442
0.396503115	8317.44	0.1	0.939388161	0.018240547	0.059281777
0.522158149	8317.44	0.1	0.264484572	0.004560079	0.018240315
0.744962467	8317.44	0.1	0.027360232	0.004560039	0.009120077
