 !*  File produced by Maryam
 !*  Created on 20200929
!*doi: 10.17182/hepdata.22177.v1/t2
&Data 
  Name = "SLD_{TOT}" 
  Reaction = "NC SIA Norm"

  TermName = 'R'
  TermSource = 'use:hf_scheme_DISNC'
  TermInfo = 'flavObs=inclNor:echarge=1:epolarity=0'
  TheorExpr = 'R'

  NData =    40
  NColumn =  7
  ColumnType = 3*"Bin","Sigma", "Error", "Error", "Error"
  ColumnName = "x", "Q2","y","Sigma", "stat","uncor","sys_over"
  NInfo =  1
  CInfo = "sqrt(S)"
  DataInfo =     0.912E+02
  IndexDataset =   113
  Percent = false
!*  FKObservable = "SIA_Norm_XSEC"
&End 

&PlotDesc
   PlotN = 1
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 8000,9000
   PlotOptions(1)  = 'Experiment:SLD@ExtraLabel:e^{+}e^{-} #rightarrow  #gamma/Z #rightarrow #pi^{#pm} @XTitle: Z @YTitle: 1/#sigma d#sigma/dz @Title:Q^{2} = 8317.44 @Xlog@Ylog@YminR:0.5@YmaxR:1.6 @Ymin:0.002@Ymax:1000'
 
&End
*z=Eh/Eb	Q2	1/sig dsig/dz	stat+		sys+	        sys Overall normalization error +
0.007279147	8332.0384	0.1	520.3487016	1.433771327	10.14668939	5.203487016
0.009320192	8332.0384	0.1	498.2066221	1.165023989	6.990143932	4.982066221
0.011324133	8332.0384	0.1	451.5108249	1.142802364	5.1945562	4.515108249
0.013454961	8332.0384	0.1	399.3350276	1.027096264	4.108385058	3.993350276
0.015604998	8332.0384	0.1	359.7309124	0.917941086	3.365783984	3.597309124
0.01934518	8332.0384	0.1	298.5842394	0.506418316	2.228240593	2.985842394
0.024790845	8332.0384	0.1	231.3812165	0.503878956	1.310085285	2.313812165
0.030256173	8332.0384	0.1	185.9598645	0.402075383	0.904669611	1.859598645
0.035732142	8332.0384	0.1	151.1590055	0.401484742	0.702598299	1.511590055
0.041214512	8332.0384	0.1	125.9499434	0.401114469	0.902507556	1.259499434
0.046601244	8332.0384	0.1	106.7318823	0.400870919	1.102395028	1.067318823
0.052190382	8332.0384	0.1	90.55682411	0.350607173	1.332307257	0.9055682411
0.057681765	8332.0384	0.1	77.48984291	0.310440053	0.911291768	0.7748984291
0.063074765	8332.0384	0.1	67.46997479	0.290344156	0.700830722	0.6746997479
0.068568768	8332.0384	0.1	59.4596326	0.270271057	0.750752937	0.594596326
0.074063662	8332.0384	0.1	52.61522558	0.250215073	0.600516176	0.5261522558
0.079559261	8332.0384	0.1	46.79485578	0.2401789	0.500372709	0.4679485578
0.085055429	8332.0384	0.1	41.72719274	0.230149984	0.430280405	0.4172719274
0.093150609	8332.0384	0.1	35.27916732	0.15008154	0.360195696	0.3527916732
0.104045307	8332.0384	0.1	28.90258585	0.130056634	0.290126338	0.2890258585
0.115040975	8332.0384	0.1	23.88850859	0.120042757	0.250089077	0.2388850859
0.131035972	8332.0384	0.1	18.6951322	0.080021968	0.190052173	0.186951322
0.153030801	8332.0384	0.1	13.85278817	0.070014092	0.140028184	0.1385278817
0.175026929	8332.0384	0.1	10.16156344	0.060009233	0.110016927	0.1016156344
0.197023922	8332.0384	0.1	7.812948636	0.050006072	0.069008379	0.0781294864
0.218921529	8332.0384	0.1	6.076597587	0.044004327	0.061005999	0.0607659759
0.241019555	8332.0384	0.1	4.674379257	0.039003165	0.053004301	0.0467437926
0.262917926	8332.0384	0.1	3.632247655	0.035002387	0.044003	0.0363224766
0.284916542	8332.0384	0.1	2.88616757	0.0310018	0.037002148	0.0288616757
0.306815361	8332.0384	0.1	2.29211476	0.028001402	0.031001552	0.0229211476
0.333814119	8332.0384	0.1	1.749073978	0.021000888	0.034001438	0.0174907398
0.366612856	8332.0384	0.1	1.275044711	0.018000631	0.028000982	0.0127504471
0.399711791	8332.0384	0.1	0.921027169	0.016000472	0.022000649	0.0092102717
0.432510897	8332.0384	0.1	0.680017133	0.014000353	0.018000454	0.0068001713
0.465110133	8332.0384	0.1	0.499010872	0.013000283	0.014000305	0.0049901087
0.50350936	8332.0384	0.1	0.338006284	0.010000186	0.010000186	0.0033800628
0.547008616	8332.0384	0.1	0.22600356	0.009000142	0.00700011	0.0022600356
0.608307748	8332.0384	0.1	0.130001656	0.005000064	0.005000064	0.0013000166
0.704706688	8332.0384	0.1	0.052600499	0.003700035	0.002900028	0.000526005
0.838305622	8332.0384	0.1	0.011300076	0.001800012	0.001300009	0.0001130008
