 !*  File produced by Maryam				
 !*  Created on 2020_9_18				
 !*  doi: 10.17182/hepdata.22177.v1/t5
&Data 
  Name = "SLD light_{tag}" 
  Reaction = "NC SIA light"

  TermName = 'R'
  TermSource = 'use:hf_scheme_DISNC'
  TermInfo = 'flavObs=inclLi:echarge=1:epolarity=0'
  TheorExpr = 'R'


  NData =    40
  NColumn =  6
  ColumnType = 3*"Bin","Sigma", 2*"Error"
  ColumnName = "x", "Q2","y","Sigma", "stat","uncor"
  NInfo =  1
  CInfo = "sqrt(S)"
  DataInfo =     0.912E+02
  IndexDataset =   114
  Percent = false
!*  FKObservable = "SIA_Norm_XSEC_L"
&End 

&PlotDesc
   PlotN = 1
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 8000,9000
   PlotOptions(1)  = 'Experiment:SLD_uds_tag@ExtraLabel:e^{+}e^{-} #rightarrow  #gamma/Z #rightarrow #pi^{#pm}X @XTitle: Z @YTitle: 1/#sigma d#sigma/dz @Title:Q^{2} = 8332.0384@Xlog@Ylog@YminR:0.5@YmaxR:1.6 @Ymin:0.005@Ymax:1000 '
 
&End
*z=Eh/Eb	Q2	1/sig dsig/dz	error +   	sys Overall normalization error +
0.007279147	8332.0384	0.1	522.7750839	15.33032419	5.227750839
0.009320192	8332.0384	0.1	494.9233726	11.12068353	4.949233726
0.011324133	8332.0384	0.1	434.4726805	8.726854415	4.344726805
0.013454961	8332.0384	0.1	385.6746473	7.086964224	3.856746473
0.015604998	8332.0384	0.1	334.2325489	5.813626881	3.342325489
0.01934518	8332.0384	0.1	279.3403434	4.253913858	2.793403434
0.024790845	8332.0384	0.1	217.6757089	3.023273735	2.176757089
0.030256173	8332.0384	0.1	172.0882638	2.211414605	1.720882638
0.035732142	8332.0384	0.1	140.9211446	1.907052526	1.409211446
0.041214512	8332.0384	0.1	116.7243106	1.50417926	1.167243106
0.046601244	8332.0384	0.1	100.1175121	1.202612758	1.001175121
0.052190382	8332.0384	0.1	85.54815021	1.00173478	0.8554815021
0.057681765	8332.0384	0.1	72.95341245	0.891263378	0.7295341245
0.063074765	8332.0384	0.1	64.58655697	0.790937529	0.6458655697
0.068568768	8332.0384	0.1	56.8770425	0.720722819	0.568770425
0.074063662	8332.0384	0.1	50.88373728	0.660567793	0.5088373728
0.079559261	8332.0384	0.1	45.37379728	0.610454705	0.4537379728
0.085055429	8332.0384	0.1	40.73654716	0.560365178	0.4073654716
0.093150609	8332.0384	0.1	34.61880854	0.40021744	0.3461880854
0.104045307	8332.0384	0.1	29.00262942	0.350152477	0.2900262942
0.115040975	8332.0384	0.1	24.19861905	0.310110455	0.2419861905
0.131035972	8332.0384	0.1	18.97520909	0.220060411	0.1897520909
0.153030801	8332.0384	0.1	14.52292305	0.170034223	0.1452292305
0.175026929	8332.0384	0.1	11.06170193	0.140021543	0.1106170193
0.197023922	8332.0384	0.1	8.671052826	0.120014572	0.0867105283
0.218921529	8332.0384	0.1	6.790667811	0.100009835	0.0679066781
0.241019555	8332.0384	0.1	5.341433378	0.085006897	0.0534143338
0.262917926	8332.0384	0.1	4.214287339	0.073004978	0.0421428734
0.284916542	8332.0384	0.1	3.452200433	0.064003716	0.0345220043
0.306815361	8332.0384	0.1	2.72713654	0.056002804	0.0272713654
0.333814119	8332.0384	0.1	2.138090432	0.042001776	0.0213809043
0.366612856	8332.0384	0.1	1.652057931	0.036001262	0.0165205793
0.399711791	8332.0384	0.1	1.164034338	0.031000914	0.0116403434
0.432510897	8332.0384	0.1	0.874022021	0.02700068	0.0087402202
0.465110133	8332.0384	0.1	0.622013552	0.024000523	0.0062201355
0.50350936	8332.0384	0.1	0.441008198	0.019000353	0.004410082
0.547008616	8332.0384	0.1	0.300004725	0.017000268	0.0030000473
0.608307748	8332.0384	0.1	0.178002267	0.010000127	0.0017800227
0.704706688	8332.0384	0.1	0.081000769	0.007000066	0.0008100077
0.838305622	8332.0384	0.1	0.016000107	0.00300002	0.0001600011
