*EXPeriment     = CERN-NA-4                      
*REACtion       = muon P --> muon X 
*Plab           = 100+120+200+280 GeV                                   
*Collaboration  = BCDMS                   
*Author         = Benvenuti et al 
*REFerence      = Phys. Lett. 223B (1989) 485    
*Additional info: The combined energy proton structure function as measured 
*                 by the BCDMS Collaboration in muon-proton deep inelastic 
*                 scattering.
*   x       Q**2      F2            errors          F2           errors 
*         (GeV**2)    R=0.0     stat.     sys.      R=QCD    stat.     sys.
*
*
&Data
	 Name = 'BCDMS F2'
	 Reaction = 'F2p'
 	 NDATA = 178
	 NColumn = 8
	 ColumnType = 2*'Bin','Sigma',2*'Error', 3*'Dummy'
	 ColumnName = 'x','Q2','F2','stat','sys', 3*'ignore'
	 Percent = False, False
	 NInfo 		= 2
	 DataInfo = 1.,						0.
	 CInfo 		= 'e charge'		'e polarity'
	 IndexDataset = 94
&End
 0.070     8.75      0.37824   0.00583   0.00405   0.38956  0.00600   0.00417  
 0.070     7.50      0.38934   0.00600   0.00714   0.40205  0.00620   0.00736  
 0.070     8.75      0.37713   0.00388   0.00762   0.39179  0.00404   0.00790  
 0.070    10.25      0.37381   0.00596   0.00747   0.38982  0.00622   0.00779  
 0.070    17.00      0.39928   0.00521   0.00663   0.41459  0.00541   0.00689  
 0.070    19.00      0.39989   0.00527   0.00669   0.41972  0.00553   0.00701  
 0.100     7.50      0.38055   0.00424   0.00480   0.38468  0.00429   0.00485  
 0.100     8.75      0.38347   0.00351   0.00525   0.38926  0.00356   0.00532  
 0.100    10.25      0.38249   0.00284   0.00506   0.38958  0.00289   0.00514  
 0.100    11.75      0.38341   0.00476   0.00506   0.39066  0.00485   0.00516  
 0.100    13.25      0.38291   0.00516   0.00471   0.39239  0.00529   0.00482  
 0.100    19.00      0.39548   0.00407   0.00345   0.40180  0.00414   0.00350  
 0.100    21.50      0.39338   0.00317   0.00386   0.40171  0.00324   0.00393  
 0.100    24.50      0.39402   0.00339   0.00327   0.40528  0.00349   0.00336  
 0.100    32.50      0.39629   0.00559   0.00442   0.40558  0.00572   0.00452  
 0.100    37.50      0.39408   0.00630   0.00329   0.40695  0.00651   0.00341  
 0.140     8.75      0.37560   0.00390   0.00426   0.37768  0.00392   0.00430  
 0.140    10.25      0.37676   0.00396   0.00447   0.37965  0.00399   0.00450  
 0.140    11.75      0.37616   0.00343   0.00442   0.37955  0.00347   0.00445  
 0.140    13.25      0.36979   0.00365   0.00410   0.37406  0.00369   0.00416  
 0.140    15.00      0.37348   0.00366   0.00430   0.37906  0.00371   0.00435  
 0.140    17.00      0.37197   0.00627   0.00397   0.37759  0.00636   0.00404  
 0.140    19.00      0.36233   0.00684   0.00379   0.36935  0.00697   0.00388  
 0.140    21.50      0.37841   0.00361   0.00317   0.38121  0.00364   0.00319  
 0.140    24.50      0.37991   0.00378   0.00355   0.38366  0.00382   0.00359  
 0.140    28.00      0.37499   0.00362   0.00249   0.37999  0.00367   0.00253  
 0.140    32.50      0.36709   0.00356   0.00262   0.37396  0.00363   0.00267  
 0.140    37.50      0.37285   0.00654   0.00289   0.37701  0.00661   0.00293  
 0.140    43.00      0.37063   0.00645   0.00265   0.37628  0.00655   0.00268  
 0.140    49.50      0.35668   0.00661   0.00253   0.36420  0.00675   0.00258  
 0.140    57.00      0.37001   0.00802   0.00248   0.38075  0.00825   0.00255  
 0.180     8.75      0.36786   0.00489   0.00475   0.36886  0.00490   0.00475  
 0.180    10.25      0.36457   0.00474   0.00409   0.36592  0.00476   0.00410  
 0.180    11.75      0.36324   0.00405   0.00412   0.36481  0.00406   0.00414  
 0.180    13.25      0.36021   0.00422   0.00412   0.36218  0.00424   0.00414  
 0.180    15.00      0.35659   0.00405   0.00395   0.35909  0.00408   0.00397  
 0.180    17.00      0.35217   0.00441   0.00371   0.35540  0.00445   0.00374  
 0.180    19.00      0.34539   0.00745   0.00378   0.34847  0.00752   0.00379  
 0.180    21.50      0.35224   0.00359   0.00310   0.35422  0.00361   0.00312  
 0.180    24.50      0.35437   0.00381   0.00270   0.35693  0.00384   0.00272  
 0.180    28.00      0.36004   0.00413   0.00248   0.36224  0.00416   0.00248  
 0.180    32.50      0.34712   0.00288   0.00206   0.35007  0.00290   0.00208  
 0.180    37.50      0.34144   0.00277   0.00158   0.34507  0.00280   0.00159  
 0.180    43.00      0.34514   0.00276   0.00137   0.35017  0.00280   0.00139  
 0.180    49.50      0.33701   0.00706   0.00211   0.34020  0.00713   0.00213  
 0.180    57.00      0.34082   0.00475   0.00140   0.34527  0.00481   0.00142  
 0.180    65.50      0.33512   0.00504   0.00139   0.34112  0.00513   0.00140  
 0.225    10.25      0.34051   0.00481   0.00395   0.34120  0.00482   0.00397  
 0.225    11.75      0.33715   0.00399   0.00383   0.33792  0.00400   0.00383  
 0.225    13.25      0.33816   0.00418   0.00376   0.33915  0.00419   0.00376  
 0.225    15.00      0.33145   0.00387   0.00364   0.33268  0.00389   0.00364  
 0.225    17.00      0.32498   0.00414   0.00348   0.32655  0.00416   0.00350  
 0.225    19.00      0.31955   0.00447   0.00350   0.32145  0.00450   0.00352  
 0.225    21.50      0.31675   0.00420   0.00345   0.31921  0.00423   0.00348  
 0.225    24.50      0.31853   0.00420   0.00149   0.32188  0.00425   0.00151  
 0.225    28.00      0.31816   0.00275   0.00140   0.32079  0.00277   0.00144  
 0.225    32.50      0.32484   0.00309   0.00166   0.32719  0.00311   0.00168  
 0.225    37.50      0.31287   0.00255   0.00137   0.31454  0.00256   0.00139  
 0.225    43.00      0.31267   0.00247   0.00156   0.31493  0.00249   0.00158  
 0.225    49.50      0.30754   0.00245   0.00182   0.31062  0.00248   0.00184  
 0.225    57.00      0.31203   0.00279   0.00104   0.31558  0.00282   0.00106  
 0.225    65.50      0.31282   0.00470   0.00128   0.31557  0.00474   0.00130  
 0.225    75.00      0.30247   0.00499   0.00109   0.30609  0.00505   0.00111  
 0.225    86.00      0.30229   0.00533   0.00118   0.30722  0.00542   0.00120  
 0.275    10.25      0.30440   0.00536   0.00518   0.30476  0.00537   0.00518  
 0.275    11.75      0.29925   0.00545   0.00374   0.29971  0.00546   0.00374  
 0.275    13.25      0.30115   0.00463   0.00327   0.30167  0.00464   0.00329  
 0.275    15.00      0.30599   0.00427   0.00324   0.30664  0.00428   0.00326  
 0.275    17.00      0.30070   0.00444   0.00315   0.30151  0.00446   0.00317  
 0.275    19.00      0.29166   0.00466   0.00305   0.29265  0.00467   0.00307  
 0.275    21.50      0.29549   0.00431   0.00308   0.29675  0.00433   0.00310  
 0.275    24.50      0.28260   0.00347   0.00111   0.28413  0.00349   0.00111  
 0.275    28.00      0.28722   0.00262   0.00137   0.28862  0.00264   0.00139  
 0.275    32.50      0.28208   0.00248   0.00111   0.28393  0.00250   0.00113  
 0.275    37.50      0.27748   0.00226   0.00100   0.27916  0.00228   0.00102  
 0.275    43.00      0.27271   0.00233   0.00097   0.27419  0.00234   0.00099  
 0.275    49.50      0.26950   0.00251   0.00132   0.27093  0.00253   0.00132  
 0.275    57.00      0.27336   0.00246   0.00102   0.27517  0.00248   0.00104  
 0.275    65.50      0.26645   0.00287   0.00126   0.26869  0.00289   0.00128  
 0.275    75.00      0.26569   0.00309   0.00173   0.26879  0.00313   0.00175  
 0.275    86.00      0.25960   0.00508   0.00078   0.26182  0.00512   0.00078  
 0.275    99.00      0.25794   0.00630   0.00078   0.26097  0.00637   0.00078  
 0.275   115.50      0.25851   0.00693   0.00078   0.26278  0.00704   0.00080  
 0.350    11.75      0.24001   0.00427   0.00381   0.24021  0.00427   0.00381  
 0.350    13.25      0.23467   0.00352   0.00262   0.23489  0.00353   0.00262  
 0.350    15.00      0.23203   0.00313   0.00249   0.23229  0.00314   0.00249  
 0.350    17.00      0.23600   0.00325   0.00255   0.23633  0.00326   0.00255  
 0.350    19.00      0.22495   0.00332   0.00236   0.22533  0.00332   0.00236  
 0.350    21.50      0.22775   0.00298   0.00242   0.22823  0.00299   0.00244  
 0.350    24.50      0.22637   0.00220   0.00111   0.22699  0.00221   0.00111  
 0.350    28.00      0.22518   0.00242   0.00080   0.22596  0.00243   0.00080  
 0.350    32.50      0.22074   0.00175   0.00090   0.22147  0.00175   0.00090  
 0.350    37.50      0.21952   0.00164   0.00078   0.22029  0.00165   0.00078  
 0.350    43.00      0.21533   0.00154   0.00087   0.21619  0.00154   0.00087  
 0.350    49.50      0.21359   0.00167   0.00085   0.21435  0.00167   0.00085  
 0.350    57.00      0.21341   0.00163   0.00088   0.21428  0.00164   0.00088  
 0.350    65.50      0.20568   0.00178   0.00083   0.20654  0.00178   0.00083  
 0.350    75.00      0.20445   0.00210   0.00061   0.20555  0.00211   0.00061  
 0.350    86.00      0.20565   0.00217   0.00071   0.20711  0.00219   0.00071  
 0.350    99.00      0.20141   0.00233   0.00059   0.20334  0.00235   0.00061  
 0.350   115.50      0.20358   0.00441   0.00071   0.20511  0.00444   0.00071  
 0.350   137.50      0.20044   0.00472   0.00069   0.20266  0.00477   0.00071  
 0.450    11.75      0.16020   0.00409   0.00260   0.16027  0.00409   0.00260  
 0.450    13.25      0.15722   0.00348   0.00251   0.15729  0.00348   0.00251  
 0.450    15.00      0.15703   0.00311   0.00248   0.15712  0.00311   0.00248  
 0.450    17.00      0.15292   0.00320   0.00218   0.15303  0.00321   0.00218  
 0.450    19.00      0.15489   0.00339   0.00222   0.15502  0.00339   0.00222  
 0.450    21.50      0.14786   0.00289   0.00196   0.14802  0.00289   0.00196  
 0.450    24.50      0.14649   0.00200   0.00125   0.14668  0.00200   0.00125  
 0.450    28.00      0.14300   0.00218   0.00097   0.14324  0.00218   0.00097  
 0.450    32.50      0.14395   0.00161   0.00114   0.14418  0.00161   0.00116  
 0.450    37.50      0.14124   0.00173   0.00104   0.14153  0.00173   0.00104  
 0.450    43.00      0.13863   0.00138   0.00106   0.13889  0.00138   0.00106  
 0.450    49.50      0.13629   0.00136   0.00094   0.13664  0.00137   0.00094  
 0.450    57.00      0.13527   0.00134   0.00092   0.13566  0.00135   0.00092  
 0.450    65.50      0.13036   0.00147   0.00087   0.13069  0.00148   0.00087  
 0.450    75.00      0.12838   0.00173   0.00071   0.12882  0.00173   0.00071  
 0.450    86.00      0.12934   0.00189   0.00074   0.12975  0.00189   0.00074  
 0.450    99.00      0.12868   0.00197   0.00071   0.12922  0.00198   0.00071  
 0.450   115.50      0.12210   0.00193   0.00057   0.12283  0.00195   0.00057  
 0.450   137.50      0.11797   0.00388   0.00061   0.11853  0.00390   0.00062  
 0.450   175.00      0.11841   0.00365   0.00057   0.11937  0.00368   0.00059  
 0.550    11.75      0.09286   0.00316   0.00390   0.09289  0.00316   0.00390  
 0.550    13.25      0.08784   0.00329   0.00317   0.08787  0.00329   0.00317  
 0.550    15.00      0.08803   0.00240   0.00307   0.08806  0.00240   0.00307  
 0.550    17.00      0.08272   0.00235   0.00256   0.08275  0.00235   0.00256  
 0.550    19.00      0.08548   0.00260   0.00225   0.08553  0.00261   0.00225  
