!
! This datafile is a successor of the Dataset 8.
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 NC High Q2 e+p 99-00'
   NData =  147                        ! Number of data points
   NColumn =  24                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',20*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat','uncor','ignore','ignore','h1_nc_high_beta_9','h1_nc_high_beta_15','h1_nc_high_beta_11','h1_nc_high_beta_5','B2','h1_nc_high_beta_16',8*'ignore','xlum_5','corlum'

   NInfo    = 4
   DataInfo =  318.,	+1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 8

   Reaction = 'NC e+-p'          

!x	Q2		y	sig_NC	stat	unc	cor	tot	c^E+	c^th+	c^h+	c^N+	c^B+	c^S+	sys	u^E	u^h	phi/Y+	F2	dF2	dF3	dFL	xlum	corlum

   Percent = 20*true

&END	
0.00131	100.		0.750	1.450	1.600	3.500	1.200	4.000	0.400	0.500	-0.100	0.100	0.000	1.100	3.600	0.600	0.000	1.450	0.000	0.000	0.000	0.000	1.414	0.500
0.00200	100.		0.492	1.388	1.400	2.100	1.800	3.100	-0.300	-0.600	1.300	0.100	-0.900	0.000	2.700	0.800	0.300	1.388	1.442	0.100	0.000	-3.800	1.414	0.500
0.00158	120.		0.750	1.404	1.800	2.700	1.100	3.300	-0.400	-0.300	0.200	0.100	0.000	0.900	2.700	0.300	0.000	1.404	0.000	0.000	0.000	0.000	1.414	0.500
0.00200	120.		0.591	1.338	1.500	2.000	1.500	2.900	-0.400	-0.300	0.800	0.200	-1.200	0.000	2.500	0.600	0.300	1.338	1.418	0.200	0.000	-5.800	1.414	0.500
0.00320	120.		0.369	1.220	1.300	1.800	1.400	2.600	-0.300	-1.100	0.600	0.100	-0.500	0.000	2.200	0.400	0.300	1.220	1.241	0.200	0.000	-1.800	1.414	0.500
0.00197	150.		0.750	1.398	2.000	2.700	1.200	3.500	-0.700	0.300	0.300	0.100	0.000	0.900	2.800	0.700	0.100	1.398	0.000	0.000	0.000	0.000	1.414	0.500
0.00320	150.		0.462	1.225	1.200	2.100	1.600	2.900	0.200	-0.700	1.000	0.900	-0.600	0.000	2.600	0.400	0.800	1.225	1.262	0.200	-0.100	-3.000	1.414	0.500
0.00500	150.		0.295	1.061	1.200	2.000	1.000	2.600	-0.100	-0.600	0.400	0.700	-0.100	0.000	2.200	0.500	0.400	1.061	1.071	0.200	0.000	-1.000	1.414	0.500
0.00800	150.		0.185	0.940	1.600	2.600	1.400	3.400	-0.600	-0.600	-0.900	-0.800	0.000	0.000	2.900	1.300	0.700	0.940	0.942	0.100	0.000	-0.300	1.414	0.500
0.00263	200.		0.750	1.284	2.200	2.600	1.200	3.500	0.200	-0.900	0.100	0.100	0.000	0.700	2.700	0.200	0.100	1.285	0.000	0.000	0.000	0.000	1.414	0.500
0.00320	200.		0.615	1.242	1.900	2.200	1.200	3.100	-0.200	0.000	0.300	0.500	-1.100	0.000	2.500	0.200	0.200	1.242	0.000	0.000	0.000	0.000	1.414	0.500
0.00500	200.		0.394	1.091	1.300	2.100	1.400	2.800	0.000	-0.600	0.900	0.900	-0.200	0.000	2.500	0.200	0.800	1.091	1.111	0.200	-0.100	-1.900	1.414	0.500
0.00800	200.		0.246	0.956	1.300	2.200	0.900	2.700	0.200	-0.600	0.500	0.600	0.000	0.000	2.300	0.900	0.500	0.956	0.961	0.200	-0.100	-0.600	1.414	0.500
0.01300	200.		0.151	0.801	1.400	2.000	0.900	2.600	0.300	-0.700	0.000	0.500	0.000	0.000	2.200	0.500	0.200	0.801	0.802	0.200	-0.100	-0.200	1.414	0.500
0.02000	200.		0.098	0.713	1.600	2.100	0.700	2.700	-0.400	-0.400	-0.400	0.200	0.000	0.000	2.200	0.500	0.200	0.713	0.713	0.200	-0.100	-0.100	1.414	0.500
0.03200	200.		0.062	0.583	1.800	2.500	1.200	3.300	-0.700	-0.600	-0.800	0.100	0.000	0.000	2.800	1.400	0.400	0.583	0.583	0.200	-0.100	0.000	1.414	0.500
0.05000	200.		0.039	0.516	2.000	3.400	2.600	4.700	-1.600	-0.700	-0.600	1.900	0.000	0.000	4.300	2.600	0.100	0.516	0.516	0.200	-0.100	0.000	1.414	0.500
0.08000	200.		0.025	0.401	2.300	3.400	2.200	4.700	-1.700	-0.400	-0.600	1.300	0.000	0.000	4.100	2.500	0.600	0.401	0.401	0.100	0.000	0.000	1.414	0.500
0.13000	200.		0.015	0.345	2.600	3.200	3.300	5.200	-0.900	-0.700	-0.900	-3.000	0.000	0.000	4.500	1.500	1.400	0.345	0.345	0.100	0.000	0.000	1.414	0.500
0.25000	200.		0.008	0.259	3.700	4.200	6.300	8.400	0.200	-0.700	-2.000	-5.900	0.000	0.000	7.500	0.900	2.800	0.259	0.259	0.100	0.000	0.000	1.414	0.500
0.40000	200.		0.005	0.129	4.800	4.300	11.500	13.200	-1.200	-0.800	-0.800	-11.400	0.000	0.000	12.300	1.800	1.700	0.129	0.128	0.100	0.000	0.000	1.414	0.500
0.00328	250.		0.750	1.250	2.500	2.700	1.400	3.800	-0.300	-0.900	0.600	0.000	0.000	0.800	2.900	0.300	0.100	1.251	0.000	0.000	0.000	0.000	1.414	0.500
0.00500	250.		0.492	1.120	1.600	2.100	1.200	2.900	-0.100	-0.300	0.800	0.800	-0.400	0.000	2.400	0.100	0.600	1.120	1.155	0.300	-0.100	-3.100	1.414	0.500
0.00800	250.		0.308	0.943	1.500	2.200	1.200	2.900	0.400	-0.500	0.600	0.900	0.000	0.000	2.500	0.700	0.800	0.943	0.951	0.300	-0.100	-1.000	1.414	0.500
0.01300	250.		0.189	0.833	1.500	2.300	0.900	2.900	0.500	-0.400	-0.400	0.600	0.000	0.000	2.500	1.100	0.300	0.833	0.835	0.200	-0.100	-0.300	1.414	0.500
