!
! This datafile is a successor of the Dataset 7.
! We assume that S = 101568.0
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 NC High Q2 e-p 98-99 high y'
   NData =  13                        ! Number of data points
   NColumn =  18                      ! Number of all columns
   ColumnType = 3*'Bin','Sigma',14*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat','uncor',2*'ignore','h1_nc_high_beta_9','h1_nc_high_beta_15','h1_nc_high_beta_11','h1_nc_high_beta_5','B2','h1_nc_high_beta_16',2*'ignore','xlum_4','corlum'

   NInfo    = 4
   DataInfo =  319.,	-1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 7

   Reaction = 'NC e+-p'          

!x	Q2		y	sig_NC	stat	unc	cor	tot	c^E+	c^th+	c^h+	c^N+	c^B+	c^S+	u^E	u^h	xlum	corlum

   Percent = 14*true

&END
0.0013	100.		0.757355	1.3680	4.0000	5.5000	1.6000	7.0000	-0.7000	-1.0000	0.5000	0.4000	0.0000	-0.9000	1.5000	0.2000	1.7292	0.5000
0.0020	100.		0.492281	1.2930	3.4000	3.3000	2.4000	5.3000	0.5000	-1.8000	0.9000	0.6000	-1.1000	0.0000	0.5000	0.3000	1.7292	0.5000
0.0016	120.		0.738422	1.3420	4.2000	4.8000	1.8000	6.6000	-0.3000	-1.5000	0.6000	0.3000	0.0000	-0.7000	0.1000	0.2000	1.7292	0.5000
0.0020	120.		0.590737	1.3250	3.3000	3.2000	2.1000	5.0000	-0.4000	-1.4000	-0.3000	0.3000	-1.4000	0.0000	0.5000	0.2000	1.7292	0.5000
0.0032	120.		0.369211	1.1980	3.1000	3.3000	1.9000	4.9000	0.3000	-1.7000	0.5000	0.5000	-0.3000	0.0000	1.1000	0.4000	1.7292	0.5000
0.0020	150.		0.738421	1.3390	4.4000	4.8000	1.4000	6.7000	0.8000	-0.8000	0.5000	0.4000	0.0000	-0.6000	0.9000	0.2000	1.7292	0.5000
0.0026	200.		0.757355	1.1880	4.9000	4.8000	2.0000	7.1000	0.4000	-1.7000	0.6000	0.4000	0.0000	-0.6000	0.1000	0.4000	1.7292	0.5000
0.0033	250.		0.745880	1.1260	5.7000	4.9000	2.2000	7.8000	0.4000	-2.0000	0.5000	0.3000	0.0000	-0.7000	0.6000	0.2000	1.7292	0.5000
0.0039	300.		0.757355	1.0680	6.1000	4.9000	1.6000	8.0000	-0.4000	-1.3000	0.4000	0.3000	0.0000	-0.7000	0.2000	0.2000	1.7292	0.5000
0.0053	400.		0.743066	1.1010	6.4000	5.1000	1.7000	8.4000	-0.6000	-1.4000	0.3000	0.3000	0.0000	-0.6000	0.7000	0.3000	1.7292	0.5000
0.0066	500.		0.745880	1.0990	6.9000	5.2000	1.1000	8.7000	-0.3000	-0.8000	0.5000	0.4000	0.0000	-0.2000	0.2000	0.3000	1.7292	0.5000
0.0085	650.		0.752900	1.0560	8.2000	5.6000	0.7000	10.0000	-0.4000	-0.2000	-0.2000	0.2000	0.0000	-0.4000	1.0000	0.0000	1.7292	0.5000
0.0105	800.		0.750143	0.9380	9.2000	5.9000	1.1000	11.0000	-0.1000	-1.1000	0.3000	0.0000	0.0000	-0.1000	0.4000	0.3000	1.7292	0.5000
