   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   79.1771       6.08715       8.59409       6.07404       8.58965      0.131104E-01  0.444042E-02   14.6637       3.31187       3.31092       3.01400       2.76217       2.26474       0.00000    
  0.109648E-03   76.3100       5.90319       8.32681       5.88926       8.32206      0.139282E-01  0.474441E-02   14.2113       3.21624       3.21522       2.92190       2.67302       2.18495       0.00000    
  0.120226E-03   73.5723       5.72615       8.06981       5.71132       8.06473      0.148276E-01  0.508251E-02   13.7760       3.12407       3.12297       2.83321       2.58725       2.10855       0.00000    
  0.131825E-03   70.8864       5.55191       7.81697       5.53614       7.81154      0.157641E-01  0.543632E-02   13.3477       3.03330       3.03212       2.74589       2.50285       2.03352       0.00000    
  0.144543E-03   68.2748       5.38169       7.57009       5.36493       7.56427      0.167537E-01  0.581265E-02   12.9292       2.94454       2.94328       2.66055       2.42040       1.96044       0.00000    
  0.158489E-03   65.7624       5.21689       7.33121       5.19907       7.32499      0.178238E-01  0.622357E-02   12.5241       2.85848       2.85714       2.57787       2.34059       1.88998       0.00000    
  0.173779E-03   63.2981       5.05475       7.09625       5.03581       7.08960      0.189358E-01  0.665264E-02   12.1254       2.77375       2.77231       2.49649       2.26206       1.82080       0.00000    
  0.190545E-03   60.9259       4.89770       6.86879       4.87756       6.86167      0.201325E-01  0.711867E-02   11.7392       2.69155       2.69001       2.41760       2.18601       1.75406       0.00000    
  0.208928E-03   58.6240       4.74458       6.64710       4.72318       6.63948      0.214027E-01  0.761725E-02   11.3627       2.61131       2.60966       2.34064       2.11187       1.68919       0.00000    
  0.229085E-03   56.3677       4.59402       6.42916       4.57130       6.42103      0.227210E-01  0.813711E-02   10.9923       2.53234       2.53058       2.26492       2.03896       1.62553       0.00000    
  0.251186E-03   54.2182       4.44950       6.22006       4.42534       6.21135      0.241658E-01  0.871386E-02   10.6367       2.45636       2.45448       2.19214       1.96897       1.56473       0.00000    
  0.275420E-03   52.1136       4.30756       6.01471       4.28189       6.00539      0.256711E-01  0.931820E-02   10.2873       2.38166       2.37965       2.12062       1.90023       1.50513       0.00000    
  0.301992E-03   50.0693       4.16907       5.81440       4.14181       5.80444      0.272577E-01  0.995961E-02   9.94625       2.30866       2.30651       2.05078       1.83315       1.44715       0.00000    
  0.331127E-03   48.1092       4.03546       5.62116       4.00649       5.61049      0.289726E-01  0.106606E-01   9.61698       2.23807       2.23577       1.98329       1.76842       1.39143       0.00000    
  0.363073E-03   46.1890       3.90418       5.43129       3.87342       5.41990      0.307533E-01  0.113923E-01   9.29332       2.16862       2.16616       1.91694       1.70480       1.33680       0.00000    
  0.398101E-03   44.3436       3.77728       5.24777       3.74462       5.23558      0.326635E-01  0.121851E-01   8.98020       2.10132       2.09870       1.85270       1.64329       1.28418       0.00000    
  0.436509E-03   42.5579       3.65392       5.06933       3.61923       5.05630      0.346909E-01  0.130339E-01   8.67553       2.03576       2.03296       1.79016       1.58347       1.23318       0.00000    
  0.478622E-03   40.8098       3.53280       4.89412       3.49600       4.88020      0.367931E-01  0.139187E-01   8.37621       1.97128       1.96830       1.72870       1.52472       1.18320       0.00000    
  0.524798E-03   39.1483       3.41688       4.72636       3.37779       4.71146      0.390882E-01  0.148975E-01   8.08925       1.90934       1.90615       1.66973       1.46845       1.13558       0.00000    
  0.575429E-03   37.5250       3.30328       4.56192       3.26180       4.54599      0.414797E-01  0.159240E-01   7.80780       1.84852       1.84512       1.61186       1.41328       1.08901       0.00000    
