   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   82.5967       6.29770       8.88231       6.28480       8.87539      0.128984E-01  0.691821E-02   15.1602       3.38251       3.38208       3.12371       2.90228       2.36959       0.00000    
  0.109648E-03   79.6066       6.10574       8.60374       6.09204       8.59639      0.137071E-01  0.735671E-02   14.6884       3.28322       3.28276       3.02761       2.80881       2.28602       0.00000    
  0.120226E-03   76.7472       5.92059       8.33543       5.90600       8.32759      0.145970E-01  0.783976E-02   14.2336       3.18734       3.18684       2.93485       2.71866       2.20590       0.00000    
  0.131825E-03   73.9406       5.73826       8.07133       5.72274       8.06299      0.155239E-01  0.834310E-02   13.7857       3.09286       3.09232       2.84347       2.62988       2.12720       0.00000    
  0.144543E-03   71.2098       5.55997       7.81328       5.54346       7.80440      0.165037E-01  0.887551E-02   13.3479       3.00039       2.99981       2.75407       2.54308       2.05051       0.00000    
  0.158489E-03   68.5809       5.38722       7.56347       5.36965       7.55402      0.175637E-01  0.945203E-02   12.9237       2.91068       2.91007       2.66740       2.45897       1.97655       0.00000    
  0.173779E-03   66.0018       5.21719       7.31771       5.19853       7.30766      0.186654E-01  0.100516E-01   12.5062       2.82234       2.82168       2.58206       2.37619       1.90392       0.00000    
  0.190545E-03   63.5180       5.05245       7.07976       5.03259       7.06907      0.198517E-01  0.106976E-01   12.1017       2.73662       2.73591       2.49931       2.29598       1.83385       0.00000    
  0.208928E-03   61.1076       4.89182       6.84789       4.87071       6.83650      0.211114E-01  0.113841E-01   11.7072       2.65295       2.65218       2.41858       2.21776       1.76574       0.00000    
  0.229085E-03   58.7447       4.73387       6.61995       4.71145       6.60786      0.224191E-01  0.120971E-01   11.3193       2.57060       2.56979       2.33915       2.14085       1.69892       0.00000    
  0.251186E-03   56.4935       4.58230       6.40137       4.55845       6.38849      0.238532E-01  0.128799E-01   10.9469       2.49142       2.49055       2.26284       2.06703       1.63511       0.00000    
  0.275420E-03   54.2895       4.43347       6.18678       4.40812       6.17308      0.253478E-01  0.136961E-01   10.5812       2.41359       2.41265       2.18786       1.99453       1.57257       0.00000    
  0.301992E-03   52.1489       4.28831       5.97755       4.26138       5.96299      0.269237E-01  0.145571E-01   10.2244       2.33758       2.33657       2.11467       1.92380       1.51175       0.00000    
  0.331127E-03   50.0969       4.14835       5.77588       4.11972       5.76039      0.286281E-01  0.154893E-01   9.88011       2.26413       2.26305       2.04401       1.85559       1.45333       0.00000    
  0.363073E-03   48.0871       4.01088       5.57782       3.98048       5.56137      0.303983E-01  0.164579E-01   9.54184       2.19191       2.19075       1.97456       1.78857       1.39606       0.00000    
  0.398101E-03   46.1563       3.87810       5.38656       3.84581       5.36906      0.322984E-01  0.174983E-01   9.21487       2.12199       2.12075       1.90738       1.72381       1.34093       0.00000    
  0.436509E-03   44.2885       3.74912       5.20077       3.71481       5.18216      0.343159E-01  0.186039E-01   8.89697       2.05394       2.05261       1.84204       1.66087       1.28752       0.00000    
