   4.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   2.84049      0.772900       1.26189      0.768167       1.26074      0.473293E-02  0.114342E-02   2.02891      0.715658      0.715396      0.545416      0.525099E-01   0.00000       0.00000    
  0.109648E-03   2.98584      0.764664       1.24600      0.759602       1.24477      0.506266E-02  0.122828E-02   2.00438      0.706688      0.706405      0.538441      0.529134E-01   0.00000       0.00000    
  0.120226E-03   3.11678      0.756422       1.23015      0.750992       1.22883      0.543063E-02  0.132442E-02   1.97982      0.697750      0.697442      0.531459      0.532419E-01   0.00000       0.00000    
  0.131825E-03   3.24211      0.748187       1.21433      0.742371       1.21290      0.581633E-02  0.142591E-02   1.95527      0.688828      0.688495      0.524479      0.535428E-01   0.00000       0.00000    
  0.144543E-03   3.35938      0.739962       1.19853      0.733734       1.19700      0.622741E-02  0.153505E-02   1.93073      0.679930      0.679569      0.517501      0.538039E-01   0.00000       0.00000    
  0.158489E-03   3.46617      0.731767       1.18280      0.725090       1.18114      0.667772E-02  0.165631E-02   1.90623      0.671073      0.670682      0.510535      0.540163E-01   0.00000       0.00000    
  0.173779E-03   3.56795      0.723593       1.16710      0.716444       1.16531      0.714868E-02  0.178402E-02   1.88176      0.662238      0.661814      0.503576      0.542059E-01   0.00000       0.00000    
  0.190545E-03   3.66025      0.715464       1.15147      0.707802       1.14954      0.766180E-02  0.192505E-02   1.85734      0.653448      0.652988      0.496634      0.543539E-01   0.00000       0.00000    
  0.208928E-03   3.74549      0.707383       1.13591      0.699171       1.13383      0.821227E-02  0.207817E-02   1.83300      0.644698      0.644199      0.489710      0.544728E-01   0.00000       0.00000    
  0.229085E-03   3.82616      0.699334       1.12039      0.690547       1.11815      0.878718E-02  0.223921E-02   1.80870      0.635974      0.635435      0.482799      0.545728E-01   0.00000       0.00000    
  0.251186E-03   3.89640      0.691380       1.10500      0.681952       1.10258      0.942779E-02  0.242206E-02   1.78453      0.627320      0.626735      0.475923      0.546322E-01   0.00000       0.00000    
  0.275420E-03   3.96235      0.683475       1.08967      0.673375       1.08705      0.101005E-01  0.261582E-02   1.76042      0.618699      0.618065      0.469066      0.546761E-01   0.00000       0.00000    
  0.301992E-03   4.02254      0.675636       1.07441      0.664820       1.07159      0.108163E-01  0.282425E-02   1.73641      0.610121      0.609436      0.462233      0.546988E-01   0.00000       0.00000    
  0.331127E-03   4.07492      0.667908       1.05928      0.656306       1.05623      0.116018E-01  0.305701E-02   1.71253      0.601611      0.600868      0.455439      0.546947E-01   0.00000       0.00000    
  0.363073E-03   4.12363      0.660237       1.04422      0.647814       1.04092      0.124235E-01  0.330261E-02   1.68873      0.593135      0.592331      0.448666      0.546785E-01   0.00000       0.00000    
  0.398101E-03   4.16557      0.652682       1.02928      0.639365       1.02571      0.133173E-01  0.357401E-02   1.66507      0.584725      0.583854      0.441933      0.546402E-01   0.00000       0.00000    
  0.436509E-03   4.20224      0.645234       1.01445      0.630957       1.01058      0.142777E-01  0.386995E-02   1.64154      0.576371      0.575428      0.435235      0.545858E-01   0.00000       0.00000    
  0.478622E-03   4.23560      0.637855      0.999696      0.622574      0.995514      0.152809E-01  0.418166E-02   1.61809      0.568053      0.567034      0.428560      0.545211E-01   0.00000       0.00000    
  0.524798E-03   4.26150      0.630653      0.985117      0.614257      0.980581      0.163967E-01  0.453592E-02   1.59484      0.559822      0.558718      0.421942      0.544345E-01   0.00000       0.00000    
  0.575429E-03   4.28420      0.623542      0.970624      0.605972      0.965711      0.175703E-01  0.491263E-02   1.57168      0.551633      0.550439      0.415350      0.543387E-01   0.00000       0.00000    
  0.630945E-03   4.30284      0.616544      0.956239      0.597727      0.950922      0.188169E-01  0.531768E-02   1.54865      0.543496      0.542205      0.408793      0.542314E-01   0.00000       0.00000    
  0.691816E-03   4.31576      0.609733      0.942026      0.589546      0.936254      0.201869E-01  0.577198E-02   1.52580      0.535438      0.534041      0.402288      0.541078E-01   0.00000       0.00000    
  0.758561E-03   4.32605      0.603016      0.927897      0.581396      0.921645      0.216199E-01  0.625190E-02   1.50304      0.527419      0.525909      0.395809      0.539768E-01   0.00000       0.00000    
  0.831745E-03   4.33158      0.596479      0.913926      0.573303      0.907144      0.231754E-01  0.678209E-02   1.48045      0.519471      0.517838      0.389377      0.538322E-01   0.00000       0.00000    
  0.911989E-03   4.33326      0.590110      0.900098      0.565261      0.892736      0.248491E-01  0.736223E-02   1.45800      0.511584      0.509818      0.382986      0.536762E-01   0.00000       0.00000    
  0.999975E-03   4.33258      0.583846      0.886358      0.557249      0.878384      0.265972E-01  0.797390E-02   1.43563      0.503736      0.501830      0.376620      0.535132E-01   0.00000       0.00000    
  0.109645E-02   4.32668      0.577846      0.872833      0.549310      0.864164      0.285368E-01  0.866876E-02   1.41347      0.495976      0.493914      0.370313      0.533338E-01   0.00000       0.00000    
  0.120223E-02   4.31843      0.571983      0.859414      0.541404      0.850004      0.305795E-01  0.940976E-02   1.39141      0.488257      0.486030      0.364034      0.531464E-01   0.00000       0.00000    
