   3.00000000             101          15   9.99999997E-07  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-05   5.28488      0.215174       6.99808      0.214710       6.99554      0.464355E-03  0.253894E-02   7.21025      0.214710      0.656406       6.33912       0.00000       0.00000       0.00000       6.33913    
  0.114815E-05   5.21036      0.243882       6.67534      0.243376       6.67266      0.506148E-03  0.267250E-02   6.91604      0.243376      0.645277       6.02738       0.00000       0.00000       0.00000       6.02739    
  0.131825E-05   5.13564      0.271295       6.36756      0.270743       6.36475      0.551602E-03  0.281292E-02   6.63549      0.270743      0.634370       5.73037       0.00000       0.00000       0.00000       5.73038    
  0.151356E-05   5.06094      0.297423       6.07408      0.296822       6.07112      0.601026E-03  0.296052E-02   6.36794      0.296822      0.623681       5.44743       0.00000       0.00000       0.00000       5.44744    
  0.173779E-05   4.98652      0.322095       5.79616      0.321440       5.79304      0.655472E-03  0.311687E-02   6.11448      0.321440      0.613235       5.17979       0.00000       0.00000       0.00000       5.17981    
  0.199525E-05   4.91258      0.345471       5.53150      0.344756       5.52822      0.714919E-03  0.328159E-02   5.87297      0.344756      0.603004       4.92520       0.00000       0.00000       0.00000       4.92521    
  0.229085E-05   4.83927      0.367610       5.27906      0.366830       5.27561      0.779633E-03  0.345481E-02   5.64244      0.366830      0.592975       4.68262       0.00000       0.00000       0.00000       4.68264    
  0.263025E-05   4.76677      0.388526       5.03831      0.387676       5.03467      0.850065E-03  0.363697E-02   5.42235      0.387676      0.583143       4.45151       0.00000       0.00000       0.00000       4.45153    
  0.301993E-05   4.69522      0.408237       4.80871      0.407311       4.80489      0.926702E-03  0.382850E-02   5.21220      0.407311      0.573505       4.23137       0.00000       0.00000       0.00000       4.23138    
  0.346734E-05   4.62476      0.426759       4.58978      0.425749       4.58575      0.101007E-02  0.402989E-02   5.01150      0.425749      0.564056       4.02168       0.00000       0.00000       0.00000       4.02170    
  0.398103E-05   4.55552      0.444109       4.38104      0.443008       4.37680      0.110075E-02  0.424161E-02   4.81981      0.443008      0.554792       3.82199       0.00000       0.00000       0.00000       3.82201    
  0.457083E-05   4.48773      0.460230       4.18264      0.459030       4.17817      0.119993E-02  0.446495E-02   4.63720      0.459030      0.545720       3.63243       0.00000       0.00000       0.00000       3.63245    
  0.524801E-05   4.42163      0.475090       3.99448      0.473782       3.98978      0.130896E-02  0.470121E-02   4.46356      0.473782      0.536845       3.45291       0.00000       0.00000       0.00000       3.45293    
  0.602552E-05   4.35714      0.488845       3.81502      0.487418       3.81007      0.142768E-02  0.494971E-02   4.29749      0.487418      0.528140       3.28191       0.00000       0.00000       0.00000       3.28193    
  0.691821E-05   4.29438      0.501515       3.64388      0.499959       3.63867      0.155692E-02  0.521106E-02   4.13863      0.499959      0.519603       3.11905       0.00000       0.00000       0.00000       3.11907    
  0.794316E-05   4.23344      0.513123       3.48069      0.511425       3.47521      0.169759E-02  0.548590E-02   3.98663      0.511425      0.511230       2.96396       0.00000       0.00000       0.00000       2.96398    
  0.911996E-05   4.17440      0.523690       3.32510      0.521839       3.31932      0.185065E-02  0.577493E-02   3.84116      0.521839      0.503017       2.81628       0.00000       0.00000       0.00000       2.81631    
  0.104711E-04   4.11735      0.533239       3.17676      0.531222       3.17068      0.201717E-02  0.607884E-02   3.70190      0.531222      0.494960       2.67569       0.00000       0.00000       0.00000       2.67572    
  0.120224E-04   4.06236      0.541795       3.03534      0.539597       3.02895      0.219828E-02  0.639839E-02   3.56854      0.539597      0.487056       2.54186       0.00000       0.00000       0.00000       2.54189    
  0.138036E-04   4.00986      0.549225       2.90159      0.546827       2.89486      0.239821E-02  0.673731E-02   3.44168      0.546827      0.479327       2.41550       0.00000       0.00000       0.00000       2.41553    
  0.158486E-04   3.95962      0.555708       2.77414      0.553092       2.76704      0.261623E-02  0.709413E-02   3.32014      0.553092      0.471745       2.29527       0.00000       0.00000       0.00000       2.29530    
  0.181966E-04   3.91164      0.561286       2.65261      0.558432       2.64514      0.285364E-02  0.746948E-02   3.20357      0.558432      0.464305       2.18080       0.00000       0.00000       0.00000       2.18083    
  0.208925E-04   3.86599      0.565984       2.53673      0.562872       2.52887      0.311210E-02  0.786431E-02   3.09174      0.562872      0.457004       2.07183       0.00000       0.00000       0.00000       2.07186    
  0.239878E-04   3.82270      0.569832       2.42627      0.566439       2.41799      0.339342E-02  0.827961E-02   2.98442      0.566439      0.449840       1.96812       0.00000       0.00000       0.00000       1.96815    
  0.275416E-04   3.78181      0.572856       2.32096      0.569157       2.31225      0.369955E-02  0.871641E-02   2.88141      0.569157      0.442809       1.86941       0.00000       0.00000       0.00000       1.86944    
  0.316220E-04   3.74336      0.575086       2.22060      0.571054       2.21142      0.403261E-02  0.917581E-02   2.78248      0.571054      0.435910       1.77548       0.00000       0.00000       0.00000       1.77551    
  0.363069E-04   3.70759      0.576488       2.12533      0.572091       2.11567      0.439769E-02  0.966114E-02   2.68776      0.572091      0.429150       1.68648       0.00000       0.00000       0.00000       1.68652    
  0.416858E-04   3.67456      0.577094       2.03493      0.572296       2.02476      0.479855E-02  0.101743E-01   2.59705      0.572296      0.422528       1.60219       0.00000       0.00000       0.00000       1.60223    
  0.478617E-04   3.64403      0.577009       1.94875      0.571774       1.93804      0.523517E-02  0.107144E-01   2.50981      0.571774      0.416029       1.52197       0.00000       0.00000       0.00000       1.52201    
  0.549525E-04   3.61603      0.576264       1.86661      0.570553       1.85533      0.571066E-02  0.112826E-01   2.42588      0.570553      0.409651       1.44564       0.00000       0.00000       0.00000       1.44568    
  0.630938E-04   3.59054      0.574889       1.78832      0.568661       1.77644      0.622835E-02  0.118806E-01   2.34510      0.568661      0.403393       1.37301       0.00000       0.00000       0.00000       1.37305    
  0.724413E-04   3.56758      0.572919       1.71372      0.566127       1.70121      0.679189E-02  0.125098E-01   2.26734      0.566127      0.397253       1.30391       0.00000       0.00000       0.00000       1.30396    
