   9.00000000             101          15   9.99999997E-07  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-05   20.7915       2.38936       7.84387       2.38848       7.84039      0.882929E-03  0.348225E-02   10.2289       1.27520       1.56232       6.27807       1.11327       0.00000       0.00000       6.27807    
  0.114815E-05   20.4032       2.35527       7.52465       2.35431       7.52100      0.955522E-03  0.365106E-02   9.87531       1.27323       1.52595       5.99504       1.08108      -.277556E-15   0.00000       5.99504    
  0.131825E-05   20.0221       2.32121       7.21890       2.32017       7.21507      0.103409E-02  0.382808E-02   9.53525       1.27059       1.49042       5.72466       1.04958      0.111022E-15   0.00000       5.72466    
  0.151356E-05   19.6485       2.28722       6.92662       2.28610       6.92260      0.111909E-02  0.401359E-02   9.20870       1.26728       1.45574       5.46686       1.01882      -.555112E-16   0.00000       5.46686    
  0.173779E-05   19.2820       2.25325       6.64675       2.25204       6.64254      0.121108E-02  0.420810E-02   8.89458       1.26330       1.42187       5.22068      0.988741      -.122125E-14   0.00000       5.22068    
  0.199525E-05   18.9223       2.21930       6.37874       2.21799       6.37433      0.131063E-02  0.441205E-02   8.59232       1.25866       1.38877       4.98556      0.959336      -.166533E-15   0.00000       4.98556    
  0.229085E-05   18.5693       2.18537       6.12205       2.18395       6.11742      0.141837E-02  0.462590E-02   8.30137       1.25336       1.35643       4.76099      0.930594      -.111022E-15   0.00000       4.76099    
  0.263025E-05   18.2229       2.15145       5.87616       2.14992       5.87131      0.153496E-02  0.485014E-02   8.02123       1.24742       1.32483       4.54648      0.902501      0.166533E-15   0.00000       4.54648    
  0.301993E-05   17.8827       2.11754       5.64059       2.11588       5.63551      0.166115E-02  0.508528E-02   7.75139       1.24083       1.29396       4.34156      0.875049      -.166533E-15   0.00000       4.34155    
  0.346734E-05   17.5489       2.08363       5.41489       2.08184       5.40956      0.179772E-02  0.533188E-02   7.49139       1.23361       1.26378       4.14578      0.848226      -.832667E-16   0.00000       4.14578    
  0.398103E-05   17.2215       2.04978       5.19904       2.04784       5.19345      0.194548E-02  0.559031E-02   7.24128       1.22577       1.23433       3.95911      0.822067      -.555112E-16   0.00000       3.95911    
  0.457083E-05   16.9003       2.01595       4.99228       2.01385       4.98642      0.210538E-02  0.586129E-02   7.00026       1.21732       1.20557       3.78085      0.796530      -.166533E-15   0.00000       3.78085    
  0.524801E-05   16.5850       1.98215       4.79420       1.97987       4.78805      0.227842E-02  0.614542E-02   6.76792       1.20826       1.17746       3.61059      0.771605      -.138778E-15   0.00000       3.61059    
  0.602552E-05   16.2754       1.94837       4.60441       1.94591       4.59797      0.246569E-02  0.644336E-02   6.54388       1.19862       1.15000       3.44797      0.747284      -.249800E-15   0.00000       3.44796    
  0.691821E-05   15.9714       1.91464       4.42255       1.91197       4.41579      0.266836E-02  0.675580E-02   6.32776       1.18841       1.12317       3.29262      0.723556      -.166533E-15   0.00000       3.29262    
  0.794316E-05   15.6730       1.88095       4.24824       1.87806       4.24116      0.288769E-02  0.708345E-02   6.11922       1.17764       1.09695       3.14421      0.700414      -.111022E-15   0.00000       3.14421    
  0.911996E-05   15.3798       1.84730       4.08117       1.84418       4.07374      0.312508E-02  0.742708E-02   5.91792       1.16633       1.07133       3.00242      0.677849       0.00000       0.00000       3.00242    
  0.104711E-04   15.0924       1.81377       3.92133       1.81039       3.91354      0.338191E-02  0.778723E-02   5.72393       1.15450       1.04632       2.86722      0.655891      -.832667E-16   0.00000       2.86722    
  0.120224E-04   14.8101       1.78032       3.76816       1.77666       3.75999      0.365985E-02  0.816490E-02   5.53665       1.14215       1.02190       2.73810      0.634503      -.471845E-15   0.00000       2.73810    
  0.138036E-04   14.5329       1.74696       3.62136       1.74300       3.61280      0.396063E-02  0.856094E-02   5.35580       1.12932      0.998031       2.61477      0.613678      -.388578E-15   0.00000       2.61477    
  0.158486E-04   14.2607       1.71371       3.48065       1.70943       3.47168      0.428614E-02  0.897628E-02   5.18111       1.11602      0.974714       2.49697      0.593407      -.555112E-16   0.00000       2.49696    
  0.181966E-04   13.9933       1.68059       3.34577       1.67595       3.33635      0.463841E-02  0.941189E-02   5.01230       1.10226      0.951930       2.38443      0.573684      -.166533E-15   0.00000       2.38442    
  0.208925E-04   13.7305       1.64759       3.21644       1.64257       3.20657      0.501967E-02  0.986877E-02   4.84914       1.08807      0.929666       2.27691      0.554500      -.305311E-15   0.00000       2.27690    
  0.239878E-04   13.4723       1.61475       3.09243       1.60932       3.08208      0.543230E-02  0.103480E-01   4.69140       1.07347      0.907909       2.17417      0.535847      -.111022E-15   0.00000       2.17417    
  0.275416E-04   13.2190       1.58211       2.97374       1.57623       2.96289      0.587873E-02  0.108504E-01   4.53912       1.05849      0.886682       2.07621      0.517749      -.111022E-15   0.00000       2.07621    
  0.316220E-04   12.9701       1.54967       2.85996       1.54331       2.84859      0.636186E-02  0.113773E-01   4.39189       1.04313      0.865946       1.98264      0.500176      -.832667E-16   0.00000       1.98264    
  0.363069E-04   12.7254       1.51743       2.75088       1.51055       2.73895      0.688470E-02  0.119300E-01   4.24950       1.02743      0.845688       1.89327      0.483120      -.222045E-15   0.00000       1.89327    
  0.416858E-04   12.4850       1.48542       2.64629       1.47797       2.63378      0.745054E-02  0.125099E-01   4.11175       1.01140      0.825897       1.80789      0.466571      -.333067E-15   0.00000       1.80788    
  0.478617E-04   12.2486       1.45366       2.54599       1.44559       2.53287      0.806292E-02  0.131181E-01   3.97847      0.995068      0.806561       1.72632      0.450524      -.111022E-15   0.00000       1.72631    
  0.549525E-04   12.0161       1.42215       2.44980       1.41342       2.43604      0.872570E-02  0.137564E-01   3.84946      0.978453      0.787669       1.64837      0.434968      -.249800E-15   0.00000       1.64837    
  0.630938E-04   11.7875       1.39091       2.35753       1.38147       2.34310      0.944304E-02  0.144261E-01   3.72457      0.961575      0.769210       1.57390      0.419896      -.693889E-16   0.00000       1.57389    
  0.724413E-04   11.5629       1.36002       2.26919       1.34980       2.25406      0.102192E-01  0.151285E-01   3.60387      0.944475      0.751203       1.50287      0.405326      -.971445E-16   0.00000       1.50286    
  0.831737E-04   11.3420       1.32945       2.18449       1.31839       2.16863      0.110591E-01  0.158656E-01   3.48702      0.927163      0.733616       1.43501      0.391230      -.971445E-16   0.00000       1.43501    
  0.954961E-04   11.1247       1.29923       2.10327       1.28726       2.08663      0.119682E-01  0.166393E-01   3.37389      0.909661      0.716440       1.37019      0.377597      -.416334E-16   0.00000       1.37019    
  0.109644E-03   10.9108       1.26936       2.02537       1.25641       2.00792      0.129520E-01  0.174513E-01   3.26433      0.891991      0.699663       1.30826      0.364420      -.971445E-16   0.00000       1.30826    
  0.125888E-03   10.7002       1.23988       1.95065       1.22586       1.93235      0.140168E-01  0.183039E-01   3.15821      0.874176      0.683276       1.24908      0.351687      0.693889E-16   0.00000       1.24907    
  0.144539E-03   10.4929       1.21079       1.87899       1.19562       1.85979      0.151693E-01  0.191992E-01   3.05541      0.856235      0.667270       1.19252      0.339388      -.111022E-15   0.00000       1.19252    
  0.165953E-03   10.2885       1.18212       1.81024       1.16570       1.79010      0.164167E-01  0.201396E-01   2.95580      0.838190      0.651637       1.13847      0.327514      0.277556E-16   0.00000       1.13846    
  0.190539E-03   10.0875       1.15392       1.74442       1.13616       1.72329      0.177665E-01  0.211269E-01   2.85945      0.820084      0.636393       1.08690      0.316075      -.693889E-16   0.00000       1.08690    
  0.218768E-03   9.88933       1.12619       1.68130       1.10696       1.65914      0.192273E-01  0.221642E-01   2.76610      0.801922      0.621510       1.03763      0.305043      -.693889E-16   0.00000       1.03763    
  0.251179E-03   9.69394       1.09894       1.62078       1.07813       1.59753      0.208084E-01  0.232543E-01   2.67566      0.783726      0.606981      0.990551      0.294406      -.693889E-16   0.00000      0.990547    
  0.288391E-03   9.50119       1.07219       1.56275       1.04967       1.53835      0.225198E-01  0.244002E-01   2.58801      0.765514      0.592797      0.945553      0.284152      -.416334E-16   0.00000      0.945548    
  0.331117E-03   9.31094       1.04595       1.50709       1.02158       1.48149      0.243721E-01  0.256052E-01   2.50306      0.747307      0.578951      0.902540      0.274268      -.693889E-16   0.00000      0.902535    
  0.380173E-03   9.12305       1.02024       1.45372      0.993863       1.42685      0.263771E-01  0.268730E-01   2.42071      0.729123      0.565434      0.861417      0.264740      -.416334E-16   0.00000      0.861412    
