   1.89999998             101          15   9.99999997E-07  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-05   1.94553      -.128393       5.87368      -.128983       5.87063      0.589741E-03  0.304810E-02   5.74165      -.249604E-01  0.341930       5.52868      -.104022      -.555112E-16   0.00000       5.52870    
  0.114815E-05   1.91337      -.911466E-01   5.59884      -.917861E-01   5.59565      0.639462E-03  0.319481E-02   5.50386      0.108383E-01  0.339560       5.25607      -.102624      -.305311E-15   0.00000       5.25609    
  0.131825E-05   1.87898      -.555555E-01   5.33698      -.562489E-01   5.33363      0.693387E-03  0.334861E-02   5.27738      0.450841E-01  0.337202       4.99641      -.101333       0.00000       0.00000       4.99643    
  0.151356E-05   1.84268      -.216607E-01   5.08801      -.224125E-01   5.08450      0.751852E-03  0.350973E-02   5.06209      0.777314E-01  0.334859       4.74962      -.100144      -.305311E-15   0.00000       4.74964    
  0.173779E-05   1.80480      0.106210E-01   4.85091      0.980575E-02   4.84724      0.815258E-03  0.367861E-02   4.85704      0.108853      0.332527       4.51469      -.990469E-01  -.555112E-16   0.00000       4.51471    
  0.199525E-05   1.76562      0.413204E-01   4.62512      0.404364E-01   4.62126      0.884025E-03  0.385564E-02   4.66170      0.138471      0.330206       4.29103      -.980348E-01   0.00000       0.00000       4.29106    
  0.229085E-05   1.72543      0.704690E-01   4.41008      0.695104E-01   4.40604      0.958608E-03  0.404120E-02   4.47555      0.166611      0.327895       4.07812      -.971003E-01  -.499600E-15   0.00000       4.07814    
  0.263025E-05   1.68448      0.980986E-01   4.20527      0.970591E-01   4.20104      0.103951E-02  0.423573E-02   4.29809      0.193295      0.325593       3.87542      -.962363E-01  -.249800E-15   0.00000       3.87544    
  0.301993E-05   1.64303      0.124242       4.01021      0.123114       4.00577      0.112726E-02  0.443966E-02   4.12888      0.218550      0.323301       3.68244      -.954359E-01  -.249800E-15   0.00000       3.68247    
  0.346734E-05   1.60132      0.148930       3.82442      0.147708       3.81977      0.122244E-02  0.465346E-02   3.96748      0.242400      0.321017       3.49872      -.946922E-01  -.222045E-15   0.00000       3.49875    
  0.398103E-05   1.55963      0.172145       3.64784      0.170819       3.64296      0.132567E-02  0.487747E-02   3.81378      0.264819      0.318743       3.32419      -.940002E-01  -.333067E-15   0.00000       3.32422    
  0.457083E-05   1.51816      0.193961       3.47974      0.192523       3.47463      0.143765E-02  0.511228E-02   3.66716      0.285875      0.316476       3.15813      -.933514E-01  -.693889E-16   0.00000       3.15816    
  0.524801E-05   1.47712      0.214413       3.31972      0.212854       3.31436      0.155912E-02  0.535844E-02   3.52721      0.305593      0.314217       3.00011      -.927392E-01  -.971445E-16   0.00000       3.00014    
  0.602552E-05   1.43671      0.233538       3.16737      0.231847       3.16175      0.169090E-02  0.561650E-02   3.39360      0.324004      0.311964       2.84975      -.921569E-01  -.249800E-15   0.00000       2.84979    
  0.691821E-05   1.39714      0.251372       3.02232      0.249538       3.01643      0.183387E-02  0.588706E-02   3.26597      0.341136      0.309716       2.70668      -.915980E-01  0.416334E-16   0.00000       2.70672    
  0.794316E-05   1.35858      0.267951       2.88422      0.265962       2.87805      0.198899E-02  0.617073E-02   3.14402      0.357018      0.307473       2.57054      -.910560E-01  -.832667E-16   0.00000       2.57058    
  0.911996E-05   1.32121      0.283312       2.75274      0.281155       2.74628      0.215730E-02  0.646816E-02   3.02743      0.371680      0.305235       2.44100      -.905245E-01  -.971445E-16   0.00000       2.44104    
  0.104711E-04   1.28527      0.297456       2.62783      0.295116       2.62105      0.233987E-02  0.677985E-02   2.91617      0.385114      0.303003       2.31800      -.899982E-01  -.277556E-15   0.00000       2.31805    
  0.120224E-04   1.25089      0.310450       2.50896      0.307912       2.50185      0.253798E-02  0.710662E-02   2.80976      0.397382      0.300775       2.20103      -.894702E-01  -.832667E-16   0.00000       2.20108    
  0.138036E-04   1.21821      0.322334       2.39584      0.319581       2.38839      0.275294E-02  0.744924E-02   2.70797      0.408515      0.298551       2.08979      -.889342E-01  -.832667E-16   0.00000       2.08984    
  0.158486E-04   1.18740      0.333147       2.28819      0.330161       2.28038      0.298620E-02  0.780849E-02   2.61054      0.418545      0.296331       1.98400      -.883845E-01  -.152656E-15   0.00000       1.98405    
  0.181966E-04   1.15859      0.342930       2.18574      0.339691       2.17756      0.323935E-02  0.818520E-02   2.51725      0.427506      0.294114       1.88339      -.878151E-01  -.693889E-16   0.00000       1.88344    
  0.208925E-04   1.13192      0.351722       2.08825      0.348208       2.07967      0.351410E-02  0.858027E-02   2.42788      0.435429      0.291900       1.78771      -.872204E-01  -.832667E-16   0.00000       1.78777    
  0.239878E-04   1.10752      0.359565       1.99546      0.355753       1.98647      0.381231E-02  0.899460E-02   2.34222      0.442347      0.289688       1.69672      -.865949E-01  -.138778E-16   0.00000       1.69678    
  0.275416E-04   1.08558      0.366473       1.90735      0.362337       1.89792      0.413589E-02  0.942889E-02   2.26026      0.448271      0.287483       1.61038      -.859337E-01  -.693889E-16   0.00000       1.61044    
  0.316220E-04   1.06618      0.372509       1.82354      0.368022       1.81366      0.448709E-02  0.988434E-02   2.18168      0.453254      0.285281       1.52832      -.852313E-01  -.693889E-16   0.00000       1.52838    
  0.363069E-04   1.04941      0.377715       1.74383      0.372847       1.73347      0.486832E-02  0.103620E-01   2.10631      0.457329      0.283084       1.45032      -.844827E-01  -.111022E-15   0.00000       1.45038    
  0.416858E-04   1.03540      0.382132       1.66801      0.376850       1.65715      0.528215E-02  0.108630E-01   2.03400      0.460533      0.280891       1.37619      -.836831E-01  -.111022E-15   0.00000       1.37626    
  0.478617E-04   1.02423      0.385802       1.59590      0.380071       1.58451      0.573141E-02  0.113886E-01   1.96458      0.462899      0.278704       1.30574      -.828281E-01  -.832667E-16   0.00000       1.30581    
  0.549525E-04   1.01600      0.388767       1.52731      0.382548       1.51537      0.621917E-02  0.119400E-01   1.89792      0.464462      0.276522       1.23878      -.819134E-01  -.555112E-16   0.00000       1.23885    
  0.630938E-04   1.01079      0.391070       1.46208      0.384321       1.44956      0.674877E-02  0.125185E-01   1.83388      0.465256      0.274347       1.17514      -.809351E-01  -.346945E-16   0.00000       1.17522    
  0.724413E-04   1.00873      0.392737       1.40018      0.385414       1.38706      0.732365E-02  0.131252E-01   1.77247      0.465303      0.272182       1.11480      -.798898E-01   0.00000       0.00000       1.11487    
  0.831737E-04   1.00985      0.393824       1.34135      0.385877       1.32759      0.794786E-02  0.137618E-01   1.71347      0.464650      0.270027       1.05749      -.787739E-01  -.624500E-16   0.00000       1.05756    
  0.954961E-04   1.01422      0.394373       1.28544      0.385748       1.27101      0.862569E-02  0.144298E-01   1.65676      0.463332      0.267883       1.00305      -.775844E-01  -.416334E-16   0.00000       1.00313    
  0.109644E-03   1.02188      0.394426       1.23232      0.385065       1.21719      0.936181E-02  0.151310E-01   1.60225      0.461383      0.265751      0.951356      -.763187E-01  -.624500E-16   0.00000      0.951437    
