   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   80.6751       6.36543       9.46195       6.34618       9.44083      0.192494E-01  0.211202E-01   15.7870       3.41487       3.25039       3.82420       2.93131       2.36631       0.00000       3.82413    
  0.109648E-03   77.7860       6.16677       9.14954       6.14648       9.12768      0.202966E-01  0.218579E-01   15.2742       3.31341       3.14954       3.69525       2.83306       2.28296       0.00000       3.69518    
  0.120226E-03   74.9906       5.97389       8.84694       5.95251       8.82432      0.213864E-01  0.226173E-01   14.7768       3.21469       3.05168       3.57045       2.73782       2.20226       0.00000       3.57038    
  0.131825E-03   72.2828       5.78645       8.55351       5.76392       8.53010      0.225280E-01  0.234014E-01   14.2940       3.11853       2.95662       3.44951       2.64539       2.12404       0.00000       3.44944    
  0.144543E-03   69.6566       5.60411       8.26861       5.58037       8.24440      0.237306E-01  0.242132E-01   13.8248       3.02478       2.86418       3.33216       2.55559       2.04813       0.00000       3.33208    
  0.158489E-03   67.1060       5.42652       7.99161       5.40152       7.96656      0.250034E-01  0.250556E-01   13.3681       2.93328       2.77417       3.21810       2.46823       1.97436       0.00000       3.21803    
  0.173779E-03   64.6249       5.25336       7.72188       5.22700       7.69594      0.263554E-01  0.259318E-01   12.9229       2.84388       2.68641       3.10705       2.38312       1.90255       0.00000       3.10698    
  0.190545E-03   62.2139       5.08465       7.45946       5.05687       7.43262      0.277835E-01  0.268407E-01   12.4895       2.75658       2.60092       2.99904       2.30029       1.83273       0.00000       2.99897    
  0.208928E-03   59.8838       4.92100       7.20550       4.89173       7.17773      0.292685E-01  0.277760E-01   12.0695       2.67166       2.51802       2.89457       2.22007       1.76520       0.00000       2.89450    
  0.229085E-03   57.6300       4.76216       6.95952       4.73133       6.93078      0.308212E-01  0.287413E-01   11.6621       2.58902       2.43758       2.79344       2.14231       1.69983       0.00000       2.79337    
  0.251186E-03   55.4472       4.60782       6.72096       4.57536       6.69122      0.324535E-01  0.297404E-01   11.2666       2.50851       2.35943       2.69538       2.06685       1.63647       0.00000       2.69532    
  0.275420E-03   53.3300       4.45769       6.48926       4.42351       6.45848      0.341777E-01  0.307770E-01   10.8820       2.42999       2.28341       2.60017       1.99352       1.57497       0.00000       2.60011    
  0.301992E-03   51.2733       4.31148       6.26388       4.27547       6.23202      0.360059E-01  0.318550E-01   10.5075       2.35332       2.20935       2.50756       1.92215       1.51517       0.00000       2.50749    
  0.331127E-03   49.2742       4.16903       6.04452       4.13109       6.01155      0.379429E-01  0.329761E-01   10.1426       2.27843       2.13718       2.41742       1.85265       1.45701       0.00000       2.41735    
  0.363073E-03   47.3434       4.03093       5.83229       3.99097       5.79816      0.399593E-01  0.341308E-01   9.78914       2.20560       2.06722       2.33023       1.78537       1.40078       0.00000       2.33017    
  0.398101E-03   45.4787       3.89707       5.62698       3.85501       5.59166      0.420634E-01  0.353218E-01   9.44667       2.13477       1.99940       2.24590       1.72024       1.34642       0.00000       2.24584    
  0.436509E-03   43.6756       3.76720       5.42810       3.72292       5.39155      0.442709E-01  0.365540E-01   9.11448       2.06582       1.93358       2.16422       1.65710       1.29380       0.00000       2.16417    
  0.478622E-03   41.9294       3.64104       5.23519       3.59445       5.19735      0.465977E-01  0.378325E-01   8.79180       1.99863       1.86962       2.08499       1.59581       1.24279       0.00000       2.08494    
  0.524798E-03   40.2355       3.51836       5.04774       3.46931       5.00858      0.490595E-01  0.391621E-01   8.47789       1.93308       1.80738       2.00799       1.53622       1.19327       0.00000       2.00794    
  0.575429E-03   38.5899       3.39893       4.86536       3.34726       4.82481      0.516698E-01  0.405472E-01   8.17207       1.86906       1.74672       1.93304       1.47820       1.14510       0.00000       1.93299    
  0.630945E-03   37.0005       3.28318       4.68886       3.22879       4.64688      0.543946E-01  0.419768E-01   7.87566       1.80678       1.68790       1.86050       1.42200       1.09853       0.00000       1.86045    
  0.691816E-03   35.4683       3.17117       4.51833       3.11394       4.47488      0.572325E-01  0.434506E-01   7.58882       1.74627       1.63095       1.79041       1.36767       1.05357       0.00000       1.79037    
  0.758561E-03   33.9893       3.06268       4.35338       3.00247       4.30841      0.602035E-01  0.449750E-01   7.31088       1.68742       1.57574       1.72259       1.31506       1.01012       0.00000       1.72255    
  0.831745E-03   32.5595       2.95748       4.19358       2.89416       4.14703      0.633276E-01  0.465565E-01   7.04118       1.63012       1.52214       1.65687       1.26404      0.968052       0.00000       1.65683    
  0.911989E-03   31.1747       2.85537       4.03853       2.78874       3.99032      0.666246E-01  0.482015E-01   6.77907       1.57426       1.47003       1.59306       1.21449      0.927264       0.00000       1.59303    
  0.999975E-03   29.8310       2.75611       3.88779       2.68600       3.83788      0.701146E-01  0.499165E-01   6.52387       1.51974       1.41928       1.53098       1.16626      0.887637       0.00000       1.53096    
  0.109645E-02   28.5323       2.65992       3.74179       2.58615       3.69010      0.737724E-01  0.516929E-01   6.27624       1.46666       1.37002       1.47081       1.11949      0.849281       0.00000       1.47079    
  0.120223E-02   27.2828       2.56703       3.60094       2.48945       3.54742      0.775755E-01  0.535233E-01   6.03687       1.41513       1.32238       1.41274       1.07432      0.812317       0.00000       1.41272    
  0.131822E-02   26.0791       2.47725       3.46490       2.39570       3.40949      0.815479E-01  0.554159E-01   5.80519       1.36507       1.27625       1.35661       1.03063      0.776646       0.00000       1.35659    
  0.144540E-02   24.9175       2.39039       3.33331       2.30468       3.27593      0.857137E-01  0.573792E-01   5.58061       1.31637       1.23151       1.30226      0.988305      0.742170       0.00000       1.30225    
  0.158485E-02   23.7947       2.30627       3.20581       2.21618       3.14639      0.900970E-01  0.594216E-01   5.36256       1.26895       1.18805       1.24955      0.947231      0.708790       0.00000       1.24955    
