   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   79.4734       6.31415       8.96841       6.28347       8.94651      0.306879E-01  0.219009E-01   15.2300       3.32817       3.30797       3.25472       2.95530       2.38253       0.00000       3.25600    
  0.109648E-03   76.5648       6.11240       8.67617       6.08049       8.65355      0.319069E-01  0.226224E-01   14.7340       3.22402       3.20470       3.15053       2.85647       2.29701       0.00000       3.15184    
  0.120226E-03   73.7520       5.91670       8.39275       5.88353       8.36939      0.331712E-01  0.233664E-01   14.2529       3.12290       3.10445       3.04939       2.76063       2.21420       0.00000       3.05073    
  0.131825E-03   71.0281       5.72662       8.11754       5.69213       8.09341      0.344870E-01  0.241344E-01   13.7855       3.02458       3.00703       2.95108       2.66755       2.13391       0.00000       2.95246    
  0.144543E-03   68.3857       5.54169       7.84986       5.50583       7.82494      0.358614E-01  0.249274E-01   13.3308       2.92883       2.91220       2.85537       2.57701       2.05595       0.00000       2.85678    
  0.158489E-03   65.8218       5.36173       7.58945       5.32443       7.56371      0.372960E-01  0.257458E-01   12.8881       2.83553       2.81985       2.76218       2.48890       1.98024       0.00000       2.76362    
  0.173779E-03   63.3430       5.18712       7.33688       5.14834       7.31029      0.387841E-01  0.265882E-01   12.4586       2.74491       2.73019       2.67168       2.40343       1.90694       0.00000       2.67316    
  0.190545E-03   60.9437       5.01756       7.09168       4.97723       7.06423      0.403334E-01  0.274564E-01   12.0415       2.65678       2.64306       2.58374       2.32044       1.83592       0.00000       2.58524    
  0.208928E-03   58.6175       4.85268       6.85334       4.81073       6.82498      0.419528E-01  0.283524E-01   11.6357       2.57098       2.55829       2.49816       2.23975       1.76700       0.00000       2.49970    
  0.229085E-03   56.3616       4.69233       6.62162       4.64868       6.59235      0.436463E-01  0.292765E-01   11.2410       2.48740       2.47579       2.41489       2.16127       1.70010       0.00000       2.41646    
  0.251186E-03   54.1816       4.53681       6.39703       4.49140       6.36681      0.454062E-01  0.302262E-01   10.8582       2.40622       2.39573       2.33409       2.08519       1.63539       0.00000       2.33569    
  0.275420E-03   52.0731       4.38589       6.17914       4.33865       6.14793      0.472383E-01  0.312049E-01   10.4866       2.32731       2.31797       2.25560       2.01134       1.57273       0.00000       2.25724    
  0.301992E-03   50.0304       4.23927       5.96743       4.19012       5.93521      0.491493E-01  0.322161E-01   10.1253       2.25053       2.24235       2.17924       1.93958       1.51196       0.00000       2.18090    
  0.331127E-03   48.0509       4.09680       5.76166       4.04566       5.72840      0.511419E-01  0.332614E-01   9.77406       2.17583       2.16879       2.10490       1.86983       1.45301       0.00000       2.10660    
  0.363073E-03   46.1397       3.95878       5.56232       3.90557       5.52798      0.532082E-01  0.343370E-01   9.43355       2.10333       2.09745       2.03278       1.80224       1.39603       0.00000       2.03450    
  0.398101E-03   44.2929       3.82497       5.36902       3.76961       5.33357      0.553564E-01  0.354464E-01   9.10318       2.03293       2.02820       1.96272       1.73668       1.34090       0.00000       1.96447    
  0.436509E-03   42.5051       3.69510       5.18128       3.63750       5.14469      0.575959E-01  0.365941E-01   8.78219       1.96450       1.96088       1.89454       1.67301       1.28748       0.00000       1.89633    
  0.478622E-03   40.7736       3.56903       4.99883       3.50910       4.96105      0.599307E-01  0.377829E-01   8.47015       1.89797       1.89542       1.82814       1.61113       1.23568       0.00000       1.82995    
  0.524798E-03   39.1033       3.44704       4.82212       3.38469       4.78311      0.623489E-01  0.390096E-01   8.16780       1.83349       1.83196       1.76367       1.55120       1.18564       0.00000       1.76551    
  0.575429E-03   37.4906       3.32890       4.65084       3.26404       4.61057      0.648627E-01  0.402753E-01   7.87461       1.77093       1.77039       1.70103       1.49312       1.13728       0.00000       1.70291    
