   6464.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   76.8749       6.11282       8.66502       6.08241       8.64327      0.304097E-01  0.217507E-01   14.7257       3.22804       3.20770       3.15458       2.85437       2.27971       0.00000       3.15586    
  0.109648E-03   74.0931       5.91959       8.38561       5.88798       8.36315      0.316177E-01  0.224673E-01   14.2511       3.12816       3.10869       3.05466       2.75982       2.19849       0.00000       3.05597    
  0.120226E-03   71.4017       5.73210       8.11454       5.69923       8.09134      0.328705E-01  0.232066E-01   13.7906       3.03115       3.01255       2.95762       2.66809       2.11983       0.00000       2.95896    
  0.131825E-03   68.7944       5.54994       7.85124       5.51576       7.82727      0.341745E-01  0.239695E-01   13.3430       2.93679       2.91909       2.86327       2.57897       2.04354       0.00000       2.86464    
  0.144543E-03   66.2640       5.37265       7.59505       5.33711       7.57030      0.355366E-01  0.247574E-01   12.9074       2.84486       2.82807       2.77138       2.49225       1.96944       0.00000       2.77279    
  0.158489E-03   63.8079       5.20006       7.34575       5.16310       7.32018      0.369583E-01  0.255705E-01   12.4833       2.75526       2.73941       2.68187       2.40785       1.89745       0.00000       2.68331    
  0.173779E-03   61.4323       5.03255       7.10385       4.99412       7.07744      0.384329E-01  0.264075E-01   12.0716       2.66818       2.65330       2.59493       2.32594       1.82774       0.00000       2.59640    
  0.190545E-03   59.1318       4.86982       6.86893       4.82985       6.84166      0.399684E-01  0.272700E-01   11.6715       2.58348       2.56959       2.51040       2.24637       1.76017       0.00000       2.51190    
  0.208928E-03   56.9004       4.71153       6.64051       4.66995       6.61235      0.415735E-01  0.281602E-01   11.2823       2.50097       2.48811       2.42812       2.16898       1.69458       0.00000       2.42965    
  0.229085E-03   54.7355       4.55753       6.41837       4.51428       6.38929      0.432522E-01  0.290782E-01   10.9036       2.42058       2.40879       2.34803       2.09370       1.63090       0.00000       2.34960    
  0.251186E-03   52.6425       4.40811       6.20298       4.36312       6.17295      0.449970E-01  0.300217E-01   10.5361       2.34245       2.33179       2.27029       2.02067       1.56928       0.00000       2.27189    
  0.275420E-03   50.6171       4.26306       5.99393       4.21625       5.96293      0.468134E-01  0.309939E-01   10.1792       2.26647       2.25697       2.19475       1.94977       1.50959       0.00000       2.19637    
  0.301992E-03   48.6541       4.12209       5.79075       4.07339       5.75875      0.487082E-01  0.319984E-01   9.83214       2.19253       2.18418       2.12122       1.88086       1.45169       0.00000       2.12288    
  0.331127E-03   46.7511       3.98508       5.59321       3.93440       5.56017      0.506840E-01  0.330368E-01   9.49457       2.12056       2.11335       2.04962       1.81384       1.39551       0.00000       2.05131    
  0.363073E-03   44.9128       3.85228       5.40176       3.79955       5.36766      0.527330E-01  0.341051E-01   9.16721       2.05067       2.04463       1.98012       1.74888       1.34119       0.00000       1.98184    
  0.398101E-03   43.1355       3.72350       5.21605       3.66863       5.18084      0.548633E-01  0.352070E-01   8.84947       1.98279       1.97790       1.91259       1.68585       1.28861       0.00000       1.91434    
  0.436509E-03   41.4143       3.59846       5.03562       3.54138       4.99927      0.570842E-01  0.363470E-01   8.54065       1.91677       1.91301       1.84684       1.62461       1.23764       0.00000       1.84862    
  0.478622E-03   39.7466       3.47705       4.86021       3.41765       4.82268      0.593997E-01  0.375280E-01   8.24034       1.85258       1.84988       1.78278       1.56507       1.18821       0.00000       1.78459    
  0.524798E-03   38.1370       3.35952       4.69024       3.29773       4.65150      0.617980E-01  0.387466E-01   7.94923       1.79033       1.78866       1.72055       1.50739       1.14045       0.00000       1.72239    
  0.575429E-03   36.5821       3.24567       4.52544       3.18138       4.48544      0.642911E-01  0.400041E-01   7.66682       1.72992       1.72924       1.66007       1.45146       1.09426       0.00000       1.66194    
  0.630945E-03   35.0777       3.13523       4.36542       3.06834       4.32412      0.668944E-01  0.413022E-01   7.39246       1.67120       1.67149       1.60121       1.39714       1.04952       0.00000       1.60311    
