   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   74.4113       5.90592       8.61211       5.88707       8.60241      0.188521E-01  0.969879E-02   14.4895       3.25314       3.25394       3.13728       2.63392       2.21138       0.00000       3.13709    
  0.109648E-03   72.4444       5.79222       8.42860       5.77234       8.41837      0.198842E-01  0.102376E-01   14.1907       3.18876       3.18989       3.07598       2.58358       2.15269       0.00000       3.07579    
  0.120226E-03   70.4369       5.66997       8.23610       5.64896       8.22527      0.210063E-01  0.108246E-01   13.8742       3.12046       3.12192       3.01067       2.52850       2.09288       0.00000       3.01048    
  0.131825E-03   68.4222       5.54519       8.04113       5.52302       8.02970      0.221689E-01  0.114335E-01   13.5527       3.05104       3.05282       2.94420       2.47198       2.03288       0.00000       2.94400    
  0.144543E-03   66.3972       5.41681       7.84265       5.39342       7.83057      0.233895E-01  0.120735E-01   13.2240       2.98000       2.98209       2.87605       2.41342       1.97262       0.00000       2.87586    
  0.158489E-03   64.3738       5.28517       7.64140       5.26047       7.62864      0.246971E-01  0.127603E-01   12.8891       2.90756       2.90996       2.80642       2.35291       1.91245       0.00000       2.80623    
  0.173779E-03   62.3545       5.15228       7.43925       5.12623       7.42578      0.260496E-01  0.134714E-01   12.5520       2.83460       2.83731       2.73624       2.29163       1.85242       0.00000       2.73605    
  0.190545E-03   60.3492       5.01764       7.23613       4.99015       7.22190      0.274927E-01  0.142315E-01   12.2120       2.76095       2.76395       2.66530       2.22920       1.79283       0.00000       2.66511    
  0.208928E-03   58.3631       4.88252       7.03335       4.85351       7.01831      0.290135E-01  0.150337E-01   11.8718       2.68718       2.69048       2.59418       2.16632       1.73384       0.00000       2.59400    
  0.229085E-03   56.3896       4.74711       6.83082       4.71653       6.81495      0.305850E-01  0.158634E-01   11.5315       2.61335       2.61695       2.52296       2.10317       1.67522       0.00000       2.52278    
  0.251186E-03   54.4564       4.61213       6.63024       4.57984       6.61348      0.322888E-01  0.167651E-01   11.1933       2.53990       2.54379       2.45204       2.03994       1.61783       0.00000       2.45186    
  0.275420E-03   52.5444       4.47777       6.43102       4.44372       6.41332      0.340552E-01  0.177009E-01   10.8570       2.46683       2.47100       2.38144       1.97689       1.56106       0.00000       2.38127    
