   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  -1.70913      0.524129      0.868173      0.520811      0.867618      0.331835E-02  0.555336E-03   1.38843      0.520811      0.520571      0.347047       0.00000       0.00000       0.00000      0.347047    
  0.109648E-03  -1.52798      0.518210      0.857913      0.514643      0.857306      0.356667E-02  0.607378E-03   1.37195      0.514643      0.514384      0.342922       0.00000       0.00000       0.00000      0.342922    
  0.120226E-03  -1.35770      0.512433      0.847843      0.508587      0.847175      0.384573E-02  0.667583E-03   1.35576      0.508587      0.508305      0.338870       0.00000       0.00000       0.00000      0.338870    
  0.131825E-03  -1.19167      0.506715      0.837849      0.502576      0.837117      0.413913E-02  0.731708E-03   1.33969      0.502576      0.502270      0.334847       0.00000       0.00000       0.00000      0.334847    
  0.144543E-03  -1.03174      0.501082      0.827965      0.496629      0.827164      0.445304E-02  0.801444E-03   1.32379      0.496629      0.496298      0.330866       0.00000       0.00000       0.00000      0.330866    
  0.158489E-03  -.879761      0.495568      0.818231      0.490769      0.817351      0.479887E-02  0.880169E-03   1.30812      0.490769      0.490411      0.326940       0.00000       0.00000       0.00000      0.326940    
  0.173779E-03  -.731598      0.490114      0.808571      0.484952      0.807607      0.516156E-02  0.963722E-03   1.29256      0.484952      0.484564      0.323043       0.00000       0.00000       0.00000      0.323043    
  0.190545E-03  -.590646      0.484776      0.799051      0.479217      0.797994      0.555875E-02  0.105728E-02   1.27721      0.479217      0.478796      0.319198       0.00000       0.00000       0.00000      0.319198    
  0.208928E-03  -.455087      0.479532      0.789642      0.473545      0.788482      0.598667E-02  0.116002E-02   1.26203      0.473545      0.473089      0.315393       0.00000       0.00000       0.00000      0.315393    
  0.229085E-03  -.323021      0.474349      0.780304      0.467914      0.779035      0.643472E-02  0.126878E-02   1.24695      0.467914      0.467421      0.311614       0.00000       0.00000       0.00000      0.311614    
  0.251186E-03  -.198963      0.469317      0.771136      0.462380      0.769741      0.693718E-02  0.139428E-02   1.23212      0.462380      0.461845      0.307897       0.00000       0.00000       0.00000      0.307897    
  0.275420E-03  -.782047E-01  0.464353      0.762041      0.456887      0.760512      0.746635E-02  0.152823E-02   1.21740      0.456887      0.456307      0.304205       0.00000       0.00000       0.00000      0.304205    
  0.301992E-03  0.381181E-01  0.459481      0.753044      0.451449      0.751370      0.803143E-02  0.167357E-02   1.20282      0.451449      0.450822      0.300548       0.00000       0.00000       0.00000      0.300548    
  0.331127E-03  0.148388      0.454745      0.744187      0.446090      0.742349      0.865492E-02  0.183796E-02   1.18844      0.446090      0.445409      0.296939       0.00000       0.00000       0.00000      0.296939    
  0.363073E-03  0.255813      0.450076      0.735397      0.440767      0.733384      0.930881E-02  0.201245E-02   1.17415      0.440767      0.440031      0.293354       0.00000       0.00000       0.00000      0.293354    
  0.398101E-03  0.357960      0.445538      0.726734      0.435514      0.724527      0.100234E-01  0.220734E-02   1.16004      0.435514      0.434716      0.289811       0.00000       0.00000       0.00000      0.289811    
  0.436509E-03  0.455980      0.441112      0.718176      0.430317      0.715754      0.107945E-01  0.242179E-02   1.14607      0.430317      0.429452      0.286301       0.00000       0.00000       0.00000      0.286301    
  0.478622E-03  0.551399      0.436758      0.709683      0.425156      0.707034      0.116019E-01  0.264883E-02   1.13219      0.425156      0.424220      0.282814       0.00000       0.00000       0.00000      0.282814    
  0.524798E-03  0.640937      0.432581      0.701345      0.420076      0.698435      0.125052E-01  0.291009E-02   1.11851      0.420076      0.419061      0.279374       0.00000       0.00000       0.00000      0.279374    
  0.575429E-03  0.727923      0.428490      0.693078      0.415032      0.689888      0.134581E-01  0.318955E-02   1.10492      0.415032      0.413933      0.275955       0.00000       0.00000       0.00000      0.275955    
  0.630945E-03  0.811689      0.424508      0.684900      0.410034      0.681408      0.144735E-01  0.349199E-02   1.09144      0.410034      0.408845      0.272563       0.00000       0.00000       0.00000      0.272563    
  0.691816E-03  0.890855      0.420698      0.676855      0.405103      0.673021      0.155954E-01  0.383469E-02   1.07812      0.405103      0.403812      0.269208       0.00000       0.00000       0.00000      0.269208    
  0.758561E-03  0.967902      0.416973      0.668874      0.400202      0.664676      0.167718E-01  0.419844E-02   1.06488      0.400202      0.398805      0.265870       0.00000       0.00000       0.00000      0.265870    
  0.831745E-03   1.04109      0.413411      0.661011      0.395357      0.656408      0.180545E-01  0.460361E-02   1.05176      0.395357      0.393845      0.262563       0.00000       0.00000       0.00000      0.262563    
  0.911989E-03   1.11112      0.409999      0.653250      0.390559      0.648200      0.194404E-01  0.505025E-02   1.03876      0.390559      0.388920      0.259280       0.00000       0.00000       0.00000      0.259280    
  0.999975E-03   1.17921      0.406680      0.645552      0.385789      0.640029      0.208912E-01  0.552310E-02   1.02582      0.385789      0.384017      0.256011       0.00000       0.00000       0.00000      0.256011    
