   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   11.4108       1.42834       1.69437       1.42198       1.69303      0.636403E-02  0.133495E-02   3.11501       1.05460      0.914932      0.778219      0.367381       0.00000       0.00000      0.778100    
  0.109648E-03   11.2679       1.40310       1.66509       1.39635       1.66367      0.675181E-02  0.142413E-02   3.06002       1.03741      0.899531      0.764256      0.358936       0.00000       0.00000      0.764135    
  0.120226E-03   11.1253       1.37851       1.63645       1.37133       1.63493      0.717900E-02  0.152425E-02   3.00626       1.02056      0.884454      0.750597      0.350768       0.00000       0.00000      0.750474    
  0.131825E-03   10.9829       1.35419       1.60807       1.34656       1.60644      0.762427E-02  0.162953E-02   2.95301       1.00385      0.869508      0.737062      0.342714       0.00000       0.00000      0.736936    
  0.144543E-03   10.8407       1.33025       1.58007       1.32215       1.57833      0.809541E-02  0.174220E-02   2.90048      0.987329      0.854751      0.723703      0.334822       0.00000       0.00000      0.723575    
  0.158489E-03   10.6989       1.30683       1.55257       1.29822       1.55070      0.860614E-02  0.186652E-02   2.84893      0.971070      0.840250      0.710585      0.327150       0.00000       0.00000      0.710455    
  0.173779E-03   10.5573       1.28366       1.52532       1.27453       1.52333      0.913758E-02  0.199705E-02   2.79785      0.954940      0.825874      0.697583      0.319586       0.00000       0.00000      0.697452    
  0.190545E-03   10.4161       1.26100       1.49855       1.25128       1.49641      0.971112E-02  0.214036E-02   2.74770      0.939056      0.811738      0.684808      0.312229       0.00000       0.00000      0.684675    
  0.208928E-03   10.2753       1.23872       1.47216       1.22839       1.46986      0.103216E-01  0.229524E-02   2.69826      0.923362      0.797789      0.672208      0.305031       0.00000       0.00000      0.672073    
  0.229085E-03   10.1347       1.21669       1.44600       1.20573       1.44355      0.109562E-01  0.245772E-02   2.64927      0.907791      0.783961      0.659721      0.297938       0.00000       0.00000      0.659585    
  0.251186E-03   9.99477       1.19526       1.42043       1.18360       1.41779      0.116553E-01  0.264104E-02   2.60139      0.892511      0.770418      0.647504      0.291090       0.00000       0.00000      0.647367    
  0.275420E-03   9.85514       1.17408       1.39510       1.16170       1.39226      0.123855E-01  0.283478E-02   2.55396      0.877354      0.756998      0.635401      0.284345       0.00000       0.00000      0.635264    
  0.301992E-03   9.71591       1.15326       1.37010       1.14010       1.36706      0.131576E-01  0.304255E-02   2.50716      0.862363      0.743741      0.623452      0.277741       0.00000       0.00000      0.623315    
  0.331127E-03   9.57732       1.13293       1.34557       1.11893       1.34230      0.139970E-01  0.327356E-02   2.46123      0.847603      0.730713      0.611721      0.271332       0.00000       0.00000      0.611583    
  0.363073E-03   9.43903       1.11284       1.32127       1.09797       1.31775      0.148711E-01  0.351683E-02   2.41572      0.832954      0.717796      0.600093      0.265016       0.00000       0.00000      0.599955    
  0.398101E-03   9.30135       1.09320       1.29739       1.07739       1.29361      0.158141E-01  0.378475E-02   2.37100      0.818512      0.705085      0.588660      0.258875       0.00000       0.00000      0.588523    
  0.436509E-03   9.16418       1.07393       1.27386       1.05711       1.26979      0.168204E-01  0.407614E-02   2.32689      0.804236      0.692539      0.577383      0.252873       0.00000       0.00000      0.577247    
  0.478622E-03   9.02733       1.05489       1.25055       1.03702       1.24617      0.178674E-01  0.438261E-02   2.28319      0.790063      0.680097      0.566206      0.246959       0.00000       0.00000      0.566071    
  0.524798E-03   8.89126       1.03640       1.22775       1.01738       1.22302      0.190208E-01  0.472982E-02   2.24040      0.776131      0.667896      0.555257      0.241246       0.00000       0.00000      0.555124    
  0.575429E-03   8.75555       1.01815       1.20518      0.997925       1.20008      0.202285E-01  0.509856E-02   2.19800      0.762304      0.655802      0.544410      0.235621       0.00000       0.00000      0.544278    
  0.630945E-03   8.62029       1.00022       1.18290      0.978718       1.17740      0.215047E-01  0.549450E-02   2.15612      0.748610      0.643842      0.533690      0.230107       0.00000       0.00000      0.533561    
  0.691816E-03   8.48568      0.982759       1.16105      0.959862       1.15511      0.228964E-01  0.593778E-02   2.11497      0.735109      0.632076      0.523157      0.224753       0.00000       0.00000      0.523031    
  0.758561E-03   8.35138      0.965516       1.13940      0.941170       1.13299      0.243468E-01  0.640573E-02   2.07416      0.721696      0.620402      0.512710      0.219473       0.00000       0.00000      0.512588    
  0.831745E-03   8.21762      0.948685       1.11812      0.922773       1.11120      0.259113E-01  0.692215E-02   2.03397      0.708446      0.608893      0.502423      0.214327       0.00000       0.00000      0.502304    
  0.911989E-03   8.08430      0.932205       1.09716      0.904619       1.08967      0.275857E-01  0.748686E-02   1.99429      0.695329      0.597520      0.492267      0.209290       0.00000       0.00000      0.492152    
  0.999975E-03   7.95124      0.915943       1.07640      0.886614       1.06831      0.293292E-01  0.808208E-02   1.95493      0.682294      0.586231      0.482192      0.204320       0.00000       0.00000      0.482082    
  0.109645E-02   7.81873      0.900189       1.05608      0.868939       1.04732      0.312500E-01  0.875802E-02   1.91626      0.669440      0.575130      0.472299      0.199499       0.00000       0.00000      0.472194    
  0.120223E-02   7.68643      0.884678       1.03598      0.851412       1.02650      0.332664E-01  0.947889E-02   1.87792      0.656669      0.564114      0.462490      0.194743       0.00000       0.00000      0.462391    
  0.131822E-02   7.55440      0.869458       1.01614      0.834062       1.00589      0.353960E-01  0.102531E-01   1.83995      0.643995      0.553199      0.452780      0.190067       0.00000       0.00000      0.452687    
  0.144540E-02   7.42266      0.854697      0.996693      0.816972      0.985569      0.377255E-01  0.111245E-01   1.80254      0.631466      0.542436      0.443219      0.185506       0.00000       0.00000      0.443133    
  0.158485E-02   7.29102      0.840153      0.977432      0.799998      0.965386      0.401555E-01  0.120460E-01   1.76538      0.619000      0.531739      0.433725      0.180997       0.00000       0.00000      0.433647    
  0.173775E-02   7.15954      0.826005      0.958509      0.783229      0.945445      0.427758E-01  0.130633E-01   1.72867      0.606650      0.521164      0.424352      0.176579       0.00000       0.00000      0.424282    
  0.190540E-02   7.02808      0.812219      0.939889      0.766631      0.925709      0.455880E-01  0.141803E-01   1.69234      0.594395      0.510689      0.415082      0.172237       0.00000       0.00000      0.415020    
  0.208923E-02   6.89663      0.798654      0.921454      0.750136      0.906095      0.485184E-01  0.153591E-01   1.65623      0.582196      0.500275      0.405873      0.167939       0.00000       0.00000      0.405820    
  0.229079E-02   6.76505      0.785606      0.903445      0.733859      0.886747      0.517467E-01  0.166979E-01   1.62061      0.570120      0.489991      0.396799      0.163739       0.00000       0.00000      0.396756    
  0.251180E-02   6.63333      0.772828      0.885655      0.717684      0.867525      0.551434E-01  0.181300E-01   1.58521      0.558101      0.479768      0.387790      0.159583       0.00000       0.00000      0.387757    
  0.275413E-02   6.50146      0.760351      0.868109      0.701623      0.848443      0.587280E-01  0.196662E-01   1.55007      0.546145      0.469613      0.378853      0.155478       0.00000       0.00000      0.378830    
  0.301984E-02   6.36917      0.748393      0.850978      0.685733      0.829577      0.626598E-01  0.214008E-01   1.51531      0.534284      0.459560      0.370028      0.151449       0.00000       0.00000      0.370017    
  0.331118E-02   6.23665      0.736682      0.834041      0.669918      0.810805      0.667638E-01  0.232359E-01   1.48072      0.522465      0.449552      0.361254      0.147453       0.00000       0.00000      0.361253    
  0.363064E-02   6.10369      0.725419      0.817457      0.654234      0.792199      0.711856E-01  0.252582E-01   1.44643      0.510717      0.439621      0.352566      0.143516       0.00000       0.00000      0.352578    
  0.398091E-02   5.97024      0.714603      0.801220      0.638662      0.773737      0.759415E-01  0.274831E-01   1.41240      0.499030      0.429756      0.343957      0.139632       0.00000       0.00000      0.343981    
  0.436498E-02   5.83649      0.704055      0.785190      0.623156      0.755358      0.808994E-01  0.298314E-01   1.37851      0.487379      0.419928      0.335393      0.135777       0.00000       0.00000      0.335430    
  0.478610E-02   5.70204      0.694147      0.769649      0.607791      0.737159      0.863551E-01  0.324900E-01   1.34495      0.475802      0.410180      0.326929      0.131989       0.00000       0.00000      0.326979    
  0.524785E-02   5.56722      0.684603      0.754386      0.592498      0.719048      0.921051E-01  0.353374E-01   1.31155      0.464261      0.400470      0.318516      0.128237       0.00000       0.00000      0.318579    
  0.575415E-02   5.43203      0.675443      0.739413      0.577279      0.701031      0.981640E-01  0.383828E-01   1.27831      0.452758      0.390799      0.310156      0.124521       0.00000       0.00000      0.310232    
  0.630929E-02   5.29631      0.667001      0.724982      0.562183      0.683162      0.104818      0.418198E-01   1.24535      0.441315      0.381188      0.301884      0.120869       0.00000       0.00000      0.301974    
  0.691799E-02   5.16044      0.658905      0.710808      0.547143      0.665357      0.111762      0.454512E-01   1.21250      0.429896      0.371603      0.293651      0.117246       0.00000       0.00000      0.293755    
  0.758542E-02   5.02433      0.651425      0.697095      0.532197      0.647661      0.119227      0.494340E-01   1.17986      0.418521      0.362058      0.285486      0.113676       0.00000       0.00000      0.285602    
  0.831724E-02   4.88831      0.644604      0.683871      0.517343      0.630062      0.127260      0.538089E-01   1.14741      0.407184      0.352548      0.277383      0.110160       0.00000       0.00000      0.277513    
