 First iteration    1363.3382569152443             1130   1.2064940326683578     
After minimisation    1363.33  1130     1.206

  Partial chi2s 
Dataset    1    442.60( +7.83)   377  HERA1+2 NCep 920                                
Dataset    2     66.16( -0.00)    70  HERA1+2 NCep 820                                
Dataset    3    219.21( +0.98)   254  HERA1+2 NCep 575                                
Dataset    4    217.82( -0.95)   204  HERA1+2 NCep 460                                
Dataset    5    219.27( -0.24)   159  HERA1+2 NCem                                    
Dataset    6     44.92( +0.37)    39  HERA1+2 CCep                                    
Dataset    7     56.02( -2.14)    42  HERA1+2 CCem                                    

 Correlated Chi2    91.465044685908850     
 Log penalty Chi2    5.8559845798066661     
 Systematic shifts          169
  
                                                    Name          Shift   +/-    Error          Type
    1  proc_had                                                   0.0254   +/-   0.3979        :E:M:D
    2  sysHZComb1001                                              0.3159   +/-   0.9327        :N:M:D
    3  sysHZComb1002                                             -0.5126   +/-   0.9361        :N:M:D
    4  sysHZComb1003                                              1.2777   +/-   0.5555        :N:M:D
    5  sysHZComb1004                                              0.2280   +/-   0.6163        :N:M:D
    6  sysHZComb1005                                              0.9997   +/-   0.6077        :N:M:D
    7  sysHZComb1006                                             -0.9806   +/-   0.7843        :N:M:D
    8  sysHZComb1007                                              0.1272   +/-   0.9981        :N:M:D
    9  sysHZComb1008                                              0.0633   +/-   0.9983        :N:M:D
   10  sysHZComb1009                                              0.0137   +/-   0.8995        :N:M:D
   11  sysHZComb1010                                             -0.3737   +/-   0.9935        :N:M:D
   12  sysHZComb1011                                             -0.8117   +/-   0.9628        :N:M:D
   13  sysHZComb1012                                              0.4379   +/-   0.9708        :N:M:D
   14  sysHZComb1013                                             -0.6296   +/-   0.9577        :N:M:D
   15  sysHZComb1014                                             -0.0449   +/-   0.9873        :N:M:D
   16  sysHZComb1015                                             -0.0981   +/-   0.9633        :N:M:D
   17  sysHZComb1016                                             -0.0857   +/-   0.9743        :N:M:D
   18  sysHZComb1017                                             -0.3070   +/-   0.9709        :N:M:D
   19  sysHZComb1018                                              0.2041   +/-   0.8223        :N:M:D
   20  sysHZComb1019                                             -0.3621   +/-   0.9837        :N:M:D
   21  sysHZComb1020                                             -0.3568   +/-   0.9814        :N:M:D
   22  sysHZComb1021                                             -0.0893   +/-   0.9743        :N:M:D
   23  sysHZComb1022                                              0.1696   +/-   0.9684        :N:M:D
