   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   10.1359       1.34373       1.82049       1.33741       1.81867      0.632373E-02  0.181904E-02   3.15608      0.993115      0.992792      0.825995      0.344295       0.00000       0.00000      0.825876    
  0.109648E-03   10.1376       1.32382       1.79295       1.31708       1.79101      0.674357E-02  0.194367E-02   3.10808      0.978317      0.977968      0.813160      0.338761       0.00000       0.00000      0.813038    
  0.120226E-03   10.1245       1.30396       1.76550       1.29675       1.76341      0.720969E-02  0.208352E-02   3.06016      0.963574      0.963195      0.800342      0.333174       0.00000       0.00000      0.800219    
  0.131825E-03   10.1056       1.28413       1.73810       1.27644       1.73587      0.769715E-02  0.223052E-02   3.01230      0.948862      0.948452      0.787541      0.327574       0.00000       0.00000      0.787416    
  0.144543E-03   10.0785       1.26437       1.71077       1.25615       1.70839      0.821516E-02  0.238774E-02   2.96454      0.934195      0.933750      0.774763      0.321955       0.00000       0.00000      0.774636    
  0.158489E-03   10.0410       1.24471       1.68359       1.23593       1.68103      0.878016E-02  0.256100E-02   2.91696      0.919605      0.919123      0.762034      0.316324       0.00000       0.00000      0.761905    
  0.173779E-03   9.99850       1.22512       1.65648       1.21575       1.65374      0.936980E-02  0.274277E-02   2.86948      0.905056      0.904535      0.749332      0.310690       0.00000       0.00000      0.749202    
  0.190545E-03   9.94682       1.20566       1.62953       1.19565       1.62659      0.100096E-01  0.294201E-02   2.82224      0.890596      0.890031      0.736690      0.305057       0.00000       0.00000      0.736559    
  0.208928E-03   9.88843       1.18634       1.60273       1.17565       1.59958      0.106937E-01  0.315696E-02   2.77523      0.876214      0.875602      0.724106      0.299435       0.00000       0.00000      0.723974    
  0.229085E-03   9.82571       1.16711       1.57603       1.15570       1.57265      0.114068E-01  0.338220E-02   2.72835      0.861884      0.861223      0.711560      0.293819       0.00000       0.00000      0.711427    
  0.251186E-03   9.75334       1.14812       1.54960       1.13592       1.54596      0.121972E-01  0.363551E-02   2.68188      0.847692      0.846976      0.699118      0.288231       0.00000       0.00000      0.698985    
  0.275420E-03   9.67713       1.12925       1.52329       1.11623       1.51939      0.130252E-01  0.390275E-02   2.63561      0.833566      0.832791      0.686728      0.282661       0.00000       0.00000      0.686595    
