   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  -1.45460      0.524212      0.868432      0.520990      0.867964      0.322214E-02  0.467860E-03   1.38895      0.520990      0.520778      0.347186       0.00000       0.00000       0.00000      0.347186    
  0.109648E-03  -1.29076      0.518289      0.858170      0.514823      0.857657      0.346546E-02  0.513158E-03   1.37248      0.514823      0.514594      0.343063       0.00000       0.00000       0.00000      0.343063    
  0.120226E-03  -1.13650      0.512506      0.848096      0.508767      0.847530      0.373918E-02  0.565811E-03   1.35630      0.508767      0.508518      0.339012       0.00000       0.00000       0.00000      0.339012    
  0.131825E-03  -.985982      0.506783      0.838099      0.502755      0.837477      0.402710E-02  0.622012E-03   1.34023      0.502755      0.502486      0.334991       0.00000       0.00000       0.00000      0.334991    
  0.144543E-03  -.840840      0.501144      0.828211      0.496808      0.827528      0.433533E-02  0.683293E-03   1.32434      0.496808      0.496517      0.331011       0.00000       0.00000       0.00000      0.331011    
  0.158489E-03  -.702715      0.495623      0.818472      0.490948      0.817719      0.467521E-02  0.752751E-03   1.30867      0.490948      0.490631      0.327088       0.00000       0.00000       0.00000      0.327088    
  0.173779E-03  -.567961      0.490161      0.808805      0.485129      0.807978      0.503180E-02  0.826612E-03   1.29311      0.485129      0.484787      0.323191       0.00000       0.00000       0.00000      0.323191    
  0.190545E-03  -.439578      0.484815      0.799278      0.479392      0.798369      0.542262E-02  0.909618E-03   1.27776      0.479392      0.479021      0.319347       0.00000       0.00000       0.00000      0.319347    
  0.208928E-03  -.315967      0.479562      0.789861      0.473718      0.788860      0.584399E-02  0.100106E-02   1.26258      0.473718      0.473316      0.315544       0.00000       0.00000       0.00000      0.315544    
  0.229085E-03  -.195446      0.474370      0.780514      0.468085      0.779416      0.628534E-02  0.109803E-02   1.24750      0.468085      0.467649      0.311766       0.00000       0.00000       0.00000      0.311766    
  0.251186E-03  -.820176E-01  0.469328      0.771335      0.462547      0.770125      0.678079E-02  0.121044E-02   1.23267      0.462547      0.462075      0.308050       0.00000       0.00000       0.00000      0.308050    
  0.275420E-03  0.284840E-01  0.464353      0.762229      0.457050      0.760898      0.730284E-02  0.133070E-02   1.21795      0.457050      0.456539      0.304359       0.00000       0.00000       0.00000      0.304359    
  0.301992E-03  0.135052      0.459469      0.753220      0.451609      0.751758      0.786063E-02  0.146151E-02   1.20337      0.451609      0.451055      0.300703       0.00000       0.00000       0.00000      0.300703    
  0.331127E-03  0.236244      0.454720      0.744349      0.446244      0.742739      0.847663E-02  0.161007E-02   1.18898      0.446244      0.445643      0.297095       0.00000       0.00000       0.00000      0.297095    
  0.363073E-03  0.334910      0.450039      0.735544      0.440916      0.733776      0.912294E-02  0.176807E-02   1.17469      0.440916      0.440266      0.293510       0.00000       0.00000       0.00000      0.293510    
  0.398101E-03  0.428881      0.445486      0.726865      0.435656      0.724920      0.982980E-02  0.194517E-02   1.16058      0.435656      0.434952      0.289968       0.00000       0.00000       0.00000      0.289968    
  0.436509E-03  0.519179      0.441045      0.718289      0.430452      0.716148      0.105931E-01  0.214067E-02   1.14660      0.430452      0.429689      0.286459       0.00000       0.00000       0.00000      0.286459    
  0.478622E-03  0.607161      0.436676      0.709777      0.425283      0.707429      0.113926E-01  0.234801E-02   1.13271      0.425283      0.424457      0.282972       0.00000       0.00000       0.00000      0.282972    
