   4.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   3.24535      0.735261       1.15240      0.719184       1.14037      0.160778E-01  0.120213E-01   1.85956      0.610573      0.601398      0.537784      0.108610      -.105002E-08   0.00000      0.538976    
  0.109648E-03   3.19605      0.727510       1.13702      0.710788       1.12456      0.167221E-01  0.124583E-01   1.83535      0.603599      0.594049      0.529310      0.107189      -.177801E-08   0.00000      0.530514    
  0.120226E-03   3.15380      0.719814       1.12183      0.702414       1.10891      0.174008E-01  0.129159E-01   1.81132      0.596851      0.586697      0.520997      0.105563      -.108194E-08   0.00000      0.522213    
  0.131825E-03   3.11806      0.712192       1.10683      0.694080       1.09343      0.181120E-01  0.133933E-01   1.78751      0.590260      0.579375      0.512829      0.103819      0.392514E-09   0.00000      0.514057    
  0.144543E-03   3.08717      0.704565       1.09213      0.685710       1.07824      0.188553E-01  0.138907E-01   1.76395      0.583705      0.572192      0.504807      0.102005      0.818381E-09   0.00000      0.506045    
  0.158489E-03   3.06076      0.696882       1.07780      0.677253       1.06339      0.196290E-01  0.144106E-01   1.74064      0.577168      0.565185      0.496957      0.100085      -.886333E-09   0.00000      0.498204    
  0.173779E-03   3.03926      0.689229       1.06374      0.668792       1.04879      0.204362E-01  0.149487E-01   1.71758      0.570663      0.558304      0.489232      0.981295E-01  -.300102E-08   0.00000      0.490486    
  0.190545E-03   3.02269      0.681720       1.04982      0.660438       1.03432      0.212818E-01  0.154978E-01   1.69476      0.564163      0.551507      0.481551      0.962746E-01  -.335692E-08   0.00000      0.482810    
  0.208928E-03   3.01100      0.674342       1.03603      0.652177       1.01997      0.221652E-01  0.160576E-01   1.67215      0.557659      0.544796      0.473917      0.945181E-01  -.200330E-08   0.00000      0.475179    
  0.229085E-03   3.00432      0.667064       1.02247      0.643979       1.00584      0.230855E-01  0.166347E-01   1.64982      0.551208      0.538193      0.466382      0.927707E-01  -.298358E-09   0.00000      0.467647    
  0.251186E-03   3.00278      0.659869       1.00921      0.635826      0.991979      0.240432E-01  0.172324E-01   1.62781      0.544866      0.531722      0.458988      0.909602E-01  0.100457E-08   0.00000      0.460257    
  0.275420E-03   3.00631      0.652765      0.996211      0.627727      0.978362      0.250382E-01  0.178493E-01   1.60609      0.538607      0.525372      0.451715      0.891202E-01  0.224913E-08   0.00000      0.452990    
  0.301992E-03   3.01471      0.645754      0.983390      0.619689      0.964899      0.260646E-01  0.184917E-01   1.58459      0.532364      0.519084      0.444536      0.873249E-01  0.286394E-08   0.00000      0.445814    
