After minimisation    1437.75  1208     1.190

  Partial chi2s 
Dataset    1    418.95( +3.70)   377  HERA1+2 NCep 920                                
Dataset    2     65.13( -0.63)    70  HERA1+2 NCep 820                                
Dataset    3    217.58( -2.07)   254  HERA1+2 NCep 575                                
Dataset    4    220.83( -3.75)   204  HERA1+2 NCep 460                                
Dataset    5    225.96( -1.70)   159  HERA1+2 NCem                                    
Dataset    6     53.99( +0.12)    39  HERA1+2 CCep                                    
Dataset    7     50.89( -2.81)    42  HERA1+2 CCem                                    
Dataset    8     17.31( +0.62)    27  HERA b                                          
Dataset    9     50.89( -2.02)    52  HERA c                                          

 Correlated Chi2    124.76974741720238     
 Log penalty Chi2   -8.5436891414215133     
 Systematic shifts          336
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.1008   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5121   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.2185   +/-   0.5569        :N:M:D
    4  sysHZComb1004                          0.0240   +/-   0.6190        :N:M:D
    5  sysHZComb1005                          0.4730   +/-   0.6093        :N:M:D
    6  sysHZComb1006                         -0.7470   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1540   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0898   +/-   0.9984        :N:M:D
    9  sysHZComb1009                          0.0129   +/-   0.8999        :N:M:D
   10  sysHZComb1010                         -0.1708   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.7574   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.5022   +/-   0.9722        :N:M:D
   13  sysHZComb1013                         -0.6528   +/-   0.9621        :N:M:D
   14  sysHZComb1014                         -0.0866   +/-   0.9876        :N:M:D
   15  sysHZComb1015                          0.0683   +/-   0.9635        :N:M:D
   16  sysHZComb1016                         -0.1401   +/-   0.9749        :N:M:D
   17  sysHZComb1017                         -0.4551   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.3543   +/-   0.8227        :N:M:D
   19  sysHZComb1019                         -0.4248   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.4406   +/-   0.9815        :N:M:D
   21  sysHZComb1021                          0.0876   +/-   0.9745        :N:M:D
   22  sysHZComb1022                          0.1137   +/-   0.9687        :N:M:D
   23  sysHZComb1023                          0.0093   +/-   0.9453        :N:M:D
   24  sysHZComb1024                          0.1238   +/-   0.9881        :N:M:D
   25  sysHZComb1025                          0.1051   +/-   0.9934        :N:M:D
   26  sysHZComb1026                         -0.6534   +/-   0.9207        :N:M:D
   27  sysHZComb1027                         -0.7760   +/-   0.9547        :N:M:D
   28  sysHZComb1028                          0.6354   +/-   0.9750        :N:M:D
   29  sysHZComb1029                         -0.3736   +/-   0.9186        :N:M:D
   30  sysHZComb1030                          0.0722   +/-   0.9438        :N:M:D
   31  sysHZComb1031                         -0.0183   +/-   0.8393        :N:M:D
   32  sysHZComb1032                          0.4182   +/-   0.9644        :N:M:D
   33  sysHZComb1033                          0.7205   +/-   0.9709        :N:M:D
   34  sysHZComb1034                         -0.4333   +/-   0.9841        :N:M:D
   35  sysHZComb1035                          0.1763   +/-   0.9782        :N:M:D
   36  sysHZComb1036                         -0.2168   +/-   0.9744        :N:M:D
   37  sysHZComb1037                          0.0985   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.7476   +/-   0.9127        :N:M:D
   39  sysHZComb1039                         -0.3799   +/-   0.9536        :N:M:D
   40  sysHZComb1040                         -0.2188   +/-   0.9303        :N:M:D
   41  sysHZComb1041                         -0.2402   +/-   0.8127        :N:M:D
   42  sysHZComb1042                         -0.0828   +/-   0.8747        :N:M:D
   43  sysHZComb1043                          0.1913   +/-   0.9098        :N:M:D
   44  sysHZComb1044                         -0.1818   +/-   0.9368        :N:M:D
   45  sysHZComb1045                         -0.6533   +/-   0.9312        :N:M:D
   46  sysHZComb1046                         -0.5805   +/-   0.9570        :N:M:D
   47  sysHZComb1047                          0.3382   +/-   0.9468        :N:M:D
   48  sysHZComb1048                         -0.0164   +/-   0.9610        :N:M:D
   49  sysHZComb1049                         -0.1219   +/-   0.9458        :N:M:D
   50  sysHZComb1050                          0.2003   +/-   0.9430        :N:M:D
   51  sysHZComb1051                          0.2600   +/-   0.9524        :N:M:D
   52  sysHZComb1052                          0.6387   +/-   0.9508        :N:M:D
   53  sysHZComb1053                         -2.2779   +/-   0.9194        :N:M:D
   54  sysHZComb1054                          0.0184   +/-   0.9750        :N:M:D
   55  sysHZComb1055                         -1.4737   +/-   0.9059        :N:M:D
