   1.97000003             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  -1.49539      0.551788      0.895314      0.548496      0.894785      0.329223E-02  0.529431E-03   1.44328      0.534231      0.534017      0.360776      0.142651E-01   0.00000       0.00000      0.360768    
  0.109648E-03  -1.31877      0.545567      0.884802      0.542023      0.884222      0.354440E-02  0.579581E-03   1.42625      0.527950      0.527717      0.356513      0.140733E-01   0.00000       0.00000      0.356505    
  0.120226E-03  -1.14908      0.539428      0.874399      0.535610      0.873763      0.381743E-02  0.635252E-03   1.40937      0.521733      0.521481      0.352291      0.138776E-01   0.00000       0.00000      0.352282    
  0.131825E-03  -.985934      0.533369      0.864104      0.529259      0.863408      0.411018E-02  0.695757E-03   1.39267      0.515580      0.515307      0.348109      0.136784E-01   0.00000       0.00000      0.348100    
  0.144543E-03  -.829139      0.527392      0.853916      0.522967      0.853154      0.442485E-02  0.761881E-03   1.37612      0.509491      0.509196      0.343967      0.134761E-01   0.00000       0.00000      0.343959    
  0.158489E-03  -.678518      0.521500      0.843836      0.516736      0.843001      0.476444E-02  0.834794E-03   1.35974      0.503465      0.503145      0.339865      0.132709E-01   0.00000       0.00000      0.339856    
  0.173779E-03  -.533870      0.515695      0.833862      0.510564      0.832946      0.513111E-02  0.915271E-03   1.34351      0.497501      0.497153      0.335802      0.130632E-01   0.00000       0.00000      0.335793    
  0.190545E-03  -.394901      0.509976      0.823993      0.504451      0.822990      0.552448E-02  0.100286E-02   1.32744      0.491598      0.491221      0.331778      0.128533E-01   0.00000       0.00000      0.331769    
  0.208928E-03  -.261435      0.504345      0.814229      0.498397      0.813131      0.594744E-02  0.109870E-02   1.31153      0.485756      0.485348      0.327792      0.126415E-01   0.00000       0.00000      0.327783    
  0.229085E-03  -.133337      0.498806      0.804570      0.492401      0.803365      0.640458E-02  0.120476E-02   1.29577      0.479973      0.479531      0.323843      0.124280E-01   0.00000       0.00000      0.323834    
  0.251186E-03  -.103873E-01  0.493360      0.795014      0.486463      0.793693      0.689700E-02  0.132124E-02   1.28016      0.474250      0.473771      0.319932      0.122131E-01   0.00000       0.00000      0.319922    
  0.275420E-03  0.107640      0.488008      0.785561      0.480582      0.784113      0.742553E-02  0.144820E-02   1.26469      0.468585      0.468066      0.316056      0.119971E-01   0.00000       0.00000      0.316047    
  0.301992E-03  0.220898      0.482752      0.776210      0.474758      0.774623      0.799399E-02  0.158723E-02   1.24938      0.462977      0.462415      0.312217      0.117802E-01   0.00000       0.00000      0.312208    
  0.331127E-03  0.329495      0.477598      0.766961      0.468989      0.765219      0.860907E-02  0.174154E-02   1.23421      0.457426      0.456816      0.308413      0.115626E-01   0.00000       0.00000      0.308403    
  0.363073E-03  0.433653      0.472545      0.757812      0.463275      0.755902      0.927028E-02  0.191031E-02   1.21918      0.451930      0.451269      0.304642      0.113445E-01   0.00000       0.00000      0.304633    
  0.398101E-03  0.533547      0.467596      0.748764      0.457615      0.746670      0.998029E-02  0.209448E-02   1.20428      0.446489      0.445773      0.300906      0.111262E-01   0.00000       0.00000      0.300896    
  0.436509E-03  0.629310      0.462754      0.739815      0.452010      0.737519      0.107441E-01  0.229633E-02   1.18953      0.441102      0.440327      0.297202      0.109078E-01   0.00000       0.00000      0.297192    
  0.478622E-03  0.721026      0.458027      0.730967      0.446456      0.728446      0.115711E-01  0.252082E-02   1.17490      0.435767      0.434926      0.293529      0.106894E-01   0.00000       0.00000      0.293520    
  0.524798E-03  0.808917      0.453413      0.722216      0.440954      0.719451      0.124588E-01  0.276551E-02   1.16041      0.430483      0.429573      0.289887      0.104713E-01   0.00000       0.00000      0.289878    
  0.575429E-03  0.893114      0.448916      0.713564      0.435504      0.710531      0.134122E-01  0.303282E-02   1.14603      0.425250      0.424264      0.286276      0.102537E-01   0.00000       0.00000      0.286267    
  0.630945E-03  0.973732      0.444541      0.705009      0.430103      0.701683      0.144382E-01  0.332612E-02   1.13179      0.420066      0.418999      0.282693      0.100367E-01   0.00000       0.00000      0.282684    
  0.691816E-03   1.05084      0.440299      0.696553      0.424750      0.692901      0.155491E-01  0.365243E-02   1.11765      0.414930      0.413773      0.279137      0.982031E-02   0.00000       0.00000      0.279128    
  0.758561E-03   1.12464      0.436185      0.688194      0.419445      0.684187      0.167400E-01  0.400731E-02   1.10363      0.409840      0.408587      0.275609      0.960484E-02   0.00000       0.00000      0.275600    
  0.831745E-03   1.19525      0.432206      0.679931      0.414187      0.675536      0.180195E-01  0.439534E-02   1.08972      0.404796      0.403439      0.272105      0.939036E-02   0.00000       0.00000      0.272097    
  0.911989E-03   1.26274      0.428372      0.671767      0.408973      0.666944      0.193986E-01  0.482284E-02   1.07592      0.399796      0.398326      0.268626      0.917697E-02   0.00000       0.00000      0.268617    
  0.999975E-03   1.32720      0.424689      0.663700      0.403802      0.658405      0.208872E-01  0.529541E-02   1.06221      0.394837      0.393245      0.265168      0.896471E-02   0.00000       0.00000      0.265159    
  0.109645E-02   1.38880      0.421157      0.655730      0.398674      0.649920      0.224836E-01  0.581002E-02   1.04859      0.389920      0.388196      0.261731      0.875380E-02   0.00000       0.00000      0.261723    
  0.120223E-02   1.44761      0.417785      0.647856      0.393586      0.641483      0.241990E-01  0.637310E-02   1.03507      0.385042      0.383176      0.258315      0.854431E-02   0.00000       0.00000      0.258307    
  0.131822E-02   1.50371      0.414586      0.640083      0.388537      0.633088      0.260495E-01  0.699529E-02   1.02162      0.380201      0.378181      0.254915      0.833625E-02   0.00000       0.00000      0.254907    
  0.144540E-02   1.55718      0.411566      0.632410      0.383524      0.624730      0.280418E-01  0.767936E-02   1.00825      0.375394      0.373207      0.251530      0.812972E-02   0.00000       0.00000      0.251523    
  0.158485E-02   1.60816      0.408726      0.624834      0.378547      0.616409      0.301790E-01  0.842508E-02  0.994956      0.370622      0.368255      0.248160      0.792484E-02   0.00000       0.00000      0.248154    
  0.173775E-02   1.65671      0.406079      0.617358      0.373604      0.608117      0.324752E-01  0.924143E-02  0.981721      0.365882      0.363320      0.244802      0.772166E-02   0.00000       0.00000      0.244797    
  0.190540E-02   1.70285      0.403642      0.609989      0.368689      0.599844      0.349527E-01  0.101450E-01  0.968533      0.361169      0.358397      0.241453      0.752017E-02   0.00000       0.00000      0.241447    
  0.208923E-02   1.74671      0.401418      0.602723      0.363804      0.591589      0.376143E-01  0.111341E-01  0.955393      0.356484      0.353483      0.238110      0.732047E-02   0.00000       0.00000      0.238105    
  0.229079E-02   1.78838      0.399415      0.595560      0.358946      0.583347      0.404695E-01  0.122132E-01  0.942293      0.351823      0.348578      0.234773      0.712262E-02   0.00000       0.00000      0.234769    
  0.251180E-02   1.82790      0.397648      0.588505      0.354111      0.575110      0.435361E-01  0.133947E-01  0.929222      0.347185      0.343675      0.231439      0.692665E-02   0.00000       0.00000      0.231435    
  0.275413E-02   1.86525      0.396138      0.581567      0.349295      0.566864      0.468427E-01  0.147029E-01  0.916160      0.342563      0.338766      0.228101      0.673252E-02   0.00000       0.00000      0.228098    
  0.301984E-02   1.90058      0.394887      0.574741      0.344498      0.558611      0.503889E-01  0.161301E-01  0.903108      0.337958      0.333852      0.224761      0.654033E-02   0.00000       0.00000      0.224759    
  0.331118E-02   1.93395      0.393908      0.568029      0.339716      0.550341      0.541918E-01  0.176880E-01  0.890057      0.333366      0.328928      0.221414      0.635010E-02   0.00000       0.00000      0.221413    
  0.363064E-02   1.96537      0.393219      0.561438      0.334946      0.542045      0.582733E-01  0.193934E-01  0.876991      0.328784      0.323988      0.218057      0.616183E-02   0.00000       0.00000      0.218057    
  0.398091E-02   1.99477      0.392847      0.554984      0.330180      0.533705      0.626672E-01  0.212793E-01  0.863885      0.324204      0.319021      0.214683      0.597547E-02   0.00000       0.00000      0.214684    
  0.436498E-02   2.02235      0.392793      0.548655      0.325420      0.525323      0.673730E-01  0.233320E-01  0.850743      0.319629      0.314029      0.211293      0.579110E-02   0.00000       0.00000      0.211294    
  0.478610E-02   2.04809      0.393076      0.542461      0.320660      0.516888      0.724158E-01  0.255726E-01  0.837549      0.315052      0.309005      0.207882      0.560870E-02   0.00000       0.00000      0.207884    
  0.524785E-02   2.07197      0.393719      0.536413      0.315896      0.508386      0.778232E-01  0.280271E-01  0.824281      0.310467      0.303939      0.204444      0.542826E-02   0.00000       0.00000      0.204447    
  0.575415E-02   2.09393      0.394743      0.530524      0.311119      0.499801      0.836238E-01  0.307234E-01  0.810920      0.305869      0.298824      0.200973      0.524977E-02   0.00000       0.00000      0.200977    
  0.630929E-02   2.11412      0.396162      0.524789      0.306330      0.491129      0.898320E-01  0.336607E-01  0.797459      0.301257      0.293656      0.197468      0.507320E-02   0.00000       0.00000      0.197473    
  0.691799E-02   2.13249      0.397998      0.519221      0.301522      0.482355      0.964760E-01  0.368661E-01  0.783878      0.296624      0.288427      0.193923      0.489855E-02   0.00000       0.00000      0.193929    
  0.758542E-02   2.14896      0.400273      0.513836      0.296688      0.473465      0.103585      0.403715E-01  0.770153      0.291963      0.283127      0.190332      0.472580E-02   0.00000       0.00000      0.190338    
  0.831724E-02   2.16351      0.403009      0.508644      0.291822      0.464444      0.111187      0.442008E-01  0.756266      0.287267      0.277748      0.186688      0.455493E-02   0.00000       0.00000      0.186695    
  0.911966E-02   2.17618      0.406227      0.503652      0.286920      0.455280      0.119307      0.483724E-01  0.742200      0.282534      0.272284      0.182988      0.438592E-02   0.00000       0.00000      0.182996    
  0.999950E-02   2.18688      0.409950      0.498875      0.281973      0.445957      0.127977      0.529179E-01  0.727931      0.277755      0.266724      0.179224      0.421875E-02   0.00000       0.00000      0.179234    
  0.109642E-01   2.19552      0.414198      0.494330      0.276975      0.436461      0.137223      0.578696E-01  0.713436      0.272922      0.261059      0.175392      0.405341E-02   0.00000       0.00000      0.175402    
  0.120220E-01   2.20205      0.418994      0.490031      0.271918      0.426775      0.147076      0.632566E-01  0.698693      0.268028      0.255280      0.171484      0.388988E-02   0.00000       0.00000      0.171495    
  0.131819E-01   2.20638      0.424359      0.485994      0.266795      0.416883      0.157564      0.691109E-01  0.683678      0.263066      0.249378      0.167494      0.372815E-02   0.00000       0.00000      0.167506    
  0.144536E-01   2.20842      0.430315      0.482236      0.261596      0.406770      0.168718      0.754659E-01  0.668367      0.258028      0.243342      0.163416      0.356819E-02   0.00000       0.00000      0.163428    
  0.158481E-01   2.20805      0.436877      0.478776      0.256315      0.396421      0.180563      0.823550E-01  0.652736      0.252905      0.237164      0.159243      0.341001E-02   0.00000       0.00000      0.159257    
  0.173770E-01   2.20515      0.444069      0.475632      0.250941      0.385818      0.193128      0.898145E-01  0.636758      0.247687      0.230833      0.154970      0.325360E-02   0.00000       0.00000      0.154984    
  0.190535E-01   2.19956      0.451898      0.472823      0.245465      0.374947      0.206433      0.978758E-01  0.620412      0.242366      0.224342      0.150590      0.309900E-02   0.00000       0.00000      0.150605    
  0.208917E-01   2.19114      0.460385      0.470371      0.239878      0.363793      0.220507      0.106578      0.603671      0.236932      0.217680      0.146097      0.294620E-02   0.00000       0.00000      0.146112    
  0.229073E-01   2.17970      0.469530      0.468290      0.234170      0.352344      0.235360      0.115945      0.586514      0.231375      0.210842      0.141487      0.279527E-02   0.00000       0.00000      0.141503    
  0.251174E-01   2.16506      0.479347      0.466605      0.228330      0.340586      0.251016      0.126019      0.568916      0.225684      0.203817      0.136753      0.264622E-02   0.00000       0.00000      0.136769    
  0.275406E-01   2.14702      0.489823      0.465325      0.222349      0.328513      0.267473      0.136811      0.550863      0.219850      0.196603      0.131894      0.249917E-02   0.00000       0.00000      0.131911    
  0.301976E-01   2.12538      0.500965      0.464472      0.216217      0.316114      0.284748      0.148359      0.532330      0.213862      0.189192      0.126904      0.235417E-02   0.00000       0.00000      0.126921    
  0.331110E-01   2.09991      0.512748      0.464050      0.209922      0.303389      0.302826      0.160661      0.513311      0.207711      0.181586      0.121785      0.221136E-02   0.00000       0.00000      0.121803    
  0.363055E-01   2.07039      0.525161      0.464071      0.203456      0.290333      0.321705      0.173737      0.493790      0.201385      0.173781      0.116535      0.207085E-02   0.00000       0.00000      0.116552    
  0.398081E-01   2.03661      0.538169      0.464528      0.196809      0.276957      0.341359      0.187571      0.473766      0.194876      0.165783      0.111156      0.193282E-02   0.00000       0.00000      0.111174    
  0.436487E-01   1.99836      0.551736      0.465417      0.189973      0.263267      0.361763      0.202149      0.453240      0.188176      0.157597      0.105653      0.179744E-02   0.00000       0.00000      0.105671    
  0.478598E-01   1.95543      0.565814      0.466717      0.182940      0.249282      0.382874      0.217435      0.432222      0.181275      0.149232      0.100033      0.166493E-02   0.00000       0.00000      0.100050    
  0.524772E-01   1.90766      0.580342      0.468390      0.175704      0.235027      0.404638      0.233363      0.410731      0.174168      0.140705      0.943047E-01  0.153554E-02   0.00000       0.00000      0.943216E-01
  0.575400E-01   1.85488      0.595256      0.470398      0.168260      0.220531      0.426996      0.249867      0.388791      0.166850      0.132033      0.884812E-01  0.140952E-02   0.00000       0.00000      0.884978E-01
  0.630913E-01   1.79702      0.610466      0.472651      0.160608      0.205843      0.449857      0.266808      0.366451      0.159321      0.123245      0.825817E-01  0.128718E-02   0.00000       0.00000      0.825978E-01
  0.691782E-01   1.73397      0.625891      0.475086      0.152746      0.191006      0.473145      0.284080      0.343752      0.151577      0.114367      0.766236E-01  0.116882E-02   0.00000       0.00000      0.766391E-01
  0.758523E-01   1.66583      0.641411      0.477540      0.144684      0.176094      0.496728      0.301447      0.320778      0.143629      0.105443      0.706363E-01  0.105478E-02   0.00000       0.00000      0.706512E-01
  0.831703E-01   1.59258      0.656932      0.479911      0.136422      0.161170      0.520510      0.318742      0.297591      0.135476      0.965103E-01  0.646452E-01  0.945402E-03   0.00000       0.00000      0.646593E-01
  0.911943E-01   1.51452      0.672289      0.481950      0.127984      0.146330      0.544305      0.335620      0.274314      0.127143      0.876278E-01  0.586892E-01  0.841023E-03   0.00000       0.00000      0.587024E-01
