 First iteration    6355.0230260066910             1131   5.6189416675567561     
After minimisation    6355.02  1131     5.619

  Partial chi2s 
Dataset    1   2258.74(+58.15)   377  HERA1+2 NCep 920                                
Dataset    2    127.58(+12.13)    70  HERA1+2 NCep 820                                
Dataset    3    355.30(+44.61)   254  HERA1+2 NCep 575                                
Dataset    4    483.01(+32.53)   204  HERA1+2 NCep 460                                
Dataset    5   1021.81( -1.97)   159  HERA1+2 NCem                                    
Dataset    6    102.27( -0.93)    39  HERA1+2 CCep                                    
Dataset    7    126.41( -4.26)    42  HERA1+2 CCem                                    

 Correlated Chi2    1739.6480870672342     
 Log penalty Chi2    140.26726313058404     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                         -0.1459   +/-   0.9327        :N:M:D
    2  sysHZComb1002                          0.1876   +/-   0.9360        :N:M:D
    3  sysHZComb1003                         -2.8121   +/-   0.5523        :N:M:D
    4  sysHZComb1004                         -8.7932   +/-   0.6176        :N:M:D
    5  sysHZComb1005                          7.1519   +/-   0.6086        :N:M:D
    6  sysHZComb1006                         -8.9184   +/-   0.7872        :N:M:D
    7  sysHZComb1007                          0.0653   +/-   0.9981        :N:M:D
    8  sysHZComb1008                         -0.0212   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.8148   +/-   0.8895        :N:M:D
   10  sysHZComb1010                         -1.0030   +/-   0.9930        :N:M:D
   11  sysHZComb1011                         -1.3518   +/-   0.9658        :N:M:D
   12  sysHZComb1012                         -2.1050   +/-   0.9718        :N:M:D
   13  sysHZComb1013                          1.3027   +/-   0.9611        :N:M:D
   14  sysHZComb1014                         -1.0608   +/-   0.9869        :N:M:D
   15  sysHZComb1015                         -0.0972   +/-   0.9615        :N:M:D
   16  sysHZComb1016                         -0.6646   +/-   0.9739        :N:M:D
   17  sysHZComb1017                          0.2479   +/-   0.9704        :N:M:D
   18  sysHZComb1018                         -2.3951   +/-   0.8178        :N:M:D
   19  sysHZComb1019                         -1.2802   +/-   0.9833        :N:M:D
   20  sysHZComb1020                         -0.1603   +/-   0.9808        :N:M:D
   21  sysHZComb1021                         -0.1474   +/-   0.9729        :N:M:D
   22  sysHZComb1022                         -0.5546   +/-   0.9678        :N:M:D
   23  sysHZComb1023                          3.1883   +/-   0.9432        :N:M:D
   24  sysHZComb1024                         -0.2775   +/-   0.9877        :N:M:D
   25  sysHZComb1025                         -0.3498   +/-   0.9931        :N:M:D
   26  sysHZComb1026                         -1.0359   +/-   0.9152        :N:M:D
   27  sysHZComb1027                         -3.7215   +/-   0.9518        :N:M:D
   28  sysHZComb1028                          2.6426   +/-   0.9738        :N:M:D
   29  sysHZComb1029                          1.4127   +/-   0.9152        :N:M:D
   30  sysHZComb1030                         -2.2922   +/-   0.9419        :N:M:D
   31  sysHZComb1031                         -5.3963   +/-   0.8319        :N:M:D
   32  sysHZComb1032                         -0.6759   +/-   0.9627        :N:M:D
   33  sysHZComb1033                          1.4222   +/-   0.9697        :N:M:D
   34  sysHZComb1034                         -0.9395   +/-   0.9836        :N:M:D
   35  sysHZComb1035                          2.5653   +/-   0.9779        :N:M:D
   36  sysHZComb1036                         -1.0209   +/-   0.9728        :N:M:D
   37  sysHZComb1037                         -1.3294   +/-   0.9690        :N:M:D
   38  sysHZComb1038                         -5.1490   +/-   0.9092        :N:M:D
   39  sysHZComb1039                         -3.7549   +/-   0.9511        :N:M:D
   40  sysHZComb1040                          2.4122   +/-   0.9277        :N:M:D
   41  sysHZComb1041                         -1.0062   +/-   0.8021        :N:M:D
   42  sysHZComb1042                          1.2315   +/-   0.8680        :N:M:D
   43  sysHZComb1043                          7.3533   +/-   0.9065        :N:M:D
   44  sysHZComb1044                         -1.4389   +/-   0.9350        :N:M:D
   45  sysHZComb1045                         -6.2645   +/-   0.9293        :N:M:D
   46  sysHZComb1046                         -3.9929   +/-   0.9557        :N:M:D
   47  sysHZComb1047                          1.4821   +/-   0.9460        :N:M:D
   48  sysHZComb1048                          0.6642   +/-   0.9597        :N:M:D
   49  sysHZComb1049                         -0.9522   +/-   0.9452        :N:M:D
   50  sysHZComb1050                          1.5616   +/-   0.9408        :N:M:D
   51  sysHZComb1051                         -2.2874   +/-   0.9508        :N:M:D
   52  sysHZComb1052                          6.3318   +/-   0.9496        :N:M:D
   53  sysHZComb1053                         -3.0517   +/-   0.9148        :N:M:D
   54  sysHZComb1054                          1.1391   +/-   0.9739        :N:M:D
   55  sysHZComb1055                         -5.7953   +/-   0.9015        :N:M:D
   56  sysHZComb1056                          4.9591   +/-   0.8885        :N:M:D
   57  sysHZComb1057                         -0.6930   +/-   0.9188        :N:M:D
   58  sysHZComb1058                         -1.0957   +/-   0.9417        :N:M:D
   59  sysHZComb1059                          1.5018   +/-   0.8671        :N:M:D
   60  sysHZComb1060                         -1.4053   +/-   0.9789        :N:M:D
   61  sysHZComb1061                         -0.2670   +/-   0.9824        :N:M:D
   62  sysHZComb1062                         -5.0943   +/-   0.8955        :N:M:D
   63  sysHZComb1063                          0.8646   +/-   0.8318        :N:M:D
   64  sysHZComb1064                          3.0057   +/-   0.9282        :N:M:D
   65  sysHZComb1065                         -2.0591   +/-   0.9458        :N:M:D
   66  sysHZComb1066                          1.5966   +/-   0.9302        :N:M:D
   67  sysHZComb1067                          0.7647   +/-   0.9630        :N:M:D
   68  sysHZComb1068                          0.3398   +/-   0.9180        :N:M:D
   69  sysHZComb1069                         -4.5236   +/-   0.9116        :N:M:D
   70  sysHZComb1070                          1.5116   +/-   0.9056        :N:M:D
   71  sysHZComb1071                         -1.8914   +/-   0.8521        :N:M:D
   72  sysHZComb1072                          1.5881   +/-   0.9701        :N:M:D
   73  sysHZComb1073                         -1.4295   +/-   0.9008        :N:M:D
   74  sysHZComb1074                          1.6114   +/-   0.9333        :N:M:D
   75  sysHZComb1075                         -1.0904   +/-   0.8636        :N:M:D
   76  sysHZComb1076                         -0.0292   +/-   0.9585        :N:M:D
   77  sysHZComb1077                          2.8496   +/-   0.9602        :N:M:D
   78  sysHZComb1078                          0.7861   +/-   0.9751        :N:M:D
   79  sysHZComb1079                          0.9952   +/-   0.8785        :N:M:D
   80  sysHZComb1080                          1.9597   +/-   0.9246        :N:M:D
   81  sysHZComb1081                          2.3870   +/-   0.8870        :N:M:D
   82  sysHZComb1082                         -1.0426   +/-   0.8354        :N:M:D
   83  sysHZComb1083                         -4.5942   +/-   0.8887        :N:M:D
   84  sysHZComb1084                          0.0909   +/-   0.9688        :N:M:D
   85  sysHZComb1085                         -3.6730   +/-   0.8658        :N:M:D
   86  sysHZComb1086                         -7.9359   +/-   0.7891        :N:M:D
   87  sysHZComb1087                          2.1484   +/-   0.8556        :N:M:D
   88  sysHZComb1088                          0.5825   +/-   0.9908        :N:M:D
   89  sysHZComb1089                          0.2196   +/-   0.9601        :N:M:D
   90  sysHZComb1090                         -0.4153   +/-   0.9424        :N:M:D
   91  sysHZComb1091                          0.4566   +/-   0.8853        :N:M:D
   92  sysHZComb1092                          5.0707   +/-   0.8018        :N:M:D
   93  sysHZComb1093                         -1.1336   +/-   0.7837        :N:M:D
   94  sysHZComb1094                          0.3378   +/-   0.9992        :N:M:D
   95  sysHZComb1095                          1.7125   +/-   0.8471        :N:M:D
   96  sysHZComb1096                         -1.4415   +/-   0.8951        :N:M:D
   97  sysHZComb1097                          0.6634   +/-   0.9878        :N:M:D
   98  sysHZComb1098                         -3.3670   +/-   0.7358        :N:M:D
   99  sysHZComb1099                          4.6056   +/-   0.6800        :N:M:D
  100  sysHZComb1100                          1.9626   +/-   0.6809        :N:M:D
  101  sysHZComb1101                         -6.1080   +/-   0.7700        :N:M:D
  102  sysHZComb1102                         -1.5622   +/-   0.9018        :N:M:D
  103  sysHZComb1103                          4.6928   +/-   0.7876        :N:M:D
  104  sysHZComb1104                         -1.8608   +/-   0.7846        :N:M:D
  105  sysHZComb1105                          4.6332   +/-   0.6840        :N:M:D
  106  sysHZComb1106                          2.6071   +/-   0.7655        :N:M:D
  107  sysHZComb1107                          1.2391   +/-   0.7379        :N:M:D
  108  sysHZComb1108                          4.5606   +/-   0.6673        :N:M:D
  109  sysHZComb1109                          0.2425   +/-   0.9895        :N:M:D
  110  sysHZComb1110                          5.4253   +/-   0.6923        :N:M:D
  111  sysHZComb1111                         -3.5300   +/-   0.5409        :N:M:D
  112  sysHZComb1112                          1.5330   +/-   0.9902        :N:M:D
  113  sysHZComb1113                          0.3964   +/-   0.8441        :N:M:D
  114  sysHZComb1114                          1.7826   +/-   0.8014        :N:M:D
  115  sysHZComb1115                          7.5786   +/-   0.7483        :N:M:D
  116  sysHZComb1116                         -3.5716   +/-   0.7641        :N:M:D
  117  sysHZComb1117                         -0.3296   +/-   0.8219        :N:M:D
  118  sysHZComb1118                         -0.7765   +/-   0.9964        :N:M:D
  119  sysHZComb1119                         -1.0043   +/-   0.9738        :N:M:D
  120  sysHZComb1120                          4.4071   +/-   0.8564        :N:M:D
  121  sysHZComb1121                          0.9437   +/-   0.9895        :N:M:D
  122  sysHZComb1122                         -2.0183   +/-   0.9330        :N:M:D
  123  sysHZComb1123                         -2.2501   +/-   0.9279        :N:M:D
  124  sysHZComb1124                         -4.3517   +/-   0.8592        :N:M:D
  125  sysHZComb1125                          0.6162   +/-   0.8761        :N:M:D
  126  sysHZComb1126                         -0.2826   +/-   0.9098        :N:M:D
  127  sysHZComb1127                         -0.5082   +/-   0.9213        :N:M:D
  128  sysHZComb1128                         -0.9699   +/-   0.9542        :N:M:D
  129  sysHZComb1129                         -0.7460   +/-   0.8560        :N:M:D
  130  sysHZComb1130                         -0.7792   +/-   0.8012        :N:M:D
  131  sysHZComb1131                          9.6717   +/-   0.7887        :N:M:D
  132  sysHZComb1132                        -13.1633   +/-   0.7885        :N:M:D
  133  sysHZComb1133                          4.7623   +/-   0.8167        :N:M:D
  134  sysHZComb1134                          2.2618   +/-   0.9781        :N:M:D
  135  sysHZComb1135                         -7.6163   +/-   0.8170        :N:M:D
  136  sysHZComb1136                          1.0704   +/-   0.8756        :N:M:D
