   1.97000003             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  -1.49758      0.551825      0.895361      0.548528      0.894830      0.329738E-02  0.530613E-03   1.44336      0.534257      0.534043      0.360796      0.142705E-01   0.00000       0.00000      0.360788    
  0.109648E-03  -1.31891      0.545581      0.884816      0.542037      0.884237      0.354461E-02  0.579606E-03   1.42627      0.527957      0.527724      0.356520      0.140800E-01   0.00000       0.00000      0.356512    
  0.120226E-03  -1.15109      0.539465      0.874444      0.535642      0.873808      0.382257E-02  0.636324E-03   1.40945      0.521759      0.521506      0.352310      0.138832E-01   0.00000       0.00000      0.352301    
  0.131825E-03  -.987514      0.533402      0.864143      0.529287      0.863446      0.411485E-02  0.696761E-03   1.39273      0.515603      0.515329      0.348126      0.136843E-01   0.00000       0.00000      0.348117    
  0.144543E-03  -.830021      0.527416      0.853943      0.522989      0.853181      0.442767E-02  0.762521E-03   1.37617      0.509506      0.509210      0.343979      0.134823E-01   0.00000       0.00000      0.343971    
  0.158489E-03  -.680474      0.521541      0.843883      0.516768      0.843046      0.477242E-02  0.836829E-03   1.35981      0.503492      0.503170      0.339884      0.132767E-01   0.00000       0.00000      0.339876    
  0.173779E-03  -.534741      0.515720      0.833890      0.510586      0.832975      0.513405E-02  0.915737E-03   1.34356      0.497517      0.497169      0.335815      0.130694E-01   0.00000       0.00000      0.335806    
  0.190545E-03  -.396219      0.510008      0.824030      0.504478      0.823026      0.553023E-02  0.100419E-02   1.32750      0.491619      0.491242      0.331793      0.128593E-01   0.00000       0.00000      0.331784    
  0.208928E-03  -.263096      0.504385      0.814274      0.498428      0.813172      0.595722E-02  0.110142E-02   1.31160      0.485780      0.485372      0.327810      0.126474E-01   0.00000       0.00000      0.327801    
  0.229085E-03  -.133468      0.498820      0.804584      0.492415      0.803380      0.640438E-02  0.120440E-02   1.29580      0.479981      0.479539      0.323850      0.124344E-01   0.00000       0.00000      0.323841    
  0.251186E-03  -.118614E-01  0.493399      0.795057      0.486493      0.793733      0.690609E-02  0.132344E-02   1.28023      0.474274      0.473794      0.319949      0.122191E-01   0.00000       0.00000      0.319940    
  0.275420E-03  0.106436      0.488043      0.785599      0.480609      0.784148      0.743462E-02  0.145062E-02   1.26476      0.468606      0.468086      0.316072      0.120032E-01   0.00000       0.00000      0.316062    
  0.301992E-03  0.220286      0.482776      0.776235      0.474777      0.774646      0.799919E-02  0.158874E-02   1.24942      0.462991      0.462428      0.312228      0.117863E-01   0.00000       0.00000      0.312218    
  0.331127E-03  0.328061      0.477641      0.767005      0.469019      0.765260      0.862241E-02  0.174525E-02   1.23428      0.457450      0.456839      0.308430      0.115685E-01   0.00000       0.00000      0.308420    
  0.363073E-03  0.432980      0.472572      0.757840      0.463296      0.755928      0.927618E-02  0.191152E-02   1.21922      0.451945      0.451284      0.304654      0.113505E-01   0.00000       0.00000      0.304644    
  0.398101E-03  0.532595      0.467631      0.748798      0.457640      0.746701      0.999095E-02  0.209753E-02   1.20434      0.446507      0.445791      0.300919      0.111321E-01   0.00000       0.00000      0.300910    
  0.436509E-03  0.628061      0.462800      0.739857      0.452038      0.737555      0.107626E-01  0.230253E-02   1.18959      0.441124      0.440347      0.297217      0.109137E-01   0.00000       0.00000      0.297208    
  0.478622E-03  0.720911      0.458040      0.730981      0.446470      0.728461      0.115706E-01  0.251976E-02   1.17493      0.435774      0.434934      0.293536      0.106952E-01   0.00000       0.00000      0.293527    
  0.524798E-03  0.807841      0.453456      0.722256      0.440981      0.719485      0.124753E-01  0.277031E-02   1.16047      0.430504      0.429592      0.289902      0.104772E-01   0.00000       0.00000      0.289893    
  0.575429E-03  0.892201      0.448958      0.713600      0.435528      0.710561      0.134299E-01  0.303865E-02   1.14609      0.425268      0.424281      0.286289      0.102595E-01   0.00000       0.00000      0.286280    
  0.630945E-03  0.973315      0.444567      0.705031      0.430120      0.701702      0.144475E-01  0.332945E-02   1.13182      0.420077      0.419009      0.282702      0.100423E-01   0.00000       0.00000      0.282693    
  0.691816E-03   1.04979      0.440349      0.696594      0.424777      0.692935      0.155723E-01  0.365971E-02   1.11771      0.414951      0.413792      0.279152      0.982607E-02   0.00000       0.00000      0.279143    
  0.758561E-03   1.12413      0.436216      0.688220      0.419464      0.684210      0.167522E-01  0.401065E-02   1.10367      0.409854      0.408600      0.275619      0.961041E-02   0.00000       0.00000      0.275610    
  0.831745E-03   1.19457      0.432247      0.679963      0.414207      0.675560      0.180393E-01  0.440233E-02   1.08977      0.404812      0.403453      0.272116      0.939588E-02   0.00000       0.00000      0.272108    
  0.911989E-03   1.26181      0.428427      0.671807      0.408997      0.666972      0.194305E-01  0.483493E-02   1.07597      0.399814      0.398342      0.268638      0.918253E-02   0.00000       0.00000      0.268629    
  0.999975E-03   1.32710      0.424702      0.663713      0.403815      0.658419      0.208874E-01  0.529340E-02   1.06223      0.394845      0.393253      0.265174      0.896991E-02   0.00000       0.00000      0.265166    
