   4.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   2.79369       1.11604       1.45046       1.11076       1.44903      0.527766E-02  0.142195E-02   2.55980      0.809383      0.809120      0.640033      0.301379       0.00000       0.00000      0.639915    
  0.109648E-03   2.96166       1.10049       1.43061       1.09485       1.42909      0.563422E-02  0.151991E-02   2.52394      0.798431      0.798145      0.631068      0.296420       0.00000       0.00000      0.630948    
  0.120226E-03   3.11347       1.08494       1.41081       1.07891       1.40918      0.603101E-02  0.163011E-02   2.48809      0.787514      0.787204      0.622102      0.291392       0.00000       0.00000      0.621980    
  0.131825E-03   3.25895       1.06941       1.39105       1.06296       1.38930      0.644640E-02  0.174610E-02   2.45226      0.776619      0.776281      0.613142      0.286343       0.00000       0.00000      0.613018    
  0.144543E-03   3.39536       1.05390       1.37132       1.04701       1.36945      0.688844E-02  0.187036E-02   2.41646      0.765752      0.765386      0.604189      0.281263       0.00000       0.00000      0.604063    
  0.158489E-03   3.51996       1.03846       1.35168       1.03109       1.34967      0.737157E-02  0.200765E-02   2.38076      0.754937      0.754539      0.595258      0.276152       0.00000       0.00000      0.595131    
  0.173779E-03   3.63888       1.02305       1.33208       1.01518       1.32993      0.787630E-02  0.215187E-02   2.34511      0.744149      0.743718      0.586341      0.271029       0.00000       0.00000      0.586212    
  0.190545E-03   3.74708       1.00773       1.31259      0.999308       1.31027      0.842508E-02  0.231037E-02   2.30958      0.733420      0.732952      0.577454      0.265888       0.00000       0.00000      0.577323    
  0.208928E-03   3.84728      0.992497       1.29318      0.983484       1.29070      0.901282E-02  0.248178E-02   2.27418      0.722742      0.722235      0.568597      0.260741       0.00000       0.00000      0.568466    
  0.229085E-03   3.94229      0.977316       1.27384      0.967690       1.27118      0.962603E-02  0.266164E-02   2.23887      0.712099      0.711550      0.559761      0.255591       0.00000       0.00000      0.559628    
  0.251186E-03   4.02543      0.962298       1.25466      0.951990       1.25180      0.103076E-01  0.286469E-02   2.20379      0.701548      0.700951      0.550983      0.250442       0.00000       0.00000      0.550849    
  0.275420E-03   4.10368      0.947362       1.23557      0.936340       1.23249      0.110225E-01  0.307930E-02   2.16883      0.691040      0.690393      0.542234      0.245299       0.00000       0.00000      0.542099    
  0.301992E-03   4.17537      0.932537       1.21659      0.920755       1.21328      0.117822E-01  0.330946E-02   2.13403      0.680591      0.679890      0.533523      0.240164       0.00000       0.00000      0.533389    
  0.331127E-03   4.23813      0.917894       1.19778      0.905280       1.19421      0.126142E-01  0.356532E-02   2.09949      0.670232      0.669471      0.524876      0.235048       0.00000       0.00000      0.524741    
  0.363073E-03   4.29670      0.903346       1.17905      0.889862       1.17522      0.134835E-01  0.383470E-02   2.06508      0.659918      0.659095      0.516260      0.229944       0.00000       0.00000      0.516125    
  0.398101E-03   4.34750      0.888985       1.16051      0.874558       1.15637      0.144275E-01  0.413126E-02   2.03093      0.649693      0.648801      0.507707      0.224865       0.00000       0.00000      0.507573    
  0.436509E-03   4.39226      0.874796       1.14211      0.859356       1.13765      0.154402E-01  0.445356E-02   1.99701      0.639544      0.638578      0.499209      0.219812       0.00000       0.00000      0.499076    
  0.478622E-03   4.43321      0.860717       1.12381      0.844220       1.11902      0.164971E-01  0.479242E-02   1.96324      0.629444      0.628399      0.490747      0.214776       0.00000       0.00000      0.490616    
  0.524798E-03   4.46558      0.846921       1.10575      0.829251       1.10058      0.176700E-01  0.517580E-02   1.92983      0.619464      0.618331      0.482374      0.209786       0.00000       0.00000      0.482244    
  0.575429E-03   4.49425      0.833265       1.08781      0.814362       1.08223      0.189024E-01  0.558261E-02   1.89659      0.609541      0.608314      0.474043      0.204822       0.00000       0.00000      0.473915    
  0.630945E-03   4.51826      0.819787       1.07002      0.799577       1.06400      0.202099E-01  0.601899E-02   1.86358      0.599688      0.598363      0.465765      0.199888       0.00000       0.00000      0.465640    
  0.691816E-03   4.53564      0.806597       1.05246      0.784953       1.04596      0.216440E-01  0.650663E-02   1.83091      0.589946      0.588510      0.457571      0.195007       0.00000       0.00000      0.457448    
  0.758561E-03   4.54999      0.793552       1.03502      0.770409       1.02800      0.231427E-01  0.702088E-02   1.79841      0.580257      0.578705      0.449416      0.190153       0.00000       0.00000      0.449296    
  0.831745E-03   4.55882      0.780782       1.01780      0.756015       1.01021      0.247669E-01  0.758732E-02   1.76622      0.570666      0.568988      0.441337      0.185348       0.00000       0.00000      0.441221    
  0.911989E-03   4.56319      0.768266       1.00076      0.741753      0.992557      0.265122E-01  0.820548E-02   1.73431      0.561162      0.559346      0.433323      0.180591       0.00000       0.00000      0.433211    
  0.999975E-03   4.56482      0.755908      0.983850      0.727575      0.974994      0.283334E-01  0.885627E-02   1.70257      0.551711      0.549751      0.425349      0.175864       0.00000       0.00000      0.425243    
  0.109645E-02   4.56040      0.743944      0.967227      0.713594      0.957634      0.303502E-01  0.959300E-02   1.67123      0.542385      0.540264      0.417471      0.171208       0.00000       0.00000      0.417370    
  0.120223E-02   4.55324      0.732181      0.950748      0.699709      0.940371      0.324721E-01  0.103773E-01   1.64008      0.533119      0.530828      0.409639      0.166590       0.00000       0.00000      0.409543    
