   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.46134      0.724537E-01  0.667953E-01  0.333976E-01  0.105851      0.390561E-01  -.390561E-01  0.139249      0.333976E-01  0.724537E-01  0.333976E-01   0.00000       0.00000       0.00000      0.333976E-01
  0.103532E-02   4.42955      0.732744E-01  0.673704E-01  0.336852E-01  0.106960      0.395892E-01  -.395892E-01  0.140645      0.336852E-01  0.732744E-01  0.336852E-01   0.00000       0.00000       0.00000      0.336852E-01
  0.107189E-02   4.39776      0.740950E-01  0.679456E-01  0.339728E-01  0.108068      0.401222E-01  -.401222E-01  0.142041      0.339728E-01  0.740950E-01  0.339728E-01   0.00000       0.00000       0.00000      0.339728E-01
  0.110975E-02   4.36597      0.749157E-01  0.685207E-01  0.342604E-01  0.109176      0.406553E-01  -.406553E-01  0.143436      0.342604E-01  0.749157E-01  0.342604E-01   0.00000       0.00000       0.00000      0.342604E-01
  0.114895E-02   4.33418      0.757363E-01  0.690959E-01  0.345479E-01  0.110284      0.411884E-01  -.411884E-01  0.144832      0.345479E-01  0.757363E-01  0.345479E-01   0.00000       0.00000       0.00000      0.345479E-01
  0.118953E-02   4.30297      0.766415E-01  0.697311E-01  0.348655E-01  0.111507      0.417759E-01  -.417759E-01  0.146373      0.348655E-01  0.766415E-01  0.348655E-01   0.00000       0.00000       0.00000      0.348655E-01
  0.123155E-02   4.27182      0.775552E-01  0.703724E-01  0.351862E-01  0.112741      0.423690E-01  -.423690E-01  0.147928      0.351862E-01  0.775552E-01  0.351862E-01   0.00000       0.00000       0.00000      0.351862E-01
  0.127505E-02   4.24067      0.784689E-01  0.710138E-01  0.355069E-01  0.113976      0.429620E-01  -.429620E-01  0.149483      0.355069E-01  0.784689E-01  0.355069E-01   0.00000       0.00000       0.00000      0.355069E-01
  0.132009E-02   4.20952      0.793827E-01  0.716551E-01  0.358276E-01  0.115210      0.435551E-01  -.435551E-01  0.151038      0.358276E-01  0.793827E-01  0.358276E-01   0.00000       0.00000       0.00000      0.358276E-01
  0.136672E-02   4.17837      0.802964E-01  0.722965E-01  0.361482E-01  0.116445      0.441482E-01  -.441482E-01  0.152593      0.361482E-01  0.802964E-01  0.361482E-01   0.00000       0.00000       0.00000      0.361482E-01
  0.141499E-02   4.14722      0.812101E-01  0.729378E-01  0.364689E-01  0.117679      0.447412E-01  -.447412E-01  0.154148      0.364689E-01  0.812101E-01  0.364689E-01   0.00000       0.00000       0.00000      0.364689E-01
