   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.17036      0.796747E-01  0.767446E-01  0.383723E-01  0.118047      0.413024E-01  -.413024E-01  0.156419      0.383723E-01  0.796747E-01  0.383723E-01   0.00000       0.00000       0.00000      0.383723E-01
  0.103532E-02   4.14075      0.805269E-01  0.773522E-01  0.386761E-01  0.119203      0.418508E-01  -.418508E-01  0.157879      0.386761E-01  0.805269E-01  0.386761E-01   0.00000       0.00000       0.00000      0.386761E-01
  0.107189E-02   4.11115      0.813790E-01  0.779598E-01  0.389799E-01  0.120359      0.423991E-01  -.423991E-01  0.159339      0.389799E-01  0.813790E-01  0.389799E-01   0.00000       0.00000       0.00000      0.389799E-01
  0.110975E-02   4.08155      0.822311E-01  0.785674E-01  0.392837E-01  0.121515      0.429474E-01  -.429474E-01  0.160799      0.392837E-01  0.822311E-01  0.392837E-01   0.00000       0.00000       0.00000      0.392837E-01
  0.114895E-02   4.05194      0.830833E-01  0.791750E-01  0.395875E-01  0.122671      0.434958E-01  -.434958E-01  0.162258      0.395875E-01  0.830833E-01  0.395875E-01   0.00000       0.00000       0.00000      0.395875E-01
  0.118953E-02   4.02287      0.840202E-01  0.798446E-01  0.399223E-01  0.123942      0.440979E-01  -.440979E-01  0.163865      0.399223E-01  0.840202E-01  0.399223E-01   0.00000       0.00000       0.00000      0.399223E-01
  0.123155E-02   3.99386      0.849657E-01  0.805205E-01  0.402602E-01  0.125226      0.447054E-01  -.447054E-01  0.165486      0.402602E-01  0.849657E-01  0.402602E-01   0.00000       0.00000       0.00000      0.402602E-01
  0.127505E-02   3.96484      0.859112E-01  0.811964E-01  0.405982E-01  0.126509      0.453130E-01  -.453130E-01  0.167108      0.405982E-01  0.859112E-01  0.405982E-01   0.00000       0.00000       0.00000      0.405982E-01
  0.132009E-02   3.93582      0.868567E-01  0.818723E-01  0.409361E-01  0.127793      0.459206E-01  -.459206E-01  0.168729      0.409361E-01  0.868567E-01  0.409361E-01   0.00000       0.00000       0.00000      0.409361E-01
  0.136672E-02   3.90681      0.878022E-01  0.825482E-01  0.412741E-01  0.129076      0.465281E-01  -.465281E-01  0.170350      0.412741E-01  0.878022E-01  0.412741E-01   0.00000       0.00000       0.00000      0.412741E-01
  0.141499E-02   3.87779      0.887478E-01  0.832241E-01  0.416120E-01  0.130360      0.471357E-01  -.471357E-01  0.171972      0.416120E-01  0.887478E-01  0.416120E-01   0.00000       0.00000       0.00000      0.416120E-01
  0.146497E-02   3.84877      0.896933E-01  0.839000E-01  0.419500E-01  0.131643      0.477433E-01  -.477433E-01  0.173593      0.419500E-01  0.896933E-01  0.419500E-01   0.00000       0.00000       0.00000      0.419500E-01
  0.151672E-02   3.81976      0.906388E-01  0.845759E-01  0.422879E-01  0.132927      0.483509E-01  -.483509E-01  0.175215      0.422879E-01  0.906388E-01  0.422879E-01   0.00000       0.00000       0.00000      0.422879E-01
  0.157029E-02   3.79098      0.916285E-01  0.852839E-01  0.426420E-01  0.134270      0.489865E-01  -.489865E-01  0.176912      0.426420E-01  0.916285E-01  0.426420E-01   0.00000       0.00000       0.00000      0.426420E-01
  0.162576E-02   3.76252      0.926760E-01  0.860339E-01  0.430170E-01  0.135693      0.496590E-01  -.496590E-01  0.178710      0.430170E-01  0.926760E-01  0.430170E-01   0.00000       0.00000       0.00000      0.430170E-01
  0.168318E-02   3.73407      0.937235E-01  0.867840E-01  0.433920E-01  0.137115      0.503315E-01  -.503315E-01  0.180507      0.433920E-01  0.937235E-01  0.433920E-01   0.00000       0.00000       0.00000      0.433920E-01
  0.174263E-02   3.70561      0.947709E-01  0.875340E-01  0.437670E-01  0.138538      0.510039E-01  -.510039E-01  0.182305      0.437670E-01  0.947709E-01  0.437670E-01   0.00000       0.00000       0.00000      0.437670E-01
  0.180419E-02   3.67715      0.958184E-01  0.882841E-01  0.441420E-01  0.139960      0.516764E-01  -.516764E-01  0.184102      0.441420E-01  0.958184E-01  0.441420E-01   0.00000       0.00000       0.00000      0.441420E-01
  0.186791E-02   3.64870      0.968659E-01  0.890341E-01  0.445170E-01  0.141383      0.523488E-01  -.523488E-01  0.185900      0.445170E-01  0.968659E-01  0.445170E-01   0.00000       0.00000       0.00000      0.445170E-01
  0.193389E-02   3.62024      0.979133E-01  0.897841E-01  0.448921E-01  0.142805      0.530213E-01  -.530213E-01  0.187697      0.448921E-01  0.979133E-01  0.448921E-01   0.00000       0.00000       0.00000      0.448921E-01
  0.200220E-02   3.59178      0.989608E-01  0.905342E-01  0.452671E-01  0.144228      0.536937E-01  -.536937E-01  0.189495      0.452671E-01  0.989608E-01  0.452671E-01   0.00000       0.00000       0.00000      0.452671E-01
  0.207292E-02   3.56333      0.100008      0.912842E-01  0.456421E-01  0.145650      0.543662E-01  -.543662E-01  0.191292      0.456421E-01  0.100008      0.456421E-01   0.00000       0.00000       0.00000      0.456421E-01
  0.214614E-02   3.53528      0.101163      0.921148E-01  0.460574E-01  0.147221      0.551058E-01  -.551058E-01  0.193278      0.460574E-01  0.101163      0.460574E-01   0.00000       0.00000       0.00000      0.460574E-01
  0.222195E-02   3.50725      0.102323      0.929488E-01  0.464744E-01  0.148797      0.558482E-01  -.558482E-01  0.195271      0.464744E-01  0.102323      0.464744E-01   0.00000       0.00000       0.00000      0.464744E-01
  0.230043E-02   3.47923      0.103482      0.937828E-01  0.468914E-01  0.150373      0.565907E-01  -.565907E-01  0.197265      0.468914E-01  0.103482      0.468914E-01   0.00000       0.00000       0.00000      0.468914E-01
  0.238169E-02   3.45120      0.104642      0.946169E-01  0.473084E-01  0.151950      0.573331E-01  -.573331E-01  0.199258      0.473084E-01  0.104642      0.473084E-01   0.00000       0.00000       0.00000      0.473084E-01
  0.246581E-02   3.42317      0.105801      0.954509E-01  0.477255E-01  0.153526      0.580755E-01  -.580755E-01  0.201252      0.477255E-01  0.105801      0.477255E-01   0.00000       0.00000       0.00000      0.477255E-01
  0.255291E-02   3.39514      0.106960      0.962849E-01  0.481425E-01  0.155103      0.588180E-01  -.588180E-01  0.203245      0.481425E-01  0.106960      0.481425E-01   0.00000       0.00000       0.00000      0.481425E-01
  0.264308E-02   3.36712      0.108120      0.971190E-01  0.485595E-01  0.156679      0.595604E-01  -.595604E-01  0.205239      0.485595E-01  0.108120      0.485595E-01   0.00000       0.00000       0.00000      0.485595E-01
  0.273644E-02   3.33909      0.109279      0.979530E-01  0.489765E-01  0.158256      0.603028E-01  -.603028E-01  0.207232      0.489765E-01  0.109279      0.489765E-01   0.00000       0.00000       0.00000      0.489765E-01
  0.283310E-02   3.31115      0.110499      0.988361E-01  0.494180E-01  0.159917      0.610809E-01  -.610809E-01  0.209335      0.494180E-01  0.110499      0.494180E-01   0.00000       0.00000       0.00000      0.494180E-01
  0.293317E-02   3.28331      0.111782      0.997714E-01  0.498857E-01  0.161668      0.618967E-01  -.618967E-01  0.211554      0.498857E-01  0.111782      0.498857E-01   0.00000       0.00000       0.00000      0.498857E-01
  0.303677E-02   3.25546      0.113066      0.100707      0.503533E-01  0.163419      0.627126E-01  -.627126E-01  0.213772      0.503533E-01  0.113066      0.503533E-01   0.00000       0.00000       0.00000      0.503533E-01
  0.314404E-02   3.22762      0.114349      0.101642      0.508209E-01  0.165170      0.635284E-01  -.635284E-01  0.215991      0.508209E-01  0.114349      0.508209E-01   0.00000       0.00000       0.00000      0.508209E-01
  0.325509E-02   3.19977      0.115633      0.102577      0.512886E-01  0.166921      0.643443E-01  -.643443E-01  0.218210      0.512886E-01  0.115633      0.512886E-01   0.00000       0.00000       0.00000      0.512886E-01
  0.337006E-02   3.17193      0.116916      0.103512      0.517562E-01  0.168672      0.651601E-01  -.651601E-01  0.220429      0.517562E-01  0.116916      0.517562E-01   0.00000       0.00000       0.00000      0.517562E-01
  0.348910E-02   3.14409      0.118200      0.104448      0.522238E-01  0.170424      0.659760E-01  -.659760E-01  0.222647      0.522238E-01  0.118200      0.522238E-01   0.00000       0.00000       0.00000      0.522238E-01
  0.361234E-02   3.11624      0.119483      0.105383      0.526914E-01  0.172175      0.667918E-01  -.667918E-01  0.224866      0.526914E-01  0.119483      0.526914E-01   0.00000       0.00000       0.00000      0.526914E-01
  0.373994E-02   3.08840      0.120768      0.106319      0.531597E-01  0.173928      0.676085E-01  -.676085E-01  0.227088      0.531597E-01  0.120768      0.531597E-01   0.00000       0.00000       0.00000      0.531597E-01
  0.387204E-02   3.06043      0.122189      0.107380      0.536902E-01  0.175879      0.684988E-01  -.684988E-01  0.229569      0.536902E-01  0.122189      0.536902E-01   0.00000       0.00000       0.00000      0.536902E-01
  0.400881E-02   3.03247      0.123610      0.108441      0.542207E-01  0.177831      0.693892E-01  -.693892E-01  0.232051      0.542207E-01  0.123610      0.542207E-01   0.00000       0.00000       0.00000      0.542207E-01
  0.415040E-02   3.00450      0.125031      0.109502      0.547512E-01  0.179782      0.702796E-01  -.702796E-01  0.234533      0.547512E-01  0.125031      0.547512E-01   0.00000       0.00000       0.00000      0.547512E-01
  0.429700E-02   2.97654      0.126452      0.110563      0.552816E-01  0.181733      0.711699E-01  -.711699E-01  0.237015      0.552816E-01  0.126452      0.552816E-01   0.00000       0.00000       0.00000      0.552816E-01
  0.444878E-02   2.94857      0.127872      0.111624      0.558121E-01  0.183685      0.720603E-01  -.720603E-01  0.239497      0.558121E-01  0.127872      0.558121E-01   0.00000       0.00000       0.00000      0.558121E-01
  0.460592E-02   2.92061      0.129293      0.112685      0.563426E-01  0.185636      0.729507E-01  -.729507E-01  0.241978      0.563426E-01  0.129293      0.563426E-01   0.00000       0.00000       0.00000      0.563426E-01
  0.476861E-02   2.89265      0.130714      0.113746      0.568731E-01  0.187587      0.738411E-01  -.738411E-01  0.244460      0.568731E-01  0.130714      0.568731E-01   0.00000       0.00000       0.00000      0.568731E-01
  0.493705E-02   2.86468      0.132135      0.114807      0.574035E-01  0.189539      0.747314E-01  -.747314E-01  0.246942      0.574035E-01  0.132135      0.574035E-01   0.00000       0.00000       0.00000      0.574035E-01
  0.511143E-02   2.83647      0.133637      0.115953      0.579766E-01  0.191614      0.756605E-01  -.756605E-01  0.249590      0.579766E-01  0.133637      0.579766E-01   0.00000       0.00000       0.00000      0.579766E-01
  0.529198E-02   2.80806      0.135209      0.117173      0.585865E-01  0.193796      0.766229E-01  -.766229E-01  0.252382      0.585865E-01  0.135209      0.585865E-01   0.00000       0.00000       0.00000      0.585865E-01
  0.547890E-02   2.77964      0.136782      0.118393      0.591964E-01  0.195978      0.775853E-01  -.775853E-01  0.255174      0.591964E-01  0.136782      0.591964E-01   0.00000       0.00000       0.00000      0.591964E-01
  0.567243E-02   2.75122      0.138354      0.119613      0.598063E-01  0.198160      0.785478E-01  -.785478E-01  0.257967      0.598063E-01  0.138354      0.598063E-01   0.00000       0.00000       0.00000      0.598063E-01
  0.587279E-02   2.72280      0.139926      0.120832      0.604162E-01  0.200343      0.795102E-01  -.795102E-01  0.260759      0.604162E-01  0.139926      0.604162E-01   0.00000       0.00000       0.00000      0.604162E-01
  0.608022E-02   2.69438      0.141499      0.122052      0.610261E-01  0.202525      0.804726E-01  -.804726E-01  0.263551      0.610261E-01  0.141499      0.610261E-01   0.00000       0.00000       0.00000      0.610261E-01
  0.629499E-02   2.66597      0.143071      0.123272      0.616359E-01  0.204707      0.814350E-01  -.814350E-01  0.266343      0.616359E-01  0.143071      0.616359E-01   0.00000       0.00000       0.00000      0.616359E-01
  0.651734E-02   2.63755      0.144643      0.124492      0.622458E-01  0.206889      0.823975E-01  -.823975E-01  0.269135      0.622458E-01  0.144643      0.622458E-01   0.00000       0.00000       0.00000      0.622458E-01
  0.674754E-02   2.60908      0.146226      0.125724      0.628620E-01  0.209088      0.833639E-01  -.833639E-01  0.271950      0.628620E-01  0.146226      0.628620E-01   0.00000       0.00000       0.00000      0.628620E-01
  0.698588E-02   2.57986      0.147964      0.127147      0.635734E-01  0.211537      0.843904E-01  -.843904E-01  0.275111      0.635734E-01  0.147964      0.635734E-01   0.00000       0.00000       0.00000      0.635734E-01
  0.723263E-02   2.55064      0.149702      0.128569      0.642847E-01  0.213986      0.854170E-01  -.854170E-01  0.278271      0.642847E-01  0.149702      0.642847E-01   0.00000       0.00000       0.00000      0.642847E-01
  0.748810E-02   2.52142      0.151440      0.129992      0.649961E-01  0.216436      0.864435E-01  -.864435E-01  0.281432      0.649961E-01  0.151440      0.649961E-01   0.00000       0.00000       0.00000      0.649961E-01
  0.775260E-02   2.49220      0.153177      0.131415      0.657074E-01  0.218885      0.874700E-01  -.874700E-01  0.284592      0.657074E-01  0.153177      0.657074E-01   0.00000       0.00000       0.00000      0.657074E-01
  0.802643E-02   2.46298      0.154915      0.132837      0.664187E-01  0.221334      0.884965E-01  -.884965E-01  0.287753      0.664187E-01  0.154915      0.664187E-01   0.00000       0.00000       0.00000      0.664187E-01
  0.830994E-02   2.43376      0.156653      0.134260      0.671301E-01  0.223783      0.895231E-01  -.895231E-01  0.290913      0.671301E-01  0.156653      0.671301E-01   0.00000       0.00000       0.00000      0.671301E-01
  0.860346E-02   2.40454      0.158391      0.135683      0.678414E-01  0.226232      0.905496E-01  -.905496E-01  0.294074      0.678414E-01  0.158391      0.678414E-01   0.00000       0.00000       0.00000      0.678414E-01
  0.890735E-02   2.37532      0.160129      0.137106      0.685528E-01  0.228682      0.915761E-01  -.915761E-01  0.297234      0.685528E-01  0.160129      0.685528E-01   0.00000       0.00000       0.00000      0.685528E-01
  0.922198E-02   2.34544      0.161972      0.138681      0.693407E-01  0.231312      0.926308E-01  -.926308E-01  0.300653      0.693407E-01  0.161972      0.693407E-01   0.00000       0.00000       0.00000      0.693407E-01
  0.954772E-02   2.31509      0.163888      0.140365      0.701824E-01  0.234070      0.937053E-01  -.937053E-01  0.304252      0.701824E-01  0.163888      0.701824E-01   0.00000       0.00000       0.00000      0.701824E-01
  0.988496E-02   2.28474      0.165804      0.142048      0.710240E-01  0.236828      0.947797E-01  -.947797E-01  0.307852      0.710240E-01  0.165804      0.710240E-01   0.00000       0.00000       0.00000      0.710240E-01
  0.102341E-01   2.25439      0.167720      0.143731      0.718657E-01  0.239585      0.958542E-01  -.958542E-01  0.311451      0.718657E-01  0.167720      0.718657E-01   0.00000       0.00000       0.00000      0.718657E-01
  0.105956E-01   2.22404      0.169636      0.145415      0.727073E-01  0.242343      0.969286E-01  -.969286E-01  0.315051      0.727073E-01  0.169636      0.727073E-01   0.00000       0.00000       0.00000      0.727073E-01
  0.109699E-01   2.19369      0.171552      0.147098      0.735489E-01  0.245101      0.980031E-01  -.980031E-01  0.318650      0.735489E-01  0.171552      0.735489E-01   0.00000       0.00000       0.00000      0.735489E-01
  0.113573E-01   2.16334      0.173468      0.148781      0.743906E-01  0.247859      0.990775E-01  -.990775E-01  0.322249      0.743906E-01  0.173468      0.743906E-01   0.00000       0.00000       0.00000      0.743906E-01
  0.117585E-01   2.13299      0.175384      0.150464      0.752322E-01  0.250616      0.100152      -.100152      0.325849      0.752322E-01  0.175384      0.752322E-01   0.00000       0.00000       0.00000      0.752322E-01
  0.121738E-01   2.10253      0.177316      0.152175      0.760875E-01  0.253404      0.101229      -.101229      0.329491      0.760875E-01  0.177316      0.760875E-01   0.00000       0.00000       0.00000      0.760875E-01
  0.126038E-01   2.07116      0.179372      0.154098      0.770492E-01  0.256421      0.102323      -.102323      0.333470      0.770492E-01  0.179372      0.770492E-01   0.00000       0.00000       0.00000      0.770492E-01
