   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   10.0513      0.711088      0.767286      0.664866      0.813508      0.462217E-01  -.462217E-01   1.47837      0.350006      0.396228      0.350113      0.314860      0.671674E-01   0.00000      0.350113    
  0.103532E-02   9.94038      0.704392      0.759313      0.657572      0.806133      0.468198E-01  -.468198E-01   1.46371      0.346488      0.393308      0.346595      0.311085      0.662301E-01   0.00000      0.346595    
  0.107189E-02   9.82945      0.697697      0.751339      0.650279      0.798757      0.474180E-01  -.474180E-01   1.44904      0.342969      0.390387      0.343077      0.307309      0.652928E-01   0.00000      0.343077    
  0.110975E-02   9.71852      0.691001      0.743366      0.642985      0.791382      0.480161E-01  -.480161E-01   1.43437      0.339451      0.387467      0.339559      0.303534      0.643555E-01   0.00000      0.339559    
  0.114895E-02   9.60758      0.684305      0.735392      0.635691      0.784006      0.486143E-01  -.486143E-01   1.41970      0.335933      0.384547      0.336041      0.299758      0.634183E-01   0.00000      0.336041    
  0.118953E-02   9.50274      0.678078      0.727936      0.628812      0.777202      0.492663E-01  -.492663E-01   1.40601      0.332640      0.381907      0.332749      0.296172      0.625462E-01   0.00000      0.332749    
  0.123155E-02   9.39851      0.671899      0.720532      0.621976      0.770456      0.499239E-01  -.499239E-01   1.39243      0.329371      0.379295      0.329480      0.292605      0.616808E-01   0.00000      0.329480    
  0.127505E-02   9.29428      0.665721      0.713128      0.615139      0.763709      0.505814E-01  -.505814E-01   1.37885      0.326102      0.376683      0.326211      0.289037      0.608154E-01   0.00000      0.326211    
  0.132009E-02   9.19005      0.659542      0.705724      0.608303      0.756963      0.512389E-01  -.512389E-01   1.36527      0.322832      0.374071      0.322942      0.285470      0.599500E-01   0.00000      0.322942    
  0.136672E-02   9.08583      0.653363      0.698320      0.601466      0.750217      0.518964E-01  -.518964E-01   1.35168      0.319563      0.371459      0.319673      0.281903      0.590846E-01   0.00000      0.319673    
  0.141499E-02   8.98160      0.647184      0.690917      0.594630      0.743471      0.525539E-01  -.525539E-01   1.33810      0.316294      0.368848      0.316404      0.278336      0.582192E-01   0.00000      0.316404    
  0.146497E-02   8.87737      0.641005      0.683513      0.587793      0.736724      0.532114E-01  -.532114E-01   1.32452      0.313024      0.366236      0.313135      0.274769      0.573538E-01   0.00000      0.313135    
