   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   7.41667      0.929634E-01  0.118385      0.591925E-01  0.152156      0.337709E-01  -.337709E-01  0.211348      0.591925E-01  0.929634E-01  0.591925E-01   0.00000       0.00000       0.00000      0.591925E-01
  0.103532E-02   7.25372      0.937402E-01  0.118946      0.594731E-01  0.153213      0.342671E-01  -.342671E-01  0.212686      0.594731E-01  0.937402E-01  0.594731E-01   0.00000       0.00000       0.00000      0.594731E-01
  0.107189E-02   7.09077      0.945171E-01  0.119507      0.597537E-01  0.154271      0.347634E-01  -.347634E-01  0.214024      0.597537E-01  0.945171E-01  0.597537E-01   0.00000       0.00000       0.00000      0.597537E-01
  0.110975E-02   6.92782      0.952939E-01  0.120069      0.600343E-01  0.155328      0.352596E-01  -.352596E-01  0.215363      0.600343E-01  0.952939E-01  0.600343E-01   0.00000       0.00000       0.00000      0.600343E-01
  0.114895E-02   6.76487      0.960707E-01  0.120630      0.603149E-01  0.156386      0.357558E-01  -.357558E-01  0.216701      0.603149E-01  0.960707E-01  0.603149E-01   0.00000       0.00000       0.00000      0.603149E-01
  0.118953E-02   6.62663      0.969278E-01  0.121239      0.606196E-01  0.157547      0.363082E-01  -.363082E-01  0.218167      0.606196E-01  0.969278E-01  0.606196E-01   0.00000       0.00000       0.00000      0.606196E-01
  0.123155E-02   6.49090      0.977930E-01  0.121853      0.609267E-01  0.158720      0.368663E-01  -.368663E-01  0.219646      0.609267E-01  0.977930E-01  0.609267E-01   0.00000       0.00000       0.00000      0.609267E-01
  0.127505E-02   6.35517      0.986581E-01  0.122468      0.612338E-01  0.159892      0.374244E-01  -.374244E-01  0.221126      0.612338E-01  0.986581E-01  0.612338E-01   0.00000       0.00000       0.00000      0.612338E-01
  0.132009E-02   6.21944      0.995233E-01  0.123082      0.615408E-01  0.161064      0.379825E-01  -.379825E-01  0.222605      0.615408E-01  0.995233E-01  0.615408E-01   0.00000       0.00000       0.00000      0.615408E-01
  0.136672E-02   6.08371      0.100389      0.123696      0.618479E-01  0.162236      0.385406E-01  -.385406E-01  0.224084      0.618479E-01  0.100389      0.618479E-01   0.00000       0.00000       0.00000      0.618479E-01
  0.141499E-02   5.94798      0.101254      0.124310      0.621550E-01  0.163409      0.390987E-01  -.390987E-01  0.225564      0.621550E-01  0.101254      0.621550E-01   0.00000       0.00000       0.00000      0.621550E-01
  0.146497E-02   5.81226      0.102119      0.124924      0.624621E-01  0.164581      0.396568E-01  -.396568E-01  0.227043      0.624621E-01  0.102119      0.624621E-01   0.00000       0.00000       0.00000      0.624621E-01
  0.151672E-02   5.67653      0.102984      0.125538      0.627692E-01  0.165753      0.402149E-01  -.402149E-01  0.228522      0.627692E-01  0.102984      0.627692E-01   0.00000       0.00000       0.00000      0.627692E-01
  0.157029E-02   5.55064      0.103891      0.126176      0.630881E-01  0.166979      0.408029E-01  -.408029E-01  0.230067      0.630881E-01  0.103891      0.630881E-01   0.00000       0.00000       0.00000      0.630881E-01
