   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02  -.144133E-07  0.192842      0.300433      0.150217      0.343058      0.426249E-01  -.426249E-01  0.493275      0.150217      0.192842      0.150217       0.00000       0.00000       0.00000      0.150217    
  0.103532E-02  -.143547E-07  0.193473      0.301009      0.150504      0.343977      0.429683E-01  -.429683E-01  0.494481      0.150504      0.193473      0.150504       0.00000       0.00000       0.00000      0.150504    
  0.107189E-02  -.142960E-07  0.194104      0.301584      0.150792      0.344896      0.433117E-01  -.433117E-01  0.495688      0.150792      0.194104      0.150792       0.00000       0.00000       0.00000      0.150792    
  0.110975E-02  -.142373E-07  0.194735      0.302159      0.151080      0.345814      0.436552E-01  -.436552E-01  0.496894      0.151080      0.194735      0.151080       0.00000       0.00000       0.00000      0.151080    
  0.114895E-02  -.141787E-07  0.195366      0.302734      0.151367      0.346733      0.439986E-01  -.439986E-01  0.498100      0.151367      0.195366      0.151367       0.00000       0.00000       0.00000      0.151367    
  0.118953E-02  -.141186E-07  0.196033      0.303342      0.151671      0.347705      0.443622E-01  -.443622E-01  0.499376      0.151671      0.196033      0.151671       0.00000       0.00000       0.00000      0.151671    
  0.123155E-02  -.140585E-07  0.196705      0.303954      0.151977      0.348682      0.447279E-01  -.447279E-01  0.500658      0.151977      0.196705      0.151977       0.00000       0.00000       0.00000      0.151977    
  0.127505E-02  -.139983E-07  0.197376      0.304565      0.152282      0.349659      0.450936E-01  -.450936E-01  0.501941      0.152282      0.197376      0.152282       0.00000       0.00000       0.00000      0.152282    
  0.132009E-02  -.139381E-07  0.198047      0.305176      0.152588      0.350635      0.454593E-01  -.454593E-01  0.503224      0.152588      0.198047      0.152588       0.00000       0.00000       0.00000      0.152588    
  0.136672E-02  -.138779E-07  0.198719      0.305787      0.152894      0.351612      0.458250E-01  -.458250E-01  0.504506      0.152894      0.198719      0.152894       0.00000       0.00000       0.00000      0.152894    
  0.141499E-02  -.138177E-07  0.199390      0.306399      0.153199      0.352589      0.461907E-01  -.461907E-01  0.505789      0.153199      0.199390      0.153199       0.00000       0.00000       0.00000      0.153199    
  0.146497E-02  -.137575E-07  0.200061      0.307010      0.153505      0.353566      0.465564E-01  -.465564E-01  0.507071      0.153505      0.200061      0.153505       0.00000       0.00000       0.00000      0.153505    
  0.151672E-02  -.136973E-07  0.200733      0.307621      0.153811      0.354543      0.469221E-01  -.469221E-01  0.508354      0.153811      0.200733      0.153811       0.00000       0.00000       0.00000      0.153811    
  0.157029E-02  -.136364E-07  0.201421      0.308247      0.154123      0.355545      0.472980E-01  -.472980E-01  0.509668      0.154123      0.201421      0.154123       0.00000       0.00000       0.00000      0.154123    
  0.162576E-02  -.135745E-07  0.202133      0.308890      0.154445      0.356578      0.476874E-01  -.476874E-01  0.511023      0.154445      0.202133      0.154445       0.00000       0.00000       0.00000      0.154445    
  0.168318E-02  -.135126E-07  0.202844      0.309534      0.154767      0.357611      0.480767E-01  -.480767E-01  0.512378      0.154767      0.202844      0.154767       0.00000       0.00000       0.00000      0.154767    
  0.174263E-02  -.134507E-07  0.203555      0.310178      0.155089      0.358644      0.484661E-01  -.484661E-01  0.513733      0.155089      0.203555      0.155089       0.00000       0.00000       0.00000      0.155089    
  0.180419E-02  -.133889E-07  0.204266      0.310822      0.155411      0.359677      0.488554E-01  -.488554E-01  0.515088      0.155411      0.204266      0.155411       0.00000       0.00000       0.00000      0.155411    
  0.186791E-02  -.133270E-07  0.204977      0.311465      0.155733      0.360710      0.492448E-01  -.492448E-01  0.516443      0.155733      0.204977      0.155733       0.00000       0.00000       0.00000      0.155733    
  0.193389E-02  -.132651E-07  0.205689      0.312109      0.156054      0.361743      0.496341E-01  -.496341E-01  0.517798      0.156054      0.205689      0.156054       0.00000       0.00000       0.00000      0.156054    
  0.200220E-02  -.132032E-07  0.206400      0.312753      0.156376      0.362776      0.500235E-01  -.500235E-01  0.519152      0.156376      0.206400      0.156376       0.00000       0.00000       0.00000      0.156376    
  0.207292E-02  -.131413E-07  0.207111      0.313396      0.156698      0.363809      0.504128E-01  -.504128E-01  0.520507      0.156698      0.207111      0.156698       0.00000       0.00000       0.00000      0.156698    
  0.214614E-02  -.130777E-07  0.207861      0.314071      0.157035      0.364897      0.508260E-01  -.508260E-01  0.521932      0.157035      0.207861      0.157035       0.00000       0.00000       0.00000      0.157035    
  0.222195E-02  -.130140E-07  0.208614      0.314747      0.157373      0.365987      0.512402E-01  -.512402E-01  0.523360      0.157373      0.208614      0.157373       0.00000       0.00000       0.00000      0.157373    
  0.230043E-02  -.129502E-07  0.209366      0.315422      0.157711      0.367077      0.516544E-01  -.516544E-01  0.524788      0.157711      0.209366      0.157711       0.00000       0.00000       0.00000      0.157711    
