   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   77.7513       6.30452       8.90633       6.27725       8.88766      0.272680E-01  0.186747E-01   15.1649       3.36996       3.35993       3.29092       2.90729       2.23575       0.00000       3.29198    
  0.109648E-03   75.0249       6.11074       8.62828       6.08236       8.60893      0.283847E-01  0.193560E-01   14.6913       3.27009       3.25977       3.18995       2.81227       2.15815       0.00000       3.19101    
  0.120226E-03   72.3753       5.92212       8.35776       5.89257       8.33769      0.295485E-01  0.200637E-01   14.2303       3.17282       3.16225       3.09163       2.71975       2.08275       0.00000       3.09269    
  0.131825E-03   69.8038       5.73872       8.09484       5.70796       8.07404      0.307598E-01  0.207975E-01   13.7820       3.07818       3.06740       2.99599       2.62978       2.00959       0.00000       2.99706    
  0.144543E-03   67.3064       5.56018       7.83896       5.52815       7.81741      0.320277E-01  0.215564E-01   13.3456       2.98596       2.97502       2.90283       2.54219       1.93849       0.00000       2.90389    
  0.158489E-03   64.8841       5.38654       7.59018       5.35319       7.56785      0.333535E-01  0.223379E-01   12.9210       2.89616       2.88515       2.81214       2.45703       1.86949       0.00000       2.81321    
  0.173779E-03   62.5344       5.21768       7.34832       5.18294       7.32518      0.347364E-01  0.231463E-01   12.5081       2.80872       2.79771       2.72389       2.37422       1.80251       0.00000       2.72496    
  0.190545E-03   60.2521       5.05329       7.11293       5.01711       7.08894      0.361786E-01  0.239877E-01   12.1060       2.72350       2.71251       2.63794       2.29361       1.73743       0.00000       2.63900    
  0.208928E-03   58.0391       4.89346       6.88417       4.85578       6.85930      0.376789E-01  0.248603E-01   11.7151       2.64053       2.62962       2.55434       2.21525       1.67428       0.00000       2.55540    
  0.229085E-03   55.8918       4.73801       6.66169       4.69877       6.63593      0.392401E-01  0.257668E-01   11.3347       2.55972       2.54894       2.47296       2.13905       1.61297       0.00000       2.47402    
  0.251186E-03   53.8075       4.58682       6.44532       4.54596       6.41861      0.408602E-01  0.267093E-01   10.9646       2.48103       2.47039       2.39370       2.06493       1.55345       0.00000       2.39476    
  0.275420E-03   51.7874       4.43993       6.23512       4.39739       6.20744      0.425402E-01  0.276868E-01   10.6048       2.40446       2.39401       2.31662       1.99293       1.49575       0.00000       2.31767    
  0.301992E-03   49.8272       4.29697       6.03052       4.25266       6.00182      0.443026E-01  0.287014E-01   10.2545       2.32981       2.31959       2.24147       1.92285       1.43971       0.00000       2.24252    
  0.331127E-03   47.9272       4.15791       5.83147       4.11176       5.80172      0.461511E-01  0.297489E-01   9.91348       2.25708       2.24713       2.16824       1.85469       1.38531       0.00000       2.16928    
  0.363073E-03   46.0860       4.02272       5.63792       3.97463       5.60709      0.480842E-01  0.308367E-01   9.58172       2.18622       2.17659       2.09693       1.78841       1.33253       0.00000       2.09796    
  0.398101E-03   44.2997       3.89110       5.44957       3.84099       5.41759      0.501093E-01  0.319786E-01   9.25858       2.11708       2.10781       2.02747       1.72390       1.28127       0.00000       2.02851    
  0.436509E-03   42.5698       3.76313       5.26651       3.71091       5.23334      0.522216E-01  0.331722E-01   8.94425       2.04971       2.04082       1.95990       1.66120       1.23157       0.00000       1.96094    
  0.478622E-03   40.8932       3.63869       5.08855       3.58426       5.05413      0.544330E-01  0.344197E-01   8.63839       1.98404       1.97557       1.89416       1.60021       1.18336       0.00000       1.89520    
  0.524798E-03   39.2671       3.51770       4.91555       3.46095       4.87982      0.567490E-01  0.357259E-01   8.34077       1.92005       1.91201       1.83020       1.54090       1.13657       0.00000       1.83124    
  0.575429E-03   37.6928       3.40019       4.74758       3.34103       4.71049      0.591661E-01  0.370893E-01   8.05152       1.85774       1.85016       1.76804       1.48329       1.09124       0.00000       1.76909    
  0.630945E-03   36.1667       3.28588       4.58418       3.22416       4.54568      0.617158E-01  0.385021E-01   7.76984       1.79696       1.78987       1.70751       1.42721       1.04726       0.00000       1.70855    
  0.691816E-03   34.6883       3.17470       4.42525       3.11029       4.38529      0.644089E-01  0.399572E-01   7.49558       1.73767       1.73111       1.64855       1.37263       1.00459       0.00000       1.64958    
  0.758561E-03   33.2573       3.06667       4.27080       2.99943       4.22934      0.672372E-01  0.414633E-01   7.22877       1.67988       1.67389       1.59119       1.31956      0.963251       0.00000       1.59219    
  0.831745E-03   31.8706       2.96164       4.12061       2.89143       4.07758      0.702037E-01  0.430351E-01   6.96901       1.62350       1.61813       1.53531       1.26793      0.923148       0.00000       1.53630    
  0.911989E-03   30.5292       2.85966       3.97476       2.78634       3.93009      0.733129E-01  0.446722E-01   6.71643       1.56858       1.56386       1.48097       1.21776      0.884313       0.00000       1.48192    
  0.999975E-03   29.2311       2.76062       3.83306       2.68407       3.78669      0.765511E-01  0.463717E-01   6.47076       1.51505       1.51101       1.42809       1.16902      0.846690       0.00000       1.42899    
  0.109645E-02   27.9743       2.66441       3.69532       2.58452       3.64719      0.798983E-01  0.481318E-01   6.23171       1.46287       1.45952       1.37660       1.12165      0.810220       0.00000       1.37745    
  0.120223E-02   26.7598       2.57109       3.56163       2.48774       3.51168      0.833581E-01  0.499524E-01   5.99941       1.41206       1.40941       1.32655       1.07567      0.774932       0.00000       1.32733    
