After minimisation   12373.48  1106    11.188

  Partial chi2s 
Dataset    1    689.90(+13.05)   363  HERA1+2 NCep 920                                
Dataset    2     84.49( +1.47)    68  HERA1+2 NCep 820                                
Dataset    3    230.12( +5.80)   249  HERA1+2 NCep 575                                
Dataset    4    223.53( +1.46)   200  HERA1+2 NCep 460                                
Dataset    5    390.88( -0.12)   159  HERA1+2 NCem                                    
Dataset    6   5618.39(-12.03)    39  HERA1+2 CCep                                    
Dataset    7   4339.12(+35.09)    42  HERA1+2 CCem                                    

 Correlated Chi2    752.34493534417675     
 Log penalty Chi2    44.708440754316143     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          1.4270   +/-   0.9326        :N:M:D
    2  sysHZComb1002                         -0.3681   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.3928   +/-   0.5562        :N:M:D
    4  sysHZComb1004                          1.8575   +/-   0.6186        :N:M:D
    5  sysHZComb1005                          3.1847   +/-   0.6096        :N:M:D
    6  sysHZComb1006                         -1.4520   +/-   0.7891        :N:M:D
    7  sysHZComb1007                          0.1486   +/-   0.9987        :N:M:D
    8  sysHZComb1008                          0.0657   +/-   0.9992        :N:M:D
    9  sysHZComb1009                          0.2313   +/-   0.8990        :N:M:D
   10  sysHZComb1010                         -0.0383   +/-   0.9942        :N:M:D
   11  sysHZComb1011                         -0.5330   +/-   0.9683        :N:M:D
   12  sysHZComb1012                         -0.0052   +/-   0.9744        :N:M:D
   13  sysHZComb1013                         -0.7766   +/-   0.9657        :N:M:D
   14  sysHZComb1014                          0.0287   +/-   0.9896        :N:M:D
   15  sysHZComb1015                          0.5677   +/-   0.9718        :N:M:D
   16  sysHZComb1016                         -0.2398   +/-   0.9751        :N:M:D
   17  sysHZComb1017                         -0.8222   +/-   0.9726        :N:M:D
   18  sysHZComb1018                         -0.9334   +/-   0.8225        :N:M:D
   19  sysHZComb1019                         -0.3928   +/-   0.9857        :N:M:D
   20  sysHZComb1020                         -0.4538   +/-   0.9851        :N:M:D
   21  sysHZComb1021                         -0.5099   +/-   0.9823        :N:M:D
   22  sysHZComb1022                         -0.7469   +/-   0.9724        :N:M:D
   23  sysHZComb1023                          0.7073   +/-   0.9457        :N:M:D
   24  sysHZComb1024                          1.1715   +/-   0.9880        :N:M:D
   25  sysHZComb1025                         -0.0549   +/-   0.9938        :N:M:D
   26  sysHZComb1026                         -0.0860   +/-   0.9286        :N:M:D
   27  sysHZComb1027                         -1.1126   +/-   0.9570        :N:M:D
   28  sysHZComb1028                          1.0619   +/-   0.9786        :N:M:D
   29  sysHZComb1029                         -0.8605   +/-   0.9234        :N:M:D
   30  sysHZComb1030                         -0.2106   +/-   0.9608        :N:M:D
