   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   38.4169       3.37747       4.44625       3.36793       4.44307      0.954280E-02  0.317858E-02   7.81100       1.99698       1.99650       1.83516       1.37095      0.611588       0.00000       1.83498    
  0.109648E-03   37.4073       3.29065       4.33323       3.28050       4.32984      0.101522E-01  0.338738E-02   7.61034       1.94853       1.94801       1.78860       1.33198      0.593407       0.00000       1.78843    
  0.120226E-03   36.4146       3.20557       4.22238       3.19477       4.21877      0.108006E-01  0.361073E-02   7.41354       1.90096       1.90041       1.74292       1.29380      0.575622       0.00000       1.74274    
  0.131825E-03   35.4389       3.12221       4.11369       3.11072       4.10984      0.114904E-01  0.384968E-02   7.22055       1.85429       1.85369       1.69810       1.25643      0.558227       0.00000       1.69792    
  0.144543E-03   34.4801       3.04055       4.00712       3.02832       4.00301      0.122242E-01  0.410539E-02   7.03134       1.80849       1.80784       1.65414       1.21983      0.541218       0.00000       1.65396    
  0.158489E-03   33.5380       2.96058       3.90266       2.94758       3.89828      0.130049E-01  0.437911E-02   6.84586       1.76356       1.76286       1.61102       1.18402      0.524589       0.00000       1.61083    
  0.173779E-03   32.6128       2.88229       3.80029       2.86846       3.79562      0.138353E-01  0.467216E-02   6.66407       1.71949       1.71873       1.56874       1.14897      0.508335       0.00000       1.56855    
  0.190545E-03   31.7043       2.80567       3.69998       2.79095       3.69500      0.147187E-01  0.498599E-02   6.48594       1.67626       1.67545       1.52728       1.11468      0.492451       0.00000       1.52710    
  0.208928E-03   30.8125       2.73069       3.60172       2.71503       3.59639      0.156585E-01  0.532214E-02   6.31142       1.63388       1.63300       1.48665       1.08115      0.476931       0.00000       1.48646    
  0.229085E-03   29.9372       2.65734       3.50547       2.64068       3.49979      0.166581E-01  0.568228E-02   6.14047       1.59233       1.59138       1.44682       1.04836      0.461770       0.00000       1.44664    
  0.251186E-03   29.0784       2.58561       3.41122       2.56789       3.40515      0.177213E-01  0.606820E-02   5.97304       1.55160       1.55057       1.40780       1.01630      0.446964       0.00000       1.40762    
  0.275420E-03   28.2360       2.51549       3.31894       2.49663       3.31246      0.188521E-01  0.648182E-02   5.80910       1.51168       1.51057       1.36957      0.984960      0.432505       0.00000       1.36938    
  0.301992E-03   27.4099       2.44695       3.22861       2.42689       3.22169      0.200548E-01  0.692523E-02   5.64858       1.47256       1.47137       1.33211      0.954337      0.418390       0.00000       1.33193    
  0.331127E-03   26.5999       2.37998       3.14021       2.35864       3.13281      0.213338E-01  0.740065E-02   5.49145       1.43423       1.43294       1.29543      0.924419      0.404613       0.00000       1.29525    
  0.363073E-03   25.8061       2.31456       3.05370       2.29187       3.04579      0.226940E-01  0.791048E-02   5.33766       1.39668       1.39530       1.25951      0.895195      0.391168       0.00000       1.25933    
  0.398101E-03   25.0281       2.25069       2.96908       2.22655       2.96062      0.241402E-01  0.845730E-02   5.18717       1.35989       1.35841       1.22433      0.866655      0.378051       0.00000       1.22416    
  0.436509E-03   24.2660       2.18834       2.88630       2.16266       2.87725      0.256780E-01  0.904389E-02   5.03992       1.32387       1.32228       1.18989      0.838789      0.365255       0.00000       1.18972    
  0.478622E-03   23.5196       2.12750       2.80535       2.10018       2.79567      0.273129E-01  0.967323E-02   4.89586       1.28860       1.28688       1.15619      0.811588      0.352775       0.00000       1.15602    
  0.524798E-03   22.7888       2.06815       2.72620       2.03910       2.71585      0.290508E-01  0.103485E-01   4.75495       1.25406       1.25221       1.12319      0.785040      0.340606       0.00000       1.12303    
  0.575429E-03   22.0733       2.01028       2.64883       1.97938       2.63775      0.308982E-01  0.110732E-01   4.61713       1.22024       1.21826       1.09091      0.759136      0.328744       0.00000       1.09075    
  0.630945E-03   21.3731       1.95387       2.57320       1.92101       2.56135      0.328617E-01  0.118510E-01   4.48236       1.18714       1.18501       1.05932      0.733865      0.317181       0.00000       1.05916    
  0.691816E-03   20.6881       1.89891       2.49931       1.86396       2.48663      0.349482E-01  0.126858E-01   4.35058       1.15474       1.15245       1.02841      0.709215      0.305914       0.00000       1.02826    
  0.758561E-03   20.0180       1.84538       2.42712       1.80821       2.41354      0.371653E-01  0.135819E-01   4.22175       1.12303       1.12057      0.998170      0.685177      0.294937       0.00000      0.998031    
  0.831745E-03   19.3627       1.79327       2.35661       1.75374       2.34206      0.395207E-01  0.145438E-01   4.09581       1.09200       1.08936      0.968592      0.661741      0.284244       0.00000      0.968460    
  0.911989E-03   18.7221       1.74256       2.28775       1.70053       2.27217      0.420227E-01  0.155766E-01   3.97271       1.06164       1.05880      0.939661      0.638894      0.273830       0.00000      0.939539    
  0.999975E-03   18.0959       1.69324       2.22052       1.64856       2.20383      0.446800E-01  0.166853E-01   3.85239       1.03193       1.02889      0.911367      0.616626      0.263691       0.00000      0.911253    
  0.109645E-02   17.4841       1.64529       2.15489       1.59779       2.13701      0.475017E-01  0.178755E-01   3.73481       1.00286      0.999599      0.883698      0.594927      0.253821       0.00000      0.883593    
  0.120223E-02   16.8864       1.59871       2.09084       1.54821       2.07169      0.504974E-01  0.191534E-01   3.61990      0.974429      0.970926      0.856640      0.573786      0.244215       0.00000      0.856545    
  0.131822E-02   16.3027       1.55348       2.02835       1.49980       2.00782      0.536770E-01  0.205252E-01   3.50762      0.946610      0.942856      0.830182      0.553191      0.234867       0.00000      0.830098    
  0.144540E-02   15.7327       1.50958       1.96739       1.45253       1.94539      0.570512E-01  0.219978E-01   3.39792      0.919397      0.915375      0.804311      0.533133      0.225774       0.00000      0.804239    
  0.158485E-02   15.1764       1.46701       1.90793       1.40638       1.88435      0.606310E-01  0.235786E-01   3.29073      0.892777      0.888469      0.779016      0.513599      0.216929       0.00000      0.778956    
  0.173775E-02   14.6336       1.42574       1.84996       1.36132       1.82469      0.644277E-01  0.252751E-01   3.18600      0.866737      0.862124      0.754284      0.494579      0.208328       0.00000      0.754237    
  0.190540E-02   14.1039       1.38578       1.79346       1.31733       1.76636      0.684535E-01  0.270959E-01   3.08369      0.841265      0.836328      0.730102      0.476062      0.199966       0.00000      0.730068    
  0.208923E-02   13.5874       1.34711       1.73839       1.27438       1.70934      0.727208E-01  0.290495E-01   2.98372      0.816347      0.811065      0.706458      0.458037      0.191837       0.00000      0.706438    
  0.229079E-02   13.0837       1.30971       1.68474       1.23247       1.65359      0.772426E-01  0.311454E-01   2.88606      0.791971      0.786322      0.683338      0.440494      0.183938       0.00000      0.683333    
  0.251180E-02   12.5927       1.27358       1.63248       1.19155       1.59909      0.820322E-01  0.333935E-01   2.79063      0.768124      0.762085      0.660732      0.423421      0.176263       0.00000      0.660741    
  0.275413E-02   12.1142       1.23870       1.58160       1.15160       1.54580      0.871037E-01  0.358041E-01   2.69740      0.744792      0.738340      0.638624      0.406809      0.168808       0.00000      0.638649    
  0.301984E-02   11.6480       1.20508       1.53207       1.11261       1.49368      0.924711E-01  0.383885E-01   2.60629      0.721962      0.715072      0.617003      0.390645      0.161568       0.00000      0.617044    
  0.331118E-02   11.1940       1.17269       1.48388       1.07454       1.44272      0.981494E-01  0.411581E-01   2.51726      0.699622      0.692266      0.595856      0.374920      0.154539       0.00000      0.595913    
  0.363064E-02   10.7518       1.14153       1.43699       1.03738       1.39287      0.104153      0.441252E-01   2.43025      0.677757      0.669909      0.575171      0.359623      0.147715       0.00000      0.575244    
  0.398091E-02   10.3214       1.11160       1.39140       1.00110       1.34410      0.110498      0.473027E-01   2.34520      0.656353      0.647985      0.554933      0.344744      0.141092       0.00000      0.555023    
  0.436498E-02   9.90245       1.08287       1.34709      0.965672       1.29638      0.117200      0.507040E-01   2.26206      0.635399      0.626480      0.535131      0.330273      0.134667       0.00000      0.535237    
  0.478610E-02   9.49484       1.05535       1.30403      0.931078       1.24969      0.124274      0.543430E-01   2.18077      0.614880      0.605380      0.515751      0.316198      0.128434       0.00000      0.515874    
  0.524785E-02   9.09834       1.02903       1.26221      0.897293       1.20398      0.131736      0.582341E-01   2.10127      0.594782      0.584669      0.496781      0.302512      0.122390       0.00000      0.496921    
  0.575415E-02   8.71276       1.00390       1.22162      0.864294       1.15923      0.139602      0.623923E-01   2.02352      0.575091      0.564334      0.478208      0.289203      0.116531       0.00000      0.478366    
  0.630929E-02   8.33788      0.979943       1.18224      0.832057       1.11541      0.147886      0.668330E-01   1.94746      0.555795      0.544359      0.460020      0.276262      0.110851       0.00000      0.460195    
  0.691799E-02   7.97350      0.957164       1.14405      0.800560       1.07248      0.156605      0.715717E-01   1.87304      0.536880      0.524731      0.442205      0.263680      0.105348       0.00000      0.442396    
  0.758542E-02   7.61942      0.935551       1.10704      0.769779       1.03041      0.165771      0.766243E-01   1.80019      0.518331      0.505436      0.424750      0.251448      0.100018       0.00000      0.424957    
  0.831724E-02   7.27543      0.915094       1.07119      0.739694      0.989182      0.175400      0.820066E-01   1.72888      0.500136      0.486459      0.407644      0.239557      0.948567E-01   0.00000      0.407866    
  0.911966E-02   6.94133      0.895784       1.03650      0.710281      0.948761      0.185503      0.877343E-01   1.65904      0.482282      0.467788      0.390875      0.227999      0.898606E-01   0.00000      0.391112    
  0.999950E-02   6.61690      0.877611       1.00294      0.681520      0.909120      0.196091      0.938228E-01   1.59064      0.464754      0.449410      0.374432      0.216766      0.850263E-01   0.00000      0.374684    
  0.109642E-01   6.30195      0.860564      0.970519      0.653391      0.870232      0.207174      0.100287       1.52362      0.447540      0.431311      0.358305      0.205850      0.803504E-01   0.00000      0.358570    
  0.120220E-01   5.99626      0.844631      0.939213      0.625872      0.832073      0.218759      0.107140       1.45795      0.430628      0.413482      0.342483      0.195244      0.758299E-01   0.00000      0.342762    
  0.131819E-01   5.69964      0.829796      0.909014      0.598945      0.794619      0.230851      0.114395       1.39356      0.414004      0.395910      0.326958      0.184941      0.714615E-01   0.00000      0.327248    
  0.144536E-01   5.41188      0.816044      0.879911      0.572592      0.757849      0.243452      0.122062       1.33044      0.397657      0.378585      0.311721      0.174935      0.672425E-01   0.00000      0.312021    
  0.158481E-01   5.13279      0.803356      0.851894      0.546795      0.721743      0.256561      0.130150       1.26854      0.381575      0.361500      0.296764      0.165219      0.631700E-01   0.00000      0.297074    
  0.173770E-01   4.86216      0.791710      0.824949      0.521538      0.686285      0.270172      0.138664       1.20782      0.365748      0.344646      0.282080      0.155790      0.592416E-01   0.00000      0.282398    
  0.190535E-01   4.59982      0.781081      0.799066      0.496805      0.651460      0.284275      0.147606       1.14827      0.350164      0.328017      0.267664      0.146642      0.554547E-01   0.00000      0.267989    
  0.208917E-01   4.34557      0.771440      0.774231      0.472584      0.617258      0.298856      0.156972       1.08984      0.334813      0.311610      0.253511      0.137771      0.518071E-01   0.00000      0.253841    
  0.229073E-01   4.09923      0.762754      0.750427      0.448862      0.583671      0.313892      0.166756       1.03253      0.319688      0.295421      0.239620      0.129174      0.482969E-01   0.00000      0.239954    
  0.251174E-01   3.86064      0.754987      0.727637      0.425629      0.550696      0.329358      0.176941      0.976325      0.304781      0.279450      0.225988      0.120848      0.449220E-01   0.00000      0.226324    
  0.275406E-01   3.62962      0.748093      0.705839      0.402875      0.518333      0.345217      0.187506      0.921209      0.290084      0.263700      0.212617      0.112791      0.416809E-01   0.00000      0.212953    
  0.301976E-01   3.40604      0.742024      0.685008      0.380596      0.486589      0.361428      0.198419      0.867185      0.275593      0.248175      0.199508      0.105003      0.385720E-01   0.00000      0.199843    
  0.331110E-01   3.18975      0.736724      0.665113      0.358785      0.455474      0.377939      0.209638      0.814259      0.261303      0.232882      0.186666      0.974822E-01  0.355940E-01   0.00000      0.186998    
  0.363055E-01   2.98063      0.732131      0.646115      0.337441      0.425005      0.394689      0.221110      0.762447      0.247212      0.217834      0.174099      0.902293E-01  0.327456E-01   0.00000      0.174426    
  0.398081E-01   2.77856      0.728173      0.627971      0.316566      0.395204      0.411607      0.232766      0.711770      0.233321      0.203043      0.161814      0.832451E-01  0.300260E-01   0.00000      0.162135    
  0.436487E-01   2.58345      0.724773      0.610624      0.296161      0.366100      0.428611      0.244524      0.662261      0.219630      0.188528      0.149825      0.765314E-01  0.274342E-01   0.00000      0.150138    
  0.478598E-01   2.39524      0.721841      0.594010      0.276234      0.337728      0.445608      0.256282      0.613962      0.206143      0.174309      0.138146      0.700903E-01  0.249695E-01   0.00000      0.138449    
  0.524772E-01   2.21386      0.719283      0.578051      0.256793      0.310130      0.462490      0.267921      0.566923      0.192868      0.160414      0.126793      0.639246E-01  0.226312E-01   0.00000      0.127085    
  0.575400E-01   2.03929      0.716991      0.562655      0.237852      0.283354      0.479139      0.279301      0.521205      0.179814      0.146869      0.115786      0.580377E-01  0.204188E-01   0.00000      0.116066    
  0.630913E-01   1.87151      0.714848      0.547713      0.219426      0.257454      0.495422      0.290259      0.476880      0.166992      0.133709      0.105147      0.524332E-01  0.183318E-01   0.00000      0.105413    
  0.691782E-01   1.71053      0.712725      0.533102      0.201534      0.232492      0.511191      0.300610      0.434026      0.154419      0.120970      0.949005E-01  0.471151E-01  0.163696E-01   0.00000      0.951520E-01
  0.758523E-01   1.55641      0.710481      0.518676      0.184200      0.208532      0.526281      0.310144      0.392732      0.142113      0.108691      0.850734E-01  0.420874E-01  0.145316E-01   0.00000      0.853091E-01
  0.831703E-01   1.40918      0.707961      0.504275      0.167450      0.185645      0.540511      0.318629      0.353096      0.130096      0.969154E-01  0.756934E-01  0.373540E-01  0.128172E-01   0.00000      0.759127E-01
  0.911943E-01   1.26894      0.704994      0.489714      0.151314      0.163904      0.553680      0.325811      0.315218      0.118396      0.856862E-01  0.667897E-01  0.329186E-01  0.112256E-01   0.00000      0.669919E-01
  0.999925E-01   1.13578      0.701388      0.474796      0.135825      0.143381      0.565562      0.331415      0.279206      0.107041      0.750487E-01  0.583916E-01  0.287844E-01  0.975557E-02   0.00000      0.585763E-01
  0.109639       1.00980      0.696929      0.459303      0.121020      0.124148      0.575909      0.335155      0.245168      0.960661E-01  0.650474E-01  0.505279E-01  0.249538E-01  0.840591E-02   0.00000      0.506950E-01
  0.120217      0.891150      0.691373      0.443009      0.106936      0.106275      0.584437      0.336734      0.213211      0.855081E-01  0.557248E-01  0.432255E-01  0.214280E-01  0.717485E-02   0.00000      0.433752E-01
  0.131815      0.779944      0.684444      0.425681      0.936148E-01  0.898212E-01  0.590829      0.335860      0.183436      0.754075E-01  0.471198E-01  0.365086E-01  0.182073E-01  0.606027E-02   0.00000      0.366412E-01
  0.144533      0.676313      0.675817      0.407090      0.810976E-01  0.748380E-01  0.594720      0.332252      0.155936      0.658075E-01  0.392657E-01  0.303969E-01  0.152901E-01  0.505952E-02   0.00000      0.305128E-01
  0.158477      0.580381      0.665122      0.387022      0.694258E-01  0.613615E-01  0.595696      0.325661      0.130787      0.567528E-01  0.321878E-01  0.249043E-01  0.126730E-01  0.416941E-02   0.00000      0.250042E-01
  0.173766      0.492249      0.651924      0.365295      0.586393E-01  0.494104E-01  0.593284      0.315885      0.108050      0.482888E-01  0.259019E-01  0.200375E-01  0.103506E-01  0.338611E-02   0.00000      0.201224E-01
  0.190530      0.411994      0.635726      0.341774      0.487747E-01  0.389819E-01  0.586952      0.302792      0.877566E-01  0.404598E-01  0.204115E-01  0.157944E-01  0.831484E-02  0.270509E-02   0.00000      0.158653E-01
  0.208912      0.339654      0.615969      0.316398      0.398626E-01  0.300492E-01  0.576106      0.286349      0.699118E-01  0.333072E-01  0.157068E-01  0.121631E-01  0.655542E-02  0.212116E-02   0.00000      0.122212E-01
  0.229067      0.275218      0.592040      0.289200      0.319259E-01  0.225587E-01  0.560114      0.266641      0.544846E-01  0.268668E-01  0.117627E-01  0.912099E-02  0.505913E-02  0.162834E-02   0.00000      0.916768E-02
  0.251167      0.218609      0.563305      0.260331      0.249763E-01  0.164297E-01  0.538329      0.243902      0.414060E-01  0.211663E-01  0.853877E-02  0.663437E-02  0.381005E-02  0.121995E-02   0.00000      0.667099E-02
  0.275399      0.169676      0.529163      0.230090      0.190115E-01  0.115550E-01  0.510152      0.218535      0.305665E-01  0.162220E-01  0.597953E-02  0.465889E-02  0.278952E-02  0.888649E-03   0.00000      0.468683E-02
  0.301969      0.128180      0.489134      0.198932      0.140122E-01  0.780370E-02  0.475122      0.191128      0.218159E-01  0.120358E-01  0.401595E-02  0.314064E-02  0.197640E-02  0.626457E-03   0.00000      0.316130E-02
  0.331102      0.937827E-01  0.442988      0.167484      0.993987E-02  0.502615E-02  0.433048      0.162457      0.149660E-01  0.859252E-02  0.256828E-02  0.201821E-02  0.134736E-02  0.424932E-03   0.00000      0.203294E-02
  0.363046      0.660387E-01  0.390909      0.136530      0.673462E-02  0.306097E-02  0.384174      0.133469      0.979559E-02  0.585715E-02  0.155004E-02  0.122556E-02  0.877466E-03  0.275326E-03   0.00000      0.123560E-02
  0.398071      0.443925E-01  0.333695      0.106981      0.431529E-02  0.174367E-02  0.329379      0.105237      0.605897E-02  0.377441E-02  0.872868E-03  0.695496E-03  0.540881E-03  0.168806E-03   0.00000      0.701999E-03
  0.436476      0.281812E-01  0.272942      0.798129E-01  0.258108E-02  0.916146E-03  0.270361      0.788968E-01  0.349722E-02  0.226931E-02  0.451911E-03  0.363560E-03  0.311766E-03  0.967303E-04   0.00000      0.367505E-03
  0.478586      0.166474E-01  0.211167      0.559693E-01  0.141575E-02  0.435781E-03  0.209752      0.555335E-01  0.185153E-02  0.125044E-02  0.210922E-03  0.171709E-03  0.165313E-03  0.509428E-04   0.00000      0.173916E-03
  0.524759      0.896265E-02  0.151767      0.362368E-01  0.694650E-03  0.182917E-03  0.151072      0.360539E-01  0.877568E-03  0.615831E-03  0.863780E-04  0.713421E-04  0.788191E-04  0.240850E-04   0.00000      0.724542E-04
  0.575386      0.426518E-02  0.986938E-01  0.211011E-01  0.293975E-03  0.653035E-04  0.983998E-01  0.210358E-01  0.359278E-03  0.261286E-03  0.298532E-04  0.250852E-04  0.326888E-04  0.987746E-05   0.00000      0.255728E-04
  0.630897      0.171068E-02  0.557605E-01  0.106130E-01  0.101414E-03  0.187462E-04  0.556591E-01  0.105943E-01  0.120160E-03  0.902076E-04  0.820503E-05  0.703248E-05  0.112062E-04  0.333239E-05   0.00000      0.720876E-05
  0.691764      0.533830E-03  0.255779E-01  0.430869E-02  0.259488E-04  0.394195E-05  0.255520E-01  0.430475E-02  0.298908E-04  0.230311E-04  0.162497E-05  0.142237E-05  0.291771E-05  0.846639E-06   0.00000      0.147034E-05
  0.758504      0.111559E-03  0.839332E-02  0.124387E-02  0.412776E-05  0.510279E-06  0.838919E-02  0.124336E-02  0.463804E-05  0.363474E-05  0.192765E-06  0.171833E-06  0.493028E-06  0.137398E-06   0.00000      0.180117E-06
  0.831682      0.111530E-04  0.148387E-02  0.192143E-03  0.275184E-06  0.275854E-07  0.148360E-02  0.192115E-03  0.302769E-06  0.237079E-06  0.901818E-08  0.808008E-08  0.381046E-07  0.986940E-08   0.00000      0.869780E-08
  0.911920      0.182986E-06  0.572784E-04  0.641386E-05  0.220449E-08  0.188178E-09  0.572762E-04  0.641368E-05  0.239267E-08  0.176120E-08  0.444695E-10  0.396220E-10  0.443288E-09  0.982630E-10   0.00000      0.454451E-10
  0.999900      0.254070E-14  -.135815E-12  0.471158E-14  0.165867E-16  0.146681E-17  -.135831E-12  0.471011E-14  0.180535E-16  0.114635E-16  0.288188E-18  0.156939E-18  0.512324E-17  0.974472E-18   0.00000      0.204145E-18
