   3.00000000             101          15   9.99999997E-07  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-05   3.08553       1.12202       1.75875       1.12153       1.75871      0.494358E-03  0.358200E-04   2.88024       1.12153       1.12152      0.637190       0.00000       0.00000       0.00000      0.637190    
  0.114815E-05   3.33999       1.10530       1.73491       1.10476       1.73487      0.541337E-03  0.401806E-04   2.83963       1.10476       1.10475      0.630116       0.00000       0.00000       0.00000      0.630116    
  0.131825E-05   3.57700       1.08865       1.71100       1.08806       1.71095      0.593038E-03  0.451073E-04   2.79901       1.08806       1.08805      0.622903       0.00000       0.00000       0.00000      0.622903    
  0.151356E-05   3.79815       1.07208       1.68704       1.07143       1.68699      0.649687E-03  0.506433E-04   2.75842       1.07143       1.07142      0.615571       0.00000       0.00000       0.00000      0.615571    
  0.173779E-05   4.00419       1.05559       1.66305       1.05488       1.66299      0.711705E-03  0.568583E-04   2.71786       1.05488       1.05486      0.608130       0.00000       0.00000       0.00000      0.608130    
  0.199525E-05   4.19573       1.03918       1.63904       1.03840       1.63898      0.779596E-03  0.638355E-04   2.67738       1.03840       1.03839      0.600590       0.00000       0.00000       0.00000      0.600590    
  0.229085E-05   4.37338       1.02288       1.61503       1.02202       1.61496      0.853912E-03  0.716682E-04   2.63698       1.02202       1.02200      0.592961       0.00000       0.00000       0.00000      0.592961    
  0.263025E-05   4.53769       1.00667       1.59104       1.00573       1.59096      0.935255E-03  0.804615E-04   2.59669       1.00573       1.00571      0.585251       0.00000       0.00000       0.00000      0.585251    
  0.301993E-05   4.68922      0.990567       1.56708      0.989543       1.56699      0.102428E-02  0.903332E-04   2.55653      0.989543      0.989516      0.577470       0.00000       0.00000       0.00000      0.577470    
  0.346734E-05   4.82850      0.974579       1.54315      0.973457       1.54305      0.112171E-02  0.101415E-03   2.51651      0.973457      0.973426      0.569624       0.00000       0.00000       0.00000      0.569624    
  0.398103E-05   4.95605      0.958708       1.51928      0.957480       1.51917      0.122834E-02  0.113857E-03   2.47665      0.957480      0.957445      0.561724       0.00000       0.00000       0.00000      0.561724    
  0.457083E-05   5.07237      0.942960       1.49548      0.941615       1.49535      0.134501E-02  0.127824E-03   2.43697      0.941615      0.941576      0.553775       0.00000       0.00000       0.00000      0.553775    
  0.524801E-05   5.17794      0.927340       1.47175      0.925867       1.47161      0.147266E-02  0.143504E-03   2.39748      0.925867      0.925823      0.545785       0.00000       0.00000       0.00000      0.545785    
  0.602552E-05   5.27323      0.911853       1.44811      0.910240       1.44795      0.161232E-02  0.161107E-03   2.35819      0.910240      0.910190      0.537761       0.00000       0.00000       0.00000      0.537761    
  0.691821E-05   5.35868      0.896503       1.42457      0.894737       1.42439      0.176511E-02  0.180869E-03   2.31913      0.894737      0.894681      0.529709       0.00000       0.00000       0.00000      0.529709    
  0.794316E-05   5.43474      0.881294       1.40114      0.879362       1.40093      0.193224E-02  0.203055E-03   2.28030      0.879362      0.879298      0.521636       0.00000       0.00000       0.00000      0.521636    
  0.911996E-05   5.50181      0.866232       1.37782      0.864117       1.37759      0.211505E-02  0.227962E-03   2.24171      0.864117      0.864045      0.513548       0.00000       0.00000       0.00000      0.513548    
  0.104711E-04   5.56032      0.851320       1.35463      0.849005       1.35437      0.231499E-02  0.255923E-03   2.20338      0.849005      0.848924      0.505450       0.00000       0.00000       0.00000      0.505450    
