   4.00000000             101          15   9.99999997E-07  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-05   10.3834       1.30448       2.11157       1.30385       2.11153      0.624082E-03  0.368995E-04   3.41538       1.30385       1.30384      0.807695       0.00000       0.00000       0.00000      0.807695    
  0.114815E-05   10.3396       1.28092       2.07486       1.28024       2.07482      0.681622E-03  0.413455E-04   3.35506       1.28024       1.28022      0.794603       0.00000       0.00000       0.00000      0.794603    
  0.131825E-05   10.2904       1.25770       2.03858       1.25695       2.03853      0.744770E-03  0.463635E-04   3.29548       1.25695       1.25693      0.781603       0.00000       0.00000       0.00000      0.781603    
  0.151356E-05   10.2364       1.23478       2.00269       1.23397       2.00264      0.813774E-03  0.519965E-04   3.23661       1.23397       1.23394      0.768692       0.00000       0.00000       0.00000      0.768692    
  0.173779E-05   10.1779       1.21218       1.96719       1.21129       1.96713      0.889116E-03  0.583141E-04   3.17843       1.21129       1.21126      0.755871       0.00000       0.00000       0.00000      0.755871    
  0.199525E-05   10.1151       1.18989       1.93209       1.18892       1.93203      0.971372E-03  0.653998E-04   3.12095       1.18892       1.18888      0.743143       0.00000       0.00000       0.00000      0.743143    
  0.229085E-05   10.0482       1.16790       1.89739       1.16684       1.89731      0.106117E-02  0.733470E-04   3.06415       1.16684       1.16680      0.730510       0.00000       0.00000       0.00000      0.730510    
  0.263025E-05   9.97744       1.14622       1.86307       1.14506       1.86299      0.115920E-02  0.822608E-04   3.00805       1.14506       1.14502      0.717974       0.00000       0.00000       0.00000      0.717974    
  0.301993E-05   9.90296       1.12484       1.82915       1.12357       1.82906      0.126619E-02  0.922589E-04   2.95263       1.12357       1.12352      0.705535       0.00000       0.00000       0.00000      0.705535    
  0.346734E-05   9.82498       1.10376       1.79562       1.10237       1.79552      0.138298E-02  0.103474E-03   2.89789       1.10237       1.10232      0.693197       0.00000       0.00000       0.00000      0.693197    
  0.398103E-05   9.74371       1.08298       1.76248       1.08147       1.76236      0.151043E-02  0.116053E-03   2.84383       1.08147       1.08140      0.680960       0.00000       0.00000       0.00000      0.680960    
  0.457083E-05   9.65931       1.06249       1.72973       1.06084       1.72960      0.164951E-02  0.130164E-03   2.79044       1.06084       1.06077      0.668826       0.00000       0.00000       0.00000      0.668826    
  0.524801E-05   9.57197       1.04231       1.69737       1.04051       1.69722      0.180127E-02  0.145994E-03   2.73773       1.04051       1.04043      0.656796       0.00000       0.00000       0.00000      0.656796    
  0.602552E-05   9.48186       1.02242       1.66540       1.02045       1.66523      0.196686E-02  0.163752E-03   2.68568       1.02045       1.02036      0.644871       0.00000       0.00000       0.00000      0.644871    
  0.691821E-05   9.38914       1.00282       1.63381       1.00067       1.63362      0.214752E-02  0.183673E-03   2.63429       1.00067       1.00057      0.633053       0.00000       0.00000       0.00000      0.633053    
  0.794316E-05   9.29398      0.983513       1.60260      0.981168       1.60240      0.234459E-02  0.206022E-03   2.58357      0.981168      0.981055      0.621342       0.00000       0.00000       0.00000      0.621342    
  0.911996E-05   9.19654      0.964498       1.57178      0.961939       1.57155      0.255957E-02  0.231096E-03   2.53349      0.961939      0.961812      0.609740       0.00000       0.00000       0.00000      0.609740    
  0.104711E-04   9.09696      0.945775       1.54134      0.942981       1.54108      0.279404E-02  0.259228E-03   2.48407      0.942981      0.942838      0.598247       0.00000       0.00000       0.00000      0.598247    
  0.120224E-04   8.99534      0.927348       1.51130      0.924298       1.51100      0.305040E-02  0.290898E-03   2.43530      0.924298      0.924138      0.586866       0.00000       0.00000       0.00000      0.586866    
  0.138036E-04   8.89181      0.909223       1.48164      0.905892       1.48131      0.333109E-02  0.326632E-03   2.38720      0.905892      0.905712      0.575601       0.00000       0.00000       0.00000      0.575601    
  0.158486E-04   8.78660      0.891386       1.45236      0.887748       1.45199      0.363734E-02  0.366772E-03   2.33974      0.887748      0.887546      0.564447       0.00000       0.00000       0.00000      0.564447    
  0.181966E-04   8.67982      0.873836       1.42346      0.869865       1.42304      0.397144E-02  0.411862E-03   2.29291      0.869865      0.869638      0.553405       0.00000       0.00000       0.00000      0.553405    
  0.208925E-04   8.57162      0.856575       1.39492      0.852239       1.39446      0.433589E-02  0.462516E-03   2.24670      0.852239      0.851985      0.542475       0.00000       0.00000       0.00000      0.542475    
  0.239878E-04   8.46211      0.839602       1.36676      0.834869       1.36624      0.473342E-02  0.519424E-03   2.20111      0.834869      0.834583      0.531657       0.00000       0.00000       0.00000      0.531657    
  0.275416E-04   8.35142      0.822917       1.33897      0.817750       1.33838      0.516697E-02  0.583360E-03   2.15613      0.817750      0.817430      0.520952       0.00000       0.00000       0.00000      0.520952    
  0.316220E-04   8.23966      0.806521       1.31154      0.800882       1.31088      0.563976E-02  0.655197E-03   2.11176      0.800882      0.800523      0.510360       0.00000       0.00000       0.00000      0.510360    
  0.363069E-04   8.12694      0.790416       1.28447      0.784260       1.28374      0.615530E-02  0.735913E-03   2.06800      0.784260      0.783858      0.499880       0.00000       0.00000       0.00000      0.499880    
  0.416858E-04   8.01338      0.774601       1.25777      0.767883       1.25695      0.671739E-02  0.826610E-03   2.02483      0.767883      0.767433      0.489514       0.00000       0.00000       0.00000      0.489514    
  0.478617E-04   7.89907      0.759079       1.23143      0.751749       1.23050      0.733016E-02  0.928526E-03   1.98225      0.751749      0.751244      0.479260       0.00000       0.00000       0.00000      0.479260    
  0.549525E-04   7.78411      0.743852       1.20545      0.735854       1.20441      0.799810E-02  0.104305E-02   1.94026      0.735854      0.735289      0.469120       0.00000       0.00000       0.00000      0.469120    
  0.630938E-04   7.66862      0.728922       1.17983      0.720196       1.17865      0.872610E-02  0.117176E-02   1.89885      0.720196      0.719563      0.459091       0.00000       0.00000       0.00000      0.459091    
  0.724413E-04   7.55267      0.714291       1.15456      0.704772       1.15324      0.951946E-02  0.131639E-02   1.85801      0.704772      0.704064      0.449175       0.00000       0.00000       0.00000      0.449175    
  0.831737E-04   7.43637      0.699964       1.12964      0.689580       1.12816      0.103839E-01  0.147894E-02   1.81774      0.689580      0.688788      0.439371       0.00000       0.00000       0.00000      0.439371    
  0.954961E-04   7.31981      0.685944       1.10507      0.674618       1.10341      0.113258E-01  0.166162E-02   1.77803      0.674618      0.673732      0.429679       0.00000       0.00000       0.00000      0.429679    
  0.109644E-03   7.20306      0.672235       1.08086      0.659883       1.07899      0.123518E-01  0.186693E-02   1.73887      0.659883      0.658892      0.420098       0.00000       0.00000       0.00000      0.420098    
  0.125888E-03   7.08622      0.658863       1.05701      0.645387       1.05491      0.134756E-01  0.209952E-02   1.70030      0.645387      0.644278      0.410635       0.00000       0.00000       0.00000      0.410635    
  0.144539E-03   6.96938      0.645815       1.03352      0.631114       1.03115      0.147008E-01  0.236136E-02   1.66227      0.631114      0.629873      0.401282       0.00000       0.00000       0.00000      0.401282    
  0.165953E-03   6.85262      0.633096       1.01037      0.617060       1.00771      0.160357E-01  0.265597E-02   1.62477      0.617060      0.615673      0.392038       0.00000       0.00000       0.00000      0.392038    
  0.190539E-03   6.73600      0.620713      0.987562      0.603224      0.984575      0.174897E-01  0.298745E-02   1.58780      0.603224      0.601672      0.382902       0.00000       0.00000       0.00000      0.382902    
  0.218768E-03   6.61962      0.608675      0.965103      0.589602      0.961743      0.190732E-01  0.336039E-02   1.55134      0.589602      0.587868      0.373875       0.00000       0.00000       0.00000      0.373875    
  0.251179E-03   6.50353      0.596991      0.942989      0.576193      0.939209      0.207975E-01  0.377999E-02   1.51540      0.576193      0.574255      0.364953       0.00000       0.00000       0.00000      0.364953    
  0.288391E-03   6.38782      0.585669      0.921219      0.562995      0.916967      0.226748E-01  0.425206E-02   1.47996      0.562995      0.560830      0.356138       0.00000       0.00000       0.00000      0.356138    
  0.331117E-03   6.27256      0.574722      0.899796      0.550004      0.895013      0.247181E-01  0.478314E-02   1.44502      0.550004      0.547586      0.347426       0.00000       0.00000       0.00000      0.347426    
  0.380173E-03   6.15780      0.564161      0.878718      0.537219      0.873338      0.269418E-01  0.538057E-02   1.41056      0.537219      0.534520      0.338818       0.00000       0.00000       0.00000      0.338818    
  0.436497E-03   6.04362      0.553999      0.857988      0.524638      0.851936      0.293610E-01  0.605258E-02   1.37657      0.524638      0.521625      0.330311       0.00000       0.00000       0.00000      0.330311    
  0.501165E-03   5.93009      0.544251      0.837608      0.512259      0.830800      0.319923E-01  0.680841E-02   1.34306      0.512259      0.508896      0.321904       0.00000       0.00000       0.00000      0.321904    
  0.575413E-03   5.81727      0.534932      0.817580      0.500078      0.809922      0.348537E-01  0.765841E-02   1.31000      0.500078      0.496327      0.313595       0.00000       0.00000       0.00000      0.313595    
  0.660662E-03   5.70522      0.526059      0.797907      0.488095      0.789293      0.379641E-01  0.861420E-02   1.27739      0.488095      0.483911      0.305382       0.00000       0.00000       0.00000      0.305382    
  0.758541E-03   5.59402      0.517650      0.778593      0.476306      0.768905      0.413444E-01  0.968875E-02   1.24521      0.476306      0.471642      0.297263       0.00000       0.00000       0.00000      0.297263    
  0.870921E-03   5.48373      0.509726      0.759642      0.464709      0.748746      0.450165E-01  0.108966E-01   1.21346      0.464709      0.459511      0.289235       0.00000       0.00000       0.00000      0.289235    
  0.999950E-03   5.37440      0.502307      0.741060      0.453302      0.728806      0.490043E-01  0.122540E-01   1.18211      0.453302      0.447511      0.281295       0.00000       0.00000       0.00000      0.281295    
  0.114809E-02   5.26615      0.495432      0.722864      0.442088      0.709079      0.533444E-01  0.137848E-01   1.15117      0.442088      0.435636      0.273443       0.00000       0.00000       0.00000      0.273443    
  0.131819E-02   5.15905      0.489135      0.705066      0.431065      0.689552      0.580699E-01  0.155133E-01   1.12062      0.431065      0.423877      0.265676       0.00000       0.00000       0.00000      0.265676    
  0.151348E-02   5.05311      0.483420      0.687659      0.420223      0.670203      0.631971E-01  0.174561E-01   1.09043      0.420223      0.412218      0.257985       0.00000       0.00000       0.00000      0.257985    
  0.173771E-02   4.94841      0.478315      0.670653      0.409558      0.651014      0.687568E-01  0.196389E-01   1.06057      0.409558      0.400647      0.250366       0.00000       0.00000       0.00000      0.250366    
  0.199515E-02   4.84500      0.473850      0.654059      0.399068      0.631968      0.747818E-01  0.220902E-01   1.03104      0.399068      0.389154      0.242815       0.00000       0.00000       0.00000      0.242815    
  0.229074E-02   4.74293      0.470054      0.637889      0.388747      0.613047      0.813068E-01  0.248417E-01   1.00179      0.388747      0.377723      0.235324       0.00000       0.00000       0.00000      0.235324    
  0.263012E-02   4.64226      0.466960      0.622157      0.378592      0.594229      0.883678E-01  0.279282E-01  0.972821      0.378592      0.366340      0.227888       0.00000       0.00000       0.00000      0.227888    
  0.301978E-02   4.54302      0.464601      0.606878      0.368598      0.575490      0.960025E-01  0.313883E-01  0.944088      0.368598      0.354990      0.220500       0.00000       0.00000       0.00000      0.220500    
  0.346716E-02   4.44525      0.463009      0.592069      0.358759      0.556805      0.104250      0.352642E-01  0.915564      0.358759      0.343655      0.213150       0.00000       0.00000       0.00000      0.213150    
  0.398083E-02   4.34897      0.462218      0.577749      0.349068      0.538148      0.113150      0.396019E-01  0.887216      0.349068      0.332317      0.205831       0.00000       0.00000       0.00000      0.205831    
  0.457060E-02   4.25418      0.462262      0.563939      0.339520      0.519488      0.122743      0.444516E-01  0.859008      0.339520      0.320955      0.198532       0.00000       0.00000       0.00000      0.198532    
  0.524775E-02   4.16084      0.463174      0.550661      0.330105      0.500794      0.133069      0.498674E-01  0.830899      0.330105      0.309551      0.191243       0.00000       0.00000       0.00000      0.191243    
  0.602522E-02   4.06891      0.464984      0.537941      0.320814      0.482033      0.144170      0.559076E-01  0.802847      0.320814      0.298080      0.183953       0.00000       0.00000       0.00000      0.183953    
  0.691787E-02   3.97828      0.467722      0.525803      0.311639      0.463170      0.156083      0.626338E-01  0.774809      0.311639      0.286521      0.176648       0.00000       0.00000       0.00000      0.176648    
  0.794276E-02   3.88882      0.471412      0.514279      0.302567      0.444168      0.168845      0.701111E-01  0.746735      0.302567      0.274851      0.169317       0.00000       0.00000       0.00000      0.169317    
  0.911951E-02   3.80031      0.476073      0.503395      0.293586      0.424991      0.182487      0.784041E-01  0.718577      0.293586      0.263045      0.161945       0.00000       0.00000       0.00000      0.161945    
  0.104706E-01   3.71229      0.481678      0.493141      0.284675      0.405597      0.197003      0.875443E-01  0.690272      0.284675      0.251082      0.154515       0.00000       0.00000       0.00000      0.154515    
  0.120218E-01   3.62484      0.488378      0.483684      0.275840      0.385950      0.212537      0.977340E-01  0.661791      0.275840      0.238930      0.147020       0.00000       0.00000       0.00000      0.147020    
  0.138029E-01   3.53720      0.496070      0.474976      0.267052      0.366024      0.229017      0.108953      0.633076      0.267052      0.226578      0.139445       0.00000       0.00000       0.00000      0.139445    
  0.158478E-01   3.44878      0.504735      0.467050      0.258295      0.345792      0.246441      0.121258      0.604087      0.258295      0.214012      0.131780       0.00000       0.00000       0.00000      0.131780    
  0.181957E-01   3.35884      0.514343      0.459937      0.249550      0.325242      0.264793      0.134695      0.574792      0.249550      0.201224      0.124017       0.00000       0.00000       0.00000      0.124017    
  0.208915E-01   3.26655      0.524845      0.453663      0.240802      0.304367      0.284043      0.149295      0.545169      0.240802      0.188214      0.116153       0.00000       0.00000       0.00000      0.116153    
  0.239866E-01   3.17090      0.536173      0.448246      0.232033      0.283182      0.304141      0.165065      0.515214      0.232033      0.174992      0.108190       0.00000       0.00000       0.00000      0.108190    
  0.275402E-01   3.07079      0.548241      0.443692      0.223228      0.261716      0.325013      0.181976      0.484944      0.223228      0.161580      0.100136       0.00000       0.00000       0.00000      0.100136    
