   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   1.14475      0.658296       1.00835      0.654363       1.00761      0.393222E-02  0.746701E-03   1.66197      0.589844      0.589593      0.418013      0.645192E-01   0.00000       0.00000      0.418013    
  0.109648E-03   1.28922      0.652202      0.998005      0.647982      0.997193      0.422059E-02  0.812196E-03   1.64517      0.583645      0.583373      0.413820      0.643370E-01   0.00000       0.00000      0.413820    
  0.120226E-03   1.42196      0.646075      0.987648      0.641532      0.986761      0.454386E-02  0.887418E-03   1.62829      0.577456      0.577161      0.409600      0.640760E-01   0.00000       0.00000      0.409600    
  0.131825E-03   1.55013      0.639941      0.977292      0.635058      0.976325      0.488336E-02  0.967285E-03   1.61138      0.571273      0.570953      0.405371      0.637849E-01   0.00000       0.00000      0.405371    
  0.144543E-03   1.67175      0.633796      0.966937      0.628550      0.965883      0.524611E-02  0.105380E-02   1.59443      0.565099      0.564754      0.401130      0.634506E-01   0.00000       0.00000      0.401130    
  0.158489E-03   1.78485      0.627648      0.956592      0.622003      0.955441      0.564492E-02  0.115091E-02   1.57744      0.558942      0.558567      0.396874      0.630614E-01   0.00000       0.00000      0.396874    
  0.173779E-03   1.89388      0.621502      0.946254      0.615439      0.945001      0.606274E-02  0.125370E-02   1.56044      0.552793      0.552388      0.392613      0.626462E-01   0.00000       0.00000      0.392613    
  0.190545E-03   1.99523      0.615364      0.935934      0.608845      0.934566      0.651942E-02  0.136822E-02   1.54341      0.546662      0.546224      0.388342      0.621825E-01   0.00000       0.00000      0.388342    
  0.208928E-03   2.09085      0.609243      0.925634      0.602232      0.924140      0.701065E-02  0.149345E-02   1.52637      0.540549      0.540074      0.384067      0.616835E-01   0.00000       0.00000      0.384067    
  0.229085E-03   2.18276      0.603133      0.915346      0.595608      0.913720      0.752448E-02  0.162571E-02   1.50933      0.534446      0.533933      0.379787      0.611619E-01   0.00000       0.00000      0.379787    
  0.251186E-03   2.26622      0.597062      0.905098      0.588963      0.903321      0.809927E-02  0.177740E-02   1.49228      0.528373      0.527817      0.375504      0.605895E-01   0.00000       0.00000      0.375504    
  0.275420E-03   2.34620      0.591015      0.894871      0.582312      0.892932      0.870391E-02  0.193887E-02   1.47524      0.522315      0.521712      0.371219      0.599970E-01   0.00000       0.00000      0.371219    
  0.301992E-03   2.42152      0.585001      0.884671      0.575652      0.882558      0.934869E-02  0.211349E-02   1.45821      0.516275      0.515623      0.366934      0.593774E-01   0.00000       0.00000      0.366934    
  0.331127E-03   2.49050      0.579044      0.874519      0.568986      0.872209      0.100585E-01  0.231004E-02   1.44119      0.510264      0.509558      0.362650      0.587221E-01   0.00000       0.00000      0.362650    
  0.363073E-03   2.55651      0.573120      0.864391      0.562318      0.861873      0.108022E-01  0.251818E-02   1.42419      0.504268      0.503505      0.358367      0.580506E-01   0.00000       0.00000      0.358367    
  0.398101E-03   2.61703      0.567263      0.854312      0.555649      0.851562      0.116133E-01  0.274969E-02   1.40721      0.498300      0.497475      0.354087      0.573492E-01   0.00000       0.00000      0.354087    
  0.436509E-03   2.67327      0.561470      0.844278      0.548983      0.841275      0.124870E-01  0.300351E-02   1.39026      0.492357      0.491464      0.349811      0.566256E-01   0.00000       0.00000      0.349811    
  0.478622E-03   2.72681      0.555718      0.834273      0.542318      0.831001      0.134009E-01  0.327169E-02   1.37332      0.486429      0.485465      0.345537      0.558881E-01   0.00000       0.00000      0.345537    
  0.524798E-03   2.77430      0.550081      0.824343      0.535660      0.820764      0.144208E-01  0.357875E-02   1.35642      0.480540      0.479495      0.341269      0.551204E-01   0.00000       0.00000      0.341269    
  0.575429E-03   2.81916      0.544504      0.814450      0.529009      0.810544      0.154952E-01  0.390640E-02   1.33955      0.474669      0.473539      0.337005      0.543405E-01   0.00000       0.00000      0.337005    
  0.630945E-03   2.86073      0.539003      0.804604      0.522364      0.800344      0.166386E-01  0.426006E-02   1.32271      0.468819      0.467599      0.332746      0.535449E-01   0.00000       0.00000      0.332746    
  0.691816E-03   2.89760      0.533632      0.794835      0.515733      0.790176      0.178987E-01  0.465910E-02   1.30591      0.463005      0.461683      0.328493      0.527285E-01   0.00000       0.00000      0.328493    
  0.758561E-03   2.93232      0.528328      0.785105      0.509109      0.780023      0.192187E-01  0.508181E-02   1.28913      0.457206      0.455778      0.324245      0.519028E-01   0.00000       0.00000      0.324245    
  0.831745E-03   2.96313      0.523154      0.775447      0.502499      0.769896      0.206549E-01  0.555103E-02   1.27239      0.451438      0.449894      0.320002      0.510609E-01   0.00000       0.00000      0.320002    
  0.911989E-03   2.99076      0.518106      0.765857      0.495902      0.759790      0.222038E-01  0.606664E-02   1.25569      0.445695      0.444025      0.315765      0.502067E-01   0.00000       0.00000      0.315765    
  0.999975E-03   3.01643      0.513137      0.756309      0.489313      0.749698      0.238234E-01  0.661155E-02   1.23901      0.439969      0.438167      0.311531      0.493450E-01   0.00000       0.00000      0.311531    
  0.109645E-02   3.03777      0.508372      0.746866      0.482746      0.739632      0.256259E-01  0.723403E-02   1.22238      0.434278      0.432328      0.307304      0.484679E-01   0.00000       0.00000      0.307304    
  0.120223E-02   3.05714      0.503716      0.737476      0.476189      0.729576      0.275271E-01  0.789969E-02   1.20576      0.428604      0.426497      0.303079      0.475846E-01   0.00000       0.00000      0.303079    
  0.131822E-02   3.07417      0.499189      0.728149      0.469644      0.719533      0.295454E-01  0.861658E-02   1.18918      0.422950      0.420676      0.298857      0.466937E-01   0.00000       0.00000      0.298857    
  0.144540E-02   3.08772      0.494889      0.718930      0.463118      0.709503      0.317712E-01  0.942692E-02   1.17262      0.417325      0.414865      0.294638      0.457930E-01   0.00000       0.00000      0.294638    
  0.158485E-02   3.09970      0.490703      0.709763      0.456602      0.699477      0.341014E-01  0.102853E-01   1.15608      0.411713      0.409058      0.290419      0.448881E-01   0.00000       0.00000      0.290419    
  0.173775E-02   3.10888      0.486730      0.700693      0.450101      0.689457      0.366296E-01  0.112357E-01   1.13956      0.406124      0.403257      0.286201      0.439764E-01   0.00000       0.00000      0.286201    
  0.190540E-02   3.11566      0.482971      0.691716      0.443613      0.679435      0.393575E-01  0.122818E-01   1.12305      0.400554      0.397455      0.281980      0.430596E-01   0.00000       0.00000      0.281980    
  0.208923E-02   3.12101      0.479342      0.682797      0.437134      0.669410      0.422084E-01  0.133872E-01   1.10654      0.394994      0.391653      0.277757      0.421400E-01   0.00000       0.00000      0.277757    
  0.229079E-02   3.12320      0.476039      0.674018      0.430670      0.659372      0.453696E-01  0.146459E-01   1.09004      0.389455      0.385844      0.273527      0.412150E-01   0.00000       0.00000      0.273527    
  0.251180E-02   3.12387      0.472918      0.665314      0.424212      0.649320      0.487060E-01  0.159940E-01   1.07353      0.383924      0.380028      0.269291      0.402881E-01   0.00000       0.00000      0.269291    
  0.275413E-02   3.12284      0.470000      0.656694      0.417762      0.639252      0.522378E-01  0.174418E-01   1.05701      0.378403      0.374203      0.265049      0.393591E-01   0.00000       0.00000      0.265049    
  0.301984E-02   3.11913      0.467449      0.648224      0.411319      0.629145      0.561301E-01  0.190793E-01   1.04046      0.372892      0.368356      0.260789      0.384277E-01   0.00000       0.00000      0.260789    
  0.331118E-02   3.11421      0.465079      0.639828      0.404878      0.619015      0.602006E-01  0.208130E-01   1.02389      0.367383      0.362495      0.256520      0.374955E-01   0.00000       0.00000      0.256520    
  0.363064E-02   3.10719      0.463040      0.631564      0.398440      0.608839      0.646000E-01  0.227255E-01   1.00728      0.361877      0.356607      0.252232      0.365624E-01   0.00000       0.00000      0.252232    
  0.398091E-02   3.09824      0.461342      0.623437      0.391998      0.598606      0.693434E-01  0.248313E-01  0.990604      0.356369      0.350685      0.247921      0.356291E-01   0.00000       0.00000      0.247921    
  0.436498E-02   3.08815      0.459849      0.615392      0.385554      0.588337      0.742947E-01  0.270548E-01  0.973891      0.350859      0.344742      0.243595      0.346957E-01   0.00000       0.00000      0.243595    
  0.478610E-02   3.07556      0.458855      0.607544      0.379099      0.577970      0.797553E-01  0.295742E-01  0.957070      0.345336      0.338740      0.239230      0.337630E-01   0.00000       0.00000      0.239230    
  0.524785E-02   3.06165      0.458149      0.599812      0.372633      0.567539      0.855151E-01  0.322734E-01  0.940172      0.339802      0.332699      0.234840      0.328311E-01   0.00000       0.00000      0.234840    
  0.575415E-02   3.04636      0.457745      0.592201      0.366156      0.557040      0.915887E-01  0.351611E-01  0.923196      0.334256      0.326618      0.230422      0.318999E-01   0.00000       0.00000      0.230422    
  0.630929E-02   3.02870      0.457911      0.584820      0.359650      0.546399      0.982617E-01  0.384215E-01  0.906048      0.328679      0.320452      0.225947      0.309707E-01   0.00000       0.00000      0.225947    
  0.691799E-02   3.00996      0.458350      0.577550      0.353126      0.535684      0.105224      0.418669E-01  0.888810      0.323083      0.314241      0.221443      0.300426E-01   0.00000       0.00000      0.221443    
  0.758542E-02   2.98934      0.459276      0.570481      0.346570      0.524834      0.112706      0.456465E-01  0.871404      0.317454      0.307949      0.216885      0.291164E-01   0.00000       0.00000      0.216885    
  0.831724E-02   2.96682      0.460720      0.563628      0.339973      0.513829      0.120747      0.497990E-01  0.853802      0.311780      0.301564      0.212266      0.281925E-01   0.00000       0.00000      0.212266    
  0.911966E-02   2.94321      0.462465      0.556904      0.333350      0.502732      0.129115      0.541723E-01  0.836081      0.306080      0.295122      0.207609      0.272699E-01   0.00000       0.00000      0.207609    
  0.999950E-02   2.91715      0.464909      0.550480      0.326660      0.491406      0.138250      0.590743E-01  0.818066      0.300310      0.288544      0.202862      0.263496E-01   0.00000       0.00000      0.202862    
  0.109642E-01   2.88997      0.467677      0.544202      0.319936      0.479970      0.147741      0.642316E-01  0.799906      0.294504      0.281900      0.198071      0.254313E-01   0.00000       0.00000      0.198071    
  0.120220E-01   2.86061      0.471070      0.538207      0.313143      0.468316      0.157927      0.698905E-01  0.781459      0.288626      0.275123      0.193193      0.245165E-01   0.00000       0.00000      0.193193    
  0.131819E-01   2.82924      0.475045      0.532483      0.306278      0.456448      0.168767      0.760351E-01  0.762726      0.282674      0.268218      0.188229      0.236045E-01   0.00000       0.00000      0.188229    
  0.144536E-01   2.79579      0.479614      0.527045      0.299335      0.444352      0.180279      0.826927E-01  0.743687      0.276640      0.261176      0.183176      0.226954E-01   0.00000       0.00000      0.183176    
  0.158481E-01   2.76034      0.484748      0.521888      0.292311      0.432032      0.192438      0.898558E-01  0.724342      0.270521      0.253999      0.178033      0.217893E-01   0.00000       0.00000      0.178033    
  0.173770E-01   2.72279      0.490461      0.517027      0.285198      0.419475      0.205263      0.975517E-01  0.704673      0.264312      0.246679      0.172796      0.208863E-01   0.00000       0.00000      0.172796    
  0.190535E-01   2.68282      0.496819      0.512509      0.277979      0.406646      0.218840      0.105864      0.684625      0.257992      0.239196      0.167450      0.199869E-01   0.00000       0.00000      0.167450    
  0.208917E-01   2.64035      0.503816      0.508346      0.270648      0.393538      0.233168      0.114808      0.664186      0.251557      0.231544      0.161994      0.190914E-01   0.00000       0.00000      0.161994    
  0.229073E-01   2.59543      0.511414      0.504527      0.263204      0.380159      0.248210      0.124368      0.643364      0.245004      0.223729      0.156431      0.181999E-01   0.00000       0.00000      0.156431    
  0.251174E-01   2.54793      0.519611      0.501068      0.255639      0.366504      0.263972      0.134564      0.622143      0.238327      0.215747      0.150757      0.173129E-01   0.00000       0.00000      0.150757    
  0.275406E-01   2.49742      0.528464      0.498018      0.247933      0.352537      0.280532      0.145481      0.600470      0.231501      0.207577      0.144960      0.164313E-01   0.00000       0.00000      0.144960    
  0.301976E-01   2.44386      0.537938      0.495376      0.240080      0.338266      0.297858      0.157109      0.578347      0.224525      0.199224      0.139043      0.155557E-01   0.00000       0.00000      0.139043    
  0.331110E-01   2.38728      0.547977      0.493121      0.232084      0.323712      0.315892      0.169409      0.555797      0.217398      0.190699      0.133014      0.146865E-01   0.00000       0.00000      0.133014    
  0.363055E-01   2.32756      0.558557      0.491255      0.223939      0.308880      0.334618      0.182375      0.532819      0.210114      0.182005      0.126875      0.138247E-01   0.00000       0.00000      0.126875    
  0.398081E-01   2.26420      0.569702      0.489815      0.215622      0.293751      0.354080      0.196064      0.509372      0.202649      0.173132      0.120619      0.129721E-01   0.00000       0.00000      0.120619    
  0.436487E-01   2.19724      0.581338      0.488764      0.207135      0.278357      0.374203      0.210408      0.485492      0.195006      0.164097      0.114260      0.121299E-01   0.00000       0.00000      0.114260    
  0.478598E-01   2.12679      0.593390      0.488058      0.198487      0.262735      0.394902      0.225323      0.461222      0.187189      0.154923      0.107812      0.112988E-01   0.00000       0.00000      0.107812    
  0.524772E-01   2.05276      0.605799      0.487662      0.189677      0.246915      0.416122      0.240747      0.436591      0.179196      0.145627      0.101288      0.104804E-01   0.00000       0.00000      0.101288    
  0.575400E-01   1.97472      0.618527      0.487550      0.180687      0.230917      0.437841      0.256633      0.411603      0.171008      0.136221      0.946962E-01  0.967815E-02   0.00000       0.00000      0.946962E-01
  0.630913E-01   1.89289      0.631466      0.487627      0.171532      0.214805      0.459934      0.272822      0.386336      0.162638      0.126742      0.880630E-01  0.889342E-02   0.00000       0.00000      0.880630E-01
  0.691782E-01   1.80751      0.644514      0.487791      0.162228      0.198640      0.482286      0.289151      0.360868      0.154101      0.117227      0.814133E-01  0.812744E-02   0.00000       0.00000      0.814133E-01
  0.758523E-01   1.71871      0.657574      0.487931      0.152787      0.182486      0.504788      0.305445      0.335273      0.145404      0.107713      0.747728E-01  0.738237E-02   0.00000       0.00000      0.747728E-01
  0.831703E-01   1.62626      0.670513      0.487872      0.143208      0.166435      0.527305      0.321437      0.309643      0.136545      0.982553E-01  0.681794E-01  0.666361E-02   0.00000       0.00000      0.681794E-01
  0.911943E-01   1.53072      0.683196      0.487427      0.133525      0.150575      0.549671      0.336852      0.284100      0.127553      0.889056E-01  0.616692E-01  0.597215E-02   0.00000       0.00000      0.616692E-01
  0.999925E-01   1.43253      0.695500      0.486411      0.123765      0.134985      0.571735      0.351426      0.258750      0.118457      0.797116E-01  0.552735E-01  0.530776E-02   0.00000       0.00000      0.552735E-01
  0.109639       1.33213      0.707265      0.484583      0.113963      0.119771      0.593302      0.364812      0.233734      0.109288      0.707356E-01  0.490357E-01  0.467482E-02   0.00000       0.00000      0.490357E-01
  0.120217       1.22983      0.718209      0.481514      0.104158      0.105106      0.614051      0.376407      0.209264      0.100078      0.620800E-01  0.430265E-01  0.408000E-02   0.00000       0.00000      0.430265E-01
  0.131815       1.12643      0.728163      0.476962      0.943980E-01  0.910641E-01  0.633765      0.385898      0.185462      0.908760E-01  0.537890E-01  0.372752E-01  0.352193E-02   0.00000       0.00000      0.372752E-01
  0.144533       1.02263      0.736785      0.470470      0.847451E-01  0.777977E-01  0.652040      0.392672      0.162543      0.817405E-01  0.459538E-01  0.318439E-01  0.300460E-02   0.00000       0.00000      0.318439E-01
  0.158477      0.919255      0.743784      0.461731      0.752577E-01  0.653875E-01  0.668527      0.396343      0.140645      0.727296E-01  0.386225E-01  0.267650E-01  0.252808E-02   0.00000       0.00000      0.267650E-01
  0.173766      0.817239      0.748610      0.450206      0.660196E-01  0.539876E-01  0.682591      0.396218      0.120007      0.639236E-01  0.318868E-01  0.221008E-01  0.209596E-02   0.00000       0.00000      0.221008E-01
  0.190530      0.717445      0.750801      0.435632      0.570968E-01  0.436421E-01  0.693704      0.391990      0.100739      0.553897E-01  0.257732E-01  0.178689E-01  0.170717E-02   0.00000       0.00000      0.178689E-01
  0.208912      0.621025      0.749449      0.417467      0.485947E-01  0.344820E-01  0.700854      0.382985      0.830767E-01  0.472302E-01  0.203599E-01  0.141222E-01  0.136449E-02   0.00000       0.00000      0.141222E-01
  0.229067      0.528807      0.743827      0.395603      0.405783E-01  0.264936E-01  0.703248      0.369110      0.670720E-01  0.395129E-01  0.156390E-01  0.108546E-01  0.106547E-02   0.00000       0.00000      0.108546E-01
  0.251167      0.442084      0.732508      0.369654      0.331668E-01  0.197572E-01  0.699342      0.349897      0.529240E-01  0.323552E-01  0.116584E-01  0.809879E-02  0.811628E-03   0.00000       0.00000      0.809879E-02
  0.275399      0.361525      0.714483      0.339828      0.264099E-01  0.141860E-01  0.688074      0.325642      0.405959E-01  0.258109E-01  0.836702E-02  0.581900E-02  0.599010E-03   0.00000       0.00000      0.581900E-02
  0.301969      0.288439      0.687790      0.306133      0.204228E-01  0.978739E-02  0.667367      0.296346      0.302102E-01  0.199953E-01  0.576925E-02  0.401814E-02  0.427523E-03   0.00000       0.00000      0.401814E-02
  0.331102      0.223171      0.651414      0.269276      0.152185E-01  0.640354E-02  0.636195      0.262872      0.216220E-01  0.149267E-01  0.377172E-02  0.263182E-02  0.291777E-03   0.00000       0.00000      0.263182E-02
  0.363046      0.166832      0.603355      0.229934      0.108809E-01  0.396522E-02  0.592474      0.225969      0.148461E-01  0.106910E-01  0.233332E-02  0.163190E-02  0.189923E-03   0.00000       0.00000      0.163190E-02
  0.398071      0.119247      0.543512      0.189403      0.736354E-02  0.227120E-02  0.536149      0.187131      0.963474E-02  0.724793E-02  0.133485E-02  0.936351E-03  0.115609E-03   0.00000       0.00000      0.936351E-03
  0.436476      0.808122E-01  0.471562      0.149135      0.467104E-02  0.119166E-02  0.466891      0.147944      0.586270E-02  0.460614E-02  0.699363E-03  0.492301E-03  0.649046E-04   0.00000       0.00000      0.492301E-03
  0.478586      0.512799E-01  0.389387      0.110952      0.273190E-02  0.560433E-03  0.386655      0.110392      0.329233E-02  0.269885E-02  0.328309E-03  0.232124E-03  0.330475E-04   0.00000       0.00000      0.232124E-03
  0.524759      0.298746E-01  0.300944      0.767108E-01  0.143758E-02  0.228417E-03  0.299506      0.764824E-01  0.166600E-02  0.142289E-02  0.133524E-03  0.948931E-04  0.146898E-04   0.00000       0.00000      0.948931E-04
  0.575386      0.155422E-01  0.212441      0.481137E-01  0.657359E-03  0.768691E-04  0.211784      0.480368E-01  0.734228E-03  0.651976E-03  0.448345E-04  0.320346E-04  0.538342E-05   0.00000       0.00000      0.320346E-04
  0.630897      0.691688E-02  0.131924      0.263744E-01  0.247465E-03  0.197144E-04  0.131676      0.263547E-01  0.267179E-03  0.246009E-03  0.114839E-04  0.823049E-05  0.145541E-05   0.00000       0.00000      0.823049E-05
  0.691764      0.245041E-02  0.676992E-01  0.118725E-01  0.700540E-04  0.329430E-05  0.676292E-01  0.118692E-01  0.733483E-04  0.698416E-04  0.192798E-05  0.136632E-05  0.212442E-06   0.00000       0.00000      0.136632E-05
  0.758504      0.601151E-03  0.255244E-01  0.390054E-02  0.125382E-04  0.221457E-06  0.255119E-01  0.390032E-02  0.127597E-04  0.125514E-04  0.136776E-06  0.846802E-07  -.131458E-07   0.00000       0.00000      0.846802E-07
  0.831682      0.758451E-04  0.545261E-02  0.721191E-03  0.972208E-06  -.121595E-07  0.545163E-02  0.721203E-03  0.960048E-06  0.980085E-06  -.529506E-08  -.686448E-08  -.787715E-08   0.00000       0.00000      -.686448E-08
  0.911920      0.187227E-05  0.287787E-03  0.326083E-04  0.957051E-08  -.653131E-09  0.287778E-03  0.326090E-04  0.891738E-08  0.983724E-08  -.325064E-09  -.328066E-09  -.266727E-09   0.00000       0.00000      -.328066E-09
