   10000.0000             101          15   1.00000001E-07  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-06   1028.07       28.6919       56.9289       28.6916       56.9288      0.328278E-03  0.426693E-04   85.6204       28.6916       28.6916       28.2372       0.00000       0.00000       0.00000       28.2372    
  0.117490E-06   979.674       27.4605       54.4780       27.4602       54.4779      0.362880E-03  0.480604E-04   81.9381       27.4602       27.4601       27.0178       0.00000       0.00000       0.00000       27.0178    
  0.138038E-06   933.308       26.2768       52.1222       26.2764       52.1222      0.401081E-03  0.541244E-04   78.3986       26.2764       26.2764       25.8458       0.00000       0.00000       0.00000       25.8458    
  0.162181E-06   888.894       25.1392       49.8583       25.1388       49.8582      0.443249E-03  0.609443E-04   74.9970       25.1388       25.1388       24.7195       0.00000       0.00000       0.00000       24.7195    
  0.190545E-06   846.359       24.0460       47.6829       24.0456       47.6828      0.489789E-03  0.686131E-04   71.7284       24.0456       24.0455       23.6373       0.00000       0.00000       0.00000       23.6373    
  0.223871E-06   805.632       22.9957       45.5929       22.9952       45.5929      0.541147E-03  0.772349E-04   68.5880       22.9952       22.9952       22.5977       0.00000       0.00000       0.00000       22.5977    
  0.263025E-06   766.645       21.9867       43.5854       21.9861       43.5853      0.597812E-03  0.869265E-04   65.5714       21.9861       21.9861       21.5991       0.00000       0.00000       0.00000       21.5991    
  0.309027E-06   729.330       21.0176       41.6572       21.0170       41.6571      0.660322E-03  0.978189E-04   62.6741       21.0170       21.0169       20.6402       0.00000       0.00000       0.00000       20.6402    
  0.363075E-06   693.625       20.0870       39.8057       20.0862       39.8056      0.729271E-03  0.110059E-03   59.8918       20.0862       20.0862       19.7194       0.00000       0.00000       0.00000       19.7194    
  0.426576E-06   659.467       19.1934       38.0280       19.1926       38.0279      0.805308E-03  0.123810E-03   57.2205       19.1926       19.1925       18.8354       0.00000       0.00000       0.00000       18.8354    
  0.501182E-06   626.803       18.3356       36.3219       18.3347       36.3217      0.889185E-03  0.139265E-03   54.6565       18.3347       18.3347       17.9870       0.00000       0.00000       0.00000       17.9870    
  0.588837E-06   595.649       17.5143       34.6881       17.5133       34.6880      0.982216E-03  0.156750E-03   52.2013       17.5133       17.5132       17.1747       0.00000       0.00000       0.00000       17.1747    
  0.691823E-06   565.862       16.7260       33.1202       16.7249       33.1200      0.108483E-02  0.176404E-03   49.8449       16.7249       16.7248       16.3952       0.00000       0.00000       0.00000       16.3952    
  0.812820E-06   537.389       15.9695       31.6158       15.9683       31.6156      0.119798E-02  0.198489E-03   47.5838       15.9683       15.9682       15.6473       0.00000       0.00000       0.00000       15.6473    
  0.954980E-06   510.179       15.2437       30.1724       15.2424       30.1722      0.132275E-02  0.223305E-03   45.4146       15.2424       15.2423       14.9299       0.00000       0.00000       0.00000       14.9299    
  0.112200E-05   484.183       14.5475       28.7880       14.5460       28.7877      0.146028E-02  0.251182E-03   43.3337       14.5460       14.5459       14.2418       0.00000       0.00000       0.00000       14.2418    
  0.131824E-05   459.351       13.8798       27.4602       13.8782       27.4600      0.161187E-02  0.282493E-03   41.3381       13.8782       13.8781       13.5819       0.00000       0.00000       0.00000       13.5819    
  0.154879E-05   435.639       13.2395       26.1872       13.2377       26.1868      0.177892E-02  0.317656E-03   39.4246       13.2377       13.2376       12.9493       0.00000       0.00000       0.00000       12.9493    
  0.181967E-05   413.002       12.6256       24.9667       12.6237       24.9664      0.196295E-02  0.357135E-03   37.5900       12.6237       12.6235       12.3428       0.00000       0.00000       0.00000       12.3428    
  0.213792E-05   391.396       12.0372       23.7969       12.0351       23.7965      0.216568E-02  0.401453E-03   35.8316       12.0351       12.0349       11.7616       0.00000       0.00000       0.00000       11.7616    
  0.251184E-05   370.781       11.4733       22.6759       11.4710       22.6755      0.238894E-02  0.451194E-03   34.1464       11.4710       11.4708       11.2047       0.00000       0.00000       0.00000       11.2047    
  0.295115E-05   351.116       10.9331       21.6019       10.9304       21.6014      0.263476E-02  0.507010E-03   32.5318       10.9304       10.9302       10.6712       0.00000       0.00000       0.00000       10.6712    
  0.346729E-05   332.362       10.4155       20.5731       10.4126       20.5725      0.290536E-02  0.569631E-03   30.9851       10.4126       10.4123       10.1601       0.00000       0.00000       0.00000       10.1601    
