   10.0000000             101          15   1.00000001E-07  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-06   51.4101       3.18950       5.83488       3.18932       5.83486      0.180258E-03  0.123702E-04   9.02418       3.18932       3.18931       2.64555       0.00000       0.00000       0.00000       2.64555    
  0.117490E-06   50.0346       3.10229       5.67595       3.10209       5.67594      0.199050E-03  0.139960E-04   8.77803       3.10209       3.10209       2.57385       0.00000       0.00000       0.00000       2.57385    
  0.138038E-06   48.6920       3.01728       5.52099       3.01706       5.52097      0.220271E-03  0.159066E-04   8.53804       3.01706       3.01705       2.50392       0.00000       0.00000       0.00000       2.50392    
  0.162181E-06   47.3829       2.93451       5.37007       2.93427       5.37006      0.243713E-03  0.180699E-04   8.30432       2.93427       2.93426       2.43580       0.00000       0.00000       0.00000       2.43580    
  0.190545E-06   46.1078       2.85402       5.22326       2.85375       5.22324      0.269204E-03  0.204598E-04   8.07699       2.85375       2.85374       2.36951       0.00000       0.00000       0.00000       2.36951    
  0.223871E-06   44.8632       2.77555       5.08011       2.77525       5.08009      0.297927E-03  0.232578E-04   7.85534       2.77525       2.77524       2.30485       0.00000       0.00000       0.00000       2.30485    
  0.263025E-06   43.6501       2.69918       4.94075       2.69885       4.94072      0.329428E-03  0.263890E-04   7.63957       2.69885       2.69883       2.24189       0.00000       0.00000       0.00000       2.24189    
  0.309027E-06   42.4679       2.62486       4.80509       2.62449       4.80506      0.363982E-03  0.298988E-04   7.42955       2.62449       2.62447       2.18058       0.00000       0.00000       0.00000       2.18058    
  0.363075E-06   41.3142       2.55241       4.67282       2.55201       4.67278      0.402832E-03  0.339933E-04   7.22479       2.55201       2.55199       2.12079       0.00000       0.00000       0.00000       2.12079    
  0.426576E-06   40.1900       2.48192       4.54407       2.48148       4.54404      0.445173E-03  0.385287E-04   7.02551       2.48148       2.48146       2.06258       0.00000       0.00000       0.00000       2.06258    
  0.501182E-06   39.0940       2.41329       4.41869       2.41280       4.41864      0.491977E-03  0.436787E-04   6.83145       2.41280       2.41278       2.00587       0.00000       0.00000       0.00000       2.00587    
  0.588837E-06   38.0245       2.34640       4.29643       2.34585       4.29638      0.544487E-03  0.496663E-04   6.64223       2.34585       2.34582       1.95055       0.00000       0.00000       0.00000       1.95055    
