   3.00000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   1.86798      0.984885E-01  0.148727      0.106884      0.140332      -.839509E-02  0.839509E-02  0.247215      0.785469E-01  0.701518E-01  0.701797E-01  0.283367E-01   0.00000       0.00000      0.701797E-01
  0.103532E-02   1.86178      0.986618E-01  0.149728      0.107281      0.141109      -.861892E-02  0.861892E-02  0.248389      0.791591E-01  0.705402E-01  0.705684E-01  0.281216E-01   0.00000       0.00000      0.705684E-01
  0.107189E-02   1.85559      0.988352E-01  0.150729      0.107678      0.141886      -.884276E-02  0.884276E-02  0.249564      0.797714E-01  0.709286E-01  0.709571E-01  0.279065E-01   0.00000       0.00000      0.709571E-01
  0.110975E-02   1.84939      0.990085E-01  0.151729      0.108075      0.142663      -.906660E-02  0.906660E-02  0.250738      0.803836E-01  0.713170E-01  0.713458E-01  0.276915E-01   0.00000       0.00000      0.713458E-01
  0.114895E-02   1.84320      0.991818E-01  0.152730      0.108472      0.143440      -.929044E-02  0.929044E-02  0.251912      0.809959E-01  0.717054E-01  0.717346E-01  0.274764E-01   0.00000       0.00000      0.717346E-01
  0.118953E-02   1.83699      0.993970E-01  0.153836      0.108934      0.144299      -.953719E-02  0.953719E-02  0.253233      0.816720E-01  0.721348E-01  0.721642E-01  0.272622E-01   0.00000       0.00000      0.721642E-01
  0.123155E-02   1.83078      0.996164E-01  0.154953      0.109403      0.145166      -.978627E-02  0.978627E-02  0.254569      0.823545E-01  0.725683E-01  0.725980E-01  0.270481E-01   0.00000       0.00000      0.725980E-01
  0.127505E-02   1.82456      0.998358E-01  0.156069      0.109871      0.146034      -.100353E-01  0.100353E-01  0.255905      0.830371E-01  0.730018E-01  0.730318E-01  0.268340E-01   0.00000       0.00000      0.730318E-01
  0.132009E-02   1.81835      0.100055      0.157185      0.110340      0.146901      -.102844E-01  0.102844E-01  0.257241      0.837197E-01  0.734353E-01  0.734656E-01  0.266199E-01   0.00000       0.00000      0.734656E-01
  0.136672E-02   1.81212      0.100307      0.158384      0.110860      0.147832      -.105523E-01  0.105523E-01  0.258692      0.844530E-01  0.739007E-01  0.739314E-01  0.264065E-01   0.00000       0.00000      0.739314E-01
  0.141499E-02   1.80589      0.100575      0.159624      0.111405      0.148795      -.108295E-01  0.108295E-01  0.260199      0.852113E-01  0.743818E-01  0.744128E-01  0.261934E-01   0.00000       0.00000      0.744128E-01
  0.146497E-02   1.79965      0.100843      0.160864      0.111950      0.149757      -.111066E-01  0.111066E-01  0.261707      0.859696E-01  0.748630E-01  0.748942E-01  0.259803E-01   0.00000       0.00000      0.748942E-01
  0.151672E-02   1.79342      0.101111      0.162103      0.112495      0.150720      -.113837E-01  0.113837E-01  0.263215      0.867278E-01  0.753441E-01  0.753756E-01  0.257673E-01   0.00000       0.00000      0.753756E-01
  0.157029E-02   1.78717      0.101402      0.163400      0.113076      0.151726      -.116744E-01  0.116744E-01  0.264802      0.875214E-01  0.758470E-01  0.758788E-01  0.255546E-01   0.00000       0.00000      0.758788E-01
  0.162576E-02   1.78091      0.101721      0.164771      0.113704      0.152789      -.119827E-01  0.119827E-01  0.266492      0.883610E-01  0.763783E-01  0.764104E-01  0.253426E-01   0.00000       0.00000      0.764104E-01
  0.168318E-02   1.77464      0.102040      0.166143      0.114331      0.153852      -.122910E-01  0.122910E-01  0.268183      0.892006E-01  0.769095E-01  0.769420E-01  0.251306E-01   0.00000       0.00000      0.769420E-01
  0.174263E-02   1.76838      0.102359      0.167514      0.114959      0.154914      -.125993E-01  0.125993E-01  0.269873      0.900402E-01  0.774408E-01  0.774735E-01  0.249186E-01   0.00000       0.00000      0.774735E-01
  0.180419E-02   1.76211      0.102689      0.168912      0.115604      0.155998      -.129145E-01  0.129145E-01  0.271602      0.908969E-01  0.779824E-01  0.780155E-01  0.247068E-01   0.00000       0.00000      0.780155E-01
  0.186791E-02   1.75580      0.103062      0.170424      0.116320      0.157166      -.132574E-01  0.132574E-01  0.273486      0.918238E-01  0.785664E-01  0.785997E-01  0.244959E-01   0.00000       0.00000      0.785997E-01
  0.193389E-02   1.74950      0.103435      0.171935      0.117036      0.158334      -.136004E-01  0.136004E-01  0.275370      0.927507E-01  0.791503E-01  0.791839E-01  0.242850E-01   0.00000       0.00000      0.791839E-01
  0.200220E-02   1.74320      0.103808      0.173446      0.117752      0.159502      -.139433E-01  0.139433E-01  0.277254      0.936776E-01  0.797343E-01  0.797681E-01  0.240740E-01   0.00000       0.00000      0.797681E-01
  0.207292E-02   1.73690      0.104181      0.174957      0.118468      0.160671      -.142863E-01  0.142863E-01  0.279138      0.946045E-01  0.803182E-01  0.803524E-01  0.238631E-01   0.00000       0.00000      0.803524E-01
  0.214614E-02   1.73056      0.104608      0.176611      0.119275      0.161944      -.146662E-01  0.146662E-01  0.281219      0.956212E-01  0.809550E-01  0.809894E-01  0.236534E-01   0.00000       0.00000      0.809894E-01
  0.222195E-02   1.72421      0.105038      0.178270      0.120085      0.163223      -.150476E-01  0.150476E-01  0.283308      0.966416E-01  0.815940E-01  0.816287E-01  0.234437E-01   0.00000       0.00000      0.816287E-01
  0.230043E-02   1.71786      0.105467      0.179930      0.120896      0.164501      -.154291E-01  0.154291E-01  0.285397      0.976621E-01  0.822330E-01  0.822680E-01  0.232339E-01   0.00000       0.00000      0.822680E-01
  0.238169E-02   1.71152      0.105896      0.181590      0.121707      0.165779      -.158105E-01  0.158105E-01  0.287486      0.986826E-01  0.828721E-01  0.829073E-01  0.230242E-01   0.00000       0.00000      0.829073E-01
  0.246581E-02   1.70513      0.106368      0.183363      0.122591      0.167140      -.162228E-01  0.162228E-01  0.289731      0.997753E-01  0.835525E-01  0.835879E-01  0.228154E-01   0.00000       0.00000      0.835879E-01
  0.255291E-02   1.69873      0.106856      0.185180      0.123503      0.168533      -.166469E-01  0.166469E-01  0.292036      0.100896      0.842488E-01  0.842845E-01  0.226070E-01   0.00000       0.00000      0.842845E-01
  0.264308E-02   1.69234      0.107344      0.186997      0.124415      0.169926      -.170711E-01  0.170711E-01  0.294341      0.102016      0.849452E-01  0.849811E-01  0.223985E-01   0.00000       0.00000      0.849811E-01
  0.273644E-02   1.68594      0.107832      0.188815      0.125327      0.171319      -.174953E-01  0.174953E-01  0.296646      0.103137      0.856415E-01  0.856777E-01  0.221901E-01   0.00000       0.00000      0.856777E-01
  0.283310E-02   1.67951      0.108349      0.190712      0.126291      0.172770      -.179424E-01  0.179424E-01  0.299061      0.104309      0.863667E-01  0.864031E-01  0.219823E-01   0.00000       0.00000      0.864031E-01
  0.293317E-02   1.67305      0.108898      0.192695      0.127312      0.174281      -.184140E-01  0.184140E-01  0.301593      0.105536      0.871224E-01  0.871590E-01  0.217752E-01   0.00000       0.00000      0.871590E-01
  0.303677E-02   1.66659      0.109446      0.194679      0.128332      0.175793      -.188856E-01  0.188856E-01  0.304125      0.106764      0.878781E-01  0.879149E-01  0.215681E-01   0.00000       0.00000      0.879149E-01
  0.314404E-02   1.66013      0.109995      0.196662      0.129352      0.177305      -.193572E-01  0.193572E-01  0.306656      0.107991      0.886338E-01  0.886708E-01  0.213610E-01   0.00000       0.00000      0.886708E-01
  0.325509E-02   1.65365      0.110559      0.198688      0.130401      0.178846      -.198418E-01  0.198418E-01  0.309247      0.109246      0.894046E-01  0.894419E-01  0.211543E-01   0.00000       0.00000      0.894419E-01
  0.337006E-02   1.64711      0.111170      0.200846      0.131536      0.180480      -.203660E-01  0.203660E-01  0.312016      0.110587      0.902213E-01  0.902588E-01  0.209486E-01   0.00000       0.00000      0.902588E-01
  0.348910E-02   1.64058      0.111781      0.203004      0.132671      0.182114      -.208901E-01  0.208901E-01  0.314785      0.111928      0.910380E-01  0.910757E-01  0.207430E-01   0.00000       0.00000      0.910757E-01
  0.361234E-02   1.63405      0.112392      0.205162      0.133806      0.183747      -.214143E-01  0.214143E-01  0.317554      0.113269      0.918547E-01  0.918926E-01  0.205374E-01   0.00000       0.00000      0.918926E-01
  0.373994E-02   1.62752      0.113004      0.207321      0.134943      0.185382      -.219391E-01  0.219391E-01  0.320325      0.114611      0.926720E-01  0.927101E-01  0.203317E-01   0.00000       0.00000      0.927101E-01
  0.387204E-02   1.62090      0.113679      0.209662      0.136200      0.187140      -.225216E-01  0.225216E-01  0.323340      0.116073      0.935509E-01  0.935892E-01  0.201277E-01   0.00000       0.00000      0.935892E-01
  0.400881E-02   1.61429      0.114353      0.212002      0.137458      0.188898      -.231042E-01  0.231042E-01  0.326356      0.117534      0.944298E-01  0.944682E-01  0.199236E-01   0.00000       0.00000      0.944682E-01
  0.415040E-02   1.60767      0.115028      0.214343      0.138715      0.190656      -.236867E-01  0.236867E-01  0.329371      0.118995      0.953087E-01  0.953473E-01  0.197195E-01   0.00000       0.00000      0.953473E-01
  0.429700E-02   1.60106      0.115703      0.216683      0.139972      0.192414      -.242692E-01  0.242692E-01  0.332386      0.120457      0.961876E-01  0.962263E-01  0.195155E-01   0.00000       0.00000      0.962263E-01
  0.444878E-02   1.59437      0.116428      0.219170      0.141329      0.194269      -.249017E-01  0.249017E-01  0.335598      0.122017      0.971149E-01  0.971538E-01  0.193127E-01   0.00000       0.00000      0.971538E-01
  0.460592E-02   1.58766      0.117167      0.221701      0.142716      0.196152      -.255489E-01  0.255489E-01  0.338868      0.123605      0.980565E-01  0.980955E-01  0.191103E-01   0.00000       0.00000      0.980955E-01
  0.476861E-02   1.58096      0.117906      0.224231      0.144102      0.198035      -.261960E-01  0.261960E-01  0.342137      0.125194      0.989981E-01  0.990372E-01  0.189079E-01   0.00000       0.00000      0.990372E-01
  0.493705E-02   1.57425      0.118645      0.226762      0.145488      0.199919      -.268432E-01  0.268432E-01  0.345407      0.126783      0.999397E-01  0.999789E-01  0.187055E-01   0.00000       0.00000      0.999789E-01
  0.511143E-02   1.56748      0.119419      0.229398      0.146948      0.201869      -.275287E-01  0.275287E-01  0.348816      0.128443      0.100915      0.100954      0.185041E-01   0.00000       0.00000      0.100954    
  0.529198E-02   1.56067      0.120222      0.232124      0.148470      0.203877      -.282475E-01  0.282475E-01  0.352346      0.130166      0.101919      0.101958      0.183036E-01   0.00000       0.00000      0.101958    
  0.547890E-02   1.55386      0.121026      0.234851      0.149992      0.205885      -.289662E-01  0.289662E-01  0.355877      0.131889      0.102923      0.102962      0.181030E-01   0.00000       0.00000      0.102962    
  0.567243E-02   1.54704      0.121829      0.237578      0.151514      0.207893      -.296850E-01  0.296850E-01  0.359407      0.133611      0.103927      0.103966      0.179024E-01   0.00000       0.00000      0.103966    
  0.587279E-02   1.54019      0.122651      0.240365      0.153079      0.209937      -.304274E-01  0.304274E-01  0.363016      0.135376      0.104949      0.104988      0.177025E-01   0.00000       0.00000      0.104988    
  0.608022E-02   1.53326      0.123517      0.243292      0.154743      0.212067      -.312254E-01  0.312254E-01  0.366810      0.137239      0.106014      0.106053      0.175039E-01   0.00000       0.00000      0.106053    
  0.629499E-02   1.52633      0.124384      0.246220      0.156407      0.214197      -.320234E-01  0.320234E-01  0.370604      0.139102      0.107078      0.107118      0.173053E-01   0.00000       0.00000      0.107118    
  0.651734E-02   1.51940      0.125250      0.249148      0.158071      0.216326      -.328214E-01  0.328214E-01  0.374398      0.140965      0.108143      0.108183      0.171067E-01   0.00000       0.00000      0.108183    
  0.674754E-02   1.51246      0.126120      0.252088      0.159745      0.218463      -.336248E-01  0.336248E-01  0.378208      0.142836      0.109212      0.109252      0.169082E-01   0.00000       0.00000      0.109252    
  0.698588E-02   1.50540      0.127046      0.255219      0.161557      0.220709      -.345103E-01  0.345103E-01  0.382266      0.144845      0.110335      0.110375      0.167117E-01   0.00000       0.00000      0.110375    
  0.723263E-02   1.49833      0.127973      0.258351      0.163369      0.222955      -.353959E-01  0.353959E-01  0.386324      0.146853      0.111458      0.111497      0.165152E-01   0.00000       0.00000      0.111497    
