   100.000000             101          15   9.99999978E-03  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-01   13.3418       5.98715       6.52135       5.98715       6.52135       0.00000       0.00000       12.5085       2.43493       2.43493       1.67041       3.55222       2.41602       0.00000       1.67041    
  0.104713E-01   13.2425       5.98228       6.58738       5.98228       6.58738       0.00000       0.00000       12.5697       2.44767       2.44767       1.68807       3.53461       2.45164       0.00000       1.68807    
  0.109648E-01   13.1536       5.97708       6.65334       5.97708       6.65334       0.00000       0.00000       12.6304       2.46030       2.46030       1.70577       3.51678       2.48727       0.00000       1.70577    
  0.114815E-01   13.0730       5.97160       6.71938       5.97160       6.71938       0.00000       0.00000       12.6910       2.47286       2.47286       1.72354       3.49874       2.52299       0.00000       1.72354    
  0.120226E-01   13.0026       5.96581       6.78537       5.96581       6.78537       0.00000       0.00000       12.7512       2.48532       2.48532       1.74134       3.48048       2.55870       0.00000       1.74134    
  0.125892E-01   12.9445       5.95962       6.85110       5.95962       6.85110       0.00000       0.00000       12.8107       2.49764       2.49764       1.75914       3.46198       2.59432       0.00000       1.75914    
  0.131825E-01   12.9002       5.95301       6.91643       5.95301       6.91643       0.00000       0.00000       12.8694       2.50980       2.50980       1.77688       3.44320       2.62975       0.00000       1.77688    
  0.138037E-01   12.8702       5.94598       6.98139       5.94598       6.98139       0.00000       0.00000       12.9274       2.52181       2.52181       1.79459       3.42418       2.66500       0.00000       1.79459    
  0.144543E-01   12.8564       5.93849       7.04580       5.93849       7.04580       0.00000       0.00000       12.9843       2.53362       2.53362       1.81221       3.40487       2.69997       0.00000       1.81221    
  0.151355E-01   12.8609       5.93042       7.10935       5.93042       7.10935       0.00000       0.00000       13.0398       2.54519       2.54519       1.82966       3.38523       2.73451       0.00000       1.82966    
  0.158488E-01   12.8859       5.92175       7.17196       5.92175       7.17196       0.00000       0.00000       13.0937       2.55649       2.55649       1.84692       3.36527       2.76856       0.00000       1.84692    
  0.165957E-01   12.9333       5.91249       7.23359       5.91249       7.23359       0.00000       0.00000       13.1461       2.56752       2.56752       1.86399       3.34497       2.80208       0.00000       1.86399    
  0.173778E-01   13.0053       5.90255       7.29398       5.90255       7.29398       0.00000       0.00000       13.1965       2.57824       2.57824       1.88080       3.32431       2.83494       0.00000       1.88080    
  0.181968E-01   13.1017       5.89175       7.35270       5.89175       7.35270       0.00000       0.00000       13.2445       2.58855       2.58855       1.89722       3.30320       2.86693       0.00000       1.89722    
  0.190543E-01   13.2279       5.88013       7.40976       5.88013       7.40976       0.00000       0.00000       13.2899       2.59846       2.59846       1.91327       3.28167       2.89803       0.00000       1.91327    
  0.199523E-01   13.3869       5.86763       7.46497       5.86763       7.46497       0.00000       0.00000       13.3326       2.60794       2.60794       1.92890       3.25970       2.92813       0.00000       1.92890    
