   8317.00000             101          14   9.99999978E-03  0.999899983    
            x          g             U             D           u^+           d^+         u_val         d_val           sea         u_sea         d_sea             s^+         c^+           b^+               ph 
  0.100000E-01   4.71141       9.35264       10.5922       9.89912       9.89912       0.00000       0.00000       19.9449       4.94956       4.94956       3.33910       8.80616       7.94622       0.00000    
  0.104713E-01   4.68492       9.28938       10.5604       9.84688       9.84688       0.00000       0.00000       19.8498       4.92344       4.92344       3.32313       8.73188       7.95080       0.00000    
  0.109648E-01   4.65620       9.22273       10.5232       9.79086       9.79086       0.00000       0.00000       19.7459       4.89543       4.89543       3.30454       8.65459       7.95102       0.00000    
  0.114815E-01   4.62537       9.15270       10.4807       9.73109       9.73109       0.00000       0.00000       19.6334       4.86554       4.86554       3.28335       8.57432       7.94687       0.00000    
  0.120226E-01   4.59251       9.07936       10.4328       9.66759       9.66759       0.00000       0.00000       19.5122       4.83380       4.83380       3.25966       8.49112       7.93833       0.00000    
  0.125892E-01   4.55766       9.00276       10.3797       9.60044       9.60044       0.00000       0.00000       19.3825       4.80022       4.80022       3.23358       8.40508       7.92539       0.00000    
  0.131825E-01   4.52090       8.92296       10.3215       9.52968       9.52968       0.00000       0.00000       19.2444       4.76484       4.76484       3.20520       8.31625       7.90802       0.00000    
  0.138037E-01   4.48231       8.84002       10.2581       9.45534       9.45534       0.00000       0.00000       19.0981       4.72767       4.72767       3.17459       8.22469       7.88622       0.00000    
  0.144543E-01   4.44196       8.75397       10.1896       9.37748       9.37748       0.00000       0.00000       18.9436       4.68874       4.68874       3.14184       8.13046       7.85995       0.00000    
  0.151355E-01   4.39988       8.66491       10.1162       9.29617       9.29617       0.00000       0.00000       18.7812       4.64808       4.64808       3.10710       8.03366       7.82923       0.00000    
  0.158488E-01   4.35614       8.57289       10.0379       9.21144       9.21144       0.00000       0.00000       18.6108       4.60572       4.60572       3.07043       7.93433       7.79401       0.00000    
  0.165957E-01   4.31084       8.47794       9.95478       9.12334       9.12334       0.00000       0.00000       18.4327       4.56167       4.56167       3.03193       7.83254       7.75428       0.00000    
  0.173778E-01   4.26401       8.38016       9.86684       9.03194       9.03194       0.00000       0.00000       18.2470       4.51597       4.51597       2.99172       7.72837       7.71003       0.00000    
  0.181968E-01   4.21568       8.27960       9.77424       8.93730       8.93730       0.00000       0.00000       18.0538       4.46865       4.46865       2.94992       7.62191       7.66126       0.00000    
  0.190543E-01   4.16593       8.17633       9.67700       8.83946       8.83946       0.00000       0.00000       17.8533       4.41973       4.41973       2.90662       7.51321       7.60793       0.00000    
  0.199523E-01   4.11482       8.07041       9.57521       8.73848       8.73848       0.00000       0.00000       17.6456       4.36924       4.36924       2.86193       7.40234       7.55001       0.00000    
  0.208926E-01   4.06239       7.96191       9.46895       8.63442       8.63442       0.00000       0.00000       17.4309       4.31721       4.31721       2.81597       7.28939       7.48751       0.00000    
  0.218772E-01   4.00864       7.85092       9.35836       8.52737       8.52737       0.00000       0.00000       17.2093       4.26369       4.26369       2.76887       7.17446       7.42048       0.00000    
  0.229083E-01   3.95367       7.73748       9.24346       8.41736       8.41736       0.00000       0.00000       16.9809       4.20868       4.20868       2.72074       7.05759       7.34882       0.00000    
  0.239879E-01   3.89750       7.62167       9.12434       8.30445       8.30445       0.00000       0.00000       16.7460       4.15223       4.15223       2.67169       6.93888       7.27254       0.00000    
  0.251184E-01   3.84016       7.50356       9.00110       8.18872       8.18872       0.00000       0.00000       16.5047       4.09436       4.09436       2.62184       6.81840       7.19165       0.00000    
  0.263021E-01   3.78165       7.38327       8.87393       8.07027       8.07027       0.00000       0.00000       16.2572       4.03513       4.03513       2.57133       6.69627       7.10626       0.00000    
  0.275417E-01   3.72205       7.26082       8.74280       7.94911       7.94911       0.00000       0.00000       16.0036       3.97455       3.97455       2.52027       6.57253       7.01621       0.00000    
  0.288396E-01   3.66137       7.13630       8.60784       7.82532       7.82532       0.00000       0.00000       15.7441       3.91266       3.91266       2.46880       6.44728       6.92156       0.00000    
  0.301988E-01   3.59962       7.00981       8.46921       7.69901       7.69901       0.00000       0.00000       15.4790       3.84950       3.84950       2.41703       6.32061       6.82239       0.00000    
  0.316220E-01   3.53681       6.88143       8.32706       7.57025       7.57025       0.00000       0.00000       15.2085       3.78513       3.78513       2.36508       6.19262       6.71878       0.00000    
  0.331122E-01   3.47299       6.75123       8.18139       7.43909       7.43909       0.00000       0.00000       14.9326       3.71954       3.71954       2.31311       6.06337       6.61059       0.00000    
  0.346727E-01   3.40816       6.61929       8.03238       7.30560       7.30560       0.00000       0.00000       14.6517       3.65280       3.65280       2.26124       5.93297       6.49791       0.00000    
  0.363068E-01   3.34233       6.48573       7.88021       7.16992       7.16992       0.00000       0.00000       14.3659       3.58496       3.58496       2.20955       5.80153       6.38095       0.00000    
  0.380178E-01   3.27552       6.35062       7.72501       7.03212       7.03212       0.00000       0.00000       14.0756       3.51606       3.51606       2.15820       5.66912       6.25970       0.00000    
  0.398095E-01   3.20772       6.21404       7.56685       6.89224       6.89224       0.00000       0.00000       13.7809       3.44612       3.44612       2.10735       5.53584       6.13411       0.00000    
  0.416856E-01   3.13895       6.07609       7.40592       6.75041       6.75041       0.00000       0.00000       13.4820       3.37520       3.37520       2.05710       5.40178       6.00433       0.00000    
  0.436502E-01   3.06925       5.93691       7.24246       6.60675       6.60675       0.00000       0.00000       13.1794       3.30338       3.30338       2.00749       5.26707       5.87067       0.00000    
  0.457073E-01   2.99858       5.79657       7.07656       6.46134       6.46134       0.00000       0.00000       12.8731       3.23067       3.23067       1.95872       5.13179       5.73307       0.00000    
  0.478614E-01   2.92695       5.65514       6.90838       6.31426       6.31426       0.00000       0.00000       12.5635       3.15713       3.15713       1.91093       4.99603       5.59156       0.00000    
  0.501170E-01   2.85439       5.51276       6.73811       6.16562       6.16562       0.00000       0.00000       12.2509       3.08281       3.08281       1.86421       4.85991       5.44640       0.00000    
  0.524789E-01   2.78096       5.36958       6.56606       6.01562       6.01562       0.00000       0.00000       11.9356       3.00781       3.00781       1.81849       4.72355       5.29801       0.00000    
  0.549520E-01   2.70660       5.22566       6.39230       5.86428       5.86428       0.00000       0.00000       11.6180       2.93214       2.93214       1.77407       4.58704       5.14625       0.00000    
  0.575418E-01   2.63131       5.08111       6.21706       5.71174       5.71174       0.00000       0.00000       11.2982       2.85587       2.85587       1.73104       4.45049       4.99135       0.00000    
  0.602536E-01   2.55515       4.93607       6.04058       5.55813       5.55813       0.00000       0.00000       10.9766       2.77907       2.77907       1.68942       4.31401       4.83360       0.00000    
  0.630932E-01   2.47826       4.79071       5.86313       5.40369       5.40369       0.00000       0.00000       10.6538       2.70184       2.70184       1.64902       4.17774       4.67355       0.00000    
  0.660666E-01   2.40049       4.64509       5.68488       5.24842       5.24842       0.00000       0.00000       10.3300       2.62421       2.62421       1.61027       4.04176       4.51107       0.00000    
  0.691802E-01   2.32191       4.49935       5.50607       5.09249       5.09249       0.00000       0.00000       10.0054       2.54624       2.54624       1.57314       3.90621       4.34652       0.00000    
  0.724405E-01   2.24264       4.35365       5.32697       4.93609       4.93609       0.00000       0.00000       9.68062       2.46805       2.46805       1.53751       3.77120       4.18033       0.00000    
  0.758544E-01   2.16279       4.20815       5.14781       4.77942       4.77942       0.00000       0.00000       9.35596       2.38971       2.38971       1.50324       3.63687       4.01296       0.00000    
  0.794292E-01   2.08226       4.06294       4.96888       4.62255       4.62255       0.00000       0.00000       9.03182       2.31128       2.31128       1.47067       3.50332       3.84454       0.00000    
  0.831725E-01   2.00115       3.91818       4.79043       4.46568       4.46568       0.00000       0.00000       8.70861       2.23284       2.23284       1.43968       3.37068       3.67550       0.00000    
  0.870923E-01   1.91968       3.77405       4.61266       4.30902       4.30902       0.00000       0.00000       8.38671       2.15451       2.15451       1.40999       3.23908       3.50631       0.00000    
  0.911967E-01   1.83791       3.63069       4.43585       4.15274       4.15274       0.00000       0.00000       8.06654       2.07637       2.07637       1.38155       3.10864       3.33740       0.00000    
  0.954946E-01   1.75583       3.48825       4.26033       3.99700       3.99700       0.00000       0.00000       7.74859       1.99850       1.99850       1.35449       2.97950       3.16918       0.00000    
