   8317.00000             101          14   9.99999978E-03  0.999899983    
            x          g             U             D           u^+           d^+         u_val         d_val           sea         u_sea         d_sea             s^+         c^+           b^+               ph 
  0.100000E-01   4.80586       9.40125       10.6567       9.92381       9.92381       0.00000       0.00000       20.0580       4.96191       4.96191       3.40951       8.87869       7.98014       0.00000    
  0.104713E-01   4.77786       9.33655       10.6230       9.87074       9.87074       0.00000       0.00000       19.9595       4.93537       4.93537       3.39171       8.80236       7.98352       0.00000    
  0.109648E-01   4.74761       9.26843       10.5838       9.81387       9.81387       0.00000       0.00000       19.8523       4.90693       4.90693       3.37126       8.72300       7.98253       0.00000    
  0.114815E-01   4.71523       9.19692       10.5393       9.75320       9.75320       0.00000       0.00000       19.7362       4.87660       4.87660       3.34819       8.64064       7.97716       0.00000    
  0.120226E-01   4.68078       9.12208       10.4894       9.68881       9.68881       0.00000       0.00000       19.6115       4.84440       4.84440       3.32259       8.55535       7.96740       0.00000    
  0.125892E-01   4.64433       9.04396       10.4343       9.62073       9.62073       0.00000       0.00000       19.4782       4.81037       4.81037       3.29458       8.46720       7.95324       0.00000    
  0.131825E-01   4.60594       8.96264       10.3740       9.54903       9.54903       0.00000       0.00000       19.3366       4.77452       4.77452       3.26426       8.37625       7.93467       0.00000    
  0.138037E-01   4.56570       8.87816       10.3085       9.47374       9.47374       0.00000       0.00000       19.1867       4.73687       4.73687       3.23169       8.28257       7.91166       0.00000    
  0.144543E-01   4.52368       8.79057       10.2381       9.39492       9.39492       0.00000       0.00000       19.0286       4.69746       4.69746       3.19698       8.18622       7.88421       0.00000    
  0.151355E-01   4.47990       8.69996       10.1626       9.31263       9.31263       0.00000       0.00000       18.8626       4.65632       4.65632       3.16026       8.08729       7.85231       0.00000    
  0.158488E-01   4.43446       8.60639       10.0822       9.22693       9.22693       0.00000       0.00000       18.6886       4.61346       4.61346       3.12161       7.98585       7.81593       0.00000    
  0.165957E-01   4.38743       8.50990       9.99702       9.13785       9.13785       0.00000       0.00000       18.5069       4.56893       4.56893       3.08113       7.88195       7.77505       0.00000    
  0.173778E-01   4.33886       8.41057       9.90704       9.04547       9.04547       0.00000       0.00000       18.3176       4.52273       4.52273       3.03894       7.77567       7.72967       0.00000    
  0.181968E-01   4.28876       8.30848       9.81241       8.94985       8.94985       0.00000       0.00000       18.1209       4.47492       4.47492       2.99517       7.66711       7.67980       0.00000    
  0.190543E-01   4.23723       8.20369       9.71316       8.85104       8.85104       0.00000       0.00000       17.9168       4.42552       4.42552       2.94990       7.55634       7.62539       0.00000    
  0.199523E-01   4.18433       8.09625       9.60938       8.74909       8.74909       0.00000       0.00000       17.7056       4.37455       4.37455       2.90325       7.44341       7.56642       0.00000    
  0.208926E-01   4.13008       7.98625       9.50116       8.64408       8.64408       0.00000       0.00000       17.4874       4.32204       4.32204       2.85534       7.32843       7.50290       0.00000    
  0.218772E-01   4.07450       7.87378       9.38863       8.53608       8.53608       0.00000       0.00000       17.2624       4.26804       4.26804       2.80631       7.21148       7.43487       0.00000    
  0.229083E-01   4.01769       7.75888       9.27182       8.42513       8.42513       0.00000       0.00000       17.0307       4.21257       4.21257       2.75625       7.09262       7.36225       0.00000    
