   100.000000             101          15   9.99999978E-03  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-01   1.57356       6.90787       6.64334       6.90787       6.64334       0.00000       0.00000       13.5512       3.72721       3.72721      0.295059       3.18066       2.62108       0.00000      0.295059    
  0.104713E-01   1.60671       6.88632       6.67386       6.88632       6.67386       0.00000       0.00000       13.5602       3.72258       3.72258      0.304299       3.16374       2.64698       0.00000      0.304299    
  0.109648E-01   1.63923       6.86314       6.70175       6.86314       6.70175       0.00000       0.00000       13.5649       3.71698       3.71698      0.313039       3.14617       2.67174       0.00000      0.313039    
  0.114815E-01   1.67113       6.83829       6.72695       6.83829       6.72695       0.00000       0.00000       13.5652       3.71037       3.71037      0.321248       3.12792       2.69533       0.00000      0.321248    
  0.120226E-01   1.70242       6.81174       6.74940       6.81174       6.74940       0.00000       0.00000       13.5611       3.70274       3.70274      0.328934       3.10900       2.71772       0.00000      0.328934    
  0.125892E-01   1.73308       6.78347       6.76902       6.78347       6.76902       0.00000       0.00000       13.5525       3.69408       3.69408      0.336111       3.08939       2.73883       0.00000      0.336111    
  0.131825E-01   1.76312       6.75345       6.78578       6.75345       6.78578       0.00000       0.00000       13.5392       3.68437       3.68437      0.342786       3.06908       2.75862       0.00000      0.342786    
  0.138037E-01   1.79256       6.72165       6.79959       6.72165       6.79959       0.00000       0.00000       13.5212       3.67358       3.67358      0.348950       3.04807       2.77705       0.00000      0.348950    
  0.144543E-01   1.82139       6.68805       6.81039       6.68805       6.81039       0.00000       0.00000       13.4984       3.66171       3.66171      0.354614       3.02634       2.79407       0.00000      0.354614    
  0.151355E-01   1.84961       6.65263       6.81814       6.65263       6.81814       0.00000       0.00000       13.4708       3.64874       3.64874      0.359801       3.00390       2.80960       0.00000      0.359801    
  0.158488E-01   1.87721       6.61537       6.82277       6.61537       6.82277       0.00000       0.00000       13.4381       3.63464       3.63464      0.364515       2.98073       2.82361       0.00000      0.364515    
  0.165957E-01   1.90422       6.57624       6.82421       6.57624       6.82421       0.00000       0.00000       13.4005       3.61941       3.61941      0.368754       2.95683       2.83605       0.00000      0.368754    
  0.173778E-01   1.93062       6.53521       6.82241       6.53521       6.82241       0.00000       0.00000       13.3576       3.60303       3.60303      0.372538       2.93218       2.84684       0.00000      0.372538    
  0.181968E-01   1.95636       6.49229       6.81733       6.49229       6.81733       0.00000       0.00000       13.3096       3.58549       3.58549      0.375898       2.90680       2.85595       0.00000      0.375898    
  0.190543E-01   1.98147       6.44744       6.80889       6.44744       6.80889       0.00000       0.00000       13.2563       3.56676       3.56676      0.378832       2.88068       2.86330       0.00000      0.378832    
  0.199523E-01   2.00597       6.40064       6.79703       6.40064       6.79703       0.00000       0.00000       13.1977       3.54684       3.54684      0.381352       2.85380       2.86884       0.00000      0.381352    
  0.208926E-01   2.02981       6.35187       6.78170       6.35187       6.78170       0.00000       0.00000       13.1336       3.52571       3.52571      0.383482       2.82616       2.87251       0.00000      0.383482    
  0.218772E-01   2.05292       6.30114       6.76290       6.30114       6.76290       0.00000       0.00000       13.0640       3.50336       3.50336      0.385264       2.79778       2.87427       0.00000      0.385264    
  0.229083E-01   2.07535       6.24841       6.74050       6.24841       6.74050       0.00000       0.00000       12.9889       3.47978       3.47978      0.386691       2.76863       2.87403       0.00000      0.386691    
  0.239879E-01   2.09708       6.19366       6.71447       6.19366       6.71447       0.00000       0.00000       12.9081       3.45494       3.45494      0.387788       2.73872       2.87175       0.00000      0.387788    
  0.251184E-01   2.11804       6.13689       6.68478       6.13689       6.68478       0.00000       0.00000       12.8217       3.42884       3.42884      0.388586       2.70805       2.86736       0.00000      0.388586    
  0.263021E-01   2.13814       6.07811       6.65145       6.07811       6.65145       0.00000       0.00000       12.7296       3.40148       3.40148      0.389132       2.67663       2.86084       0.00000      0.389132    
  0.275417E-01   2.15744       6.01727       6.61433       6.01727       6.61433       0.00000       0.00000       12.6316       3.37283       3.37283      0.389423       2.64444       2.85208       0.00000      0.389423    
  0.288396E-01   2.17588       5.95438       6.57341       5.95438       6.57341       0.00000       0.00000       12.5278       3.34288       3.34288      0.389495       2.61149       2.84103       0.00000      0.389495    
  0.301988E-01   2.19337       5.88942       6.52870       5.88942       6.52870       0.00000       0.00000       12.4181       3.31164       3.31164      0.389388       2.57778       2.82768       0.00000      0.389388    
  0.316220E-01   2.20981       5.82242       6.48020       5.82242       6.48020       0.00000       0.00000       12.3026       3.27909       3.27909      0.389140       2.54333       2.81197       0.00000      0.389140    
  0.331122E-01   2.22523       5.75333       6.42779       5.75333       6.42779       0.00000       0.00000       12.1811       3.24521       3.24521      0.388770       2.50812       2.79381       0.00000      0.388770    
  0.346727E-01   2.23954       5.68216       6.37147       5.68216       6.37147       0.00000       0.00000       12.0536       3.21001       3.21001      0.388318       2.47216       2.77315       0.00000      0.388318    
  0.363068E-01   2.25261       5.60894       6.31133       5.60894       6.31133       0.00000       0.00000       11.9203       3.17348       3.17348      0.387826       2.43546       2.75002       0.00000      0.387826    
  0.380178E-01   2.26437       5.53365       6.24732       5.53365       6.24732       0.00000       0.00000       11.7810       3.13562       3.13562      0.387333       2.39803       2.72436       0.00000      0.387333    
