   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.2635      0.831558      0.924536      0.817665      0.938429      0.138935E-01  -.138935E-01   1.75609      0.422061      0.435955      0.422181      0.395603      0.802932E-01   0.00000      0.422181    
  0.103532E-02   13.0666      0.819950      0.911522      0.805719      0.925753      0.142308E-01  -.142308E-01   1.73147      0.416208      0.430439      0.416330      0.389511      0.789845E-01   0.00000      0.416330    
  0.107189E-02   12.8697      0.808342      0.898509      0.793774      0.913077      0.145681E-01  -.145681E-01   1.70685      0.410355      0.424924      0.410478      0.383418      0.776759E-01   0.00000      0.410478    
  0.110975E-02   12.6728      0.796734      0.885496      0.781828      0.900401      0.149055E-01  -.149055E-01   1.68223      0.404503      0.419408      0.404626      0.377326      0.763673E-01   0.00000      0.404626    
  0.114895E-02   12.4759      0.785126      0.872482      0.769883      0.887725      0.152428E-01  -.152428E-01   1.65761      0.398650      0.413892      0.398774      0.371233      0.750587E-01   0.00000      0.398774    
  0.118953E-02   12.2891      0.774202      0.860231      0.758591      0.875842      0.156110E-01  -.156110E-01   1.63443      0.393143      0.408754      0.393268      0.365449      0.738205E-01   0.00000      0.393268    
  0.123155E-02   12.1034      0.763349      0.848058      0.747366      0.864040      0.159824E-01  -.159824E-01   1.61141      0.387671      0.403653      0.387797      0.359696      0.725895E-01   0.00000      0.387797    
  0.127505E-02   11.9177      0.752495      0.835884      0.736142      0.852238      0.163537E-01  -.163537E-01   1.58838      0.382199      0.398553      0.382327      0.353943      0.713586E-01   0.00000      0.382327    
  0.132009E-02   11.7320      0.741642      0.823710      0.724917      0.840435      0.167251E-01  -.167251E-01   1.56535      0.376727      0.393452      0.376856      0.348190      0.701276E-01   0.00000      0.376856    
  0.136672E-02   11.5534      0.731273      0.812074      0.714151      0.829196      0.171215E-01  -.171215E-01   1.54335      0.371499      0.388621      0.371629      0.342652      0.689456E-01   0.00000      0.371629    
  0.141499E-02   11.3782      0.721141      0.800702      0.703611      0.818232      0.175301E-01  -.175301E-01   1.52184      0.366392      0.383922      0.366523      0.337219      0.677878E-01   0.00000      0.366523    
  0.146497E-02   11.2031      0.711010      0.789330      0.693071      0.807269      0.179388E-01  -.179388E-01   1.50034      0.361284      0.379223      0.361416      0.331787      0.666300E-01   0.00000      0.361416    
