   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   5.75198      0.649795       1.08343      0.645936       1.08287      0.385890E-02  0.558453E-03   1.72880      0.645936      0.645551      0.437323       0.00000       0.00000       0.00000      0.437317    
  0.109648E-03   5.68245      0.642008       1.06981      0.637861       1.06920      0.414720E-02  0.611421E-03   1.70706      0.637861      0.637444      0.431765       0.00000       0.00000       0.00000      0.431759    
  0.120226E-03   5.61428      0.634342       1.05637      0.629884       1.05570      0.445865E-02  0.670186E-03   1.68558      0.629884      0.629432      0.426274       0.00000       0.00000       0.00000      0.426268    
  0.131825E-03   5.54741      0.626796       1.04309      0.622004       1.04236      0.479211E-02  0.734043E-03   1.66436      0.622004      0.621515      0.420849       0.00000       0.00000       0.00000      0.420843    
  0.144543E-03   5.48184      0.619369       1.02998      0.614219       1.02917      0.514991E-02  0.803810E-03   1.64339      0.614219      0.613690      0.415488       0.00000       0.00000       0.00000      0.415482    
  0.158489E-03   5.41752      0.612063       1.01702      0.606528       1.01614      0.553526E-02  0.880701E-03   1.62267      0.606528      0.605954      0.410190       0.00000       0.00000       0.00000      0.410183    
  0.173779E-03   5.35442      0.604879       1.00422      0.598928       1.00325      0.595048E-02  0.965520E-03   1.60218      0.598928      0.598307      0.404953       0.00000       0.00000       0.00000      0.404947    
  0.190545E-03   5.29252      0.597814      0.991575      0.591419      0.990517      0.639524E-02  0.105782E-02   1.58194      0.591419      0.590747      0.399777       0.00000       0.00000       0.00000      0.399770    
  0.208928E-03   5.23178      0.590871      0.979083      0.583999      0.977924      0.687263E-02  0.115875E-02   1.56192      0.583999      0.583271      0.394660       0.00000       0.00000       0.00000      0.394653    
  0.229085E-03   5.17217      0.584053      0.966741      0.576665      0.965470      0.738745E-02  0.127039E-02   1.54214      0.576665      0.575877      0.389600       0.00000       0.00000       0.00000      0.389593    
  0.251186E-03   5.11365      0.577358      0.954546      0.569417      0.953153      0.794096E-02  0.139293E-02   1.52257      0.569417      0.568564      0.384596       0.00000       0.00000       0.00000      0.384589    
  0.275420E-03   5.05622      0.570787      0.942495      0.562253      0.940969      0.853410E-02  0.152645E-02   1.50322      0.562253      0.561329      0.379647       0.00000       0.00000       0.00000      0.379640    
  0.301992E-03   4.99981      0.564342      0.930587      0.555171      0.928915      0.917091E-02  0.167259E-02   1.48409      0.555171      0.554171      0.374751       0.00000       0.00000       0.00000      0.374744    
  0.331127E-03   4.94441      0.558027      0.918820      0.548169      0.916985      0.985833E-02  0.183465E-02   1.46515      0.548169      0.547086      0.369906       0.00000       0.00000       0.00000      0.369899    
