   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   77.5742       6.28501       8.93897       6.25562       8.91462      0.293867E-01  0.243546E-01   15.1702       3.35313       3.34911       3.33218       2.90250       2.23011       0.00000       3.33540    
  0.109648E-03   74.8684       6.09281       8.66482       6.06238       8.63976      0.304234E-01  0.250591E-01   14.7021       3.25451       3.25050       3.23307       2.80787       2.15295       0.00000       3.23632    
  0.120226E-03   72.2371       5.90550       8.39764       5.87400       8.37186      0.315013E-01  0.257817E-01   14.2459       3.15833       3.15432       3.13638       2.71567       2.07790       0.00000       3.13964    
  0.131825E-03   69.6795       5.72304       8.13737       5.69042       8.11085      0.326209E-01  0.265225E-01   13.8013       3.06454       3.06055       3.04208       2.62588       2.00495       0.00000       3.04536    
  0.144543E-03   67.1958       5.54544       7.88403       5.51166       7.85675      0.337823E-01  0.272816E-01   13.3684       2.97316       2.96919       2.95018       2.53850       1.93409       0.00000       2.95346    
  0.158489E-03   64.7814       5.37239       7.63714       5.33740       7.60908      0.349913E-01  0.280599E-01   12.9465       2.88403       2.88009       2.86050       2.45337       1.86520       0.00000       2.86379    
  0.173779E-03   62.4369       5.20394       7.39678       5.16769       7.36793      0.362466E-01  0.288572E-01   12.5356       2.79717       2.79326       2.77308       2.37052       1.79829       0.00000       2.77638    
  0.190545E-03   60.1610       5.04000       7.16283       5.00245       7.13316      0.375506E-01  0.296739E-01   12.1356       2.71253       2.70867       2.68788       2.28992       1.73331       0.00000       2.69117    
  0.208928E-03   57.9496       4.88030       6.93487       4.84139       6.90436      0.389095E-01  0.305112E-01   11.7458       2.62998       2.62617       2.60474       2.21141       1.67016       0.00000       2.60803    
  0.229085E-03   55.8042       4.72494       6.71306       4.68462       6.68169      0.403206E-01  0.313686E-01   11.3663       2.54956       2.54582       2.52372       2.13506       1.60886       0.00000       2.52701    
  0.251186E-03   53.7224       4.57378       6.49718       4.53200       6.46493      0.417888E-01  0.322468E-01   10.9969       2.47120       2.46754       2.44475       2.06079       1.54937       0.00000       2.44802    
  0.275420E-03   51.7008       4.42663       6.28692       4.38331       6.25378      0.433201E-01  0.331471E-01   10.6371       2.39480       2.39122       2.36772       1.98851       1.49158       0.00000       2.37098    
  0.301992E-03   49.7412       4.28360       6.08249       4.23869       6.04842      0.449110E-01  0.340688E-01   10.2871       2.32042       2.31694       2.29269       1.91827       1.43555       0.00000       2.29593    
  0.331127E-03   47.8403       4.14445       5.88351       4.09788       5.84849      0.465695E-01  0.350135E-01   9.94637       2.24792       2.24457       2.21954       1.84996       1.38118       0.00000       2.22275    
  0.363073E-03   45.9959       4.00902       5.68972       3.96072       5.65374      0.483003E-01  0.359820E-01   9.61446       2.17724       2.17401       2.14818       1.78348       1.32838       0.00000       2.15135    
  0.398101E-03   44.2094       3.87740       5.50129       3.82730       5.46432      0.501005E-01  0.369738E-01   9.29162       2.10841       2.10532       2.07866       1.71889       1.27721       0.00000       2.08179    
  0.436509E-03   42.4769       3.74937       5.31787       3.69739       5.27988      0.519814E-01  0.379915E-01   8.97727       2.04131       2.03839       2.01087       1.65608       1.22755       0.00000       2.01394    
  0.478622E-03   40.7977       3.62489       5.13939       3.57095       5.10036      0.539448E-01  0.390355E-01   8.67130       1.97593       1.97319       1.94476       1.59502       1.17938       0.00000       1.94779    
  0.524798E-03   39.1721       3.50397       4.96588       3.44798       4.92577      0.559909E-01  0.401059E-01   8.37375       1.91227       1.90972       1.88037       1.53571       1.13272       0.00000       1.88333    
