 First iteration    5519.0543887127569             1131   4.8798005205240997     
After minimisation    5519.05  1131     4.880

  Partial chi2s 
Dataset    1   2003.54(+48.85)   377  HERA1+2 NCep 920                                
Dataset    2    112.55(+10.54)    70  HERA1+2 NCep 820                                
Dataset    3    294.12(+37.91)   254  HERA1+2 NCep 575                                
Dataset    4    363.85(+26.96)   204  HERA1+2 NCep 460                                
Dataset    5    962.23( -0.99)   159  HERA1+2 NCem                                    
Dataset    6    106.01( -0.96)    39  HERA1+2 CCep                                    
Dataset    7    127.75( -4.45)    42  HERA1+2 CCem                                    

 Correlated Chi2    1431.1465282633560     
 Log penalty Chi2    117.85606356126065     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2136   +/-   0.9326        :N:M:D
    2  sysHZComb1002                          0.3232   +/-   0.9360        :N:M:D
    3  sysHZComb1003                         -2.7015   +/-   0.5526        :N:M:D
    4  sysHZComb1004                         -7.2290   +/-   0.6176        :N:M:D
    5  sysHZComb1005                          6.9199   +/-   0.6087        :N:M:D
    6  sysHZComb1006                         -7.8642   +/-   0.7873        :N:M:D
    7  sysHZComb1007                          0.0754   +/-   0.9982        :N:M:D
    8  sysHZComb1008                         -0.0321   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.5457   +/-   0.8904        :N:M:D
   10  sysHZComb1010                         -0.6578   +/-   0.9932        :N:M:D
   11  sysHZComb1011                         -1.4511   +/-   0.9659        :N:M:D
   12  sysHZComb1012                         -1.5975   +/-   0.9719        :N:M:D
   13  sysHZComb1013                          0.7589   +/-   0.9613        :N:M:D
   14  sysHZComb1014                         -0.8595   +/-   0.9871        :N:M:D
   15  sysHZComb1015                         -0.1019   +/-   0.9620        :N:M:D
   16  sysHZComb1016                         -0.6965   +/-   0.9741        :N:M:D
   17  sysHZComb1017                          0.3205   +/-   0.9706        :N:M:D
   18  sysHZComb1018                         -2.0194   +/-   0.8178        :N:M:D
   19  sysHZComb1019                         -1.0757   +/-   0.9833        :N:M:D
   20  sysHZComb1020                          0.0213   +/-   0.9810        :N:M:D
   21  sysHZComb1021                          0.0491   +/-   0.9733        :N:M:D
   22  sysHZComb1022                         -0.3024   +/-   0.9681        :N:M:D
   23  sysHZComb1023                          1.9772   +/-   0.9435        :N:M:D
   24  sysHZComb1024                         -0.2647   +/-   0.9878        :N:M:D
   25  sysHZComb1025                         -0.1410   +/-   0.9932        :N:M:D
   26  sysHZComb1026                         -0.5266   +/-   0.9163        :N:M:D
   27  sysHZComb1027                         -3.2906   +/-   0.9523        :N:M:D
   28  sysHZComb1028                          2.4289   +/-   0.9740        :N:M:D
   29  sysHZComb1029                          1.3512   +/-   0.9158        :N:M:D
   30  sysHZComb1030                         -2.9873   +/-   0.9424        :N:M:D
   31  sysHZComb1031                         -4.3303   +/-   0.8330        :N:M:D
   32  sysHZComb1032                         -0.4154   +/-   0.9630        :N:M:D
   33  sysHZComb1033                          1.4907   +/-   0.9699        :N:M:D
   34  sysHZComb1034                         -1.1816   +/-   0.9837        :N:M:D
   35  sysHZComb1035                          2.4085   +/-   0.9778        :N:M:D
   36  sysHZComb1036                         -0.8685   +/-   0.9731        :N:M:D
   37  sysHZComb1037                         -0.3300   +/-   0.9693        :N:M:D
   38  sysHZComb1038                         -3.3894   +/-   0.9098        :N:M:D
   39  sysHZComb1039                         -2.9240   +/-   0.9516        :N:M:D
   40  sysHZComb1040                          2.4139   +/-   0.9281        :N:M:D
   41  sysHZComb1041                         -0.7720   +/-   0.8027        :N:M:D
   42  sysHZComb1042                          0.6690   +/-   0.8688        :N:M:D
   43  sysHZComb1043                          6.7227   +/-   0.9071        :N:M:D
   44  sysHZComb1044                         -1.2502   +/-   0.9354        :N:M:D
   45  sysHZComb1045                         -5.7723   +/-   0.9296        :N:M:D
   46  sysHZComb1046                         -3.9175   +/-   0.9559        :N:M:D
   47  sysHZComb1047                          1.8213   +/-   0.9461        :N:M:D
   48  sysHZComb1048                          0.7428   +/-   0.9600        :N:M:D
   49  sysHZComb1049                         -0.5244   +/-   0.9453        :N:M:D
   50  sysHZComb1050                          1.1940   +/-   0.9414        :N:M:D
   51  sysHZComb1051                         -1.9489   +/-   0.9512        :N:M:D
   52  sysHZComb1052                          5.6566   +/-   0.9498        :N:M:D
   53  sysHZComb1053                         -2.8215   +/-   0.9157        :N:M:D
   54  sysHZComb1054                          0.6990   +/-   0.9742        :N:M:D
