   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   42.3484       3.97279       4.48458       3.96144       4.48052      0.113523E-01  0.405992E-02   8.44196       2.32040       2.31989       2.16089       1.64104       0.00000       0.00000       2.16063    
  0.109648E-03   41.3034       3.87364       4.37617       3.86159       4.37186      0.120479E-01  0.431046E-02   8.23345       2.26515       2.26460       2.10752       1.59644       0.00000       0.00000       2.10726    
  0.120226E-03   40.2692       3.77602       4.26931       3.76323       4.26473      0.127882E-01  0.457862E-02   8.02796       2.21068       2.21008       2.05492       1.55255       0.00000       0.00000       2.05465    
  0.131825E-03   39.2470       3.67999       4.16407       3.66642       4.15921      0.135724E-01  0.486359E-02   7.82563       2.15703       2.15638       2.00310       1.50939       0.00000       0.00000       2.00283    
  0.144543E-03   38.2369       3.58557       4.06046       3.57116       4.05529      0.144040E-01  0.516704E-02   7.62645       2.10419       2.10349       1.95208       1.46697       0.00000       0.00000       1.95181    
  0.158489E-03   37.2393       3.49274       3.95847       3.47745       3.95298      0.152875E-01  0.549129E-02   7.43043       2.05216       2.05140       1.90184       1.42529       0.00000       0.00000       1.90157    
  0.173779E-03   36.2543       3.40153       3.85811       3.38530       3.85227      0.162265E-01  0.583798E-02   7.23757       2.00095       2.00013       1.85241       1.38435       0.00000       0.00000       1.85214    
  0.190545E-03   35.2827       3.31195       3.75941       3.29473       3.75320      0.172214E-01  0.620690E-02   7.04794       1.95058       1.94969       1.80379       1.34416       0.00000       0.00000       1.80351    
  0.208928E-03   34.3245       3.22403       3.66238       3.20575       3.65578      0.182765E-01  0.660026E-02   6.86153       1.90103       1.90008       1.75597       1.30472       0.00000       0.00000       1.75570    
  0.229085E-03   33.3800       3.13774       3.56700       3.11834       3.55998      0.193981E-01  0.702150E-02   6.67832       1.85231       1.85128       1.70897       1.26603       0.00000       0.00000       1.70869    
  0.251186E-03   32.4493       3.05310       3.47329       3.03251       3.46582      0.205886E-01  0.747152E-02   6.49832       1.80443       1.80332       1.66277       1.22808       0.00000       0.00000       1.66250    
  0.275420E-03   31.5330       2.97012       3.38126       2.94827       3.37331      0.218502E-01  0.795102E-02   6.32158       1.75738       1.75618       1.61739       1.19089       0.00000       0.00000       1.61712    
  0.301992E-03   30.6311       2.88881       3.29090       2.86562       3.28244      0.231881E-01  0.846289E-02   6.14806       1.71116       1.70987       1.57283       1.15446       0.00000       0.00000       1.57256    
  0.331127E-03   29.7435       2.80914       3.20221       2.78453       3.19319      0.246108E-01  0.901204E-02   5.97773       1.66577       1.66439       1.52907       1.11876       0.00000       0.00000       1.52881    
  0.363073E-03   28.8707       2.73115       3.11518       2.70503       3.10558      0.261194E-01  0.959831E-02   5.81061       1.62121       1.61972       1.48612       1.08381       0.00000       0.00000       1.48586    
  0.398101E-03   28.0128       2.65481       3.02983       2.62709       3.01961      0.277180E-01  0.102237E-01   5.64670       1.57748       1.57588       1.44398       1.04961       0.00000       0.00000       1.44373    
  0.436509E-03   27.1698       2.58013       2.94614       2.55072       2.93525      0.294132E-01  0.108921E-01   5.48597       1.53458       1.53285       1.40265       1.01614       0.00000       0.00000       1.40240    
  0.478622E-03   26.3417       2.50711       2.86410       2.47589       2.85249      0.312157E-01  0.116101E-01   5.32838       1.49248       1.49062       1.36210      0.983407       0.00000       0.00000       1.36186    
  0.524798E-03   25.5287       2.43573       2.78371       2.40260       2.77133      0.331252E-01  0.123762E-01   5.17394       1.45120       1.44921       1.32236      0.951401       0.00000       0.00000       1.32213    
