   1.97000003             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  -1.46026      0.537396      0.895049      0.534096      0.894518      0.329946E-02  0.530941E-03   1.42861      0.534096      0.533881      0.360645       0.00000       0.00000       0.00000      0.360637    
  0.109648E-03  -1.28196      0.531347      0.884514      0.527800      0.883934      0.354688E-02  0.579996E-03   1.41173      0.527800      0.527568      0.356374       0.00000       0.00000       0.00000      0.356366    
  0.120226E-03  -1.11453      0.525432      0.874151      0.521607      0.873514      0.382505E-02  0.636787E-03   1.39512      0.521607      0.521354      0.352168       0.00000       0.00000       0.00000      0.352160    
  0.131825E-03  -.951363      0.519573      0.863859      0.515455      0.863161      0.411757E-02  0.697302E-03   1.37862      0.515455      0.515182      0.347988       0.00000       0.00000       0.00000      0.347980    
  0.144543E-03  -.794289      0.513794      0.853667      0.509363      0.852904      0.443063E-02  0.763148E-03   1.36227      0.509363      0.509067      0.343846       0.00000       0.00000       0.00000      0.343837    
  0.158489E-03  -.645173      0.508128      0.843615      0.503353      0.842778      0.477566E-02  0.837555E-03   1.34613      0.503353      0.503031      0.339755       0.00000       0.00000       0.00000      0.339746    
  0.173779E-03  -.499880      0.502520      0.833631      0.497382      0.832714      0.513758E-02  0.916567E-03   1.33010      0.497382      0.497034      0.335689       0.00000       0.00000       0.00000      0.335681    
  0.190545E-03  -.361810      0.497022      0.823779      0.491488      0.822774      0.553407E-02  0.100513E-02   1.31426      0.491488      0.491111      0.331672       0.00000       0.00000       0.00000      0.331663    
  0.208928E-03  -.229147      0.491615      0.814030      0.485654      0.812928      0.596140E-02  0.110249E-02   1.29858      0.485654      0.485245      0.327692       0.00000       0.00000       0.00000      0.327683    
  0.229085E-03  -.999848E-01  0.486267      0.804349      0.479858      0.803143      0.640891E-02  0.120562E-02   1.28300      0.479858      0.479416      0.323737       0.00000       0.00000       0.00000      0.323728    
