   1.8000000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03  0.450519      0.202976E-05  0.405951E-05  0.202976E-05  0.405951E-05   0.00000       0.00000      0.608927E-05  0.202976E-05  0.202976E-05  0.202976E-05   0.00000       0.00000    
  0.109648E-03  0.450519      0.226293E-05  0.452586E-05  0.226293E-05  0.452586E-05   0.00000       0.00000      0.678880E-05  0.226293E-05  0.226293E-05  0.226293E-05   0.00000       0.00000    
  0.120226E-03  0.450519      0.254155E-05  0.508311E-05  0.254155E-05  0.508311E-05   0.00000       0.00000      0.762466E-05  0.254155E-05  0.254155E-05  0.254155E-05   0.00000       0.00000    
  0.131825E-03  0.450519      0.284273E-05  0.568545E-05  0.284273E-05  0.568545E-05   0.00000       0.00000      0.852818E-05  0.284273E-05  0.284273E-05  0.284273E-05   0.00000       0.00000    
  0.144543E-03  0.450519      0.317619E-05  0.635237E-05  0.317619E-05  0.635237E-05   0.00000       0.00000      0.952856E-05  0.317619E-05  0.317619E-05  0.317619E-05   0.00000       0.00000    
  0.158489E-03  0.450519      0.356308E-05  0.712617E-05  0.356308E-05  0.712617E-05   0.00000       0.00000      0.106892E-04  0.356308E-05  0.356308E-05  0.356308E-05   0.00000       0.00000    
  0.173779E-03  0.450519      0.397924E-05  0.795848E-05  0.397924E-05  0.795848E-05   0.00000       0.00000      0.119377E-04  0.397924E-05  0.397924E-05  0.397924E-05   0.00000       0.00000    
  0.190545E-03  0.450519      0.445687E-05  0.891374E-05  0.445687E-05  0.891374E-05   0.00000       0.00000      0.133706E-04  0.445687E-05  0.445687E-05  0.445687E-05   0.00000       0.00000    
  0.208928E-03  0.450519      0.499282E-05  0.998564E-05  0.499282E-05  0.998564E-05   0.00000       0.00000      0.149785E-04  0.499282E-05  0.499282E-05  0.499282E-05   0.00000       0.00000    
  0.229085E-03  0.450519      0.556709E-05  0.111342E-04  0.556709E-05  0.111342E-04   0.00000       0.00000      0.167013E-04  0.556709E-05  0.556709E-05  0.556709E-05   0.00000       0.00000    
  0.251186E-03  0.450519      0.625122E-05  0.125024E-04  0.625122E-05  0.125024E-04   0.00000       0.00000      0.187536E-04  0.625122E-05  0.625122E-05  0.625122E-05   0.00000       0.00000    
  0.275420E-03  0.450519      0.699277E-05  0.139855E-04  0.699277E-05  0.139855E-04   0.00000       0.00000      0.209783E-04  0.699277E-05  0.699277E-05  0.699277E-05   0.00000       0.00000    
  0.301992E-03  0.450519      0.781153E-05  0.156231E-04  0.781153E-05  0.156231E-04   0.00000       0.00000      0.234346E-04  0.781153E-05  0.781153E-05  0.781153E-05   0.00000       0.00000    
  0.331127E-03  0.450519      0.876396E-05  0.175279E-04  0.876396E-05  0.175279E-04   0.00000       0.00000      0.262919E-04  0.876396E-05  0.876396E-05  0.876396E-05   0.00000       0.00000    
  0.363073E-03  0.450519      0.978872E-05  0.195774E-04  0.978872E-05  0.195774E-04   0.00000       0.00000      0.293662E-04  0.978872E-05  0.978872E-05  0.978872E-05   0.00000       0.00000    
  0.398101E-03  0.450519      0.109614E-04  0.219229E-04  0.109614E-04  0.219229E-04   0.00000       0.00000      0.328843E-04  0.109614E-04  0.109614E-04  0.109614E-04   0.00000       0.00000    
  0.436509E-03  0.450519      0.122809E-04  0.245617E-04  0.122809E-04  0.245617E-04   0.00000       0.00000      0.368426E-04  0.122809E-04  0.122809E-04  0.122809E-04   0.00000       0.00000    
  0.478622E-03  0.450519      0.136951E-04  0.273902E-04  0.136951E-04  0.273902E-04   0.00000       0.00000      0.410852E-04  0.136951E-04  0.136951E-04  0.136951E-04   0.00000       0.00000    
  0.524798E-03  0.450519      0.153747E-04  0.307494E-04  0.153747E-04  0.307494E-04   0.00000       0.00000      0.461241E-04  0.153747E-04  0.153747E-04  0.153747E-04   0.00000       0.00000    
  0.575429E-03  0.450519      0.172004E-04  0.344008E-04  0.172004E-04  0.344008E-04   0.00000       0.00000      0.516012E-04  0.172004E-04  0.172004E-04  0.172004E-04   0.00000       0.00000    
  0.630945E-03  0.450519      0.192105E-04  0.384211E-04  0.192105E-04  0.384211E-04   0.00000       0.00000      0.576316E-04  0.192105E-04  0.192105E-04  0.192105E-04   0.00000       0.00000    
  0.691816E-03  0.450519      0.215549E-04  0.431098E-04  0.215549E-04  0.431098E-04   0.00000       0.00000      0.646647E-04  0.215549E-04  0.215549E-04  0.215549E-04   0.00000       0.00000    
  0.758561E-03  0.450519      0.240780E-04  0.481559E-04  0.240780E-04  0.481559E-04   0.00000       0.00000      0.722339E-04  0.240780E-04  0.240780E-04  0.240780E-04   0.00000       0.00000    
