   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  -.663278      0.522101      0.863495      0.517966      0.862804      0.413575E-02  0.691020E-03   1.38077      0.517966      0.517683      0.345122       0.00000       0.00000       0.00000      0.345122    
  0.109648E-03  -.475933      0.516084      0.852996      0.511651      0.852242      0.443321E-02  0.753942E-03   1.36389      0.511651      0.511345      0.340897       0.00000       0.00000       0.00000      0.340897    
  0.120226E-03  -.300871      0.510222      0.842698      0.505455      0.841871      0.476731E-02  0.827070E-03   1.34733      0.505455      0.505123      0.336748       0.00000       0.00000       0.00000      0.336748    
  0.131825E-03  -.130542      0.504423      0.832482      0.499306      0.831578      0.511731E-02  0.904542E-03   1.33088      0.499306      0.498947      0.332631       0.00000       0.00000       0.00000      0.332631    
  0.144543E-03  0.330061E-01  0.498716      0.822384      0.493226      0.821395      0.549007E-02  0.988233E-03   1.31462      0.493226      0.492837      0.328558       0.00000       0.00000       0.00000      0.328558    
  0.158489E-03  0.187614      0.493139      0.812445      0.487239      0.811362      0.590041E-02  0.108302E-02   1.29860      0.487239      0.486817      0.324545       0.00000       0.00000       0.00000      0.324545    
  0.173779E-03  0.337954      0.487627      0.802584      0.481297      0.801401      0.632998E-02  0.118347E-02   1.28270      0.481297      0.480840      0.320560       0.00000       0.00000       0.00000      0.320560    
  0.190545E-03  0.480272      0.482240      0.792874      0.475442      0.791579      0.679795E-02  0.129515E-02   1.26702      0.475442      0.474948      0.316632       0.00000       0.00000       0.00000      0.316632    
  0.208928E-03  0.616572      0.476956      0.783282      0.469655      0.781864      0.730098E-02  0.141765E-02   1.25152      0.469655      0.469119      0.312746       0.00000       0.00000       0.00000      0.312746    
  0.229085E-03  0.748974      0.471738      0.773766      0.463911      0.772219      0.782694E-02  0.154725E-02   1.23613      0.463911      0.463331      0.308888       0.00000       0.00000       0.00000      0.308888    
  0.251186E-03  0.872441      0.466685      0.764432      0.458270      0.762736      0.841473E-02  0.169649E-02   1.22101      0.458270      0.457642      0.305094       0.00000       0.00000       0.00000      0.305094    
  0.275420E-03  0.992256      0.461706      0.755177      0.452674      0.753322      0.903180E-02  0.185510E-02   1.20600      0.452674      0.451993      0.301329       0.00000       0.00000       0.00000      0.301329    
  0.301992E-03   1.10716      0.456825      0.746026      0.447137      0.744000      0.968822E-02  0.202630E-02   1.19114      0.447137      0.446400      0.297600       0.00000       0.00000       0.00000      0.297600    
  0.331127E-03   1.21530      0.452095      0.737027      0.441682      0.734806      0.104123E-01  0.222085E-02   1.17649      0.441682      0.440884      0.293922       0.00000       0.00000       0.00000      0.293922    
