   6464.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   83.1318       5.84863       8.32597       5.83120       8.32077      0.174276E-01  0.519965E-02   14.1520       3.22985       3.22735       3.04970       2.60135       2.04380       0.00000       3.04962    
  0.109648E-03   80.3940       5.68034       8.08105       5.66193       8.07551      0.184124E-01  0.554126E-02   13.7374       3.13926       3.13660       2.96198       2.52267       1.97701       0.00000       2.96190    
  0.120226E-03   77.7589       5.51760       7.84426       5.49812       7.83834      0.194860E-01  0.591992E-02   13.3365       3.05155       3.04869       2.87705       2.44657       1.91268       0.00000       2.87697    
  0.131825E-03   75.1655       5.35714       7.61079       5.33654       7.60448      0.205997E-01  0.631561E-02   12.9410       2.96501       2.96196       2.79325       2.37153       1.84934       0.00000       2.79317    
  0.144543E-03   72.6318       5.19994       7.38209       5.17817       7.37535      0.217707E-01  0.673568E-02   12.5535       2.88017       2.87691       2.71109       2.29800       1.78743       0.00000       2.71101    
  0.158489E-03   70.1791       5.04720       7.15987       5.02417       7.15268      0.230280E-01  0.719313E-02   12.1768       2.79762       2.79414       2.63116       2.22655       1.72746       0.00000       2.63108    
  0.173779E-03   67.7659       4.89665       6.94084       4.87232       6.93317      0.243299E-01  0.767015E-02   11.8055       2.71621       2.71250       2.55232       2.15611       1.66843       0.00000       2.55224    
  0.190545E-03   65.4289       4.75033       6.72795       4.72461       6.71976      0.257218E-01  0.818695E-02   11.4444       2.63698       2.63301       2.47559       2.08762       1.61123       0.00000       2.47551    
  0.208928E-03   63.1508       4.60732       6.51983       4.58013       6.51109      0.271912E-01  0.873869E-02   11.0912       2.55946       2.55522       2.40051       2.02067       1.55544       0.00000       2.40043    
  0.229085E-03   60.9109       4.46646       6.31482       4.43775       6.30551      0.287112E-01  0.931326E-02   10.7433       2.48304       2.47852       2.32650       1.95471       1.50057       0.00000       2.32642    
  0.251186E-03   58.7617       4.33072       6.11719       4.30036       6.10724      0.303635E-01  0.994868E-02   10.4076       2.40925       2.40442       2.25503       1.89111       1.44787       0.00000       2.25495    
