   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   5.98474      0.702042       1.19676      0.693218       1.19510      0.882415E-02  0.165908E-02   1.88832      0.696340      0.695276      0.499836      -.312145E-02   0.00000       0.00000      0.499822    
  0.109648E-03   6.18310      0.693332       1.17767      0.683965       1.17588      0.936722E-02  0.178918E-02   1.85984      0.685154      0.684011      0.491883      -.118913E-02   0.00000       0.00000      0.491869    
  0.120226E-03   6.35832      0.684773       1.15890      0.674808       1.15696      0.996502E-02  0.193636E-02   1.83177      0.674172      0.672939      0.484039      0.635445E-03   0.00000       0.00000      0.484024    
  0.131825E-03   6.52459      0.676281       1.14026      0.665693       1.13817      0.105878E-01  0.209157E-02   1.80387      0.663276      0.661948      0.476240      0.241760E-02   0.00000       0.00000      0.476226    
  0.144543E-03   6.67803      0.667887       1.12182      0.656640       1.11957      0.112464E-01  0.225828E-02   1.77621      0.652501      0.651072      0.468509      0.413901E-02   0.00000       0.00000      0.468494    
  0.158489E-03   6.81492      0.659637       1.10365      0.647677       1.10121      0.119594E-01  0.244300E-02   1.74889      0.641897      0.640355      0.460871      0.578054E-02   0.00000       0.00000      0.460855    
  0.173779E-03   6.94393      0.651461       1.08562      0.638760       1.08298      0.127009E-01  0.263727E-02   1.72174      0.631376      0.629718      0.453279      0.738353E-02   0.00000       0.00000      0.453264    
  0.190545E-03   7.05810      0.643433       1.06785      0.629933       1.06500      0.135000E-01  0.285116E-02   1.69493      0.621020      0.619233      0.445780      0.891335E-02   0.00000       0.00000      0.445765    
  0.208928E-03   7.16132      0.635531       1.05029      0.621181       1.04721      0.143494E-01  0.308268E-02   1.66839      0.610793      0.608869      0.438354      0.103878E-01   0.00000       0.00000      0.438339    
  0.229085E-03   7.25745      0.627710       1.03287      0.612478       1.02954      0.152316E-01  0.332573E-02   1.64202      0.600652      0.598583      0.430976      0.118263E-01   0.00000       0.00000      0.430960    
  0.251186E-03   7.33755      0.620099       1.01578      0.603898       1.01218      0.162010E-01  0.360021E-02   1.61608      0.590716      0.588485      0.423714      0.131814E-01   0.00000       0.00000      0.423699    
  0.275420E-03   7.41112      0.612584      0.998847      0.595372      0.994957      0.172122E-01  0.389024E-02   1.59033      0.580870      0.578468      0.416504      0.145015E-01   0.00000       0.00000      0.416489    
  0.301992E-03   7.47593      0.605200      0.982109      0.586920      0.977908      0.182797E-01  0.420117E-02   1.56483      0.571145      0.568561      0.409363      0.157746E-01   0.00000       0.00000      0.409347    
  0.331127E-03   7.52897      0.598014      0.965661      0.578577      0.961115      0.194368E-01  0.454636E-02   1.53969      0.561595      0.558809      0.402321      0.169821E-01   0.00000       0.00000      0.402306    
  0.363073E-03   7.57652      0.590928      0.949355      0.570289      0.944446      0.206399E-01  0.490948E-02   1.51473      0.552130      0.549133      0.395328      0.181584E-01   0.00000       0.00000      0.395312    
  0.398101E-03   7.61396      0.584037      0.933319      0.562103      0.928010      0.219340E-01  0.530848E-02   1.49011      0.542827      0.539600      0.388426      0.192762E-01   0.00000       0.00000      0.388411    
  0.436509E-03   7.64364      0.577315      0.917508      0.554004      0.911766      0.233112E-01  0.574116E-02   1.46577      0.533657      0.530181      0.381600      0.203469E-01   0.00000       0.00000      0.381585    
  0.478622E-03   7.66842      0.570701      0.901839      0.545960      0.895643      0.247414E-01  0.619546E-02   1.44160      0.524572      0.520836      0.374822      0.213878E-01   0.00000       0.00000      0.374807    
  0.524798E-03   7.68232      0.564358      0.886512      0.538049      0.879804      0.263095E-01  0.670739E-02   1.41785      0.515689      0.511663      0.368156      0.223594E-01   0.00000       0.00000      0.368142    
  0.575429E-03   7.69160      0.558146      0.871343      0.530199      0.864093      0.279473E-01  0.724932E-02   1.39429      0.506899      0.502566      0.361542      0.232999E-01   0.00000       0.00000      0.361528    
  0.630945E-03   7.69502      0.552099      0.856373      0.522426      0.848544      0.296730E-01  0.782912E-02   1.37097      0.498225      0.493566      0.354992      0.242011E-01   0.00000       0.00000      0.354978    
  0.691816E-03   7.69026      0.546317      0.841707      0.514772      0.833234      0.315449E-01  0.847382E-02   1.34801      0.489728      0.484708      0.348538      0.250437E-01   0.00000       0.00000      0.348525    
  0.758561E-03   7.68176      0.540665      0.827187      0.507174      0.818035      0.334907E-01  0.915197E-02   1.32521      0.481315      0.475918      0.342130      0.258586E-01   0.00000       0.00000      0.342117    
  0.831745E-03   7.66654      0.535261      0.812938      0.499681      0.803042      0.355793E-01  0.989544E-02   1.30272      0.473059      0.467251      0.335804      0.266220E-01   0.00000       0.00000      0.335792    
  0.911989E-03   7.64592      0.530083      0.798926      0.492280      0.788223      0.378035E-01  0.107029E-01   1.28050      0.464938      0.458686      0.329549      0.273413E-01   0.00000       0.00000      0.329537    
  0.999975E-03   7.62200      0.525047      0.785061      0.484934      0.773510      0.401128E-01  0.115506E-01   1.25844      0.456901      0.450184      0.323337      0.280333E-01   0.00000       0.00000      0.323326    
  0.109645E-02   7.59085      0.520359      0.771542      0.477721      0.759038      0.426380E-01  0.125032E-01   1.23676      0.449060      0.441826      0.317223      0.286613E-01   0.00000       0.00000      0.317213    
  0.120223E-02   7.55646      0.515848      0.758192      0.470571      0.744678      0.452775E-01  0.135133E-01   1.21525      0.441313      0.433533      0.311155      0.292583E-01   0.00000       0.00000      0.311145    
  0.131822E-02   7.51824      0.511549      0.745042      0.463496      0.730451      0.480528E-01  0.145913E-01   1.19395      0.433677      0.425318      0.305141      0.298185E-01   0.00000       0.00000      0.305132    
  0.144540E-02   7.47440      0.507603      0.732214      0.456539      0.716423      0.510634E-01  0.157911E-01   1.17296      0.426219      0.417221      0.299209      0.303201E-01   0.00000       0.00000      0.299201    
  0.158485E-02   7.42804      0.503829      0.719537      0.449638      0.702484      0.541910E-01  0.170527E-01   1.15212      0.418844      0.409177      0.293314      0.307941E-01   0.00000       0.00000      0.293307    
  0.173775E-02   7.37722      0.500376      0.707138      0.442837      0.688706      0.575389E-01  0.184318E-01   1.13154      0.411620      0.401227      0.287486      0.312173E-01   0.00000       0.00000      0.287480    
  0.190540E-02   7.32265      0.497230      0.694995      0.436125      0.675064      0.611045E-01  0.199308E-01   1.11119      0.404531      0.393356      0.281713      0.315939E-01   0.00000       0.00000      0.281708    
  0.208923E-02   7.26583      0.494271      0.683006      0.429468      0.661502      0.648037E-01  0.215039E-01   1.09097      0.397525      0.385532      0.275974      0.319423E-01   0.00000       0.00000      0.275970    
  0.229079E-02   7.20412      0.491767      0.671380      0.422933      0.648114      0.688341E-01  0.232653E-01   1.07105      0.390709      0.377810      0.270307      0.322245E-01   0.00000       0.00000      0.270304    
  0.251180E-02   7.14007      0.489508      0.659941      0.416461      0.634807      0.730476E-01  0.251343E-01   1.05127      0.383988      0.370134      0.264674      0.324724E-01   0.00000       0.00000      0.264672    
  0.275413E-02   7.07342      0.487522      0.648711      0.410056      0.621588      0.774654E-01  0.271234E-01   1.03164      0.377374      0.362511      0.259078      0.326820E-01   0.00000       0.00000      0.259078    
  0.301984E-02   7.00266      0.486016      0.637837      0.403764      0.608501      0.822518E-01  0.293362E-01   1.01226      0.370937      0.354963      0.253538      0.328266E-01   0.00000       0.00000      0.253538    
  0.331118E-02   6.93007      0.484740      0.627129      0.397522      0.595469      0.872178E-01  0.316607E-01  0.992991      0.364581      0.347446      0.248020      0.329407E-01   0.00000       0.00000      0.248022    
