   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  -1.62967      0.523912      0.868006      0.520730      0.867529      0.318239E-02  0.477740E-03   1.38826      0.520730      0.520517      0.347011       0.00000       0.00000       0.00000      0.347011    
  0.109648E-03  -1.45370      0.518036      0.857828      0.514612      0.857304      0.342324E-02  0.523857E-03   1.37192      0.514612      0.514383      0.342922       0.00000       0.00000       0.00000      0.342922    
  0.120226E-03  -1.28827      0.512298      0.847835      0.508604      0.847258      0.369425E-02  0.577438E-03   1.35586      0.508604      0.508355      0.338903       0.00000       0.00000       0.00000      0.338903    
  0.131825E-03  -1.12695      0.506619      0.837917      0.502640      0.837283      0.397934E-02  0.634618E-03   1.33992      0.502640      0.502370      0.334913       0.00000       0.00000       0.00000      0.334913    
  0.144543E-03  -.971523      0.501023      0.828107      0.496739      0.827410      0.428460E-02  0.696951E-03   1.32415      0.496739      0.496446      0.330964       0.00000       0.00000       0.00000      0.330964    
  0.158489E-03  -.823797      0.495544      0.818444      0.490923      0.817676      0.462126E-02  0.767575E-03   1.30860      0.490923      0.490606      0.327070       0.00000       0.00000       0.00000      0.327070    
  0.173779E-03  -.679764      0.490124      0.808851      0.485149      0.808009      0.497453E-02  0.842663E-03   1.29316      0.485149      0.484805      0.323204       0.00000       0.00000       0.00000      0.323204    
  0.190545E-03  -.542712      0.484817      0.799397      0.479455      0.798470      0.536178E-02  0.927019E-03   1.27793      0.479455      0.479082      0.319388       0.00000       0.00000       0.00000      0.319388    
  0.208928E-03  -.410881      0.479602      0.790051      0.473823      0.789031      0.577936E-02  0.101992E-02   1.26285      0.473823      0.473419      0.315612       0.00000       0.00000       0.00000      0.315612    
  0.229085E-03  -.282431      0.474447      0.780774      0.468230      0.779656      0.621679E-02  0.111842E-02   1.24789      0.468230      0.467793      0.311862       0.00000       0.00000       0.00000      0.311862    
  0.251186E-03  -.161733      0.469440      0.771663      0.462732      0.770430      0.670797E-02  0.123256E-02   1.23316      0.462732      0.462258      0.308172       0.00000       0.00000       0.00000      0.308172    
  0.275420E-03  -.442294E-01  0.464500      0.762623      0.457275      0.761269      0.722557E-02  0.135464E-02   1.21854      0.457275      0.456761      0.304507       0.00000       0.00000       0.00000      0.304507    
  0.301992E-03  0.689796E-01  0.459650      0.753679      0.451871      0.752192      0.777870E-02  0.148740E-02   1.20406      0.451871      0.451315      0.300877       0.00000       0.00000       0.00000      0.300877    
  0.331127E-03  0.176327      0.454933      0.744872      0.446543      0.743234      0.838967E-02  0.163812E-02   1.18978      0.446543      0.445940      0.297293       0.00000       0.00000       0.00000      0.297293    
  0.363073E-03  0.280921      0.450282      0.736130      0.441252      0.734331      0.903078E-02  0.179839E-02   1.17558      0.441252      0.440599      0.293732       0.00000       0.00000       0.00000      0.293732    
  0.398101E-03  0.380403      0.445760      0.727511      0.436028      0.725533      0.973208E-02  0.197796E-02   1.16156      0.436028      0.435320      0.290213       0.00000       0.00000       0.00000      0.290213    
  0.436509E-03  0.475888      0.441348      0.718994      0.430858      0.716818      0.104895E-01  0.217614E-02   1.14768      0.430858      0.430091      0.286727       0.00000       0.00000       0.00000      0.286727    
  0.478622E-03  0.568855      0.437006      0.710541      0.425723      0.708155      0.112830E-01  0.238629E-02   1.13388      0.425723      0.424893      0.283262       0.00000       0.00000       0.00000      0.283262    
  0.524798E-03  0.656125      0.432838      0.702239      0.420666      0.699610      0.121718E-01  0.262911E-02   1.12028      0.420666      0.419766      0.279844       0.00000       0.00000       0.00000      0.279844    
  0.575429E-03  0.740923      0.428755      0.694006      0.415645      0.691116      0.131100E-01  0.288938E-02   1.10676      0.415645      0.414670      0.276446       0.00000       0.00000       0.00000      0.276446    
  0.630945E-03  0.822602      0.424778      0.685859      0.410667      0.682687      0.141105E-01  0.317170E-02   1.09335      0.410667      0.409612      0.273075       0.00000       0.00000       0.00000      0.273075    
  0.691816E-03  0.899824      0.420971      0.677841      0.405753      0.674348      0.152171E-01  0.349279E-02   1.08010      0.405753      0.404609      0.269739       0.00000       0.00000       0.00000      0.269739    
  0.758561E-03  0.974993      0.417247      0.669885      0.400869      0.666051      0.163782E-01  0.383421E-02   1.06692      0.400869      0.399631      0.266420       0.00000       0.00000       0.00000      0.266420    
  0.831745E-03   1.04642      0.413684      0.662044      0.396039      0.657828      0.176453E-01  0.421569E-02   1.05387      0.396039      0.394697      0.263131       0.00000       0.00000       0.00000      0.263131    
  0.911989E-03   1.11479      0.410268      0.654302      0.391252      0.649664      0.190156E-01  0.463745E-02   1.04092      0.391252      0.389798      0.259866       0.00000       0.00000       0.00000      0.259866    
  0.999975E-03   1.18128      0.406944      0.646620      0.386493      0.641535      0.204508E-01  0.508469E-02   1.02803      0.386493      0.384921      0.256614       0.00000       0.00000       0.00000      0.256614    
  0.109645E-02   1.24357      0.403848      0.639082      0.381794      0.633482      0.220543E-01  0.559982E-02   1.01528      0.381794      0.380089      0.253393       0.00000       0.00000       0.00000      0.253393    
  0.120223E-02   1.30395      0.400871      0.631613      0.377122      0.625460      0.237492E-01  0.615305E-02   1.00258      0.377122      0.375276      0.250184       0.00000       0.00000       0.00000      0.250184    
  0.131822E-02   1.36204      0.398034      0.624227      0.372482      0.617475      0.255524E-01  0.675146E-02  0.989957      0.372482      0.370485      0.246990       0.00000       0.00000       0.00000      0.246990    
  0.144540E-02   1.41673      0.395437      0.616973      0.367888      0.609540      0.275483E-01  0.743296E-02  0.977428      0.367888      0.365724      0.243816       0.00000       0.00000       0.00000      0.243816    
  0.158485E-02   1.46986      0.392957      0.609780      0.363315      0.601623      0.296417E-01  0.815743E-02  0.964938      0.363315      0.360974      0.240649       0.00000       0.00000       0.00000      0.240649    
  0.173775E-02   1.52023      0.390698      0.602703      0.358778      0.593739      0.319200E-01  0.896432E-02  0.952516      0.358778      0.356243      0.237495       0.00000       0.00000       0.00000      0.237495    
  0.190540E-02   1.56822      0.388655      0.595731      0.354269      0.585873      0.343856E-01  0.985759E-02  0.940143      0.354269      0.351524      0.234349       0.00000       0.00000       0.00000      0.234349    
  0.208923E-02   1.61478      0.386744      0.588823      0.349777      0.578019      0.369670E-01  0.108045E-01  0.927796      0.349777      0.346811      0.231208       0.00000       0.00000       0.00000      0.231208    
  0.229079E-02   1.65817      0.385161      0.582068      0.345320      0.570177      0.398409E-01  0.118910E-01  0.915496      0.345320      0.342106      0.228071       0.00000       0.00000       0.00000      0.228071    
  0.251180E-02   1.70003      0.383757      0.575392      0.340876      0.562332      0.428811E-01  0.130594E-01  0.903208      0.340876      0.337399      0.224933       0.00000       0.00000       0.00000      0.224933    
  0.275413E-02   1.74017      0.382555      0.568805      0.336448      0.554486      0.461066E-01  0.143192E-01  0.890934      0.336448      0.332691      0.221794       0.00000       0.00000       0.00000      0.221794    
