After minimisation    1617.23  1131     1.430

  Partial chi2s 
Dataset    1    593.62(+10.63)   377  HERA1+2 NCep 920                                
Dataset    2     76.36( -0.11)    70  HERA1+2 NCep 820                                
Dataset    3    233.45( +6.55)   254  HERA1+2 NCep 575                                
Dataset    4    219.14( +1.29)   204  HERA1+2 NCep 460                                
Dataset    5    225.77( -0.54)   159  HERA1+2 NCem                                    
Dataset    6     47.19( -0.15)    39  HERA1+2 CCep                                    
Dataset    7     54.95( -1.77)    42  HERA1+2 CCem                                    

 Correlated Chi2    150.83708799592907     
 Log penalty Chi2    15.904752280851278     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  reduced_001                            1.8381   +/-   0.1598        :N:M:D
    2  reduced_002                            0.1354   +/-   0.2179        :N:M:D
    3  reduced_003                           -1.4770   +/-   0.3066        :N:M:D
    4  reduced_004                           -0.5789   +/-   0.5393        :N:M:D
    5  reduced_005                            3.3683   +/-   0.4705        :N:M:D
    6  reduced_006                           -0.2087   +/-   0.3129        :N:M:D
    7  reduced_007                            0.6957   +/-   0.5239        :N:M:D
    8  reduced_008                            0.8290   +/-   0.4502        :N:M:D
    9  reduced_009                            1.4826   +/-   0.4092        :N:M:D
   10  reduced_010                           -2.1823   +/-   0.4253        :N:M:D
   11  reduced_011                           -0.9261   +/-   0.5108        :N:M:D
   12  reduced_012                           -0.4034   +/-   0.4274        :N:M:D
   13  reduced_013                            2.0802   +/-   0.5688        :N:M:D
   14  reduced_014                           -1.2331   +/-   0.6622        :N:M:D
   15  reduced_015                            0.3427   +/-   0.5797        :N:M:D
   16  reduced_016                           -1.1083   +/-   0.8534        :N:M:D
   17  reduced_017                           -2.3763   +/-   0.5608        :N:M:D
   18  reduced_018                           -2.6143   +/-   0.5711        :N:M:D
   19  reduced_019                           -0.4323   +/-   0.8523        :N:M:D
   20  reduced_020                            0.3275   +/-   0.6272        :N:M:D
   21  reduced_021                            1.0999   +/-   0.6221        :N:M:D
   22  reduced_022                           -1.9800   +/-   0.6623        :N:M:D
   23  reduced_023                           -0.5119   +/-   0.6882        :N:M:D
   24  reduced_024                           -1.0115   +/-   0.6507        :N:M:D
   25  reduced_025                            2.8603   +/-   0.6902        :N:M:D
   26  reduced_026                           -0.9700   +/-   0.6137        :N:M:D
   27  reduced_027                            0.6415   +/-   0.7178        :N:M:D
   28  reduced_028                           -1.3124   +/-   0.7354        :N:M:D
