   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   77.5305       6.36187       9.11724       6.34868       9.11256      0.131967E-01  0.468038E-02   15.4612       3.51068       3.50971       3.32619       2.83799       2.27687       0.00000       3.32598    
  0.109648E-03   74.7748       6.16402       8.83073       6.15002       8.82576      0.139968E-01  0.497017E-02   14.9758       3.40599       3.40495       3.22409       2.74403       2.19693       0.00000       3.22387    
  0.120226E-03   72.1390       5.97387       8.55537       5.95900       8.55008      0.148758E-01  0.529091E-02   14.5091       3.30519       3.30408       3.12582       2.65380       2.12040       0.00000       3.12561    
  0.131825E-03   69.5513       5.78685       8.28452       5.77105       8.27890      0.157908E-01  0.562593E-02   14.0500       3.20597       3.20477       3.02910       2.56508       2.04523       0.00000       3.02889    
  0.144543E-03   67.0326       5.60428       8.02012       5.58752       8.01414      0.167573E-01  0.598140E-02   13.6017       3.10900       3.10772       2.93461       2.47852       1.97203       0.00000       2.93440    
  0.158489E-03   64.6063       5.42773       7.76440       5.40993       7.75803      0.178019E-01  0.636835E-02   13.1680       3.01506       3.01369       2.84311       2.39486       1.90145       0.00000       2.84289    
  0.173779E-03   62.2248       5.25412       7.51291       5.23523       7.50614      0.188871E-01  0.677184E-02   12.7414       2.92261       2.92114       2.75306       2.31262       1.83215       0.00000       2.75285    
  0.190545E-03   59.9293       5.08614       7.26952       5.06609       7.26232      0.200546E-01  0.720903E-02   12.3284       2.83299       2.83142       2.66581       2.23310       1.76530       0.00000       2.66560    
  0.208928E-03   57.6997       4.92252       7.03238       4.90122       7.02471      0.212938E-01  0.767596E-02   11.9259       2.74556       2.74388       2.58072       2.15566       1.70033       0.00000       2.58051    
  0.229085E-03   55.5127       4.76172       6.79929       4.73914       6.79113      0.225796E-01  0.816235E-02   11.5303       2.65955       2.65775       2.49702       2.07959       1.63657       0.00000       2.49681    
  0.251186E-03   53.4260       4.60758       6.57574       4.58359       6.56704      0.239889E-01  0.870087E-02   11.1506       2.57688       2.57496       2.41662       2.00671       1.57567       0.00000       2.41641    
  0.275420E-03   51.3815       4.45628       6.35623       4.43082       6.34697      0.254572E-01  0.926478E-02   10.7778       2.49563       2.49358       2.33762       1.93519       1.51598       0.00000       2.33741    
  0.301992E-03   49.3939       4.30878       6.14216       4.28178       6.13230      0.270048E-01  0.986278E-02   10.4141       2.41629       2.41410       2.26049       1.86548       1.45791       0.00000       2.26029    
  0.331127E-03   47.4857       4.16665       5.93571       4.13797       5.92520      0.286782E-01  0.105158E-01   10.0632       2.33963       2.33728       2.18600       1.79834       1.40211       0.00000       2.18581    
  0.363073E-03   45.6152       4.02707       5.73290       3.99666       5.72171      0.304159E-01  0.111972E-01   9.71836       2.26424       2.26174       2.11277       1.73241       1.34739       0.00000       2.11258    
  0.398101E-03   43.8155       3.89231       5.53693       3.86003       5.52499      0.322807E-01  0.119352E-01   9.38502       2.19125       2.18858       2.04190       1.66878       1.29470       0.00000       2.04172    
  0.436509E-03   42.0724       3.76143       5.34643       3.72717       5.33370      0.342607E-01  0.127254E-01   9.06088       2.12019       2.11734       1.97293       1.60698       1.24362       0.00000       1.97275    
  0.478622E-03   40.3651       3.63300       5.15940       3.59669       5.14585      0.363143E-01  0.135492E-01   8.74254       2.05035       2.04730       1.90515       1.54634       1.19357       0.00000       1.90498    
  0.524798E-03   38.7401       3.51027       4.98039       3.47171       4.96593      0.385580E-01  0.144608E-01   8.43764       1.98332       1.98007       1.84015       1.48839       1.14587       0.00000       1.83998    
  0.575429E-03   37.1516       3.39007       4.80494       3.34918       4.78952      0.408970E-01  0.154173E-01   8.13870       1.91754       1.91407       1.77638       1.43164       1.09923       0.00000       1.77622    
  0.630945E-03   35.6092       3.27309       4.63400       3.22973       4.61757      0.433564E-01  0.164307E-01   7.84730       1.85334       1.84965       1.71417       1.37639       1.05390       0.00000       1.71402    
  0.691816E-03   34.1339       3.16082       4.46965       3.11480       4.45211      0.460145E-01  0.175397E-01   7.56691       1.79146       1.78752       1.65423       1.32335       1.01050       0.00000       1.65409    
  0.758561E-03   32.6898       3.05076       4.30838       3.00198       4.28968      0.487725E-01  0.186974E-01   7.29167       1.73065       1.72646       1.59535       1.27133      0.968000       0.00000       1.59522    
  0.831745E-03   31.3032       2.94477       4.15277       2.89304       4.13282      0.517230E-01  0.199497E-01   7.02587       1.67183       1.66737       1.53843       1.22121      0.927146       0.00000       1.53831    
  0.911989E-03   29.9643       2.84220       4.00191       2.78734       3.98061      0.548547E-01  0.212930E-01   6.76796       1.61467       1.60992       1.48314       1.17267      0.887666       0.00000       1.48303    
  0.999975E-03   28.6548       2.74174       3.85396       2.68364       3.83126      0.580999E-01  0.226934E-01   6.51490       1.55853       1.55348       1.42885       1.12511      0.849031       0.00000       1.42875    
  0.109645E-02   27.4121       2.64610       3.71265       2.58446       3.68841      0.616307E-01  0.242405E-01   6.27287       1.50471       1.49933       1.37684       1.07975      0.812314       0.00000       1.37676    
  0.120223E-02   26.2002       2.55271       3.57444       2.48740       3.54857      0.653112E-01  0.258662E-01   6.03597       1.45197       1.44625       1.32590       1.03543      0.776487       0.00000       1.32583    
  0.131822E-02   25.0250       2.46201       3.43990       2.39284       3.41232      0.691694E-01  0.275852E-01   5.80515       1.40051       1.39444       1.27622      0.992329      0.741716       0.00000       1.27616    
  0.144540E-02   23.9057       2.37542       3.31098       2.30209       3.28151      0.733323E-01  0.294680E-01   5.58360       1.35100       1.34455       1.22845      0.951091      0.708553       0.00000       1.22841    
