   6464.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   63.1688       4.38851       6.26639       4.37234       6.26068      0.161712E-01  0.571288E-02   10.6330       2.41084       2.40921       2.26003       1.96150       1.59143       0.00000       2.26003    
  0.109648E-03   61.1005       4.26762       6.08919       4.25051       6.08310      0.171161E-01  0.609374E-02   10.3336       2.34641       2.34467       2.19787       1.90410       1.54056       0.00000       2.19787    
  0.120226E-03   59.0856       4.14940       5.91593       4.13128       5.90943      0.181164E-01  0.650071E-02   10.0407       2.28333       2.28148       2.13703       1.84795       1.49092       0.00000       2.13703    
  0.131825E-03   57.1231       4.03381       5.74656       4.01463       5.73962      0.191721E-01  0.693329E-02   9.75426       2.22161       2.21963       2.07749       1.79302       1.44251       0.00000       2.07749    
  0.144543E-03   55.2121       3.92082       5.58102       3.90053       5.57362      0.202868E-01  0.739361E-02   9.47415       2.16121       2.15909       2.01923       1.73932       1.39530       0.00000       2.01923    
  0.158489E-03   53.3516       3.81040       5.41925       3.78894       5.41137      0.214652E-01  0.788441E-02   9.20031       2.10212       2.09986       1.96224       1.68682       1.34927       0.00000       1.96224    
  0.173779E-03   51.5406       3.70253       5.26121       3.67982       5.25281      0.227109E-01  0.840781E-02   8.93262       2.04432       2.04190       1.90650       1.63549       1.30440       0.00000       1.90650    
  0.190545E-03   49.7782       3.59716       5.10684       3.57314       5.09788      0.240250E-01  0.896408E-02   8.67101       1.98780       1.98521       1.85199       1.58534       1.26067       0.00000       1.85199    
  0.208928E-03   48.0633       3.49427       4.95608       3.46886       4.94652      0.254121E-01  0.955588E-02   8.41538       1.93253       1.92977       1.79869       1.53633       1.21806       0.00000       1.79869    
  0.229085E-03   46.3951       3.39383       4.80887       3.36695       4.79868      0.268780E-01  0.101870E-01   8.16563       1.87849       1.87554       1.74659       1.48846       1.17655       0.00000       1.74659    
  0.251186E-03   44.7727       3.29580       4.66517       3.26737       4.65431      0.284257E-01  0.108588E-01   7.92168       1.82567       1.82253       1.69566       1.44170       1.13612       0.00000       1.69566    
  0.275420E-03   43.1950       3.20015       4.52491       3.17009       4.51333      0.300577E-01  0.115727E-01   7.68343       1.77405       1.77070       1.64589       1.39604       1.09675       0.00000       1.64589    
